CAG,Date
0.1549828052520752,1980-03-17
0.15383464097976685,1980-03-18
0.15383464097976685,1980-03-19
0.15383464097976685,1980-03-20
0.1469469517469406,1980-03-21
0.1469469517469406,1980-03-24
0.1469469517469406,1980-03-25
0.14465075731277466,1980-03-26
0.1400587260723114,1980-03-27
0.1423545479774475,1980-03-28
0.14350269734859467,1980-03-31
0.1400587260723114,1980-04-01
0.1423545479774475,1980-04-02
0.13891062140464783,1980-04-03
0.1400587260723114,1980-04-07
0.1412065625190735,1980-04-08
0.14350269734859467,1980-04-09
0.1469469517469406,1980-04-10
0.14924274384975433,1980-04-11
0.1469469517469406,1980-04-14
0.1469469517469406,1980-04-15
0.14579881727695465,1980-04-16
0.1469469517469406,1980-04-17
0.1469469517469406,1980-04-18
0.14465075731277466,1980-04-21
0.14579881727695465,1980-04-22
0.14809462428092957,1980-04-23
0.1469469517469406,1980-04-24
0.1469469517469406,1980-04-25
0.1412065625190735,1980-04-28
0.1423545479774475,1980-04-29
0.1412065625190735,1980-04-30
0.1469469517469406,1980-05-01
0.14809462428092957,1980-05-02
0.14809462428092957,1980-05-05
0.14924274384975433,1980-05-06
0.14924274384975433,1980-05-07
0.1526869684457779,1980-05-08
0.15383464097976685,1980-05-09
0.15153886377811432,1980-05-12
0.14809462428092957,1980-05-13
0.15039080381393433,1980-05-14
0.14924274384975433,1980-05-15
0.15383464097976685,1980-05-16
0.15383464097976685,1980-05-19
0.15383464097976685,1980-05-20
0.15039080381393433,1980-05-21
0.1526869684457779,1980-05-22
0.15842697024345398,1980-05-23
0.15613092482089996,1980-05-27
0.163019061088562,1980-05-28
0.15957510471343994,1980-05-29
0.15957510471343994,1980-05-30
0.164167121052742,1980-06-02
0.17449912428855896,1980-06-03
0.17220324277877808,1980-06-04
0.17449912428855896,1980-06-05
0.17449912428855896,1980-06-06
0.17449912428855896,1980-06-09
0.17449912428855896,1980-06-10
0.17449912428855896,1980-06-11
0.18368341028690338,1980-06-12
0.18253543972969055,1980-06-13
0.18483152985572815,1980-06-16
0.18597954511642456,1980-06-17
0.18942344188690186,1980-06-18
0.18597954511642456,1980-06-19
0.18597954511642456,1980-06-20
0.1882755160331726,1980-06-23
0.18597954511642456,1980-06-24
0.1871272623538971,1980-06-25
0.1882755160331726,1980-06-26
0.18597954511642456,1980-06-27
0.18597954511642456,1980-06-30
0.18483152985572815,1980-07-01
0.1905716210603714,1980-07-02
0.19516363739967346,1980-07-03
0.1940154880285263,1980-07-07
0.20205162465572357,1980-07-08
0.21123601496219635,1980-07-09
0.2169761210680008,1980-07-10
0.22041989862918854,1980-07-11
0.2192721664905548,1980-07-14
0.22041989862918854,1980-07-15
0.2169761210680008,1980-07-16
0.21812419593334198,1980-07-17
0.22386424243450165,1980-07-18
0.2215680330991745,1980-07-21
0.22616012394428253,1980-07-22
0.22501221299171448,1980-07-23
0.2273082137107849,1980-07-24
0.22501221299171448,1980-07-25
0.22386424243450165,1980-07-28
0.22271615266799927,1980-07-29
0.22501221299171448,1980-07-30
0.22501221299171448,1980-07-31
0.2273082137107849,1980-08-01
0.2307523936033249,1980-08-04
0.23534439504146576,1980-08-05
0.23878851532936096,1980-08-06
0.24797256290912628,1980-08-07
0.25371253490448,1980-08-08
0.2525646388530731,1980-08-11
0.2525646388530731,1980-08-12
0.25371253490448,1980-08-13
0.25486069917678833,1980-08-14
0.26404497027397156,1980-08-15
0.261748731136322,1980-08-18
0.26060086488723755,1980-08-19
0.2583048641681671,1980-08-20
0.2571568489074707,1980-08-21
0.2583048641681671,1980-08-22
0.2571568489074707,1980-08-25
0.25486069917678833,1980-08-26
0.25371253490448,1980-08-27
0.24338048696517944,1980-08-28
0.2341962456703186,1980-08-29
0.24338048696517944,1980-09-02
0.24567659199237823,1980-09-03
0.24797256290912628,1980-09-04
0.24797256290912628,1980-09-05
0.2525646388530731,1980-09-08
0.25371253490448,1980-09-09
0.2571568489074707,1980-09-10
0.2755250930786133,1980-09-11
0.28126537799835205,1980-09-12
0.2824133634567261,1980-09-15
0.2755250930786133,1980-09-16
0.2824133634567261,1980-09-17
0.2824133634567261,1980-09-18
0.28700539469718933,1980-09-19
0.2904495596885681,1980-09-22
0.30766966938972473,1980-09-23
0.32144591212272644,1980-09-24
0.3157059848308563,1980-09-25
0.30996575951576233,1980-09-26
0.31455790996551514,1980-09-29
0.31685394048690796,1980-09-30
0.3157059848308563,1980-10-01
0.31455790996551514,1980-10-02
0.31685394048690796,1980-10-03
0.31685394048690796,1980-10-06
0.3157059848308563,1980-10-07
0.3157059848308563,1980-10-08
0.3157059848308563,1980-10-09
0.30996575951576233,1980-10-10
0.31340983510017395,1980-10-13
0.31340983510017395,1980-10-14
0.30996575951576233,1980-10-15
0.30996575951576233,1980-10-16
0.30537375807762146,1980-10-17
0.30078160762786865,1980-10-20
0.29274532198905945,1980-10-21
0.2915972173213959,1980-10-22
0.2915972173213959,1980-10-23
0.29848548769950867,1980-10-24
0.29848548769950867,1980-10-27
0.29848548769950867,1980-10-28
0.3019295334815979,1980-10-29
0.3019295334815979,1980-10-30
0.2996334433555603,1980-10-31
0.30307772755622864,1980-11-03
0.31455790996551514,1980-11-05
0.30996575951576233,1980-11-06
0.3042258322238922,1980-11-07
0.3088177740573883,1980-11-10
0.3088177740573883,1980-11-11
0.31111374497413635,1980-11-12
0.32144591212272644,1980-11-13
0.33407407999038696,1980-11-14
0.3317779004573822,1980-11-17
0.328334242105484,1980-11-18
0.32144591212272644,1980-11-19
0.32144591212272644,1980-11-20
0.3191499412059784,1980-11-21
