MRVL,Date
12.215595245361328,2000-06-30
11.786979675292969,2000-07-03
11.050292015075684,2000-07-05
9.751046180725098,2000-07-06
10.26002311706543,2000-07-07
10.688647270202637,2000-07-10
10.367177963256836,2000-07-11
12.456696510314941,2000-07-12
12.938887596130371,2000-07-13
11.84055233001709,2000-07-14
12.684393882751465,2000-07-17
13.447869300842285,2000-07-18
14.171165466308594,2000-07-19
14.653355598449707,2000-07-20
13.193377494812012,2000-07-21
11.786979675292969,2000-07-24
12.135228157043457,2000-07-25
11.291388511657715,2000-07-26
10.353785514831543,2000-07-27
10.60827922821045,2000-07-28
9.791230201721191,2000-07-31
9.255454063415527,2000-08-01
9.858197212219238,2000-08-02
11.492303848266602,2000-08-03
12.376322746276855,2000-08-04
11.786979675292969,2000-08-07
11.57266902923584,2000-08-08
11.277993202209473,2000-08-09
11.144051551818848,2000-08-10
11.11726188659668,2000-08-11
10.688647270202637,2000-08-14
10.929741859436035,2000-08-15
11.760188102722168,2000-08-16
11.33156967163086,2000-08-17
11.194282531738281,2000-08-18
11.786979675292969,2000-08-21
11.97449779510498,2000-08-22
11.46551513671875,2000-08-23
11.813765525817871,2000-08-24
11.867341995239258,2000-08-25
12.537055015563965,2000-08-28
14.5462007522583,2000-08-29
15.055184364318848,2000-08-30
15.296280860900879,2000-08-31
15.376646041870117,2000-09-01
16.046361923217773,2000-09-05
17.787622451782227,2000-09-06
20.46648597717285,2000-09-07
20.332534790039062,2000-09-08
20.118221282958984,2000-09-11
21.17637062072754,2000-09-12
21.75233268737793,2000-09-13
21.430866241455078,2000-09-14
20.80133819580078,2000-09-15
19.260997772216797,2000-09-18
19.341352462768555,2000-09-19
20.037851333618164,2000-09-20
19.716394424438477,2000-09-21
19.15382957458496,2000-09-22
18.55109405517578,2000-09-25
17.385791778564453,2000-09-26
16.2338809967041,2000-09-27
16.662500381469727,2000-09-28
16.528553009033203,2000-09-29
16.98396110534668,2000-10-02
16.63571548461914,2000-10-03
16.019577026367188,2000-10-04
16.287456512451172,2000-10-05
15.617744445800781,2000-10-06
17.09111976623535,2000-10-09
17.117900848388672,2000-10-10
17.787622451782227,2000-10-11
18.122480392456055,2000-10-12
19.448511123657227,2000-10-13
17.51972770690918,2000-10-16
12.228986740112305,2000-10-17
10.835980415344238,2000-10-18
11.853949546813965,2000-10-19
12.965675354003906,2000-10-20
12.791546821594238,2000-10-23
12.644208908081055,2000-10-24
11.57266902923584,2000-10-25
10.983319282531738,2000-10-26
11.599454879760742,2000-10-27
11.224413871765137,2000-10-30
11.947709083557129,2000-10-31
11.144051551818848,2000-11-01
11.385149955749512,2000-11-02
11.358360290527344,2000-11-03
11.545876502990723,2000-11-06
10.4609375,2000-11-07
10.367177963256836,2000-11-08
10.393972396850586,2000-11-09
9.844805717468262,2000-11-10
9.97874641418457,2000-11-13
10.367177963256836,2000-11-14
10.661857604980469,2000-11-15
9.670676231384277,2000-11-16
9.724255561828613,2000-11-17
9.000961303710938,2000-11-20
8.625920295715332,2000-11-21
7.996393203735352,2000-11-22
8.438404083251953,2000-11-24
7.219521999359131,2000-11-27
6.000642776489258,2000-11-28
5.880094051361084,2000-11-29
6.134585857391357,2000-11-30
6.308711528778076,2000-12-01
5.719361782073975,2000-12-04
6.496232509613037,2000-12-05
6.107797622680664,2000-12-06
5.920276165008545,2000-12-07
6.804300785064697,2000-12-08
7.085582733154297,2000-12-11
7.072188377380371,2000-12-12
6.523020267486572,2000-12-13
5.98724889755249,2000-12-14
5.572025775909424,2000-12-15
5.3577165603637695,2000-12-18
4.929098606109619,2000-12-19
4.312960147857666,2000-12-20
4.071864128112793,2000-12-21
4.232595920562744,2000-12-22
3.643247365951538,2000-12-26
4.098654747009277,2000-12-27
4.754974842071533,2000-12-28
4.701396465301514,2000-12-29
4.580848217010498,2001-01-02
4.647819995880127,2001-01-03
5.196986198425293,2001-01-04
4.8219451904296875,2001-01-05
4.888916969299316,2001-01-08
4.875523090362549,2001-01-09
4.888916969299316,2001-01-10
5.424688816070557,2001-01-11
5.893489837646484,2001-01-12
5.438083171844482,2001-01-16
5.933670997619629,2001-01-17
6.054220676422119,2001-01-18
6.000642776489258,2001-01-19
7.112367153167725,2001-01-22
7.5510334968566895,2001-01-23
7.27310037612915,2001-01-24
7.715113639831543,2001-01-25
7.514196395874023,2001-01-26
7.192732810974121,2001-01-29
7.179340839385986,2001-01-30
8.465191841125488,2001-01-31
8.9473876953125,2001-02-01
8.224095344543457,2001-02-02
7.540984630584717,2001-02-05
7.072188377380371,2001-02-06
6.7540717124938965,2001-02-07
6.6033854484558105,2001-02-08
6.188161373138428,2001-02-09
5.66578483581543,2001-02-12
5.896836280822754,2001-02-13
5.746151924133301,2001-02-14
6.509625434875488,2001-02-15
6.188161373138428,2001-02-16
5.2639570236206055,2001-02-20
4.8219451904296875,2001-02-21
4.567453861236572,2001-02-22
5.3577165603637695,2001-02-23
5.424688816070557,2001-02-26
4.929098606109619,2001-02-27
4.259384632110596,2001-02-28
4.152230739593506,2001-03-01
4.259384632110596,2001-03-02
3.9647092819213867,2001-03-05
4.179020404815674,2001-03-06
4.165625095367432,2001-03-07
4.312960147857666,2001-03-08
4.031680583953857,2001-03-09
3.924527168273926,2001-03-12
4.232595920562744,2001-03-13
4.0450758934021,2001-03-14
4.1120476722717285,2001-03-15
3.9379215240478516,2001-03-16
4.018287658691406,2001-03-19
3.643247365951538,2001-03-20
3.6834301948547363,2001-03-21
3.7370073795318604,2001-03-22
3.710219144821167,2001-03-23
3.281601667404175,2001-03-26
2.946744918823242,2001-03-27
2.839590072631836,2001-03-28
2.665464401245117,2001-03-29
2.5850982666015625,2001-03-30
2.4377615451812744,2001-04-02
1.9019896984100342,2001-04-03
1.8283209800720215,2001-04-04
1.9153838157653809,2001-04-05
2.143087148666382,2001-04-06
2.164517641067505,2001-04-09
2.618852138519287,2001-04-10
3.3839337825775146,2001-04-11
3.308925151824951,2001-04-12
3.184626817703247,2001-04-16
3.328213691711426,2001-04-17
3.848984479904175,2001-04-18
4.318317890167236,2001-04-19
4.779082775115967,2001-04-20
4.414758682250977,2001-04-23
4.592635631561279,2001-04-24
5.049112796783447,2001-04-25
4.969818115234375,2001-04-26
5.034109592437744,2001-04-27
5.40057897567749,2001-04-30
5.5870280265808105,2001-05-01
5.78633451461792,2001-05-02
5.992068767547607,2001-05-03
5.756330966949463,2001-05-04
5.7756195068359375,2001-05-07
5.71775484085083,2001-05-08
5.507734298706055,2001-05-09
5.377005100250244,2001-05-10
5.261277198791504,2001-05-11
5.443438529968262,2001-05-14
5.784191131591797,2001-05-15
6.249240398406982,2001-05-16
6.669285774230957,2001-05-17
6.407829761505127,2001-05-18
6.660712718963623,2001-05-21
6.924314975738525,2001-05-22
6.763580799102783,2001-05-23
6.532128810882568,2001-05-24
6.542843341827393,2001-05-25
5.872058391571045,2001-05-29
5.3577165603637695,2001-05-30
5.286995887756348,2001-05-31
