CBOE,Date
28.503894805908203,2010-06-15
28.135417938232422,2010-06-16
27.635356903076172,2010-06-17
27.205463409423828,2010-06-18
28.109100341796875,2010-06-21
28.679349899291992,2010-06-22
29.372440338134766,2010-06-23
29.205745697021484,2010-06-24
28.135417938232422,2010-06-25
28.75830078125,2010-06-28
27.863452911376953,2010-06-29
28.556529998779297,2010-06-30
26.591341018676758,2010-07-01
27.073871612548828,2010-07-02
26.143917083740234,2010-07-06
25.64385223388672,2010-07-07
25.450841903686523,2010-07-08
25.415752410888672,2010-07-09
23.51197624206543,2010-07-12
24.433156967163086,2010-07-13
23.985727310180664,2010-07-14
23.248788833618164,2010-07-15
23.204923629760742,2010-07-16
23.240015029907227,2010-07-19
22.880319595336914,2010-07-20
23.34528923034668,2010-07-21
23.713760375976562,2010-07-22
23.819040298461914,2010-07-23
23.248788833618164,2010-07-26
23.85413932800293,2010-07-27
23.819040298461914,2010-07-28
23.397933959960938,2010-07-29
23.336524963378906,2010-07-30
24.161195755004883,2010-08-02
23.906780242919922,2010-08-03
23.433027267456055,2010-08-04
21.757352828979492,2010-08-05
20.880041122436523,2010-08-06
21.029193878173828,2010-08-09
20.178197860717773,2010-08-10
20.13433074951172,2010-08-11
20.450159072875977,2010-08-12
20.178197860717773,2010-08-13
19.993959426879883,2010-08-16
20.283472061157227,2010-08-17
20.274696350097656,2010-08-18
20.178197860717773,2010-08-19
20.06414794921875,2010-08-20
20.178197860717773,2010-08-23
19.116647720336914,2010-08-24
19.011369705200195,2010-08-25
18.66921615600586,2010-08-26
18.30951690673828,2010-08-27
18.09018898010254,2010-08-30
18.344602584838867,2010-08-31
19.058650970458984,2010-09-01
19.102724075317383,2010-09-02
19.543487548828125,2010-09-03
19.596376419067383,2010-09-07
19.437707901000977,2010-09-08
19.217317581176758,2010-09-09
19.34073829650879,2010-09-10
19.24376678466797,2010-09-13
19.543487548828125,2010-09-14
19.69334602355957,2010-09-15
19.658084869384766,2010-09-16
19.799131393432617,2010-09-17
19.270217895507812,2010-09-20
18.970497131347656,2010-09-21
18.803007125854492,2010-09-22
18.141860961914062,2010-09-23
18.168304443359375,2010-09-24
18.57380485534668,2010-09-27
18.785375595092773,2010-09-28
18.318166732788086,2010-09-29
17.8068790435791,2010-09-30
18.159494400024414,2010-10-01
17.974367141723633,2010-10-04
18.362245559692383,2010-10-05
18.362245559692383,2010-10-06
18.159494400024414,2010-10-07
18.379871368408203,2010-10-08
18.564992904663086,2010-10-11
19.596376419067383,2010-10-12
19.578746795654297,2010-10-13
19.948997497558594,2010-10-14
19.816757202148438,2010-10-15
20.45146369934082,2010-10-18
20.389751434326172,2010-10-19
20.918670654296875,2010-10-20
21.077342987060547,2010-10-21
21.632709503173828,2010-10-22
21.48284912109375,2010-10-25
21.359434127807617,2010-10-26
21.30654525756836,2010-10-27
21.15668296813965,2010-10-28
21.165496826171875,2010-10-29
20.795257568359375,2010-11-01
21.253650665283203,2010-11-02
21.15668296813965,2010-11-03
21.165496826171875,2010-11-04
21.72968101501465,2010-11-05
21.923614501953125,2010-11-08
21.967689514160156,2010-11-09
21.897171020507812,2010-11-10
21.78257179260254,2010-11-11
21.288909912109375,2010-11-12
21.456409454345703,2010-11-15
21.68560028076172,2010-11-16
21.509294509887695,2010-11-17
21.78257179260254,2010-11-18
22.05584144592285,2010-11-19
21.861906051635742,2010-11-22
21.764944076538086,2010-11-23
21.050901412963867,2010-11-24
20.715923309326172,2010-11-26
20.830524444580078,2010-11-29
20.97156524658203,2010-11-30
21.16631507873535,2010-12-01
21.546981811523438,2010-12-02
21.60009002685547,2010-12-03
21.971899032592773,2010-12-06
21.945341110229492,2010-12-07
21.449596405029297,2010-12-08
20.829923629760742,2010-12-09
20.33417510986328,2010-12-10
20.369596481323242,2010-12-13
20.316482543945312,2010-12-14
20.236804962158203,2010-12-15
19.510902404785156,2010-12-16
19.572874069213867,2010-12-17
19.652542114257812,2010-12-20
19.652542114257812,2010-12-21
19.56401252746582,2010-12-22
19.84730339050293,2010-12-23
19.856151580810547,2010-12-27
20.396150588989258,2010-12-28
20.086313247680664,2010-12-29
20.121728897094727,2010-12-30
20.236804962158203,2010-12-31
21.024682998657227,2011-01-03
21.08664321899414,2011-01-04
21.024682998657227,2011-01-05
20.89189338684082,2011-01-06
21.07779312133789,2011-01-07
21.476154327392578,2011-01-10
21.228286743164062,2011-01-11
21.1928768157959,2011-01-12
20.838773727416992,2011-01-13
21.068939208984375,2011-01-14
20.883037567138672,2011-01-18
20.537792205810547,2011-01-19
20.360746383666992,2011-01-20
20.537792205810547,2011-01-21
20.44926643371582,2011-01-24
20.30763053894043,2011-01-25
20.52894401550293,2011-01-26
20.493528366088867,2011-01-27
20.33417510986328,2011-01-28
20.369596481323242,2011-01-31
20.316482543945312,2011-02-01
20.582048416137695,2011-02-02
21.051237106323242,2011-02-03
21.228286743164062,2011-02-04
21.51156234741211,2011-02-07
21.662052154541016,2011-02-08
22.58271598815918,2011-02-09
23.78666114807129,2011-02-10
23.299772262573242,2011-02-11
24.645347595214844,2011-02-14
23.202390670776367,2011-02-15
23.299772262573242,2011-02-16
24.176162719726562,2011-02-17
23.999116897583008,2011-02-18
22.98993682861328,2011-02-22
23.361736297607422,2011-02-23
24.362070083618164,2011-02-24
26.052898406982422,2011-02-25
26.194534301757812,2011-02-28
24.671907424926758,2011-03-01
24.511987686157227,2011-03-02
24.982864379882812,2011-03-03
24.81406021118164,2011-03-04
25.21385383605957,2011-03-07
25.267160415649414,2011-03-08
25.222740173339844,2011-03-09
23.943387985229492,2011-03-10
24.671905517578125,2011-03-11
24.831823348999023,2011-03-14
24.485336303710938,2011-03-15
24.60971450805664,2011-03-16
24.716333389282227,2011-03-17
24.6807918548584,2011-03-18
25.00063133239746,2011-03-21
25.542577743530273,2011-03-22
25.755794525146484,2011-03-23
25.986797332763672,2011-03-24
25.844646453857422,2011-03-25
25.471498489379883,2011-03-28
25.48927116394043,2011-03-29
25.773571014404297,2011-03-30
25.738035202026367,2011-03-31
24.440914154052734,2011-04-01
24.60971450805664,2011-04-04
24.494216918945312,2011-04-05
23.961153030395508,2011-04-06
23.9966983795166,2011-04-07
23.88119888305664,2011-04-08
23.890085220336914,2011-04-11
23.792346954345703,2011-04-12
23.85454559326172,2011-04-13
24.005578994750977,2011-04-14
24.13884162902832,2011-04-15
23.916730880737305,2011-04-18
23.69462776184082,2011-04-19
23.85454559326172,2011-04-20
24.07665252685547,2011-04-21
23.827890396118164,2011-04-25
23.863428115844727,2011-04-26
24.156620025634766,2011-04-27
24.298765182495117,2011-04-28
23.827890396118164,2011-04-29
