MCK,Date
12.700948715209961,1994-11-10
12.652837753295898,1994-11-11
12.604727745056152,1994-11-14
12.50850772857666,1994-11-15
12.50850772857666,1994-11-16
12.460396766662598,1994-11-17
12.460396766662598,1994-11-18
12.556611061096191,1994-11-21
12.267955780029297,1994-11-22
12.12363052368164,1994-11-23
12.219850540161133,1994-11-25
12.12363052368164,1994-11-28
11.883084297180176,1994-11-29
12.075521469116211,1994-11-30
12.31606674194336,1994-12-01
12.460396766662598,1994-12-02
12.219850540161133,1994-12-05
12.171740531921387,1994-12-06
12.075521469116211,1994-12-07
11.786860466003418,1994-12-08
11.883872032165527,1994-12-09
11.835362434387207,1994-12-12
12.077896118164062,1994-12-13
12.32042407989502,1994-12-14
12.223417282104492,1994-12-15
12.36893081665039,1994-12-16
12.32042407989502,1994-12-19
12.32042407989502,1994-12-20
12.46593952178955,1994-12-21
12.514448165893555,1994-12-22
12.611458778381348,1994-12-23
12.659960746765137,1994-12-27
12.611458778381348,1994-12-28
12.70846939086914,1994-12-29
12.659960746765137,1994-12-30
12.805481910705566,1995-01-03
12.756978034973145,1995-01-04
12.805481910705566,1995-01-05
12.805481910705566,1995-01-06
12.756978034973145,1995-01-09
12.611458778381348,1995-01-10
12.417433738708496,1995-01-11
12.56295394897461,1995-01-12
12.756978034973145,1995-01-13
12.756978034973145,1995-01-16
12.70846939086914,1995-01-17
13.193521499633789,1995-01-18
13.290535926818848,1995-01-19
13.193521499633789,1995-01-20
13.339037895202637,1995-01-23
13.339037895202637,1995-01-24
13.581565856933594,1995-01-25
13.72708797454834,1995-01-26
13.87260627746582,1995-01-27
13.87260627746582,1995-01-30
14.309158325195312,1995-01-31
14.260644912719727,1995-02-01
14.309158325195312,1995-02-02
14.357660293579102,1995-02-03
14.309158325195312,1995-02-06
14.309158325195312,1995-02-07
14.406161308288574,1995-02-08
14.309158325195312,1995-02-09
14.503171920776367,1995-02-10
14.600188255310059,1995-02-13
14.64869213104248,1995-02-14
14.794217109680176,1995-02-15
14.842719078063965,1995-02-16
14.551688194274902,1995-02-17
14.406161308288574,1995-02-21
14.503171920776367,1995-02-22
14.551850318908691,1995-02-23
14.503171920776367,1995-02-24
14.308502197265625,1995-02-27
14.357171058654785,1995-02-28
14.697850227355957,1995-03-01
14.64918041229248,1995-03-02
14.64918041229248,1995-03-03
14.503171920776367,1995-03-06
14.308502197265625,1995-03-07
14.259839057922363,1995-03-08
14.21116828918457,1995-03-09
14.162500381469727,1995-03-10
14.259839057922363,1995-03-13
14.259839057922363,1995-03-14
14.600521087646484,1995-03-15
14.503171920776367,1995-03-16
14.79518985748291,1995-03-17
14.941186904907227,1995-03-20
15.087193489074707,1995-03-21
15.087193489074707,1995-03-22
15.281867027282715,1995-03-23
15.671221733093262,1995-03-24
15.817222595214844,1995-03-27
15.719886779785156,1995-03-28
15.427871704101562,1995-03-29
15.76855754852295,1995-03-30
15.719886779785156,1995-03-31
15.671221733093262,1995-04-03
