EXPD,Date
0.13157790899276733,1984-09-26
0.13357135653495789,1984-09-27
0.129584401845932,1984-09-28
0.12759089469909668,1984-10-01
0.12559743225574493,1984-10-02
0.12559743225574493,1984-10-03
0.12160975486040115,1984-10-04
0.12160975486040115,1984-10-05
0.11961629241704941,1984-10-08
0.11961629241704941,1984-10-09
0.11961629241704941,1984-10-10
0.11961629241704941,1984-10-11
0.11562929302453995,1984-10-12
0.11562929302453995,1984-10-15
0.1176227480173111,1984-10-16
0.11562929302453995,1984-10-17
0.12160975486040115,1984-10-18
0.12559743225574493,1984-10-19
0.12759089469909668,1984-10-22
0.12759089469909668,1984-10-23
0.129584401845932,1984-10-24
0.12759089469909668,1984-10-25
0.129584401845932,1984-10-26
0.129584401845932,1984-10-29
0.129584401845932,1984-10-30
0.129584401845932,1984-10-31
0.129584401845932,1984-11-01
0.129584401845932,1984-11-02
0.12759089469909668,1984-11-05
0.12759089469909668,1984-11-06
0.12759089469909668,1984-11-07
0.12759089469909668,1984-11-08
0.12559743225574493,1984-11-09
0.12360318005084991,1984-11-12
0.12360318005084991,1984-11-13
0.12160975486040115,1984-11-14
0.12160975486040115,1984-11-15
0.12160975486040115,1984-11-16
0.12160975486040115,1984-11-19
0.12160975486040115,1984-11-20
0.11961629241704941,1984-11-21
0.11961629241704941,1984-11-23
0.11961629241704941,1984-11-26
0.1176227480173111,1984-11-27
0.1176227480173111,1984-11-28
0.11562929302453995,1984-11-29
0.1176227480173111,1984-11-30
0.1176227480173111,1984-12-03
0.11961629241704941,1984-12-04
0.1176227480173111,1984-12-05
0.1176227480173111,1984-12-06
0.1176227480173111,1984-12-07
0.1176227480173111,1984-12-10
0.1176227480173111,1984-12-11
0.1176227480173111,1984-12-12
0.11562929302453995,1984-12-13
0.11562929302453995,1984-12-14
0.1176227480173111,1984-12-17
0.1176227480173111,1984-12-18
0.1176227480173111,1984-12-19
0.1176227480173111,1984-12-20
0.1176227480173111,1984-12-21
0.11562929302453995,1984-12-24
0.11562929302453995,1984-12-26
0.1176227480173111,1984-12-27
0.1176227480173111,1984-12-28
0.1176227480173111,1984-12-31
0.1176227480173111,1985-01-02
0.1176227480173111,1985-01-03
0.1176227480173111,1985-01-04
0.1176227480173111,1985-01-07
0.1176227480173111,1985-01-08
0.1176227480173111,1985-01-09
0.1176227480173111,1985-01-10
0.1176227480173111,1985-01-11
0.1176227480173111,1985-01-14
0.1176227480173111,1985-01-15
0.12759089469909668,1985-01-16
0.129584401845932,1985-01-17
0.129584401845932,1985-01-18
0.129584401845932,1985-01-21
0.129584401845932,1985-01-22
0.13357135653495789,1985-01-23
0.13755902647972107,1985-01-24
0.1395525485277176,1985-01-25
0.14353950321674347,1985-01-28
