NWL,Date
0.18606171011924744,1980-03-17
0.1887979805469513,1980-03-18
0.1833256334066391,1980-03-19
0.17785321176052094,1980-03-20
0.17785321176052094,1980-03-21
0.17785321176052094,1980-03-24
0.1751168668270111,1980-03-25
0.16964450478553772,1980-03-26
0.1641720086336136,1980-03-27
0.16964450478553772,1980-03-28
0.17785321176052094,1980-03-31
0.17785321176052094,1980-04-01
0.1751168668270111,1980-04-02
0.17785321176052094,1980-04-03
0.1751168668270111,1980-04-07
0.16964450478553772,1980-04-08
0.1751168668270111,1980-04-09
0.17785321176052094,1980-04-10
0.16964450478553772,1980-04-11
0.1751168668270111,1980-04-14
0.1751168668270111,1980-04-15
0.16690847277641296,1980-04-16
0.1751168668270111,1980-04-17
0.1805892288684845,1980-04-18
0.18606171011924744,1980-04-21
0.19153407216072083,1980-04-22
0.1887979805469513,1980-04-23
0.19153407216072083,1980-04-24
0.19153407216072083,1980-04-25
0.19153407216072083,1980-04-28
0.18606171011924744,1980-04-29
0.18606171011924744,1980-04-30
0.18606171011924744,1980-05-01
0.18606171011924744,1980-05-02
0.18606171011924744,1980-05-05
0.18606171011924744,1980-05-06
0.18606171011924744,1980-05-07
0.19153407216072083,1980-05-08
0.19153407216072083,1980-05-09
0.1887979805469513,1980-05-12
0.19153407216072083,1980-05-13
0.19153407216072083,1980-05-14
0.19427043199539185,1980-05-15
0.19974279403686523,1980-05-16
0.20247887074947357,1980-05-19
0.1887979805469513,1980-05-20
0.1887979805469513,1980-05-21
0.19700655341148376,1980-05-22
0.19974279403686523,1980-05-23
0.205215185880661,1980-05-27
0.205215185880661,1980-05-28
0.21342365443706512,1980-05-29
0.19974279403686523,1980-05-30
0.20247887074947357,1980-06-02
0.2161601036787033,1980-06-03
0.2188960611820221,1980-06-04
0.2216324806213379,1980-06-05
0.21342365443706512,1980-06-06
0.205215185880661,1980-06-09
0.2161601036787033,1980-06-10
0.2216324806213379,1980-06-11
0.2188960611820221,1980-06-12
0.22710494697093964,1980-06-13
0.2188960611820221,1980-06-16
0.2188960611820221,1980-06-17
0.22436843812465668,1980-06-18
0.2216324806213379,1980-06-19
0.2188960611820221,1980-06-20
0.2161601036787033,1980-06-23
