FLT,Date
27.25,2010-12-15
27.350000381469727,2010-12-16
28.06999969482422,2010-12-17
28.530000686645508,2010-12-20
29.75,2010-12-21
29.079999923706055,2010-12-22
30.809999465942383,2010-12-23
30.989999771118164,2010-12-27
31.059999465942383,2010-12-28
31.0,2010-12-29
30.799999237060547,2010-12-30
30.920000076293945,2010-12-31
30.469999313354492,2011-01-03
29.979999542236328,2011-01-04
30.399999618530273,2011-01-05
30.030000686645508,2011-01-06
29.989999771118164,2011-01-07
30.0,2011-01-10
31.139999389648438,2011-01-11
30.940000534057617,2011-01-12
30.200000762939453,2011-01-13
30.25,2011-01-14
30.229999542236328,2011-01-18
30.190000534057617,2011-01-19
30.049999237060547,2011-01-20
30.5,2011-01-21
31.56999969482422,2011-01-24
31.049999237060547,2011-01-25
31.299999237060547,2011-01-26
30.200000762939453,2011-01-27
29.979999542236328,2011-01-28
30.0,2011-01-31
30.040000915527344,2011-02-01
30.0,2011-02-02
30.0,2011-02-03
29.989999771118164,2011-02-04
30.510000228881836,2011-02-07
31.15999984741211,2011-02-08
31.280000686645508,2011-02-09
31.270000457763672,2011-02-10
31.510000228881836,2011-02-11
31.0,2011-02-14
31.0,2011-02-15
31.479999542236328,2011-02-16
32.5,2011-02-17
33.5099983215332,2011-02-18
31.959999084472656,2011-02-22
32.0,2011-02-23
32.4900016784668,2011-02-24
32.060001373291016,2011-02-25
31.989999771118164,2011-02-28
30.700000762939453,2011-03-01
30.06999969482422,2011-03-02
30.700000762939453,2011-03-03
30.75,2011-03-04
30.360000610351562,2011-03-07
30.440000534057617,2011-03-08
30.170000076293945,2011-03-09
30.25,2011-03-10
30.510000228881836,2011-03-11
31.329999923706055,2011-03-14
31.549999237060547,2011-03-15
31.43000030517578,2011-03-16
31.350000381469727,2011-03-17
31.579999923706055,2011-03-18
33.150001525878906,2011-03-21
32.72999954223633,2011-03-22
33.310001373291016,2011-03-23
33.16999816894531,2011-03-24
33.09000015258789,2011-03-25
34.400001525878906,2011-03-28
32.70000076293945,2011-03-29
32.470001220703125,2011-03-30
32.65999984741211,2011-03-31
34.08000183105469,2011-04-01
34.0,2011-04-04
33.81999969482422,2011-04-05
32.790000915527344,2011-04-06
33.33000183105469,2011-04-07
33.09000015258789,2011-04-08
33.369998931884766,2011-04-11
33.290000915527344,2011-04-12
33.4900016784668,2011-04-13
33.66999816894531,2011-04-14
34.2599983215332,2011-04-15
33.7599983215332,2011-04-18
34.220001220703125,2011-04-19
34.81999969482422,2011-04-20
34.63999938964844,2011-04-21
34.290000915527344,2011-04-25
34.630001068115234,2011-04-26
34.810001373291016,2011-04-27
36.790000915527344,2011-04-28
37.5099983215332,2011-04-29
36.130001068115234,2011-05-02
34.119998931884766,2011-05-03
34.09000015258789,2011-05-04
34.720001220703125,2011-05-05
33.18000030517578,2011-05-06
33.119998931884766,2011-05-09
33.779998779296875,2011-05-10
33.38999938964844,2011-05-11
33.61000061035156,2011-05-12
35.380001068115234,2011-05-13
35.150001525878906,2011-05-16
34.06999969482422,2011-05-17
35.0,2011-05-18
36.0,2011-05-19
35.5,2011-05-20
34.869998931884766,2011-05-23
34.34000015258789,2011-05-24
33.720001220703125,2011-05-25
33.689998626708984,2011-05-26
33.369998931884766,2011-05-27
33.7400016784668,2011-05-31
33.0,2011-06-01
32.90999984741211,2011-06-02
31.790000915527344,2011-06-03
31.079999923706055,2011-06-06
30.6200008392334,2011-06-07
30.0,2011-06-08
30.040000915527344,2011-06-09
29.15999984741211,2011-06-10
30.010000228881836,2011-06-13
30.15999984741211,2011-06-14
30.09000015258789,2011-06-15
30.06999969482422,2011-06-16
30.229999542236328,2011-06-17
30.0,2011-06-20
30.350000381469727,2011-06-21
30.100000381469727,2011-06-22
30.15999984741211,2011-06-23
30.040000915527344,2011-06-24
29.93000030517578,2011-06-27
29.8700008392334,2011-06-28
29.530000686645508,2011-06-29
29.639999389648438,2011-06-30
29.700000762939453,2011-07-01
29.530000686645508,2011-07-05
30.100000381469727,2011-07-06
29.700000762939453,2011-07-07
29.799999237060547,2011-07-08
29.979999542236328,2011-07-11
30.0,2011-07-12
30.149999618530273,2011-07-13
29.90999984741211,2011-07-14
29.6200008392334,2011-07-15
29.510000228881836,2011-07-18
29.719999313354492,2011-07-19
29.549999237060547,2011-07-20
29.510000228881836,2011-07-21
29.389999389648438,2011-07-22
29.15999984741211,2011-07-25
29.329999923706055,2011-07-26
29.299999237060547,2011-07-27
29.479999542236328,2011-07-28
29.639999389648438,2011-07-29
29.6200008392334,2011-08-01
29.190000534057617,2011-08-02
29.110000610351562,2011-08-03
28.399999618530273,2011-08-04
30.010000228881836,2011-08-05
26.969999313354492,2011-08-08
28.860000610351562,2011-08-09
28.420000076293945,2011-08-10
27.450000762939453,2011-08-11
26.959999084472656,2011-08-12
27.010000228881836,2011-08-15
26.290000915527344,2011-08-16
27.0,2011-08-17
25.579999923706055,2011-08-18
25.260000228881836,2011-08-19
25.25,2011-08-22
26.81999969482422,2011-08-23
27.8799991607666,2011-08-24
27.90999984741211,2011-08-25
28.0,2011-08-26
28.469999313354492,2011-08-29
28.06999969482422,2011-08-30
28.40999984741211,2011-08-31
28.260000228881836,2011-09-01
27.889999389648438,2011-09-02
27.809999465942383,2011-09-06
28.030000686645508,2011-09-07
27.799999237060547,2011-09-08
27.68000030517578,2011-09-09
27.8799991607666,2011-09-12
28.020000457763672,2011-09-13
28.420000076293945,2011-09-14
28.850000381469727,2011-09-15
29.100000381469727,2011-09-16
28.219999313354492,2011-09-19
27.850000381469727,2011-09-20
26.75,2011-09-21
26.239999771118164,2011-09-22
26.610000610351562,2011-09-23
26.219999313354492,2011-09-26
27.059999465942383,2011-09-27
26.809999465942383,2011-09-28
26.239999771118164,2011-09-29
26.260000228881836,2011-09-30
25.780000686645508,2011-10-03
27.299999237060547,2011-10-04
27.75,2011-10-05
28.030000686645508,2011-10-06
27.799999237060547,2011-10-07
28.010000228881836,2011-10-10
