XOM,Date
0.09578380733728409,1962-01-02
0.09720642119646072,1962-01-03
0.09744351357221603,1962-01-04
0.09530974924564362,1962-01-05
0.09507264941930771,1962-01-08
0.09483547508716583,1962-01-09
0.0943613350391388,1962-01-10
0.09530974924564362,1962-01-11
0.0967322513461113,1962-01-12
0.0967322513461113,1962-01-15
0.09602096676826477,1962-01-16
0.0955468937754631,1962-01-17
0.09578380733728409,1962-01-18
0.09649510681629181,1962-01-19
0.0967322513461113,1962-01-22
0.09602096676826477,1962-01-23
0.09602096676826477,1962-01-24
0.09625807404518127,1962-01-25
0.0967322513461113,1962-01-26
0.09815487265586853,1962-01-29
0.0991031676530838,1962-01-30
0.10052565485239029,1962-01-31
0.1024223044514656,1962-02-01
0.10455615818500519,1962-02-02
0.10550452023744583,1962-02-05
0.10408206284046173,1962-02-06
0.10499297082424164,1962-02-07
0.10499297082424164,1962-02-08
0.10379435122013092,1962-02-09
0.10403402149677277,1962-02-12
0.10331495851278305,1962-02-13
0.10451341420412064,1962-02-14
0.10475321114063263,1962-02-15
0.10499297082424164,1962-02-16
0.10667084902524948,1962-02-19
0.10715031623840332,1962-02-20
0.10547231882810593,1962-02-21
0.10571201145648956,1962-02-23
0.10499297082424164,1962-02-26
0.10595172643661499,1962-02-27
0.10619145631790161,1962-02-28
0.10691063106060028,1962-03-01
0.10595172643661499,1962-03-02
0.10547231882810593,1962-03-05
0.10523258149623871,1962-03-06
0.10475321114063263,1962-03-07
0.10307526588439941,1962-03-08
0.10379435122013092,1962-03-09
0.10307526588439941,1962-03-12
0.10331495851278305,1962-03-13
0.10403402149677277,1962-03-14
0.10571201145648956,1962-03-15
0.10523258149623871,1962-03-16
0.10547231882810593,1962-03-19
0.1042737066745758,1962-03-20
0.10403402149677277,1962-03-21
0.10379435122013092,1962-03-22
0.10403402149677277,1962-03-23
0.10403402149677277,1962-03-26
0.10403402149677277,1962-03-27
0.10499297082424164,1962-03-28
0.10499297082424164,1962-03-29
0.10475321114063263,1962-03-30
0.10475321114063263,1962-04-02
0.10331495851278305,1962-04-03
0.10211643576622009,1962-04-04
0.10259571671485901,1962-04-05
0.10211643576622009,1962-04-06
0.10019876062870026,1962-04-09
0.10211643576622009,1962-04-10
0.10211643576622009,1962-04-11
0.10091789066791534,1962-04-12
0.10211643576622009,1962-04-13
0.1018766462802887,1962-04-16
0.10331495851278305,1962-04-17
0.10475321114063263,1962-04-18
0.10595172643661499,1962-04-19
0.10643113404512405,1962-04-23
0.10643113404512405,1962-04-24
0.10715031623840332,1962-04-25
0.10571201145648956,1962-04-26
0.10499297082424164,1962-04-27
0.10259571671485901,1962-04-30
0.1042737066745758,1962-05-01
0.10523258149623871,1962-05-02
0.10547231882810593,1962-05-03
0.10547231882810593,1962-05-04
0.10523258149623871,1962-05-07
0.10523258149623871,1962-05-08
0.10469932854175568,1962-05-09
0.10348759591579437,1962-05-10
0.10203348100185394,1962-05-11
0.10130643844604492,1962-05-14
0.10421477258205414,1962-05-15
0.10421477258205414,1962-05-16
0.103245310485363,1962-05-17
0.10348759591579437,1962-05-18
0.10276050865650177,1962-05-21
0.10179111361503601,1962-05-22
0.10057931393384933,1962-05-23
0.10106397420167923,1962-05-24
0.09888278692960739,1962-05-25
0.0891883596777916,1962-05-28
0.09864040464162827,1962-05-29
0.10082162916660309,1962-05-31
0.09912505000829697,1962-06-01
0.09645916521549225,1962-06-04
0.09839804470539093,1962-06-05
0.09985218197107315,1962-06-06
0.10033702105283737,1962-06-07
0.09960989654064178,1962-06-08
0.09888278692960739,1962-06-11
0.09621688723564148,1962-06-12
0.09645916521549225,1962-06-13
0.09524738043546677,1962-06-14
0.09694383293390274,1962-06-15
0.09742868691682816,1962-06-18
0.09670157730579376,1962-06-19
0.09621688723564148,1962-06-20
0.09548977017402649,1962-06-21
0.09452029317617416,1962-06-22
0.0940355658531189,1962-06-25
0.09355085343122482,1962-06-26
0.0947626382112503,1962-06-27
0.09670157730579376,1962-06-28
0.09694383293390274,1962-06-29
0.09718627482652664,1962-07-02
0.09694383293390274,1962-07-03
0.09742868691682816,1962-07-05
0.09742868691682816,1962-07-06
0.09742868691682816,1962-07-09
0.09912505000829697,1962-07-10
0.10033702105283737,1962-07-11
0.10057931393384933,1962-07-12
0.10057931393384933,1962-07-13
0.10082162916660309,1962-07-16
0.09936748445034027,1962-07-17
0.09936748445034027,1962-07-18
0.09985218197107315,1962-07-19
0.10009452700614929,1962-07-20
0.10009452700614929,1962-07-23
0.10033702105283737,1962-07-24
0.10057931393384933,1962-07-25
0.10082162916660309,1962-07-26
0.10057931393384933,1962-07-27
0.10106397420167923,1962-07-30
0.10154878348112106,1962-07-31
0.10082162916660309,1962-08-01
0.10154878348112106,1962-08-02
0.10179111361503601,1962-08-03
0.10082162916660309,1962-08-06
0.10033702105283737,1962-08-07
0.10126861929893494,1962-08-08
0.10175912082195282,1962-08-09
0.10175912082195282,1962-08-10
0.10175912082195282,1962-08-13
0.10200430452823639,1962-08-14
0.10200430452823639,1962-08-15
0.10224949568510056,1962-08-16
0.10273993015289307,1962-08-17
0.10323037952184677,1962-08-20
0.10347551852464676,1962-08-21
0.10347551852464676,1962-08-22
0.10273993015289307,1962-08-23
0.10224949568510056,1962-08-24
0.10249476134777069,1962-08-27
0.10175912082195282,1962-08-28
0.10200430452823639,1962-08-29
0.10200430452823639,1962-08-30
0.10200430452823639,1962-08-31
0.10175912082195282,1962-09-04
0.10175912082195282,1962-09-05
0.10151398926973343,1962-09-06
0.10200430452823639,1962-09-07
