RHI,Date
0.08002757281064987,1980-03-17
0.07881511747837067,1980-03-18
0.07881511747837067,1980-03-19
0.07881511747837067,1980-03-20
0.07760264724493027,1980-03-21
0.07760264724493027,1980-03-24
0.07639020681381226,1980-03-25
0.07517773658037186,1980-03-26
0.07032718509435654,1980-03-27
0.07032718509435654,1980-03-28
0.07032718509435654,1980-03-31
0.07032718509435654,1980-04-01
0.06911469250917435,1980-04-02
0.06790222227573395,1980-04-03
0.06426485627889633,1980-04-07
0.06547731161117554,1980-04-08
0.06668977439403534,1980-04-09
0.06668977439403534,1980-04-10
0.07032718509435654,1980-04-11
0.06911469250917435,1980-04-14
0.06911469250917435,1980-04-15
0.06911469250917435,1980-04-16
0.07032718509435654,1980-04-17
0.07032718509435654,1980-04-18
0.07032718509435654,1980-04-21
0.07032718509435654,1980-04-22
0.07032718509435654,1980-04-23
0.07154032588005066,1980-04-24
0.07154032588005066,1980-04-25
0.07275278866291046,1980-04-28
0.07639020681381226,1980-04-29
0.07517773658037186,1980-04-30
0.07517773658037186,1980-05-01
0.07517773658037186,1980-05-02
0.07517773658037186,1980-05-05
0.07154032588005066,1980-05-06
0.07154032588005066,1980-05-07
0.07154032588005066,1980-05-08
0.07032718509435654,1980-05-09
0.07032718509435654,1980-05-12
0.07032718509435654,1980-05-13
0.07275278866291046,1980-05-14
0.07275278866291046,1980-05-15
0.07517773658037186,1980-05-16
0.07517773658037186,1980-05-19
0.07396523654460907,1980-05-20
0.07275278866291046,1980-05-21
0.07275278866291046,1980-05-22
0.07517773658037186,1980-05-23
0.07517773658037186,1980-05-27
0.07517773658037186,1980-05-28
0.07517773658037186,1980-05-29
0.07517773658037186,1980-05-30
0.07275278866291046,1980-06-02
0.07275278866291046,1980-06-03
0.07275278866291046,1980-06-04
0.07275278866291046,1980-06-05
0.07275278866291046,1980-06-06
0.07396523654460907,1980-06-09
0.07396523654460907,1980-06-10
0.07396523654460907,1980-06-11
0.07517773658037186,1980-06-12
0.07517773658037186,1980-06-13
0.07275278866291046,1980-06-16
0.07396523654460907,1980-06-17
0.07396523654460907,1980-06-18
0.07396523654460907,1980-06-19
0.07396523654460907,1980-06-20
0.07396523654460907,1980-06-23
0.07275278866291046,1980-06-24
0.07517773658037186,1980-06-25
0.07517773658037186,1980-06-26
0.07517773658037186,1980-06-27
0.07396523654460907,1980-06-30
0.07275278866291046,1980-07-01
0.07396523654460907,1980-07-02
0.07396523654460907,1980-07-03
0.07517773658037186,1980-07-07
0.07517773658037186,1980-07-08
0.07396523654460907,1980-07-09
0.07396523654460907,1980-07-10
0.07517773658037186,1980-07-11
0.07639020681381226,1980-07-14
0.07760264724493027,1980-07-15
0.07760264724493027,1980-07-16
0.07760264724493027,1980-07-17
0.07760264724493027,1980-07-18
0.07881511747837067,1980-07-21
0.07881511747837067,1980-07-22
0.07881511747837067,1980-07-23
0.08002757281064987,1980-07-24
0.08002757281064987,1980-07-25
0.08002757281064987,1980-07-28
0.08002757281064987,1980-07-29
0.08002757281064987,1980-07-30
0.08002757281064987,1980-07-31
0.08124005049467087,1980-08-01
0.08366566151380539,1980-08-04
0.08366566151380539,1980-08-05
0.08366566151380539,1980-08-06
0.08487813174724579,1980-08-07
0.08730306476354599,1980-08-08
0.092152900993824,1980-08-11
0.092152900993824,1980-08-12
0.092152900993824,1980-08-13
0.0933661013841629,1980-08-14
0.0933661013841629,1980-08-15
0.092152900993824,1980-08-18
0.09094049036502838,1980-08-19
0.09094049036502838,1980-08-20
0.08972803503274918,1980-08-21
0.08972803503274918,1980-08-22
0.08972803503274918,1980-08-25
0.09094049036502838,1980-08-26
0.08851553499698639,1980-08-27
0.08851553499698639,1980-08-28
0.08851553499698639,1980-08-29
0.08851553499698639,1980-09-02
0.08851553499698639,1980-09-03
0.08972803503274918,1980-09-04
0.08972803503274918,1980-09-05
0.08851553499698639,1980-09-08
0.08851553499698639,1980-09-09
0.09094049036502838,1980-09-10
0.0933661013841629,1980-09-11
0.09579102694988251,1980-09-12
0.09579102694988251,1980-09-15
0.10549145191907883,1980-09-16
0.10912885516881943,1980-09-17
0.10791637003421783,1980-09-18
0.10791637003421783,1980-09-19
0.10791637003421783,1980-09-22
0.10791637003421783,1980-09-23
0.10791637003421783,1980-09-24
0.10670388489961624,1980-09-25
0.10185333341360092,1980-09-26
0.09942840784788132,1980-09-29
0.09942840784788132,1980-09-30
0.09942840784788132,1980-10-01
0.09942840784788132,1980-10-02
0.09942840784788132,1980-10-03
0.10064094513654709,1980-10-06
0.09942840784788132,1980-10-07
0.10670388489961624,1980-10-08
0.11640433222055435,1980-10-09
0.11882925033569336,1980-10-10
0.12489160895347595,1980-10-13
0.12852971255779266,1980-10-14
0.12852971255779266,1980-10-15
0.12367910146713257,1980-10-16
0.12367910146713257,1980-10-17
0.12125422805547714,1980-10-20
0.12004167586565018,1980-10-21
0.12004167586565018,1980-10-22
0.11882925033569336,1980-10-23
0.11640433222055435,1980-10-24
0.11276625096797943,1980-10-27
0.11276625096797943,1980-10-28
0.11276625096797943,1980-10-29
0.11034131050109863,1980-10-30
0.10912885516881943,1980-10-31
0.10670388489961624,1980-11-03
0.10670388489961624,1980-11-05
0.10427898913621902,1980-11-06
0.10185333341360092,1980-11-07
0.10185333341360092,1980-11-10
0.10549145191907883,1980-11-11
0.10670388489961624,1980-11-12
0.11155376583337784,1980-11-13
0.11155376583337784,1980-11-14
0.11155376583337784,1980-11-17
0.11034131050109863,1980-11-18
0.10670388489961624,1980-11-19
0.10791637003421783,1980-11-20
0.10912885516881943,1980-11-21
0.10791637003421783,1980-11-24
0.10791637003421783,1980-11-25
0.10427898913621902,1980-11-26
