TXN,Date
0.7328426837921143,1972-06-01
0.7462994456291199,1972-06-02
0.7474213242530823,1972-06-05
0.7160214185714722,1972-06-06
0.7132179141044617,1972-06-07
0.7143394947052002,1972-06-08
0.7109759449958801,1972-06-09
0.7154607772827148,1972-06-12
0.7451783418655396,1972-06-13
0.7580749988555908,1972-06-14
0.7575141787528992,1972-06-15
0.7524672746658325,1972-06-16
0.7491029500961304,1972-06-19
0.7614389061927795,1972-06-20
0.7569535374641418,1972-06-21
0.7575141787528992,1972-06-22
0.7659246325492859,1972-06-23
0.7648033499717712,1972-06-26
0.7591963410377502,1972-06-27
0.7535896301269531,1972-06-28
0.7434967160224915,1972-06-29
0.7569535374641418,1972-06-30
0.7545287013053894,1972-07-03
0.7781072854995728,1972-07-05
0.7882128953933716,1972-07-06
0.7994404435157776,1972-07-07
0.7814757823944092,1972-07-10
0.7814757823944092,1972-07-11
0.776984453201294,1972-07-12
0.7713706493377686,1972-07-13
0.7724938988685608,1972-07-14
0.7511603236198425,1972-07-17
0.7404932379722595,1972-07-18
0.7522831559181213,1972-07-19
0.7455454468727112,1972-07-20
0.7629489898681641,1972-07-21
0.7848443984985352,1972-07-24
0.7831593155860901,1972-07-25
0.7904579639434814,1972-07-26
0.7882128953933716,1972-07-27
0.7781072854995728,1972-07-28
0.7708094716072083,1972-07-31
0.7848443984985352,1972-08-01
0.7938267588615417,1972-08-02
0.7966333031654358,1972-08-03
0.8151599168777466,1972-08-04
0.8286334276199341,1972-08-07
0.8364932537078857,1972-08-08
0.8494054675102234,1972-08-09
0.8488442301750183,1972-08-10
0.8460372686386108,1972-08-11
0.8263882994651794,1972-08-14
0.8084221482276917,1972-08-15
0.797195315361023,1972-08-16
0.7904579639434814,1972-08-17
0.7977563142776489,1972-08-18
0.7809143662452698,1972-08-21
0.7775458693504333,1972-08-22
0.7775458693504333,1972-08-23
0.7775458693504333,1972-08-24
0.7837211489677429,1972-08-25
0.7781072854995728,1972-08-28
0.7854052186012268,1972-08-29
0.779230535030365,1972-08-30
0.7859669923782349,1972-08-31
0.7893354296684265,1972-09-01
0.7820371985435486,1972-09-05
0.7724938988685608,1972-09-06
0.7545287013053894,1972-09-07
0.7500366568565369,1972-09-08
0.7343170642852783,1972-09-11
0.7230892181396484,1972-09-12
0.7404932379722595,1972-09-13
0.7365630865097046,1972-09-14
0.7320720553398132,1972-09-15
0.7275810837745667,1972-09-18
0.7320720553398132,1972-09-19
0.7326332926750183,1972-09-20
0.7562122344970703,1972-09-21
0.7640721797943115,1972-09-22
0.7556512355804443,1972-09-25
0.7601421475410461,1972-09-26
0.7786684036254883,1972-09-27
0.8303176164627075,1972-09-28
0.7915809750556946,1972-09-29
0.7910193204879761,1972-10-02
0.7880297899246216,1972-10-03
0.786342978477478,1972-10-04
0.7700430750846863,1972-10-05
0.759925901889801,1972-10-06
0.7632985711097717,1972-10-09
0.7706049680709839,1972-10-10
0.7649844884872437,1972-10-11
0.7526194453239441,1972-10-12
0.7486844062805176,1972-10-13
0.7391294836997986,1972-10-16
0.741939127445221,1972-10-17
0.7498081922531128,1972-10-18
0.7486844062805176,1972-10-19
0.7526194453239441,1972-10-20
0.7846569418907166,1972-10-23
0.7914018034934998,1972-10-24
0.786342978477478,1972-10-25
0.7852187156677246,1972-10-26
0.7807220816612244,1972-10-27
0.7846569418907166,1972-10-30
0.7987089157104492,1972-10-31
0.7958983778953552,1972-11-01
0.7958983778953552,1972-11-02
0.790277898311615,1972-11-03
0.7632985711097717,1972-11-06
0.7391294836997986,1972-11-08
0.7273255586624146,1972-11-09
0.7115880846977234,1972-11-10
0.7166458964347839,1972-11-13
0.7464356422424316,1972-11-14
0.7306978106498718,1972-11-15
0.7374425530433655,1972-11-16
0.7363179922103882,1972-11-17
0.7363179922103882,1972-11-20
0.7340707778930664,1972-11-21
0.7346324920654297,1972-11-22
0.731259822845459,1972-11-24
0.7329461574554443,1972-11-27
0.7363179922103882,1972-11-28
0.7413774132728577,1972-11-29
0.7666710019111633,1972-11-30
0.7751021385192871,1972-12-01
0.7728544473648071,1972-12-04
0.7700430750846863,1972-12-05
0.7717298269271851,1972-12-06
0.7700430750846863,1972-12-07
0.7689188718795776,1972-12-08
0.7632985711097717,1972-12-11
0.7661084532737732,1972-12-12
0.7734161615371704,1972-12-13
0.7790363430976868,1972-12-14
0.7756636142730713,1972-12-15
0.7655466794967651,1972-12-18
0.7683569192886353,1972-12-19
0.7700430750846863,1972-12-20
0.7616117596626282,1972-12-21
0.7627359628677368,1972-12-22
0.7756636142730713,1972-12-26
0.790277898311615,1972-12-27
0.8178190588951111,1972-12-29
0.8311448097229004,1973-01-02
0.8311448097229004,1973-01-03
0.8283311724662781,1973-01-04
0.830582320690155,1973-01-05
0.8339590430259705,1973-01-08
0.8373348116874695,1973-01-09
0.8283311724662781,1973-01-10
0.8288947343826294,1973-01-11
0.8131374716758728,1973-01-12
0.7895035743713379,1973-01-15
0.7951306700706482,1973-01-16
0.7985069155693054,1973-01-17
0.8249548077583313,1973-01-18
0.8227043747901917,1973-01-19
0.8238292932510376,1973-01-22
0.8474637866020203,1973-01-23
0.8401477336883545,1973-01-24
0.8373348116874695,1973-01-26
0.8373348116874695,1973-01-29
0.8395856022834778,1973-01-30
0.8429622650146484,1973-01-31
0.8193280100822449,1973-02-01
0.8103237152099609,1973-02-02
0.8035714030265808,1973-02-05
0.8193280100822449,1973-02-06
0.812575101852417,1973-02-07
0.8131374716758728,1973-02-08
0.8215790390968323,1973-02-09
0.8412743210792542,1973-02-12
