GOOGL,Date
2.5110108852386475,2004-08-19
2.7104599475860596,2004-08-20
2.7377378940582275,2004-08-23
2.6243739128112793,2004-08-24
2.6526529788970947,2004-08-25
2.7004499435424805,2004-08-26
2.6564059257507324,2004-08-27
2.5528030395507812,2004-08-30
2.561811923980713,2004-08-31
2.508759021759033,2004-09-01
2.540290117263794,2004-09-02
2.5027530193328857,2004-09-03
2.5420420169830322,2004-09-07
2.5600600242614746,2004-09-08
2.560309886932373,2004-09-09
2.6358859539031982,2004-09-10
2.690190076828003,2004-09-13
2.7900400161743164,2004-09-14
2.8028030395507812,2004-09-15
2.852102041244507,2004-09-16
2.940190076828003,2004-09-17
2.9869871139526367,2004-09-20
2.948949098587036,2004-09-21
2.9624619483947754,2004-09-22
3.023524045944214,2004-09-23
2.998749017715454,2004-09-24
2.959459066390991,2004-09-27
3.1746749877929688,2004-09-28
3.280280113220215,2004-09-29
3.2432429790496826,2004-09-30
3.3178179264068604,2004-10-01
3.379879951477051,2004-10-04
3.4627130031585693,2004-10-05
3.4304299354553223,2004-10-06
3.4747250080108643,2004-10-07
3.4466969966888428,2004-10-08
3.38488507270813,2004-10-11
3.4384379386901855,2004-10-12
3.5260260105133057,2004-10-13
3.553554058074951,2004-10-14
3.606355905532837,2004-10-15
3.7327330112457275,2004-10-18
3.702202081680298,2004-10-19
3.515765905380249,2004-10-20
3.7382380962371826,2004-10-21
4.315064907073975,2004-10-22
4.689690113067627,2004-10-25
4.5495500564575195,2004-10-26
4.653903961181641,2004-10-27
4.837337017059326,2004-10-28
4.770771026611328,2004-10-29
4.905655860900879,2004-11-01
4.876626968383789,2004-11-02
4.796546936035156,2004-11-03
4.622121810913086,2004-11-04
4.237987995147705,2004-11-05
4.318068027496338,2004-11-08
4.22172212600708,2004-11-09
4.2007012367248535,2004-11-10
4.580080032348633,2004-11-11
4.5545549392700195,2004-11-12
4.626376152038574,2004-11-15
4.3178181648254395,2004-11-16
4.316816806793213,2004-11-17
4.19269323348999,2004-11-18
4.23923921585083,2004-11-19
4.131631851196289,2004-11-22
4.192192077636719,2004-11-23
4.373373031616211,2004-11-24
4.48923921585083,2004-11-26
4.530780792236328,2004-11-29
4.554053783416748,2004-11-30
4.503503799438477,2004-12-01
4.4894890785217285,2004-12-02
4.514514923095703,2004-12-03
4.4116621017456055,2004-12-06
4.290040016174316,2004-12-07
4.253754138946533,2004-12-08
4.340089797973633,2004-12-09
4.295546054840088,2004-12-10
4.2655158042907715,2004-12-13
4.47172212600708,2004-12-14
4.498999118804932,2004-12-15
4.416165828704834,2004-12-16
4.50650691986084,2004-12-17
4.630129814147949,2004-12-20
4.598348140716553,2004-12-21
4.662161827087402,2004-12-22
4.702201843261719,2004-12-23
4.802553176879883,2004-12-27
4.823823928833008,2004-12-28
4.827326774597168,2004-12-29
4.944944858551025,2004-12-30
4.824574947357178,2004-12-31
5.0728230476379395,2005-01-03
4.867366790771484,2005-01-04
4.842593193054199,2005-01-05
4.718468189239502,2005-01-06
4.851100921630859,2005-01-07
4.881381034851074,2005-01-10
4.8433427810668945,2005-01-11
4.8893890380859375,2005-01-12
4.8881378173828125,2005-01-13
5.00425386428833,2005-01-14
5.102602958679199,2005-01-18
4.937437057495117,2005-01-19
4.852852821350098,2005-01-20
4.711711883544922,2005-01-21
4.522522926330566,2005-01-24
4.432432174682617,2005-01-25
4.735735893249512,2005-01-26
4.706707000732422,2005-01-27
4.76326322555542,2005-01-28
4.895394802093506,2005-01-31
4.80230188369751,2005-02-01
5.154153823852539,2005-02-02
5.2767767906188965,2005-02-03
5.114113807678223,2005-02-04
4.905655860900879,2005-02-07
4.97097110748291,2005-02-08
4.7942938804626465,2005-02-09
4.704204082489014,2005-02-10
4.689690113067627,2005-02-11
4.829579830169678,2005-02-14
4.885635852813721,2005-02-15
4.96521520614624,2005-02-16
4.952452182769775,2005-02-17
4.953703880310059,2005-02-18
4.789039134979248,2005-02-22
4.853603839874268,2005-02-23
4.7269768714904785,2005-02-24
4.651401042938232,2005-02-25
4.704453945159912,2005-02-28
4.656156063079834,2005-03-01
4.634133815765381,2005-03-02
4.679930210113525,2005-03-03
4.652152061462402,2005-03-04
4.724975109100342,2005-03-07
4.634634971618652,2005-03-08
4.538288116455078,2005-03-09
4.504004001617432,2005-03-10
4.449449062347412,2005-03-11
4.379128932952881,2005-03-14
4.469719886779785,2005-03-15
4.3943939208984375,2005-03-16
4.48673677444458,2005-03-17
4.5055060386657715,2005-03-18
4.526526927947998,2005-03-21
4.46946907043457,2005-03-22
4.478979110717773,2005-03-23
4.485735893249512,2005-03-24
4.540040016174316,2005-03-28
4.493743896484375,2005-03-29
4.515766143798828,2005-03-30
4.517267227172852,2005-03-31
4.5055060386657715,2005-04-01
4.636887073516846,2005-04-04
4.718968868255615,2005-04-05
4.735235214233398,2005-04-06
4.848848819732666,2005-04-07
4.806056022644043,2005-04-08
4.835586071014404,2005-04-11
4.853854179382324,2005-04-12
4.828077793121338,2005-04-13
4.791040897369385,2005-04-14
4.629630088806152,2005-04-15
4.678928852081299,2005-04-18
4.789790153503418,2005-04-19
4.957457065582275,2005-04-20
