VTR,Date
6.202149868011475,1997-05-05
6.220234394073486,1997-05-06
5.768181324005127,1997-05-07
5.460785865783691,1997-05-08
5.460785865783691,1997-05-09
5.460785865783691,1997-05-12
5.424620151519775,1997-05-13
5.533115386962891,1997-05-14
5.677770137786865,1997-05-15
5.605442523956299,1997-05-16
5.677770137786865,1997-05-19
5.750098705291748,1997-05-20
5.786264419555664,1997-05-21
5.786264419555664,1997-05-22
5.822429180145264,1997-05-23
5.858592510223389,1997-05-27
5.876672744750977,1997-05-28
5.858592510223389,1997-05-29
5.894759654998779,1997-05-30
6.075576305389404,1997-06-02
6.14790153503418,1997-06-03
6.075576305389404,1997-06-04
6.1840691566467285,1997-06-05
6.238316059112549,1997-06-06
6.328725337982178,1997-06-09
6.328725337982178,1997-06-10
6.14790153503418,1997-06-11
6.075576305389404,1997-06-12
6.1117401123046875,1997-06-13
6.039412021636963,1997-06-16
6.039412021636963,1997-06-17
6.057492256164551,1997-06-18
6.328725337982178,1997-06-19
6.328725337982178,1997-06-20
6.401055812835693,1997-06-23
6.274481296539307,1997-06-24
6.220234394073486,1997-06-25
6.202149868011475,1997-06-26
6.1117401123046875,1997-06-27
6.1117401123046875,1997-06-30
6.328725337982178,1997-07-01
6.220234394073486,1997-07-02
6.165984153747559,1997-07-03
6.1840691566467285,1997-07-07
6.075576305389404,1997-07-08
6.003249168395996,1997-07-09
6.165984153747559,1997-07-10
6.14790153503418,1997-07-11
6.120779037475586,1997-07-14
6.14790153503418,1997-07-15
6.102699279785156,1997-07-16
6.048452854156494,1997-07-17
5.9399590492248535,1997-07-18
5.750098705291748,1997-07-21
5.822429180145264,1997-07-22
6.220234394073486,1997-07-23
6.093655586242676,1997-07-24
6.093655586242676,1997-07-25
5.985167980194092,1997-07-28
5.822429180145264,1997-07-29
5.967087268829346,1997-07-30
5.822429180145264,1997-07-31
5.713937759399414,1997-08-01
5.659689426422119,1997-08-04
5.659689426422119,1997-08-05
5.73201847076416,1997-08-06
5.605442523956299,1997-08-07
5.695850849151611,1997-08-08
5.713937759399414,1997-08-11
5.623523235321045,1997-08-12
5.587360858917236,1997-08-13
5.605442523956299,1997-08-14
5.569279193878174,1997-08-15
5.515028476715088,1997-08-18
5.569279193878174,1997-08-19
5.786264419555664,1997-08-20
5.713937759399414,1997-08-21
5.73201847076416,1997-08-22
5.804344177246094,1997-08-25
5.786264419555664,1997-08-26
5.804344177246094,1997-08-27
5.804344177246094,1997-08-28
5.804344177246094,1997-08-29
5.985167980194092,1997-09-02
6.039412021636963,1997-09-03
5.985167980194092,1997-09-04
6.075576305389404,1997-09-05
6.075576305389404,1997-09-08
6.1117401123046875,1997-09-09
6.1388630867004395,1997-09-10
6.093655586242676,1997-09-11
6.220234394073486,1997-09-12
6.238316059112549,1997-09-15
6.265439510345459,1997-09-16
6.410094738006592,1997-09-17
6.193109035491943,1997-09-18
6.355847358703613,1997-09-19
6.382971286773682,1997-09-22
6.165984153747559,1997-09-23
5.885715007781982,1997-09-24
5.641606330871582,1997-09-25
5.677770137786865,1997-09-26
5.876672744750977,1997-09-29
5.967087268829346,1997-09-30
5.976122856140137,1997-10-01
5.958043575286865,1997-10-02
5.976122856140137,1997-10-03
5.985167980194092,1997-10-06
6.093655586242676,1997-10-07
6.012289047241211,1997-10-08
5.985167980194092,1997-10-09
6.1117401123046875,1997-10-10
6.193109035491943,1997-10-13
6.229274749755859,1997-10-14
6.220234394073486,1997-10-15
6.120779037475586,1997-10-16
6.039412021636963,1997-10-17
6.093655586242676,1997-10-20
6.165984153747559,1997-10-21
4.412026405334473,1997-10-22
4.195038795471191,1997-10-23
4.357779502868652,1997-10-24
