BATRA,Date
19.950000762939453,2016-04-18
18.049999237060547,2016-04-19
18.049999237060547,2016-04-20
18.479999542236328,2016-04-21
17.780000686645508,2016-04-22
16.18000030517578,2016-04-25
15.020000457763672,2016-04-26
14.529999732971191,2016-04-27
15.5,2016-04-28
15.640000343322754,2016-04-29
15.609999656677246,2016-05-02
15.970000267028809,2016-05-03
16.030000686645508,2016-05-04
15.789999961853027,2016-05-05
15.90999984741211,2016-05-06
16.25,2016-05-09
16.540000915527344,2016-05-10
16.56999969482422,2016-05-11
16.59000015258789,2016-05-12
17.100000381469727,2016-05-13
17.219999313354492,2016-05-16
17.149999618530273,2016-05-17
17.15999984741211,2016-05-18
16.18000030517578,2016-05-19
15.640000343322754,2016-05-20
15.649999618530273,2016-05-23
15.8100004196167,2016-05-24
15.829999923706055,2016-05-25
15.75,2016-05-26
15.720000267028809,2016-05-27
15.5600004196167,2016-05-31
15.8100004196167,2016-06-01
15.829999923706055,2016-06-02
15.510000228881836,2016-06-03
15.4399995803833,2016-06-06
15.359999656677246,2016-06-07
15.430000305175781,2016-06-08
15.489999771118164,2016-06-09
15.34000015258789,2016-06-10
14.890000343322754,2016-06-13
14.789999961853027,2016-06-14
15.039999961853027,2016-06-15
15.399999618530273,2016-06-16
15.010000228881836,2016-06-17
15.380000114440918,2016-06-20
15.420000076293945,2016-06-21
15.789999961853027,2016-06-22
15.800000190734863,2016-06-23
15.34000015258789,2016-06-24
14.710000038146973,2016-06-27
14.270000457763672,2016-06-28
14.5,2016-06-29
15.039999961853027,2016-06-30
15.369999885559082,2016-07-01
15.300000190734863,2016-07-05
15.010000228881836,2016-07-06
15.260000228881836,2016-07-07
15.489999771118164,2016-07-08
16.100000381469727,2016-07-11
16.079999923706055,2016-07-12
15.930000305175781,2016-07-13
15.989999771118164,2016-07-14
15.970000267028809,2016-07-15
15.949999809265137,2016-07-18
16.0,2016-07-19
16.110000610351562,2016-07-20
16.040000915527344,2016-07-21
16.170000076293945,2016-07-22
16.200000762939453,2016-07-25
16.34000015258789,2016-07-26
16.510000228881836,2016-07-27
16.450000762939453,2016-07-28
16.489999771118164,2016-07-29
16.549999237060547,2016-08-01
16.170000076293945,2016-08-02
16.25,2016-08-03
16.09000015258789,2016-08-04
16.06999969482422,2016-08-05
16.079999923706055,2016-08-08
15.979999542236328,2016-08-09
16.510000228881836,2016-08-10
16.59000015258789,2016-08-11
16.610000610351562,2016-08-12
16.770000457763672,2016-08-15
16.889999389648438,2016-08-16
16.799999237060547,2016-08-17
16.68000030517578,2016-08-18
16.729999542236328,2016-08-19
16.850000381469727,2016-08-22
16.889999389648438,2016-08-23
16.8799991607666,2016-08-24
16.90999984741211,2016-08-25
16.920000076293945,2016-08-26
16.780000686645508,2016-08-29
16.899999618530273,2016-08-30
16.809999465942383,2016-08-31
16.899999618530273,2016-09-01
17.110000610351562,2016-09-02
17.559999465942383,2016-09-06
17.399999618530273,2016-09-07
17.3799991607666,2016-09-08
16.989999771118164,2016-09-09
17.270000457763672,2016-09-12
17.149999618530273,2016-09-13
17.15999984741211,2016-09-14
17.459999084472656,2016-09-15
17.200000762939453,2016-09-16
17.219999313354492,2016-09-19
17.31999969482422,2016-09-20
17.5,2016-09-21
17.510000228881836,2016-09-22
17.34000015258789,2016-09-23
17.049999237060547,2016-09-26
17.3799991607666,2016-09-27
17.31999969482422,2016-09-28
17.049999237060547,2016-09-29
17.450000762939453,2016-09-30
17.5,2016-10-03
17.479999542236328,2016-10-04
17.489999771118164,2016-10-05
17.469999313354492,2016-10-06
17.549999237060547,2016-10-07
17.59000015258789,2016-10-10
17.290000915527344,2016-10-11
17.020000457763672,2016-10-12
16.829999923706055,2016-10-13
16.81999969482422,2016-10-14
16.90999984741211,2016-10-17
16.8799991607666,2016-10-18
17.15999984741211,2016-10-19
17.170000076293945,2016-10-20
17.43000030517578,2016-10-21
17.459999084472656,2016-10-24
17.239999771118164,2016-10-25
17.25,2016-10-26
16.989999771118164,2016-10-27
16.969999313354492,2016-10-28
16.950000762939453,2016-10-31
16.690000534057617,2016-11-01
16.56999969482422,2016-11-02
16.700000762939453,2016-11-03
16.56999969482422,2016-11-04
16.90999984741211,2016-11-07
17.190000534057617,2016-11-08
17.030000686645508,2016-11-09
18.920000076293945,2016-11-10
20.110000610351562,2016-11-11
19.1299991607666,2016-11-14
18.950000762939453,2016-11-15
19.270000457763672,2016-11-16
19.139999389648438,2016-11-17
18.989999771118164,2016-11-18
19.65999984741211,2016-11-21
20.040000915527344,2016-11-22
20.81999969482422,2016-11-23
20.600000381469727,2016-11-25
20.06999969482422,2016-11-28
20.15999984741211,2016-11-29
20.149999618530273,2016-11-30
19.790000915527344,2016-12-01
19.75,2016-12-02
19.969999313354492,2016-12-05
19.950000762939453,2016-12-06
20.25,2016-12-07
20.56999969482422,2016-12-08
20.799999237060547,2016-12-09
20.299999237060547,2016-12-12
20.420000076293945,2016-12-13
20.739999771118164,2016-12-14
20.06999969482422,2016-12-15
20.149999618530273,2016-12-16
20.850000381469727,2016-12-19
20.899999618530273,2016-12-20
20.649999618530273,2016-12-21
20.59000015258789,2016-12-22
21.030000686645508,2016-12-23
20.639999389648438,2016-12-27
20.670000076293945,2016-12-28
20.780000686645508,2016-12-29
20.489999771118164,2016-12-30
20.5,2017-01-03
20.81999969482422,2017-01-04
20.729999542236328,2017-01-05
20.600000381469727,2017-01-06
20.43000030517578,2017-01-09
20.40999984741211,2017-01-10
20.200000762939453,2017-01-11
19.760000228881836,2017-01-12
19.799999237060547,2017-01-13
19.459999084472656,2017-01-17
20.309999465942383,2017-01-18
20.610000610351562,2017-01-19
21.18000030517578,2017-01-20
21.739999771118164,2017-01-23
21.229999542236328,2017-01-24
21.139999389648438,2017-01-25
20.860000610351562,2017-01-26
20.790000915527344,2017-01-27
20.329999923706055,2017-01-30
19.950000762939453,2017-01-31
19.8799991607666,2017-02-01
19.799999237060547,2017-02-02
19.760000228881836,2017-02-03
19.56999969482422,2017-02-06
19.530000686645508,2017-02-07
19.3700008392334,2017-02-08
19.959999084472656,2017-02-09
21.739999771118164,2017-02-10
21.389999389648438,2017-02-13
21.149999618530273,2017-02-14
21.170000076293945,2017-02-15
20.920000076293945,2017-02-16
21.030000686645508,2017-02-17
21.270000457763672,2017-02-21
22.309999465942383,2017-02-22
21.65999984741211,2017-02-23
21.309999465942383,2017-02-24
21.350000381469727,2017-02-27
22.030000686645508,2017-02-28
22.670000076293945,2017-03-01
22.549999237060547,2017-03-02
21.84000015258789,2017-03-03
21.68000030517578,2017-03-06
21.950000762939453,2017-03-07
21.530000686645508,2017-03-08
21.520000457763672,2017-03-09
21.850000381469727,2017-03-10
23.139999389648438,2017-03-13
22.770000457763672,2017-03-14
22.6299991607666,2017-03-15
22.719999313354492,2017-03-16
22.8799991607666,2017-03-17
23.1299991607666,2017-03-20
22.40999984741211,2017-03-21
22.549999237060547,2017-03-22
22.459999084472656,2017-03-23
22.459999084472656,2017-03-24
22.489999771118164,2017-03-27
23.09000015258789,2017-03-28
23.809999465942383,2017-03-29
23.709999084472656,2017-03-30
23.940000534057617,2017-03-31
23.549999237060547,2017-04-03
23.8700008392334,2017-04-04
23.510000228881836,2017-04-05
23.40999984741211,2017-04-06
23.309999465942383,2017-04-07
23.1200008392334,2017-04-10
23.440000534057617,2017-04-11
23.510000228881836,2017-04-12
24.18000030517578,2017-04-13
24.020000457763672,2017-04-17
24.18000030517578,2017-04-18
24.260000228881836,2017-04-19
24.850000381469727,2017-04-20
24.520000457763672,2017-04-21
24.690000534057617,2017-04-24
24.93000030517578,2017-04-25
25.229999542236328,2017-04-26
24.950000762939453,2017-04-27
24.829999923706055,2017-04-28
24.829999923706055,2017-05-01
24.969999313354492,2017-05-02
23.81999969482422,2017-05-03
23.829999923706055,2017-05-04
24.809999465942383,2017-05-05
24.3700008392334,2017-05-08
24.3799991607666,2017-05-09
24.31999969482422,2017-05-10
24.559999465942383,2017-05-11
24.309999465942383,2017-05-12
24.43000030517578,2017-05-15
24.40999984741211,2017-05-16
23.860000610351562,2017-05-17
23.8700008392334,2017-05-18
23.920000076293945,2017-05-19
24.329999923706055,2017-05-22
24.170000076293945,2017-05-23
23.989999771118164,2017-05-24
24.079999923706055,2017-05-25
24.43000030517578,2017-05-26
24.049999237060547,2017-05-30
23.719999313354492,2017-05-31
24.5,2017-06-01
24.670000076293945,2017-06-02
24.389999389648438,2017-06-05
24.200000762939453,2017-06-06
24.3799991607666,2017-06-07
24.420000076293945,2017-06-08
24.34000015258789,2017-06-09
24.15999984741211,2017-06-12
24.059999465942383,2017-06-13
24.170000076293945,2017-06-14
24.360000610351562,2017-06-15
23.989999771118164,2017-06-16
23.979999542236328,2017-06-19
23.280000686645508,2017-06-20
22.989999771118164,2017-06-21
23.100000381469727,2017-06-22
23.139999389648438,2017-06-23
23.93000030517578,2017-06-26
23.790000915527344,2017-06-27
24.15999984741211,2017-06-28
23.829999923706055,2017-06-29
23.889999389648438,2017-06-30
23.889999389648438,2017-07-03
23.649999618530273,2017-07-05
23.3799991607666,2017-07-06
24.18000030517578,2017-07-07
23.90999984741211,2017-07-10
23.799999237060547,2017-07-11
23.209999084472656,2017-07-12
23.6299991607666,2017-07-13
23.969999313354492,2017-07-14
23.6200008392334,2017-07-17
24.049999237060547,2017-07-18
24.399999618530273,2017-07-19
25.3700008392334,2017-07-20
25.520000457763672,2017-07-21
25.18000030517578,2017-07-24
25.030000686645508,2017-07-25
25.329999923706055,2017-07-26
25.239999771118164,2017-07-27
25.829999923706055,2017-07-28
25.239999771118164,2017-07-31
25.510000228881836,2017-08-01
24.969999313354492,2017-08-02
24.979999542236328,2017-08-03
25.190000534057617,2017-08-04
24.799999237060547,2017-08-07
24.709999084472656,2017-08-08
24.540000915527344,2017-08-09
24.610000610351562,2017-08-10
24.329999923706055,2017-08-11
24.950000762939453,2017-08-14
24.84000015258789,2017-08-15
24.670000076293945,2017-08-16
24.270000457763672,2017-08-17
24.18000030517578,2017-08-18
23.889999389648438,2017-08-21
24.0,2017-08-22
23.43000030517578,2017-08-23
23.84000015258789,2017-08-24
23.670000076293945,2017-08-25
23.959999084472656,2017-08-28
23.670000076293945,2017-08-29
23.799999237060547,2017-08-30
24.40999984741211,2017-08-31
24.649999618530273,2017-09-01
24.6200008392334,2017-09-05
25.239999771118164,2017-09-06
25.110000610351562,2017-09-07
25.1200008392334,2017-09-08
25.350000381469727,2017-09-11
25.190000534057617,2017-09-12
25.280000686645508,2017-09-13
24.850000381469727,2017-09-14
24.93000030517578,2017-09-15
25.06999969482422,2017-09-18
24.84000015258789,2017-09-19
25.260000228881836,2017-09-20
25.860000610351562,2017-09-21
26.1200008392334,2017-09-22
25.75,2017-09-25
25.270000457763672,2017-09-26
26.110000610351562,2017-09-27
25.459999084472656,2017-09-28
25.3700008392334,2017-09-29
26.079999923706055,2017-10-02
26.25,2017-10-03
25.799999237060547,2017-10-04
25.739999771118164,2017-10-05
25.670000076293945,2017-10-06
25.459999084472656,2017-10-09
25.3700008392334,2017-10-10
25.31999969482422,2017-10-11
24.809999465942383,2017-10-12
25.1299991607666,2017-10-13
24.829999923706055,2017-10-16
24.719999313354492,2017-10-17
24.959999084472656,2017-10-18
24.809999465942383,2017-10-19
24.8799991607666,2017-10-20
24.6200008392334,2017-10-23
24.469999313354492,2017-10-24
24.59000015258789,2017-10-25
24.420000076293945,2017-10-26
24.479999542236328,2017-10-27
23.90999984741211,2017-10-30
23.479999542236328,2017-10-31
23.049999237060547,2017-11-01
22.760000228881836,2017-11-02
22.489999771118164,2017-11-03
22.65999984741211,2017-11-06
22.559999465942383,2017-11-07
22.709999084472656,2017-11-08
22.469999313354492,2017-11-09
22.639999389648438,2017-11-10
22.219999313354492,2017-11-13
21.709999084472656,2017-11-14
21.639999389648438,2017-11-15
22.329999923706055,2017-11-16
22.31999969482422,2017-11-17
22.670000076293945,2017-11-20
23.06999969482422,2017-11-21
22.790000915527344,2017-11-22
22.6299991607666,2017-11-24
22.260000228881836,2017-11-27
22.389999389648438,2017-11-28
22.43000030517578,2017-11-29
22.6200008392334,2017-11-30
22.440000534057617,2017-12-01
22.559999465942383,2017-12-04
21.899999618530273,2017-12-05
21.84000015258789,2017-12-06
21.93000030517578,2017-12-07
21.770000457763672,2017-12-08
21.889999389648438,2017-12-11
22.540000915527344,2017-12-12
22.59000015258789,2017-12-13
23.149999618530273,2017-12-14
23.34000015258789,2017-12-15
23.6299991607666,2017-12-18
23.530000686645508,2017-12-19
23.25,2017-12-20
22.780000686645508,2017-12-21
22.610000610351562,2017-12-22
22.610000610351562,2017-12-26
22.739999771118164,2017-12-27
22.25,2017-12-28
22.049999237060547,2017-12-29
22.18000030517578,2018-01-02
22.3700008392334,2018-01-03
22.110000610351562,2018-01-04
22.270000457763672,2018-01-05
22.049999237060547,2018-01-08
21.639999389648438,2018-01-09
21.700000762939453,2018-01-10
22.719999313354492,2018-01-11
23.110000610351562,2018-01-12
22.6200008392334,2018-01-16
22.920000076293945,2018-01-17
22.950000762939453,2018-01-18
23.350000381469727,2018-01-19
24.0,2018-01-22
24.139999389648438,2018-01-23
23.540000915527344,2018-01-24
23.850000381469727,2018-01-25
24.079999923706055,2018-01-26
24.139999389648438,2018-01-29
23.979999542236328,2018-01-30
23.600000381469727,2018-01-31
23.770000457763672,2018-02-01
23.84000015258789,2018-02-02
23.1299991607666,2018-02-05
23.270000457763672,2018-02-06
23.040000915527344,2018-02-07
22.81999969482422,2018-02-08
22.93000030517578,2018-02-09
22.690000534057617,2018-02-12
22.760000228881836,2018-02-13
22.84000015258789,2018-02-14
23.0,2018-02-15
22.8799991607666,2018-02-16
22.90999984741211,2018-02-20
23.170000076293945,2018-02-21
22.979999542236328,2018-02-22
23.520000457763672,2018-02-23
23.989999771118164,2018-02-26
23.65999984741211,2018-02-27
22.920000076293945,2018-02-28
23.31999969482422,2018-03-01
23.729999542236328,2018-03-02
23.31999969482422,2018-03-05
23.610000610351562,2018-03-06
23.760000228881836,2018-03-07
23.170000076293945,2018-03-08
23.65999984741211,2018-03-09
23.739999771118164,2018-03-12
23.479999542236328,2018-03-13
23.25,2018-03-14
23.010000228881836,2018-03-15
23.280000686645508,2018-03-16
23.219999313354492,2018-03-19
23.020000457763672,2018-03-20
23.15999984741211,2018-03-21
23.110000610351562,2018-03-22
22.940000534057617,2018-03-23
23.489999771118164,2018-03-26
23.15999984741211,2018-03-27
22.700000762939453,2018-03-28
22.729999542236328,2018-03-29
22.639999389648438,2018-04-02
22.559999465942383,2018-04-03
22.6299991607666,2018-04-04
23.030000686645508,2018-04-05
22.600000381469727,2018-04-06
22.209999084472656,2018-04-09
22.260000228881836,2018-04-10
22.25,2018-04-11
22.520000457763672,2018-04-12
22.6200008392334,2018-04-13
23.15999984741211,2018-04-16
22.93000030517578,2018-04-17
22.850000381469727,2018-04-18
22.739999771118164,2018-04-19
22.59000015258789,2018-04-20
22.65999984741211,2018-04-23
22.549999237060547,2018-04-24
22.469999313354492,2018-04-25
22.149999618530273,2018-04-26
21.940000534057617,2018-04-27
21.969999313354492,2018-04-30
21.920000076293945,2018-05-01
22.610000610351562,2018-05-02
22.170000076293945,2018-05-03
22.31999969482422,2018-05-04
22.959999084472656,2018-05-07
22.979999542236328,2018-05-08
23.049999237060547,2018-05-09
