STLD,Date
3.025517702102661,1996-11-22
2.903686285018921,1996-11-25
2.8630752563476562,1996-11-26
2.8427696228027344,1996-11-27
2.964601993560791,1996-11-29
2.8630752563476562,1996-12-02
2.9239909648895264,1996-12-03
2.9239909648895264,1996-12-04
2.8833789825439453,1996-12-05
2.903686285018921,1996-12-06
2.8427696228027344,1996-12-09
2.8630752563476562,1996-12-10
2.9239909648895264,1996-12-11
2.903686285018921,1996-12-12
2.903686285018921,1996-12-13
2.8427696228027344,1996-12-16
2.8833789825439453,1996-12-17
3.025517702102661,1996-12-18
3.167656421661377,1996-12-19
3.2082669734954834,1996-12-20
3.187962532043457,1996-12-23
3.1270458698272705,1996-12-24
3.086433172225952,1996-12-26
3.1067399978637695,1996-12-27
3.1473522186279297,1996-12-30
3.1067399978637695,1996-12-31
3.086433172225952,1997-01-02
3.167656421661377,1997-01-03
3.2894883155822754,1997-01-06
3.533156394958496,1997-01-07
3.533156394958496,1997-01-08
3.594074010848999,1997-01-09
3.8580446243286133,1997-01-10
3.8783493041992188,1997-01-13
3.8174331188201904,1997-01-14
3.6955995559692383,1997-01-15
3.756516218185425,1997-01-16
3.7971270084381104,1997-01-17
3.95957088470459,1997-01-20
4.000181674957275,1997-01-21
3.776820182800293,1997-01-22
3.5128512382507324,1997-01-23
3.533156394958496,1997-01-24
3.6143767833709717,1997-01-27
3.6143767833709717,1997-01-28
3.6143767833709717,1997-01-29
3.5737674236297607,1997-01-30
3.776820182800293,1997-01-31
3.675295114517212,1997-02-03
3.5737674236297607,1997-02-04
3.5534613132476807,1997-02-05
3.675295114517212,1997-02-06
3.6955995559692383,1997-02-07
3.533156394958496,1997-02-10
3.492544651031494,1997-02-11
3.5737674236297607,1997-02-12
3.2691831588745117,1997-02-13
3.238725185394287,1997-02-14
3.2894883155822754,1997-02-18
3.2488784790039062,1997-02-19
3.238725185394287,1997-02-20
3.2488784790039062,1997-02-21
3.2488784790039062,1997-02-24
3.2691831588745117,1997-02-25
3.2894883155822754,1997-02-26
3.2894883155822754,1997-02-27
3.2488784790039062,1997-02-28
3.2590324878692627,1997-03-03
3.2082669734954834,1997-03-04
3.2285735607147217,1997-03-05
3.167656421661377,1997-03-06
3.1473522186279297,1997-03-07
3.167656421661377,1997-03-10
3.1270458698272705,1997-03-11
3.1270458698272705,1997-03-12
3.066129446029663,1997-03-13
3.0762813091278076,1997-03-14
3.045823574066162,1997-03-17
3.086433172225952,1997-03-18
3.025517702102661,1997-03-19
3.025517702102661,1997-03-20
3.025517702102661,1997-03-21
2.9239909648895264,1997-03-24
2.8630752563476562,1997-03-25
2.8427696228027344,1997-03-26
2.8630752563476562,1997-03-27
2.8427696228027344,1997-03-31
2.822463035583496,1997-04-01
2.822463035583496,1997-04-02
2.761547327041626,1997-04-03
2.8427696228027344,1997-04-04
2.8833789825439453,1997-04-07
3.2488784790039062,1997-04-08
3.2894883155822754,1997-04-09
3.2894883155822754,1997-04-10
3.2285735607147217,1997-04-11
3.193039655685425,1997-04-14
3.045823574066162,1997-04-15
3.025517702102661,1997-04-16
2.903686285018921,1997-04-17
2.984908103942871,1997-04-18
3.086433172225952,1997-04-21
3.045823574066162,1997-04-22
3.086433172225952,1997-04-23
3.086433172225952,1997-04-24
3.066129446029663,1997-04-25
3.086433172225952,1997-04-28
3.1473522186279297,1997-04-29
3.167656421661377,1997-04-30
3.238725185394287,1997-05-01
3.2488784790039062,1997-05-02
3.4113214015960693,1997-05-05
3.4113214015960693,1997-05-06
3.492544651031494,1997-05-07
3.675295114517212,1997-05-08
3.8783493041992188,1997-05-09
3.776820182800293,1997-05-12
3.654989719390869,1997-05-13
3.5737674236297607,1997-05-14
3.391016721725464,1997-05-15
3.2894883155822754,1997-05-16
3.3301010131835938,1997-05-19
3.350407838821411,1997-05-20
3.350407838821411,1997-05-21
3.5737674236297607,1997-05-22
3.675295114517212,1997-05-23
3.675295114517212,1997-05-27
3.63468599319458,1997-05-28
3.675295114517212,1997-05-29
3.654989719390869,1997-05-30
3.654989719390869,1997-06-02
3.675295114517212,1997-06-03
3.71590518951416,1997-06-04
3.756516218185425,1997-06-05
3.756516218185425,1997-06-06
3.7971270084381104,1997-06-09
3.8174331188201904,1997-06-10
3.8580446243286133,1997-06-11
3.7362115383148193,1997-06-12
3.776820182800293,1997-06-13
3.6955995559692383,1997-06-16
3.533156394958496,1997-06-17
3.5737674236297607,1997-06-18
3.63468599319458,1997-06-19
3.6955995559692383,1997-06-20
3.654989719390869,1997-06-23
3.8986544609069824,1997-06-24
3.939265251159668,1997-06-25
3.979877233505249,1997-06-26
4.101708889007568,1997-06-27
4.061097145080566,1997-06-30
4.04079532623291,1997-07-01
4.2235426902771,1997-07-02
4.162626266479492,1997-07-03
4.182931423187256,1997-07-07
4.325070858001709,1997-07-08
4.507819175720215,1997-07-09
4.487515449523926,1997-07-10
4.528125286102295,1997-07-11
4.3656816482543945,1997-07-14
4.142319679260254,1997-07-15
4.264153957366943,1997-07-16
4.284459114074707,1997-07-17
4.182931423187256,1997-07-18
4.264153957366943,1997-07-21
4.182931423187256,1997-07-22
4.122015953063965,1997-07-23
4.162626266479492,1997-07-24
4.162626266479492,1997-07-25
4.122015953063965,1997-07-28
4.162626266479492,1997-07-29
4.182931423187256,1997-07-30
4.304764747619629,1997-07-31
4.182931423187256,1997-08-01
3.8580446243286133,1997-08-04
4.0204877853393555,1997-08-05
4.142319679260254,1997-08-06
4.304764747619629,1997-08-07
4.304764747619629,1997-08-08
4.284459114074707,1997-08-11
4.1727800369262695,1997-08-12
4.142319679260254,1997-08-13
4.061097145080566,1997-08-14
4.061097145080566,1997-08-15
4.061097145080566,1997-08-18
4.061097145080566,1997-08-19
4.122015953063965,1997-08-20
4.04079532623291,1997-08-21
3.95957088470459,1997-08-22
3.95957088470459,1997-08-25
4.000181674957275,1997-08-26
3.95957088470459,1997-08-27
4.061097145080566,1997-08-28
4.101708889007568,1997-08-29
4.2438483238220215,1997-09-02
4.345376014709473,1997-09-03
4.487515449523926,1997-09-04
4.385985374450684,1997-09-05
4.528125286102295,1997-09-08
4.487515449523926,1997-09-09
4.528125286102295,1997-09-10
4.487515449523926,1997-09-11
4.517972469329834,1997-09-12
4.467208385467529,1997-09-15
4.528125286102295,1997-09-16
4.182931423187256,1997-09-17
4.446902275085449,1997-09-18
4.385985374450684,1997-09-19
4.396140098571777,1997-09-22
4.3656816482543945,1997-09-23
4.385985374450684,1997-09-24
4.2235426902771,1997-09-25
4.162626266479492,1997-09-26
3.9189629554748535,1997-09-29
3.8174331188201904,1997-09-30
3.675295114517212,1997-10-01
3.533156394958496,1997-10-02
3.675295114517212,1997-10-03
3.594074010848999,1997-10-06
3.451934337615967,1997-10-07
3.654989719390869,1997-10-08
3.776820182800293,1997-10-09
3.756516218185425,1997-10-10
3.9189629554748535,1997-10-13
3.8783493041992188,1997-10-14
3.7971270084381104,1997-10-15
3.6955995559692383,1997-10-16
3.5534613132476807,1997-10-17
3.5737674236297607,1997-10-20
3.63468599319458,1997-10-21
3.776820182800293,1997-10-22
3.63468599319458,1997-10-23
3.5128512382507324,1997-10-24
3.2285735607147217,1997-10-27
3.533156394958496,1997-10-28
3.451934337615967,1997-10-29
3.421476125717163,1997-10-30
3.451934337615967,1997-10-31
3.4722375869750977,1997-11-03
3.4113214015960693,1997-11-04
3.451934337615967,1997-11-05
3.4113214015960693,1997-11-06
3.350407838821411,1997-11-07
3.421476125717163,1997-11-10
3.4113214015960693,1997-11-11
3.2590324878692627,1997-11-12
3.2285735607147217,1997-11-13
3.1473522186279297,1997-11-14
3.1473522186279297,1997-11-17
3.1473522186279297,1997-11-18
3.167656421661377,1997-11-19
3.167656421661377,1997-11-20
3.1371984481811523,1997-11-21
3.066129446029663,1997-11-24
2.9442968368530273,1997-11-25
2.9544501304626465,1997-11-26
3.0052120685577393,1997-11-28
2.969679832458496,1997-12-01
2.8630752563476562,1997-12-02
2.741241455078125,1997-12-03
2.7818515300750732,1997-12-04
3.0052120685577393,1997-12-05
3.066129446029663,1997-12-08
3.025517702102661,1997-12-09
2.8833789825439453,1997-12-10
2.822463035583496,1997-12-11
2.761547327041626,1997-12-12
2.761547327041626,1997-12-15
2.6904783248901367,1997-12-16
2.6904783248901367,1997-12-17
2.6904783248901367,1997-12-18
2.5991034507751465,1997-12-19
2.5787973403930664,1997-12-22
2.609255313873291,1997-12-23
2.609255313873291,1997-12-24
2.5584917068481445,1997-12-26
2.609255313873291,1997-12-29
2.5991034507751465,1997-12-30
2.5991034507751465,1997-12-31
2.670173168182373,1998-01-02
2.6194090843200684,1998-01-05
2.7818515300750732,1998-01-06
3.045823574066162,1998-01-07
2.984908103942871,1998-01-08
2.8326165676116943,1998-01-09
2.822463035583496,1998-01-12
2.8833789825439453,1998-01-13
2.8833789825439453,1998-01-14
2.964601993560791,1998-01-15
2.964601993560791,1998-01-16
3.045823574066162,1998-01-20
3.086433172225952,1998-01-21
3.0762813091278076,1998-01-22
2.984908103942871,1998-01-23
2.9442968368530273,1998-01-26
2.8833789825439453,1998-01-27
3.1473522186279297,1998-01-28
3.3097951412200928,1998-01-29
3.2488784790039062,1998-01-30
3.1981146335601807,1998-02-02
3.157503128051758,1998-02-03
3.1067399978637695,1998-02-04
3.157503128051758,1998-02-05
3.187962532043457,1998-02-06
3.1473522186279297,1998-02-09
3.1981146335601807,1998-02-10
3.218421220779419,1998-02-11
3.086433172225952,1998-02-12
3.1270458698272705,1998-02-13
3.0052120685577393,1998-02-17
3.055976629257202,1998-02-18
3.045823574066162,1998-02-19
3.055976629257202,1998-02-20
3.055976629257202,1998-02-23
3.055976629257202,1998-02-24
3.025517702102661,1998-02-25
3.0356712341308594,1998-02-26
3.086433172225952,1998-02-27
3.055976629257202,1998-03-02
3.096588134765625,1998-03-03
3.086433172225952,1998-03-04
3.086433172225952,1998-03-05
3.1067399978637695,1998-03-06
2.9747543334960938,1998-03-09
