NVR,Date
23.394071578979492,1985-07-22
23.201526641845703,1985-07-23
22.720169067382812,1985-07-24
23.105249404907227,1985-07-25
23.008981704711914,1985-07-26
22.81644058227539,1985-07-29
22.335081100463867,1985-07-30
21.661176681518555,1985-07-31
21.757450103759766,1985-08-01
22.046262741088867,1985-08-02
22.14253807067871,1985-08-05
22.046262741088867,1985-08-06
21.949995040893555,1985-08-07
22.046262741088867,1985-08-08
21.85371971130371,1985-08-09
21.757450103759766,1985-08-12
21.757450103759766,1985-08-13
21.757450103759766,1985-08-14
21.757450103759766,1985-08-15
21.372360229492188,1985-08-16
20.891000747680664,1985-08-19
20.987274169921875,1985-08-20
20.891000747680664,1985-08-21
20.987274169921875,1985-08-22
20.891000747680664,1985-08-23
20.602182388305664,1985-08-26
20.40964126586914,1985-08-27
20.79473114013672,1985-08-28
20.987274169921875,1985-08-29
20.891000747680664,1985-08-30
20.987274169921875,1985-09-03
20.79473114013672,1985-09-04
20.50591468811035,1985-09-05
20.40964126586914,1985-09-06
20.120824813842773,1985-09-09
19.73573875427246,1985-09-10
18.96556282043457,1985-09-11
18.773019790649414,1985-09-12
18.484203338623047,1985-09-13
18.773019790649414,1985-09-16
18.773019790649414,1985-09-17
19.35064697265625,1985-09-18
19.639467239379883,1985-09-19
20.024553298950195,1985-09-20
20.120824813842773,1985-09-23
20.024553298950195,1985-09-24
19.83201026916504,1985-09-25
19.83201026916504,1985-09-26
19.639467239379883,1985-09-30
19.639467239379883,1985-10-01
19.446922302246094,1985-10-02
20.024553298950195,1985-10-03
20.217100143432617,1985-10-04
20.602182388305664,1985-10-07
20.69845962524414,1985-10-08
20.79473114013672,1985-10-09
20.79473114013672,1985-10-10
20.891000747680664,1985-10-11
20.79473114013672,1985-10-14
20.40964126586914,1985-10-15
21.372360229492188,1985-10-16
21.08354949951172,1985-10-17
20.69845962524414,1985-10-18
20.987274169921875,1985-10-21
20.987274169921875,1985-10-22
20.891000747680664,1985-10-23
20.50591468811035,1985-10-24
20.40964126586914,1985-10-25
20.40964126586914,1985-10-28
20.120824813842773,1985-10-29
19.83201026916504,1985-10-30
18.96556282043457,1985-10-31
18.869293212890625,1985-11-01
18.67675018310547,1985-11-04
17.328943252563477,1985-11-05
17.328943252563477,1985-11-06
17.521482467651367,1985-11-07
17.617755889892578,1985-11-08
18.002845764160156,1985-11-11
18.67675018310547,1985-11-12
18.96556282043457,1985-11-13
18.96556282043457,1985-11-14
18.96556282043457,1985-11-15
19.061838150024414,1985-11-18
19.446922302246094,1985-11-19
19.83201026916504,1985-11-20
20.024553298950195,1985-11-21
20.217100143432617,1985-11-22
20.120824813842773,1985-11-25
19.83201026916504,1985-11-26
19.83201026916504,1985-11-27
20.024553298950195,1985-11-29
19.83201026916504,1985-12-02
19.83201026916504,1985-12-03
20.120824813842773,1985-12-04
20.024553298950195,1985-12-05
20.120824813842773,1985-12-06
19.92828369140625,1985-12-09
19.83201026916504,1985-12-10
19.92828369140625,1985-12-11
19.92828369140625,1985-12-12
20.313371658325195,1985-12-13
20.69845962524414,1985-12-16
20.602182388305664,1985-12-17
20.50591468811035,1985-12-18
20.313371658325195,1985-12-19
20.69845962524414,1985-12-20
20.50591468811035,1985-12-23
20.40964126586914,1985-12-24
20.120824813842773,1985-12-26
20.217100143432617,1985-12-27
20.40964126586914,1985-12-30
20.79473114013672,1985-12-31
20.987274169921875,1986-01-02
21.468629837036133,1986-01-03
21.27608871459961,1986-01-06
21.757450103759766,1986-01-07
21.661176681518555,1986-01-08
21.372360229492188,1986-01-09
20.40964126586914,1986-01-10
20.40964126586914,1986-01-13
20.217100143432617,1986-01-14
21.372360229492188,1986-01-15
21.1798152923584,1986-01-16
21.1798152923584,1986-01-17
21.27608871459961,1986-01-20
21.27608871459961,1986-01-21
20.987274169921875,1986-01-22
21.08354949951172,1986-01-23
21.1798152923584,1986-01-24
21.372360229492188,1986-01-27
21.27608871459961,1986-01-28
21.661176681518555,1986-01-29
21.949995040893555,1986-01-30
22.81644058227539,1986-01-31
22.9127140045166,1986-02-03
22.9127140045166,1986-02-04
22.9127140045166,1986-02-05
23.105249404907227,1986-02-06
23.394071578979492,1986-02-07
23.008981704711914,1986-02-10
23.105249404907227,1986-02-11
22.9127140045166,1986-02-12
23.105249404907227,1986-02-13
23.297800064086914,1986-02-14
23.201526641845703,1986-02-18
24.164247512817383,1986-02-19
25.126964569091797,1986-02-20
26.667314529418945,1986-02-21
27.53376579284668,1986-02-24
26.956130981445312,1986-02-25
27.1486759185791,1986-02-26
27.43748664855957,1986-02-27
27.43748664855957,1986-02-28
27.24494743347168,1986-03-03
27.726306915283203,1986-03-04
27.43748664855957,1986-03-05
27.91884994506836,1986-03-06
28.303936004638672,1986-03-07
28.785293579101562,1986-03-10
30.999555587768555,1986-03-11
31.288366317749023,1986-03-12
30.903274536132812,1986-03-13
31.09581756591797,1986-03-14
30.999555587768555,1986-03-17
31.192096710205078,1986-03-18
30.8070068359375,1986-03-19
29.17038345336914,1986-03-20
29.844284057617188,1986-03-21
29.07411003112793,1986-03-24
28.97783851623535,1986-03-25
30.614459991455078,1986-03-26
32.154815673828125,1986-03-27
34.65788650512695,1986-03-31
33.98398208618164,1986-04-01
33.695167541503906,1986-04-02
33.31007766723633,1986-04-03
32.154815673828125,1986-04-04
31.480913162231445,1986-04-07
32.443626403808594,1986-04-08
33.213802337646484,1986-04-09
33.406349182128906,1986-04-10
33.31007766723633,1986-04-11
33.11753463745117,1986-04-14
32.92498779296875,1986-04-15
32.92498779296875,1986-04-16
32.82871627807617,1986-04-17
32.25109100341797,1986-04-18
31.192096710205078,1986-04-21
31.3846378326416,1986-04-22
31.673450469970703,1986-04-23
31.3846378326416,1986-04-24
31.09581756591797,1986-04-25
30.036832809448242,1986-04-28
28.785293579101562,1986-04-29
29.07411003112793,1986-04-30
28.785293579101562,1986-05-01
28.689023971557617,1986-05-02
28.881568908691406,1986-05-05
28.689023971557617,1986-05-06
28.97783851623535,1986-05-07
29.07411003112793,1986-05-08
29.07411003112793,1986-05-09
29.459203720092773,1986-05-12
29.844284057617188,1986-05-13
29.94055938720703,1986-05-14
29.844284057617188,1986-05-15
29.74802017211914,1986-05-16
29.74802017211914,1986-05-19
29.94055938720703,1986-05-20
30.036832809448242,1986-05-21
31.3846378326416,1986-05-22
31.288366317749023,1986-05-23
31.480913162231445,1986-05-27
30.999555587768555,1986-05-28
30.229373931884766,1986-05-29
30.13310432434082,1986-05-30
29.651748657226562,1986-06-02
28.303936004638672,1986-06-03
27.341218948364258,1986-06-04
27.24494743347168,1986-06-05
26.763587951660156,1986-06-06
25.41577911376953,1986-06-09
26.185955047607422,1986-06-10
26.763587951660156,1986-06-11
27.1486759185791,1986-06-12
27.1486759185791,1986-06-13
27.341218948364258,1986-06-16
26.763587951660156,1986-06-17
26.089685440063477,1986-06-18
26.185955047607422,1986-06-19
26.47477149963379,1986-06-20
26.185955047607422,1986-06-23
25.70459747314453,1986-06-24
23.971702575683594,1986-06-25
26.378501892089844,1986-06-26
25.993412017822266,1986-06-27
26.763587951660156,1986-06-30
26.378501892089844,1986-07-01
26.2822265625,1986-07-02
26.763587951660156,1986-07-03
25.993412017822266,1986-07-07
25.41577911376953,1986-07-08
25.60832405090332,1986-07-09
25.60832405090332,1986-07-10
25.993412017822266,1986-07-11
25.993412017822266,1986-07-14
25.897138595581055,1986-07-15
26.571041107177734,1986-07-16
27.53376579284668,1986-07-17
26.956130981445312,1986-07-18
27.05240249633789,1986-07-21
27.1486759185791,1986-07-22
26.571041107177734,1986-07-23
26.185955047607422,1986-07-24
26.185955047607422,1986-07-25
25.80086898803711,1986-07-28
24.645605087280273,1986-07-29
23.875429153442383,1986-07-30
24.453062057495117,1986-07-31
25.223236083984375,1986-08-01
25.512052536010742,1986-08-04
25.993412017822266,1986-08-05
26.089685440063477,1986-08-06
26.47477149963379,1986-08-07
26.571041107177734,1986-08-08
27.53376579284668,1986-08-11
28.11139488220215,1986-08-12
29.07411003112793,1986-08-13
28.49648094177246,1986-08-14
28.015125274658203,1986-08-15
28.40020751953125,1986-08-18
27.91884994506836,1986-08-19
27.91884994506836,1986-08-20
28.207664489746094,1986-08-21
28.11139488220215,1986-08-22
28.689023971557617,1986-08-25
29.17038345336914,1986-08-26
29.362932205200195,1986-08-27
29.459203720092773,1986-08-28
29.362932205200195,1986-08-29
29.26665496826172,1986-09-02
29.94055938720703,1986-09-03
29.94055938720703,1986-09-04
29.74802017211914,1986-09-05
29.459203720092773,1986-09-08
29.459203720092773,1986-09-09
29.651748657226562,1986-09-10
28.689023971557617,1986-09-11
28.11139488220215,1986-09-12
28.11139488220215,1986-09-15
28.207664489746094,1986-09-16
29.07411003112793,1986-09-17
30.229373931884766,1986-09-18
31.3846378326416,1986-09-19
33.11753463745117,1986-09-22
38.50876235961914,1986-09-23
37.93112564086914,1986-09-24
37.35350036621094,1986-09-25
38.21994400024414,1986-09-26
38.12367630004883,1986-09-29
38.12367630004883,1986-09-30
37.54603958129883,1986-10-01
36.58332061767578,1986-10-02
36.29450225830078,1986-10-03
36.679595947265625,1986-10-06
36.58332061767578,1986-10-07
36.679595947265625,1986-10-08
35.81314468383789,1986-10-09
36.1982307434082,1986-10-10
36.00569152832031,1986-10-13
36.29450225830078,1986-10-14
36.29450225830078,1986-10-15
36.39077377319336,1986-10-16
36.29450225830078,1986-10-17
37.44976806640625,1986-10-20
37.44976806640625,1986-10-21
37.93112564086914,1986-10-22
38.12367630004883,1986-10-23
36.968406677246094,1986-10-24
36.101959228515625,1986-10-27
33.88770294189453,1986-10-28
34.850433349609375,1986-10-29
34.56160354614258,1986-10-30
35.42805862426758,1986-10-31
35.909420013427734,1986-11-03
35.909420013427734,1986-11-04
36.00569152832031,1986-11-05
35.81314468383789,1986-11-06
35.81314468383789,1986-11-07
35.909420013427734,1986-11-10
35.909420013427734,1986-11-11
35.909420013427734,1986-11-12
35.909420013427734,1986-11-13
36.00569152832031,1986-11-14
