ALLY,Date
22.24509620666504,2014-01-28
22.24509620666504,2014-01-29
21.968759536743164,2014-01-30
21.968759536743164,2014-01-31
21.968759536743164,2014-02-03
22.16219139099121,2014-02-04
22.134563446044922,2014-02-05
22.38326072692871,2014-02-06
22.38326072692871,2014-02-07
22.38326072692871,2014-02-10
22.38326072692871,2014-02-11
22.38326072692871,2014-02-12
22.38326072692871,2014-02-13
22.38326072692871,2014-02-14
22.38326072692871,2014-02-18
22.38326072692871,2014-02-19
22.38326072692871,2014-02-20
22.38326072692871,2014-02-21
22.38326072692871,2014-02-24
22.38326072692871,2014-02-25
22.38326072692871,2014-02-26
22.38326072692871,2014-02-27
22.38326072692871,2014-02-28
22.38326072692871,2014-03-03
22.38326072692871,2014-03-04
22.38326072692871,2014-03-05
22.38326072692871,2014-03-06
22.38326072692871,2014-03-07
23.41952896118164,2014-03-10
23.41952896118164,2014-03-11
23.41952896118164,2014-03-12
23.41952896118164,2014-03-13
23.41952896118164,2014-03-14
23.41952896118164,2014-03-17
23.41952896118164,2014-03-18
23.41952896118164,2014-03-19
23.41952896118164,2014-03-20
23.41952896118164,2014-03-21
23.41952896118164,2014-03-24
23.41952896118164,2014-03-25
23.41952896118164,2014-03-26
23.41952896118164,2014-03-27
23.903120040893555,2014-03-28
23.903120040893555,2014-03-31
23.903120040893555,2014-04-01
23.903120040893555,2014-04-02
23.903120040893555,2014-04-03
23.903120040893555,2014-04-04
23.903120040893555,2014-04-07
23.903120040893555,2014-04-08
23.903120040893555,2014-04-09
20.54231071472168,2014-04-10
20.73077392578125,2014-04-11
20.60227394104004,2014-04-14
20.499475479125977,2014-04-15
20.67936897277832,2014-04-16
20.456645965576172,2014-04-17
20.54231071472168,2014-04-21
20.593706130981445,2014-04-22
20.79930305480957,2014-04-23
20.884967803955078,2014-04-24
20.893535614013672,2014-04-25
20.585145950317383,2014-04-28
20.559444427490234,2014-04-29
20.68794059753418,2014-04-30
20.56800651550293,2014-05-01
20.60227394104004,2014-05-02
20.68794059753418,2014-05-05
20.705076217651367,2014-05-06
20.927799224853516,2014-05-07
21.59598159790039,2014-05-08
21.578845977783203,2014-05-09
21.398954391479492,2014-05-12
21.253324508666992,2014-05-13
21.21906089782715,2014-05-14
20.816436767578125,2014-05-15
20.739336013793945,2014-05-16
20.94493293762207,2014-05-19
20.765037536621094,2014-05-20
20.816436767578125,2014-05-21
20.765037536621094,2014-05-22
20.62797737121582,2014-05-23
20.60227394104004,2014-05-27
20.319576263427734,2014-05-28
20.285316467285156,2014-05-29
20.18251609802246,2014-05-30
20.148258209228516,2014-06-02
20.096853256225586,2014-06-03
20.13968849182129,2014-06-04
20.13968849182129,2014-06-05
20.216787338256836,2014-06-06
20.936368942260742,2014-06-09
21.056291580200195,2014-06-10
21.0991268157959,2014-06-11
21.373252868652344,2014-06-12
21.381818771362305,2014-06-13
21.184791564941406,2014-06-16
21.1419620513916,2014-06-17
21.107690811157227,2014-06-18
21.090557098388672,2014-06-19
21.398954391479492,2014-06-20
21.44178009033203,2014-06-23
21.090557098388672,2014-06-24
21.1419620513916,2014-06-25
21.15052604675293,2014-06-26
20.722209930419922,2014-06-27
20.482343673706055,2014-06-30
20.499475479125977,2014-07-01
20.550878524780273,2014-07-02
20.585145950317383,2014-07-03
20.430950164794922,2014-07-07
20.259618759155273,2014-07-08
20.096853256225586,2014-07-09
19.95979118347168,2014-07-10
19.8312931060791,2014-07-11
20.045455932617188,2014-07-14
19.916967391967773,2014-07-15
20.165388107299805,2014-07-16
20.079723358154297,2014-07-17
20.51660919189453,2014-07-18
20.47378158569336,2014-07-21
20.44808006286621,2014-07-22
