CDAY,Date
31.209999084472656,2018-04-26
30.520000457763672,2018-04-27
31.579999923706055,2018-04-30
31.479999542236328,2018-05-01
32.75,2018-05-02
33.790000915527344,2018-05-03
34.09000015258789,2018-05-04
33.9900016784668,2018-05-07
32.95000076293945,2018-05-08
33.470001220703125,2018-05-09
33.130001068115234,2018-05-10
34.380001068115234,2018-05-11
36.47999954223633,2018-05-14
36.95000076293945,2018-05-15
37.20000076293945,2018-05-16
38.33000183105469,2018-05-17
36.81999969482422,2018-05-18
35.15999984741211,2018-05-21
34.31999969482422,2018-05-22
33.970001220703125,2018-05-23
33.709999084472656,2018-05-24
33.599998474121094,2018-05-25
34.2400016784668,2018-05-29
34.66999816894531,2018-05-30
34.52000045776367,2018-05-31
34.529998779296875,2018-06-01
35.959999084472656,2018-06-04
36.349998474121094,2018-06-05
38.15999984741211,2018-06-06
37.11000061035156,2018-06-07
37.400001525878906,2018-06-08
36.4900016784668,2018-06-11
37.619998931884766,2018-06-12
37.65999984741211,2018-06-13
38.189998626708984,2018-06-14
38.45000076293945,2018-06-15
39.779998779296875,2018-06-18
37.20000076293945,2018-06-19
37.0099983215332,2018-06-20
36.54999923706055,2018-06-21
35.75,2018-06-22
34.81999969482422,2018-06-25
35.029998779296875,2018-06-26
34.33000183105469,2018-06-27
34.040000915527344,2018-06-28
33.189998626708984,2018-06-29
32.81999969482422,2018-07-02
33.380001068115234,2018-07-03
33.93000030517578,2018-07-05
33.849998474121094,2018-07-06
32.91999816894531,2018-07-09
33.119998931884766,2018-07-10
32.58000183105469,2018-07-11
34.47999954223633,2018-07-12
34.65999984741211,2018-07-13
35.119998931884766,2018-07-16
34.88999938964844,2018-07-17
34.900001525878906,2018-07-18
34.84000015258789,2018-07-19
35.029998779296875,2018-07-20
35.060001373291016,2018-07-23
34.959999084472656,2018-07-24
34.720001220703125,2018-07-25
34.91999816894531,2018-07-26
34.02000045776367,2018-07-27
32.08000183105469,2018-07-30
32.7599983215332,2018-07-31
33.56999969482422,2018-08-01
34.810001373291016,2018-08-02
35.5,2018-08-03
37.22999954223633,2018-08-06
37.2400016784668,2018-08-07
37.63999938964844,2018-08-08
33.5099983215332,2018-08-09
35.189998626708984,2018-08-10
34.38999938964844,2018-08-13
34.529998779296875,2018-08-14
33.84000015258789,2018-08-15
34.75,2018-08-16
34.06999969482422,2018-08-17
34.040000915527344,2018-08-20
34.7400016784668,2018-08-21
35.349998474121094,2018-08-22
35.97999954223633,2018-08-23
37.84000015258789,2018-08-24
38.45000076293945,2018-08-27
38.650001525878906,2018-08-28
38.290000915527344,2018-08-29
38.560001373291016,2018-08-30
38.5,2018-08-31
38.630001068115234,2018-09-04
37.0,2018-09-05
37.5099983215332,2018-09-06
37.720001220703125,2018-09-07
37.529998779296875,2018-09-10
37.380001068115234,2018-09-11
36.540000915527344,2018-09-12
37.18000030517578,2018-09-13
41.45000076293945,2018-09-14
43.75,2018-09-17
44.0,2018-09-18
43.41999816894531,2018-09-19
43.0099983215332,2018-09-20
42.0099983215332,2018-09-21
42.310001373291016,2018-09-24
41.150001525878906,2018-09-25
40.959999084472656,2018-09-26
41.790000915527344,2018-09-27
42.029998779296875,2018-09-28
43.0,2018-10-01
43.0,2018-10-02
44.290000915527344,2018-10-03
42.060001373291016,2018-10-04
40.279998779296875,2018-10-05
40.220001220703125,2018-10-08
38.779998779296875,2018-10-09
35.70000076293945,2018-10-10
35.70000076293945,2018-10-11
36.220001220703125,2018-10-12
37.060001373291016,2018-10-15
38.470001220703125,2018-10-16
37.619998931884766,2018-10-17
36.2599983215332,2018-10-18
36.27000045776367,2018-10-19
37.189998626708984,2018-10-22
36.25,2018-10-23
35.83000183105469,2018-10-24
36.779998779296875,2018-10-25
36.400001525878906,2018-10-26
35.68000030517578,2018-10-29
36.470001220703125,2018-10-30
37.970001220703125,2018-10-31
38.72999954223633,2018-11-01
38.0,2018-11-02
38.029998779296875,2018-11-05
38.0,2018-11-06
39.25,2018-11-07
39.369998931884766,2018-11-08
39.15999984741211,2018-11-09
36.5099983215332,2018-11-12
36.16999816894531,2018-11-13
36.279998779296875,2018-11-14
37.29999923706055,2018-11-15
38.959999084472656,2018-11-16
35.63999938964844,2018-11-19
36.08000183105469,2018-11-20
36.34000015258789,2018-11-21
37.040000915527344,2018-11-23
38.470001220703125,2018-11-26
38.38999938964844,2018-11-27
39.75,2018-11-28
40.02000045776367,2018-11-29
40.119998931884766,2018-11-30
39.52000045776367,2018-12-03
37.70000076293945,2018-12-04
38.27000045776367,2018-12-06
38.220001220703125,2018-12-07
37.58000183105469,2018-12-10
36.849998474121094,2018-12-11
37.189998626708984,2018-12-12
36.630001068115234,2018-12-13
35.2400016784668,2018-12-14
33.77000045776367,2018-12-17
34.79999923706055,2018-12-18
34.36000061035156,2018-12-19
33.61000061035156,2018-12-20
32.130001068115234,2018-12-21
31.969999313354492,2018-12-24
34.560001373291016,2018-12-26
35.18000030517578,2018-12-27
33.970001220703125,2018-12-28
34.4900016784668,2018-12-31
33.7599983215332,2019-01-02
33.22999954223633,2019-01-03
