MTCH,Date
0.29644015431404114,1993-01-19
0.29644015431404114,1993-01-20
0.29644015431404114,1993-01-21
0.3293777108192444,1993-01-22
0.31290942430496216,1993-01-25
0.3293777108192444,1993-01-26
0.3787845969200134,1993-01-27
0.3623153269290924,1993-01-28
0.3458469808101654,1993-01-29
0.3376123607158661,1993-02-01
0.3540816307067871,1993-02-02
0.3376123607158661,1993-02-03
0.3540816307067871,1993-02-04
0.3623153269290924,1993-02-05
0.40348753333091736,1993-02-08
0.3540816307067871,1993-02-09
0.3623153269290924,1993-02-10
0.3540816307067871,1993-02-11
0.39525383710861206,1993-02-12
0.39525383710861206,1993-02-16
0.4281914532184601,1993-02-17
0.4281914532184601,1993-02-18
0.4281914532184601,1993-02-19
0.40348753333091736,1993-02-22
0.4281914532184601,1993-02-23
0.4281914532184601,1993-02-24
0.46112900972366333,1993-02-25
0.44054338335990906,1993-02-26
0.4446607232093811,1993-03-01
0.4446607232093811,1993-03-02
0.40348753333091736,1993-03-03
0.40348753333091736,1993-03-04
0.39525383710861206,1993-03-05
0.3787845969200134,1993-03-08
0.38701921701431274,1993-03-09
0.3458469808101654,1993-03-10
0.3458469808101654,1993-03-11
0.3458469808101654,1993-03-12
0.3540816307067871,1993-03-15
0.3540816307067871,1993-03-16
0.3293777108192444,1993-03-17
0.3293777108192444,1993-03-18
0.31290942430496216,1993-03-19
0.31290942430496216,1993-03-22
0.31290942430496216,1993-03-23
0.29644015431404114,1993-03-24
0.31290942430496216,1993-03-25
0.2799708843231201,1993-03-26
0.28820550441741943,1993-03-29
0.2635025680065155,1993-03-30
0.2635025680065155,1993-03-31
0.2799708843231201,1993-04-01
0.2799708843231201,1993-04-02
0.2799708843231201,1993-04-05
0.24703329801559448,1993-04-06
0.23879866302013397,1993-04-07
0.22233036160469055,1993-04-08
0.19762645661830902,1993-04-12
0.1729234904050827,1993-04-13
0.20174376666545868,1993-04-14
0.19762645661830902,1993-04-15
0.18939276039600372,1993-04-16
0.2635025680065155,1993-04-19
0.2799708843231201,1993-04-20
0.29644015431404114,1993-04-21
0.28820550441741943,1993-04-22
0.28820550441741943,1993-04-23
0.28820550441741943,1993-04-26
0.24703329801559448,1993-04-27
0.2717372179031372,1993-04-28
0.2717372179031372,1993-04-29
0.24703329801559448,1993-04-30
0.24703329801559448,1993-05-03
0.24703329801559448,1993-05-04
0.2635025680065155,1993-05-05
0.24703329801559448,1993-05-06
0.23056498169898987,1993-05-07
0.23879866302013397,1993-05-10
0.23056498169898987,1993-05-11
0.23056498169898987,1993-05-12
0.23879866302013397,1993-05-13
0.24703329801559448,1993-05-14
0.2552679479122162,1993-05-17
0.2552679479122162,1993-05-18
0.31290942430496216,1993-05-19
0.3705499470233917,1993-05-20
0.3787845969200134,1993-05-21
0.3787845969200134,1993-05-24
0.35819897055625916,1993-05-25
0.3540816307067871,1993-05-26
0.3705499470233917,1993-05-27
0.3705499470233917,1993-05-28
0.3540816307067871,1993-06-01
0.39525383710861206,1993-06-02
0.41172218322753906,1993-06-03
0.41172218322753906,1993-06-04
0.38701921701431274,1993-06-07
0.3787845969200134,1993-06-08
0.39525383710861206,1993-06-09
0.39525383710861206,1993-06-10
0.4199568033218384,1993-06-11
0.4199568033218384,1993-06-14
0.452894389629364,1993-06-15
0.5187704563140869,1993-06-16
0.5434734225273132,1993-06-17
0.5681774020195007,1993-06-18
0.6011149287223816,1993-06-21
0.6669901013374329,1993-06-22
0.5764110088348389,1993-06-23
0.5928803086280823,1993-06-24
0.5928803086280823,1993-06-25
0.6422871351242065,1993-06-28
0.7411008477210999,1993-06-29
0.6587554216384888,1993-06-30
0.6587554216384888,1993-07-01
0.7575691938400269,1993-07-02
0.7987414002418518,1993-07-06
0.9057897329330444,1993-07-07
0.8563829064369202,1993-07-08
0.8152106404304504,1993-07-09
1.0704785585403442,1993-07-12
1.169291377067566,1993-07-13
1.1034162044525146,1993-07-14
1.0210717916488647,1993-07-15
0.9881340861320496,1993-07-16
1.0457746982574463,1993-07-19
1.235167384147644,1993-07-20
1.218698263168335,1993-07-21
1.1528230905532837,1993-07-22
1.1363537311553955,1993-07-23
1.1363537311553955,1993-07-26
1.1363537311553955,1993-07-27
1.1363537311553955,1993-07-28
1.169291377067566,1993-07-29
1.1857606172561646,1993-07-30
1.1198854446411133,1993-08-02
1.1198854446411133,1993-08-03
1.0293062925338745,1993-08-04
0.9881340861320496,1993-08-05
1.0128371715545654,1993-08-06
1.0128371715545654,1993-08-09
0.9963678121566772,1993-08-10
0.9881340861320496,1993-08-11
1.0046025514602661,1993-08-12
0.9057897329330444,1993-08-13
0.930492639541626,1993-08-16
1.0128371715545654,1993-08-17
1.0210717916488647,1993-08-18
0.9881340861320496,1993-08-19
1.0046025514602661,1993-08-20
1.0046025514602661,1993-08-23
1.0210717916488647,1993-08-24
1.0046025514602661,1993-08-25
1.1857606172561646,1993-08-26
1.2022298574447632,1993-08-27
1.1363537311553955,1993-08-30
1.169291377067566,1993-08-31
1.1528230905532837,1993-09-01
1.161057710647583,1993-09-02
1.1528230905532837,1993-09-03
1.1528230905532837,1993-09-07
1.1034162044525146,1993-09-08
1.1198854446411133,1993-09-09
1.0540093183517456,1993-09-10
1.0375409126281738,1993-09-13
1.0293062925338745,1993-09-14
1.1198854446411133,1993-09-15
1.0704785585403442,1993-09-16
1.0540093183517456,1993-09-17
1.0787131786346436,1993-09-20
1.1528230905532837,1993-09-21
1.2022298574447632,1993-09-22
1.3504494428634644,1993-09-23
1.342214822769165,1993-09-24
1.3175119161605835,1993-09-27
