STZ,Date
1.3751267194747925,1992-03-17
1.4308751821517944,1992-03-18
1.4587494134902954,1992-03-19
1.4773316383361816,1992-03-20
1.4866234064102173,1992-03-23
1.5237884521484375,1992-03-24
1.5330803394317627,1992-03-25
1.5237884521484375,1992-03-26
1.5144975185394287,1992-03-27
1.5052063465118408,1992-03-30
1.5052063465118408,1992-03-31
1.5052063465118408,1992-04-01
1.495914101600647,1992-04-02
1.4866234064102173,1992-04-03
1.4866234064102173,1992-04-06
1.4866234064102173,1992-04-07
1.4401659965515137,1992-04-08
1.495914101600647,1992-04-09
1.5052063465118408,1992-04-10
1.6538686752319336,1992-04-13
1.6910337209701538,1992-04-14
1.672451138496399,1992-04-15
1.625994086265564,1992-04-16
1.5423716306686401,1992-04-20
1.588828206062317,1992-04-21
1.598120093345642,1992-04-22
1.60741126537323,1992-04-23
1.6445773839950562,1992-04-24
1.625994086265564,1992-04-27
1.625994086265564,1992-04-28
1.6352850198745728,1992-04-29
1.6910337209701538,1992-04-30
1.7374910116195679,1992-05-01
1.7374910116195679,1992-05-04
1.7374910116195679,1992-05-05
1.8025301694869995,1992-05-06
1.8025301694869995,1992-05-07
1.8025301694869995,1992-05-08
1.7839479446411133,1992-05-11
1.7932392358779907,1992-05-12
1.7653653621673584,1992-05-13
1.8025301694869995,1992-05-14
1.7932392358779907,1992-05-15
1.7932392358779907,1992-05-18
1.7839479446411133,1992-05-19
1.7932392358779907,1992-05-20
1.7932392358779907,1992-05-21
1.7932392358779907,1992-05-22
1.774656057357788,1992-05-26
1.7653653621673584,1992-05-27
1.6910337209701538,1992-05-28
1.72819983959198,1992-05-29
1.72819983959198,1992-06-01
1.72819983959198,1992-06-02
1.7653653621673584,1992-06-03
1.7839479446411133,1992-06-04
1.7839479446411133,1992-06-05
1.8025301694869995,1992-06-08
1.7653653621673584,1992-06-09
1.7839479446411133,1992-06-10
1.7932392358779907,1992-06-11
1.7839479446411133,1992-06-12
1.7653653621673584,1992-06-15
1.7653653621673584,1992-06-16
1.72819983959198,1992-06-17
1.6352850198745728,1992-06-18
1.6538686752319336,1992-06-19
1.6352850198745728,1992-06-22
1.6167027950286865,1992-06-23
