UPS,Date
36.70765686035156,1999-11-10
40.33808898925781,1999-11-11
37.917789459228516,1999-11-12
37.11103820800781,1999-11-15
35.49751281738281,1999-11-16
36.40513229370117,1999-11-17
35.66558074951172,1999-11-18
34.959659576416016,1999-11-19
33.95121765136719,1999-11-22
35.59836196899414,1999-11-23
36.57086944580078,1999-11-24
37.3475341796875,1999-11-26
36.8072509765625,1999-11-29
35.692893981933594,1999-11-30
35.59159469604492,1999-12-01
36.233192443847656,1999-12-02
35.895511627197266,1999-12-03
35.7942008972168,1999-12-06
36.739715576171875,1999-12-07
36.94232940673828,1999-12-08
36.46957015991211,1999-12-09
35.7266731262207,1999-12-10
35.65913009643555,1999-12-13
35.11884689331055,1999-12-14
34.44349670410156,1999-12-15
34.57856369018555,1999-12-16
35.996829986572266,1999-12-17
37.009864807128906,1999-12-20
37.28001403808594,1999-12-21
36.19943618774414,1999-12-22
36.604652404785156,1999-12-23
37.6514778137207,1999-12-27
37.28001403808594,1999-12-28
36.739715576171875,1999-12-29
36.739715576171875,1999-12-30
37.28001403808594,1999-12-31
36.233192443847656,2000-01-03
35.085086822509766,2000-01-04
36.739715576171875,2000-01-05
36.739715576171875,2000-01-06
35.86174774169922,2000-01-07
36.233192443847656,2000-01-10
35.2539176940918,2000-01-11
36.402034759521484,2000-01-12
36.9085578918457,2000-01-13
37.31378173828125,2000-01-14
37.11115264892578,2000-01-18
36.87479782104492,2000-01-19
37.21247100830078,2000-01-20
36.334503173828125,2000-01-21
35.65913009643555,2000-01-24
35.59159469604492,2000-01-25
35.1863899230957,2000-01-26
35.1863899230957,2000-01-27
35.085086822509766,2000-01-28
32.41740417480469,2000-01-31
33.160282135009766,2000-02-01
31.471891403198242,2000-02-02
31.134212493896484,2000-02-03
30.458833694458008,2000-02-04
30.121156692504883,2000-02-07
32.079715728759766,2000-02-08
31.33681297302246,2000-02-09
30.830307006835938,2000-02-10
29.78349494934082,2000-02-11
29.378276824951172,2000-02-14
29.682167053222656,2000-02-15
30.256240844726562,2000-02-16
31.33681297302246,2000-02-17
30.76276397705078,2000-02-18
29.715944290161133,2000-02-22
29.682167053222656,2000-02-23
29.30008316040039,2000-02-24
30.079160690307617,2000-02-25
29.80818748474121,2000-02-28
29.60494613647461,2000-02-29
28.453269958496094,2000-03-01
28.893627166748047,2000-03-02
28.55489158630371,2000-03-03
28.58875274658203,2000-03-06
27.437088012695312,2000-03-07
29.43558120727539,2000-03-08
28.7242431640625,2000-03-09
28.96137046813965,2000-03-10
28.58875274658203,2000-03-13
28.48714828491211,2000-03-14
29.774301528930664,2000-03-15
30.485639572143555,2000-03-16
30.079160690307617,2000-03-17
30.65501594543457,2000-03-20
31.53570556640625,2000-03-21
30.824369430541992,2000-03-22
32.31477355957031,2000-03-23
34.5504150390625,2000-03-24
34.24554443359375,2000-03-27
32.65353012084961,2000-03-28
32.00992965698242,2000-03-29
31.738950729370117,2000-03-30
34.13545608520508,2000-03-31
32.179298400878906,2000-04-03
31.332477569580078,2000-04-04
31.53570556640625,2000-04-05
32.45026779174805,2000-04-06
32.992252349853516,2000-04-07
