LULU,Date
14.0,2007-07-27
14.989999771118164,2007-07-30
16.06999969482422,2007-07-31
15.539999961853027,2007-08-01
16.524999618530273,2007-08-02
15.5,2007-08-03
16.375,2007-08-06
18.1200008392334,2007-08-07
18.875,2007-08-08
17.674999237060547,2007-08-09
18.075000762939453,2007-08-10
18.440000534057617,2007-08-13
16.75,2007-08-14
16.725000381469727,2007-08-15
16.014999389648438,2007-08-16
16.469999313354492,2007-08-17
16.5,2007-08-20
17.010000228881836,2007-08-21
17.145000457763672,2007-08-22
16.895000457763672,2007-08-23
17.184999465942383,2007-08-24
16.524999618530273,2007-08-27
16.149999618530273,2007-08-28
16.7450008392334,2007-08-29
16.78499984741211,2007-08-30
17.03499984741211,2007-08-31
17.479999542236328,2007-09-04
17.420000076293945,2007-09-05
18.475000381469727,2007-09-06
17.950000762939453,2007-09-07
18.329999923706055,2007-09-10
17.809999465942383,2007-09-11
17.915000915527344,2007-09-12
17.514999389648438,2007-09-13
17.09000015258789,2007-09-14
17.354999542236328,2007-09-17
18.100000381469727,2007-09-18
19.665000915527344,2007-09-19
19.895000457763672,2007-09-20
19.94499969482422,2007-09-21
19.684999465942383,2007-09-24
21.149999618530273,2007-09-25
21.514999389648438,2007-09-26
20.649999618530273,2007-09-27
21.014999389648438,2007-09-28
21.530000686645508,2007-10-01
22.799999237060547,2007-10-02
23.19499969482422,2007-10-03
22.25,2007-10-04
22.1299991607666,2007-10-05
23.100000381469727,2007-10-08
22.924999237060547,2007-10-09
23.350000381469727,2007-10-10
22.530000686645508,2007-10-11
21.65999984741211,2007-10-12
20.565000534057617,2007-10-15
23.649999618530273,2007-10-16
26.899999618530273,2007-10-17
28.059999465942383,2007-10-18
27.614999771118164,2007-10-19
29.0,2007-10-22
28.815000534057617,2007-10-23
28.0,2007-10-24
25.5,2007-10-25
25.229999542236328,2007-10-26
24.8700008392334,2007-10-29
25.030000686645508,2007-10-30
26.610000610351562,2007-10-31
24.565000534057617,2007-11-01
23.475000381469727,2007-11-02
21.864999771118164,2007-11-05
21.420000076293945,2007-11-06
20.649999618530273,2007-11-07
20.829999923706055,2007-11-08
20.045000076293945,2007-11-09
19.905000686645508,2007-11-12
21.75,2007-11-13
22.145000457763672,2007-11-14
20.75,2007-11-15
20.8700008392334,2007-11-16
19.104999542236328,2007-11-19
17.735000610351562,2007-11-20
18.885000228881836,2007-11-21
19.56999969482422,2007-11-23
19.059999465942383,2007-11-26
19.299999237060547,2007-11-27
20.25,2007-11-28
20.770000457763672,2007-11-29
18.334999084472656,2007-11-30
19.485000610351562,2007-12-03
18.825000762939453,2007-12-04
19.559999465942383,2007-12-05
20.0,2007-12-06
20.924999237060547,2007-12-07
21.799999237060547,2007-12-10
23.5,2007-12-11
