PCG,Date
0.9063501954078674,1972-06-01
0.9103606939315796,1972-06-02
0.9023396372795105,1972-06-05
0.8983294367790222,1972-06-06
0.8943188190460205,1972-06-07
0.8903083205223083,1972-06-08
0.8862979412078857,1972-06-09
0.8782773613929749,1972-06-12
0.8742666840553284,1972-06-13
0.8582251667976379,1972-06-14
0.8742666840553284,1972-06-15
0.8782773613929749,1972-06-16
0.8882185220718384,1972-06-19
0.9004421234130859,1972-06-20
0.8963670134544373,1972-06-21
0.8963670134544373,1972-06-22
0.8882185220718384,1972-06-23
0.8800704479217529,1972-06-26
0.8719210028648376,1972-06-27
0.8678463101387024,1972-06-28
0.8759955167770386,1972-06-29
0.8719210028648376,1972-06-30
0.8882185220718384,1972-07-03
0.8922933340072632,1972-07-05
0.8963670134544373,1972-07-06
0.9085908532142639,1972-07-07
0.9126653075218201,1972-07-10
0.9004421234130859,1972-07-11
0.9045162796974182,1972-07-12
0.9004421234130859,1972-07-13
0.8922933340072632,1972-07-14
0.8841443061828613,1972-07-17
0.8759955167770386,1972-07-18
0.8800704479217529,1972-07-19
0.8719210028648376,1972-07-20
0.8759955167770386,1972-07-21
0.8759955167770386,1972-07-24
0.8759955167770386,1972-07-25
0.8719210028648376,1972-07-26
0.8678463101387024,1972-07-27
0.8719210028648376,1972-07-28
0.8800704479217529,1972-07-31
0.8841443061828613,1972-08-01
0.8800704479217529,1972-08-02
0.8882185220718384,1972-08-03
0.8882185220718384,1972-08-04
0.8882185220718384,1972-08-07
0.8800704479217529,1972-08-08
0.8800704479217529,1972-08-09
0.8759955167770386,1972-08-10
0.8841443061828613,1972-08-11
0.8882185220718384,1972-08-14
0.9004421234130859,1972-08-15
0.9045162796974182,1972-08-16
0.9248884320259094,1972-08-17
0.9656323194503784,1972-08-18
0.9656323194503784,1972-08-21
0.9778552055358887,1972-08-22
0.9778552055358887,1972-08-23
0.9697065353393555,1972-08-24
0.9574834108352661,1972-08-25
0.9411860704421997,1972-08-28
0.9534087777137756,1972-08-29
0.9493348002433777,1972-08-30
0.9574834108352661,1972-08-31
0.9574834108352661,1972-09-01
0.9615578651428223,1972-09-05
0.9574834108352661,1972-09-06
0.9534087777137756,1972-09-07
0.9574834108352661,1972-09-08
0.9534087777137756,1972-09-11
0.9493348002433777,1972-09-12
0.9411860704421997,1972-09-13
0.9248884320259094,1972-09-14
0.928962230682373,1972-09-15
0.9431928992271423,1972-09-18
0.9390566945075989,1972-09-19
0.9431928992271423,1972-09-20
0.9514672756195068,1972-09-21
0.9638774991035461,1972-09-22
0.9680141806602478,1972-09-25
0.9680141806602478,1972-09-26
0.988698422908783,1972-09-27
0.9845612645149231,1972-09-28
0.972150981426239,1972-09-29
