AMP,Date
25.439401626586914,2005-09-15
25.15757942199707,2005-09-16
25.226322174072266,2005-09-19
25.226322174072266,2005-09-20
25.02010726928711,2005-09-21
25.570005416870117,2005-09-22
25.89993667602539,2005-09-23
25.948047637939453,2005-09-26
25.604372024536133,2005-09-27
25.432523727416992,2005-09-28
25.15757942199707,2005-09-29
24.607683181762695,2005-09-30
23.851587295532227,2005-10-03
23.30169105529785,2005-10-04
23.129852294921875,2005-10-05
22.93739128112793,2005-10-06
23.09548568725586,2005-10-07
22.70368003845215,2005-10-10
22.68306541442871,2005-10-11
22.524972915649414,2005-10-12
22.373750686645508,2005-10-13
22.263776779174805,2005-10-14
22.325632095336914,2005-10-17
22.291269302368164,2005-10-18
22.793045043945312,2005-10-19
23.081741333007812,2005-10-20
23.37042808532715,2005-10-21
24.94449234008789,2005-10-24
25.556259155273438,2005-10-25
25.432523727416992,2005-10-26
24.937633514404297,2005-10-27
25.501258850097656,2005-10-28
25.5837459564209,2005-10-31
25.130090713500977,2005-11-01
25.37139129638672,2005-11-02
25.79884147644043,2005-11-03
25.626482009887695,2005-11-04
25.523067474365234,2005-11-07
25.48170280456543,2005-11-08
26.115985870361328,2005-11-09
26.832998275756836,2005-11-10
26.826099395751953,2005-11-11
27.1225643157959,2005-11-14
27.032936096191406,2005-11-15
27.460403442382812,2005-11-16
27.577592849731445,2005-11-17
27.522443771362305,2005-11-18
28.66691780090332,2005-11-21
29.05990219116211,2005-11-22
29.969942092895508,2005-11-23
29.95616340637207,2005-11-25
30.26642417907715,2005-11-28
29.335668563842773,2005-11-29
28.990957260131836,2005-11-30
29.85964012145996,2005-12-01
29.804489135742188,2005-12-02
30.004440307617188,2005-12-05
30.066482543945312,2005-12-06
29.894115447998047,2005-12-07
30.094045639038086,2005-12-08
30.169885635375977,2005-12-09
29.735549926757812,2005-12-12
29.52871322631836,2005-12-13
28.632436752319336,2005-12-14
28.398014068603516,2005-12-15
29.1357364654541,2005-12-16
28.480762481689453,2005-12-19
28.66002082824707,2005-12-20
28.646221160888672,2005-12-21
28.908206939697266,2005-12-22
28.908206939697266,2005-12-23
28.19809913635254,2005-12-27
28.301498413085938,2005-12-28
28.156728744506836,2005-12-29
28.267032623291016,2005-12-30
29.02541160583496,2006-01-03
29.93548011779785,2006-01-04
30.28708267211914,2006-01-05
30.0595703125,2006-01-06
31.086835861206055,2006-01-09
30.790386199951172,2006-01-10
30.4732608795166,2006-01-11
30.445663452148438,2006-01-12
30.25262451171875,2006-01-13
30.011327743530273,2006-01-17
29.17710304260254,2006-01-18
29.370140075683594,2006-01-19
29.094364166259766,2006-01-20
29.990638732910156,2006-01-23
29.976835250854492,2006-01-24
29.790700912475586,2006-01-25
29.852745056152344,2006-01-26
29.232240676879883,2006-01-27
28.646221160888672,2006-01-30
28.127765655517578,2006-01-31
28.514883041381836,2006-02-01
29.38587760925293,2006-02-02
29.44810676574707,2006-02-03
29.95273208618164,2006-02-06
30.104793548583984,2006-02-07
30.2845516204834,2006-02-08
30.36058235168457,2006-02-09
30.118633270263672,2006-02-10
29.641658782958984,2006-02-13
30.374408721923828,2006-02-14
29.91126251220703,2006-02-15
30.02184295654297,2006-02-16
30.429706573486328,2006-02-17
30.36058235168457,2006-02-21
31.42513084411621,2006-02-22
32.088748931884766,2006-02-23
31.97815704345703,2006-02-24
32.351444244384766,2006-02-27
31.438955307006836,2006-02-28
31.722387313842773,2006-03-01
30.809906005859375,2006-03-02
30.41587257385254,2006-03-03
29.56561279296875,2006-03-06
30.17393684387207,2006-03-07
29.959638595581055,2006-03-08
29.95273208618164,2006-03-09
29.931989669799805,2006-03-10
30.277616500854492,2006-03-13
31.127901077270508,2006-03-14
31.376741409301758,2006-03-15
31.832984924316406,2006-03-16
31.729293823242188,2006-03-17
31.349096298217773,2006-03-20
30.36058235168457,2006-03-21
30.588706970214844,2006-03-22
30.450437545776367,2006-03-23
30.588706970214844,2006-03-24
30.73387336730957,2006-03-27
29.81447982788086,2006-03-28
29.662391662597656,2006-03-29
30.96890640258789,2006-03-30
31.148624420166016,2006-03-31
30.87212371826172,2006-04-03
31.107154846191406,2006-04-04
31.176286697387695,2006-04-05
31.058753967285156,2006-04-06
30.554136276245117,2006-04-07
31.36981964111328,2006-04-10
31.314525604248047,2006-04-11
31.48733901977539,2006-04-12
31.438955307006836,2006-04-13
31.33527183532715,2006-04-17
32.351444244384766,2006-04-18
32.939022064208984,2006-04-19
32.662506103515625,2006-04-20
32.57264709472656,2006-04-21
32.42747116088867,2006-04-24
32.64179229736328,2006-04-25
33.69942092895508,2006-04-26
34.563499450683594,2006-04-27
33.899879455566406,2006-04-28
33.69248962402344,2006-05-01
33.250083923339844,2006-05-02
33.27082824707031,2006-05-03
33.388343811035156,2006-05-04
33.56116485595703,2006-05-05
34.039215087890625,2006-05-08
34.35098648071289,2006-05-09
34.080787658691406,2006-05-10
33.498802185058594,2006-05-11
32.90989303588867,2006-05-12
33.187042236328125,2006-05-15
32.805965423583984,2006-05-16
31.4757080078125,2006-05-17
31.143142700195312,2006-05-18
31.073862075805664,2006-05-19
30.45723533630371,2006-05-22
30.609647750854492,2006-05-23
