GM,Date
26.027620315551758,2010-11-18
26.08091163635254,2010-11-19
25.943883895874023,2010-11-22
25.31203842163086,2010-11-23
25.48712921142578,2010-11-24
25.730731964111328,2010-11-26
25.730731964111328,2010-11-29
26.03523826599121,2010-11-30
26.476768493652344,2010-12-01
26.4006404876709,2010-12-02
26.301679611206055,2010-12-03
26.248388290405273,2010-12-06
26.4006404876709,2010-12-07
26.22554588317871,2010-12-08
25.685062408447266,2010-12-09
25.73834991455078,2010-12-10
25.730731964111328,2010-12-13
25.79924201965332,2010-12-14
25.586091995239258,2010-12-15
25.586091995239258,2010-12-16
25.882976531982422,2010-12-17
25.70027732849121,2010-12-20
25.7687931060791,2010-12-21
26.583351135253906,2010-12-22
26.499610900878906,2010-12-23
26.33974266052246,2010-12-27
26.88785743713379,2010-12-28
27.420743942260742,2010-12-29
28.02975082397461,2010-12-30
28.060192108154297,2010-12-31
28.212459564208984,2011-01-03
28.851911544799805,2011-01-04
28.981334686279297,2011-01-05
29.61317253112793,2011-01-06
29.674081802368164,2011-01-07
29.354352951049805,2011-01-10
29.498991012573242,2011-01-11
29.40003204345703,2011-01-12
29.13358497619629,2011-01-13
29.080297470092773,2011-01-14
28.950876235961914,2011-01-18
28.471288681030273,2011-01-19
28.303804397583008,2011-01-20
28.34947967529297,2011-01-21
28.65398597717285,2011-01-24
29.232540130615234,2011-01-25
28.844295501708984,2011-01-26
29.438087463378906,2011-01-27
27.862268447875977,2011-01-28
27.778532028198242,2011-01-31
27.748079299926758,2011-02-01
27.161907196044922,2011-02-02
27.451189041137695,2011-02-03
27.854663848876953,2011-02-04
27.93840217590332,2011-02-07
28.083044052124023,2011-02-08
27.71763038635254,2011-02-09
27.314163208007812,2011-02-10
27.748079299926758,2011-02-11
27.62628173828125,2011-02-14
27.489248275756836,2011-02-15
27.97646141052246,2011-02-16
27.68717384338379,2011-02-17
27.793758392333984,2011-02-18
27.230419158935547,2011-02-22
26.33213233947754,2011-02-23
25.136947631835938,2011-02-24
25.31203842163086,2011-02-25
25.525188446044922,2011-02-28
25.083662033081055,2011-03-01
25.030370712280273,2011-03-02
25.144556045532227,2011-03-03
24.657344818115234,2011-03-04
24.1320743560791,2011-03-07
24.908567428588867,2011-03-08
24.550769805908203,2011-03-09
23.918920516967773,2011-03-10
24.307165145874023,2011-03-11
24.04833984375,2011-03-14
24.626895904541016,2011-03-15
24.192974090576172,2011-03-16
23.934146881103516,2011-03-17
24.246261596679688,2011-03-18
23.81234359741211,2011-03-21
23.401260375976562,2011-03-22
23.720991134643555,2011-03-23
23.896085739135742,2011-03-24
23.956985473632812,2011-03-25
23.485002517700195,2011-03-28
23.675323486328125,2011-03-29
24.01788330078125,2011-03-30
23.622026443481445,2011-03-31
24.672576904296875,2011-04-01
24.657344818115234,2011-04-04
25.02275276184082,2011-04-05
25.02275276184082,2011-04-06
24.59644889831543,2011-04-07
23.99504852294922,2011-04-08
23.424097061157227,2011-04-11
23.713380813598633,2011-04-12
23.49262046813965,2011-04-13
23.279462814331055,2011-04-14
23.020627975463867,2011-04-15
22.81509017944336,2011-04-18
22.525806427001953,2011-04-19
22.784637451171875,2011-04-20
23.56113052368164,2011-04-21
23.705768585205078,2011-04-25
23.80472755432129,2011-04-26
24.192974090576172,2011-04-27
24.29193878173828,2011-04-28
24.428964614868164,2011-04-29
24.49748420715332,2011-05-02
25.11410903930664,2011-05-03
25.152172088623047,2011-05-04
24.375680923461914,2011-05-05
24.29193878173828,2011-05-06
23.896085739135742,2011-05-09
24.063566207885742,2011-05-10
23.82756805419922,2011-05-11
23.918920516967773,2011-05-12
23.65247917175293,2011-05-13
23.675323486328125,2011-05-16
23.675323486328125,2011-05-17
23.99504852294922,2011-05-18
23.956985473632812,2011-05-19
23.736217498779297,2011-05-20
23.56873893737793,2011-05-23
23.469772338867188,2011-05-24
23.80472755432129,2011-05-25
23.3555850982666,2011-05-26
23.81234359741211,2011-05-27
24.215816497802734,2011-05-31
23.013015747070312,2011-06-01
22.53342056274414,2011-06-02
22.168014526367188,2011-06-03
21.7417049407959,2011-06-06
21.909189224243164,2011-06-07
21.9700927734375,2011-06-08
22.419233322143555,2011-06-09
21.96246910095215,2011-06-10
21.764543533325195,2011-06-13
22.160400390625,2011-06-14
22.038604736328125,2011-06-15
21.764543533325195,2011-06-16
22.0766658782959,2011-06-17
22.472524642944336,2011-06-20
22.525806427001953,2011-06-21
22.81509017944336,2011-06-22
22.944501876831055,2011-06-23
22.777029037475586,2011-06-24
23.035856246948242,2011-06-27
23.218555450439453,2011-06-28
23.066299438476562,2011-06-29
23.111982345581055,2011-06-30
23.279462814331055,2011-07-01
23.49262046813965,2011-07-05
23.74382781982422,2011-07-06
24.20819854736328,2011-07-07
24.040721893310547,2011-07-08
23.40888214111328,2011-07-11
23.3555850982666,2011-07-12
23.40888214111328,2011-07-13
22.9140567779541,2011-07-14
22.655223846435547,2011-07-15
22.152790069580078,2011-07-18
22.327877044677734,2011-07-19
22.259366989135742,2011-07-20
22.807477951049805,2011-07-21
22.9140567779541,2011-07-22
22.457292556762695,2011-07-25
22.145177841186523,2011-07-26
21.421974182128906,2011-07-27
21.39152717590332,2011-07-28
21.071796417236328,2011-07-29
21.368688583374023,2011-08-01
20.592191696166992,2011-08-02
20.683549880981445,2011-08-03
19.78525733947754,2011-08-04
20.028860092163086,2011-08-05
18.70426368713379,2011-08-08
19.442689895629883,2011-08-09
18.209444046020508,2011-08-10
19.648229598999023,2011-08-11
19.602556228637695,2011-08-12
20.112600326538086,2011-08-15
19.663454055786133,2011-08-16
18.985929489135742,2011-08-17
17.965835571289062,2011-08-18
16.86961555480957,2011-08-19
16.52704429626465,2011-08-22
16.793489456176758,2011-08-23
17.02947998046875,2011-08-24
16.976192474365234,2011-08-25
17.410114288330078,2011-08-26
18.1104736328125,2011-08-29
