MOS,Date
7.076748847961426,1988-01-26
7.615200996398926,1988-01-27
7.730578422546387,1988-01-28
7.5382771492004395,1988-01-29
7.384428024291992,1988-02-01
7.384428024291992,1988-02-02
7.461355209350586,1988-02-03
7.5767364501953125,1988-02-04
7.615200996398926,1988-02-05
7.384428024291992,1988-02-08
7.307509899139404,1988-02-09
7.5382771492004395,1988-02-10
7.615200996398926,1988-02-11
7.845958232879639,1988-02-12
8.153644561767578,1988-02-16
8.038260459899902,1988-02-17
8.153644561767578,1988-02-18
8.769013404846191,1988-02-19
8.730551719665527,1988-02-22
8.615175247192383,1988-02-23
8.538248062133789,1988-02-24
8.653629302978516,1988-02-25
8.692093849182129,1988-02-26
9.307463645935059,1988-02-29
9.153618812561035,1988-03-01
9.345921516418457,1988-03-02
9.230539321899414,1988-03-03
9.538226127624512,1988-03-04
9.807446479797363,1988-03-07
9.807446479797363,1988-03-08
9.768987655639648,1988-03-09
8.961315155029297,1988-03-10
8.965957641601562,1988-03-11
9.31377124786377,1988-03-14
9.854820251464844,1988-03-15
9.70023250579834,1988-03-16
9.738882064819336,1988-03-17
9.545650482177734,1988-03-18
9.275127410888672,1988-03-21
9.197834014892578,1988-03-22
9.275127410888672,1988-03-23
8.88866138458252,1988-03-24
8.772724151611328,1988-03-25
8.811369895935059,1988-03-28
9.31377124786377,1988-03-29
9.236479759216309,1988-03-30
9.31377124786377,1988-03-31
9.275127410888672,1988-04-04
9.352417945861816,1988-04-05
9.77752685546875,1988-04-06
9.89346694946289,1988-04-07
9.89346694946289,1988-04-08
9.738882064819336,1988-04-11
9.545650482177734,1988-04-12
9.545650482177734,1988-04-13
9.1205415725708,1988-04-14
9.1205415725708,1988-04-15
8.88866138458252,1988-04-18
8.927306175231934,1988-04-19
9.004598617553711,1988-04-20
9.1205415725708,1988-04-21
9.197834014892578,1988-04-22
9.42971134185791,1988-04-25
9.661588668823242,1988-04-26
9.468356132507324,1988-04-27
9.352417945861816,1988-04-28
9.1205415725708,1988-04-29
9.197834014892578,1988-05-02
9.275127410888672,1988-05-03
9.1205415725708,1988-05-04
9.043246269226074,1988-05-05
8.965957641601562,1988-05-06
8.734077453613281,1988-05-09
8.695428848266602,1988-05-10
8.231672286987305,1988-05-11
8.54084587097168,1988-05-12
8.965957641601562,1988-05-13
8.965957641601562,1988-05-16
9.081891059875488,1988-05-17
8.850017547607422,1988-05-18
8.734077453613281,1988-05-19
8.965957641601562,1988-05-20
8.734077453613281,1988-05-23
