MRNA,Date
272.2099914550781,2021-12-09
257.05999755859375,2021-12-10
271.989990234375,2021-12-13
277.1600036621094,2021-12-14
283.2799987792969,2021-12-15
282.0199890136719,2021-12-16
294.79998779296875,2021-12-17
276.3800048828125,2021-12-20
268.1400146484375,2021-12-21
251.36000061035156,2021-12-22
249.99000549316406,2021-12-23
246.8800048828125,2021-12-27
241.44000244140625,2021-12-28
247.8800048828125,2021-12-29
251.60000610351562,2021-12-30
253.97999572753906,2021-12-31
235.0500030517578,2022-01-03
233.05999755859375,2022-01-04
215.22999572753906,2022-01-05
216.05999755859375,2022-01-06
213.86000061035156,2022-01-07
233.6999969482422,2022-01-10
221.38999938964844,2022-01-11
222.88999938964844,2022-01-12
210.1699981689453,2022-01-13
204.72999572753906,2022-01-14
186.61000061035156,2022-01-18
174.07000732421875,2022-01-19
167.52000427246094,2022-01-20
160.07000732421875,2022-01-21
157.3000030517578,2022-01-24
152.5399932861328,2022-01-25
154.9600067138672,2022-01-26
148.6199951171875,2022-01-27
159.47000122070312,2022-01-28
169.3300018310547,2022-01-31
172.74000549316406,2022-02-01
169.61000061035156,2022-02-02
163.9499969482422,2022-02-03
163.00999450683594,2022-02-04
160.27000427246094,2022-02-07
153.30999755859375,2022-02-08
164.02999877929688,2022-02-09
160.4199981689453,2022-02-10
161.32000732421875,2022-02-11
142.47000122070312,2022-02-14
151.1199951171875,2022-02-15
151.80999755859375,2022-02-16
146.36000061035156,2022-02-17
145.74000549316406,2022-02-18
144.97000122070312,2022-02-22
135.72999572753906,2022-02-23
156.22999572753906,2022-02-24
151.3300018310547,2022-02-25
153.60000610351562,2022-02-28
149.52000427246094,2022-03-01
147.86000061035156,2022-03-02
141.52000427246094,2022-03-03
136.4600067138672,2022-03-04
126.45999908447266,2022-03-07
129.27999877929688,2022-03-08
142.49000549316406,2022-03-09
139.52000427246094,2022-03-10
138.1999969482422,2022-03-11
150.07000732421875,2022-03-14
148.1199951171875,2022-03-15
169.36000061035156,2022-03-16
168.25999450683594,2022-03-17
178.92999267578125,2022-03-18
175.3800048828125,2022-03-21
186.72000122070312,2022-03-22
178.72999572753906,2022-03-23
179.67999267578125,2022-03-24
165.9199981689453,2022-03-25
173.0800018310547,2022-03-28
180.63999938964844,2022-03-29
174.9199981689453,2022-03-30
172.25999450683594,2022-03-31
176.58999633789062,2022-04-01
172.5399932861328,2022-04-04
162.0500030517578,2022-04-05
154.6199951171875,2022-04-06
159.0,2022-04-07
160.83999633789062,2022-04-08
160.0,2022-04-11
159.5,2022-04-12
169.66000366210938,2022-04-13
165.49000549316406,2022-04-14
154.75,2022-04-18
152.72000122070312,2022-04-19
150.1199951171875,2022-04-20
144.5,2022-04-21
140.33999633789062,2022-04-22
150.41000366210938,2022-04-25
145.7899932861328,2022-04-26
142.42999267578125,2022-04-27
142.52000427246094,2022-04-28
134.41000366210938,2022-04-29
142.0800018310547,2022-05-02
146.5399932861328,2022-05-03
155.0500030517578,2022-05-04
142.02000427246094,2022-05-05
134.39999389648438,2022-05-06
135.8000030517578,2022-05-09
132.32000732421875,2022-05-10
123.43000030517578,2022-05-11
130.1699981689453,2022-05-12
137.91000366210938,2022-05-13
136.25999450683594,2022-05-16
142.27999877929688,2022-05-17
137.7100067138672,2022-05-18
143.3800048828125,2022-05-19
136.25,2022-05-20
137.6199951171875,2022-05-23
132.05999755859375,2022-05-24
130.85000610351562,2022-05-25
135.8000030517578,2022-05-26
147.66000366210938,2022-05-27
145.3300018310547,2022-05-31
143.39999389648438,2022-06-01
140.17999267578125,2022-06-02
137.14999389648438,2022-06-03
140.0,2022-06-06
145.33999633789062,2022-06-07
148.52999877929688,2022-06-08
134.0399932861328,2022-06-09
127.12000274658203,2022-06-10
117.12999725341797,2022-06-13
121.55999755859375,2022-06-14
128.52999877929688,2022-06-15
121.08000183105469,2022-06-16
128.02999877929688,2022-06-17
129.99000549316406,2022-06-21
136.07000732421875,2022-06-22
143.25999450683594,2022-06-23
144.27000427246094,2022-06-24
145.36000061035156,2022-06-27
142.19000244140625,2022-06-28
142.80999755859375,2022-06-29
142.85000610351562,2022-06-30
149.9499969482422,2022-07-01
155.5399932861328,2022-07-05
159.55999755859375,2022-07-06
172.39999389648438,2022-07-07
176.22999572753906,2022-07-08
175.25999450683594,2022-07-11
173.25,2022-07-12
171.24000549316406,2022-07-13
159.9199981689453,2022-07-14
166.91000366210938,2022-07-15
163.39999389648438,2022-07-18
167.13999938964844,2022-07-19
166.88999938964844,2022-07-20
168.88999938964844,2022-07-21
163.52000427246094,2022-07-22
165.69000244140625,2022-07-25
160.89999389648438,2022-07-26
158.02000427246094,2022-07-27
158.07000732421875,2022-07-28
164.08999633789062,2022-07-29
161.50999450683594,2022-08-01
160.80999755859375,2022-08-02
186.49000549316406,2022-08-03
194.17999267578125,2022-08-04
186.83999633789062,2022-08-05
182.94000244140625,2022-08-08
171.13999938964844,2022-08-09
174.27000427246094,2022-08-10
171.80999755859375,2022-08-11
171.17999267578125,2022-08-12
176.77999877929688,2022-08-15
167.9600067138672,2022-08-16
158.0,2022-08-17
150.0,2022-08-18
146.10000610351562,2022-08-19
142.47000122070312,2022-08-22
143.77999877929688,2022-08-23
141.42999267578125,2022-08-24
142.0500030517578,2022-08-25
136.6999969482422,2022-08-26
137.25999450683594,2022-08-29
135.92999267578125,2022-08-30
132.27000427246094,2022-08-31
138.9499969482422,2022-09-01
138.57000732421875,2022-09-02
130.0800018310547,2022-09-06
134.89999389648438,2022-09-07
141.27999877929688,2022-09-08
142.27999877929688,2022-09-09
140.32000732421875,2022-09-12
131.3000030517578,2022-09-13
139.39999389648438,2022-09-14
135.86000061035156,2022-09-15
137.74000549316406,2022-09-16
127.9000015258789,2022-09-19
129.7050018310547,2022-09-20
125.76000213623047,2022-09-21
124.31999969482422,2022-09-22
123.63999938964844,2022-09-23
119.69000244140625,2022-09-26
122.2300033569336,2022-09-27
122.1500015258789,2022-09-28
118.06999969482422,2022-09-29
118.25,2022-09-30
120.98999786376953,2022-10-03
125.66999816894531,2022-10-04
125.62000274658203,2022-10-05
125.1500015258789,2022-10-06
119.31999969482422,2022-10-07
123.41999816894531,2022-10-10
120.72000122070312,2022-10-11
130.72000122070312,2022-10-12
134.72000122070312,2022-10-13
134.0,2022-10-14
139.25,2022-10-17
134.08999633789062,2022-10-18
123.5199966430664,2022-10-19
118.37999725341797,2022-10-20
128.32000732421875,2022-10-21
133.02000427246094,2022-10-24
136.57000732421875,2022-10-25
142.0,2022-10-26
144.11000061035156,2022-10-27
150.97000122070312,2022-10-28
150.3300018310547,2022-10-31
154.6199951171875,2022-11-01
148.6199951171875,2022-11-02
147.5,2022-11-03
158.41000366210938,2022-11-04
164.0399932861328,2022-11-07
164.61000061035156,2022-11-08
163.2100067138672,2022-11-09
168.55999755859375,2022-11-10
171.1999969482422,2022-11-11
179.02999877929688,2022-11-14
185.47000122070312,2022-11-15
185.25,2022-11-16
183.89999389648438,2022-11-17
181.58999633789062,2022-11-18
176.75,2022-11-21
179.58999633789062,2022-11-22
176.80999755859375,2022-11-23
176.39999389648438,2022-11-25
175.3800048828125,2022-11-28
173.14999389648438,2022-11-29
175.91000366210938,2022-11-30
181.47999572753906,2022-12-01
182.35000610351562,2022-12-02
175.92999267578125,2022-12-05
173.5399932861328,2022-12-06
179.0,2022-12-07
184.6999969482422,2022-12-08
177.35000610351562,2022-12-09
165.1300048828125,2022-12-12
197.5399932861328,2022-12-13
208.9499969482422,2022-12-14
207.25,2022-12-15
193.2899932861328,2022-12-16
189.88999938964844,2022-12-19
201.16000366210938,2022-12-20
210.0399932861328,2022-12-21
208.33999633789062,2022-12-22
199.0800018310547,2022-12-23
180.1699981689453,2022-12-27
176.5,2022-12-28
178.86000061035156,2022-12-29
179.6199951171875,2022-12-30
178.99000549316406,2023-01-03
177.36000061035156,2023-01-04
173.50999450683594,2023-01-05
180.35000610351562,2023-01-06
183.9499969482422,2023-01-09
189.64999389648438,2023-01-10
186.63999938964844,2023-01-11
188.05999755859375,2023-01-12
192.0,2023-01-13
190.69000244140625,2023-01-17
197.02000427246094,2023-01-18
190.3800048828125,2023-01-19
193.97999572753906,2023-01-20
196.94000244140625,2023-01-23
196.75999450683594,2023-01-24
193.07000732421875,2023-01-25
193.24000549316406,2023-01-26
189.35000610351562,2023-01-27
180.8699951171875,2023-01-30
176.05999755859375,2023-01-31
174.3000030517578,2023-02-01
176.35000610351562,2023-02-02
173.25,2023-02-03
170.27000427246094,2023-02-06
171.05999755859375,2023-02-07
164.33999633789062,2023-02-08
164.47999572753906,2023-02-09
169.27999877929688,2023-02-10
171.47999572753906,2023-02-13
175.6199951171875,2023-02-14
177.27999877929688,2023-02-15
172.30999755859375,2023-02-16
166.60000610351562,2023-02-17
160.08999633789062,2023-02-21
158.1699981689453,2023-02-22
147.57000732421875,2023-02-23
139.25999450683594,2023-02-24
138.27000427246094,2023-02-27
138.80999755859375,2023-02-28
135.66000366210938,2023-03-01
137.86000061035156,2023-03-02
143.1999969482422,2023-03-03
144.02999877929688,2023-03-06
141.0500030517578,2023-03-07
142.0800018310547,2023-03-08
137.36000061035156,2023-03-09
138.2899932861328,2023-03-10
147.89999389648438,2023-03-13
151.27999877929688,2023-03-14
149.60000610351562,2023-03-15
151.77999877929688,2023-03-16
150.02000427246094,2023-03-17
154.52000427246094,2023-03-20
152.10000610351562,2023-03-21
148.17999267578125,2023-03-22
149.4199981689453,2023-03-23
150.8800048828125,2023-03-24
148.35000610351562,2023-03-27
146.9199981689453,2023-03-28
148.8000030517578,2023-03-29
147.44000244140625,2023-03-30
153.5800018310547,2023-03-31
159.47999572753906,2023-04-03
156.52000427246094,2023-04-04
154.61000061035156,2023-04-05
158.27000427246094,2023-04-06
160.14999389648438,2023-04-10
155.25,2023-04-11
155.55999755859375,2023-04-12
160.52999877929688,2023-04-13
157.10000610351562,2023-04-14
143.97000122070312,2023-04-17
142.6300048828125,2023-04-18
142.82000732421875,2023-04-19
141.13999938964844,2023-04-20
140.85000610351562,2023-04-21
138.13999938964844,2023-04-24
134.89999389648438,2023-04-25
130.72000122070312,2023-04-26
130.07000732421875,2023-04-27
132.88999938964844,2023-04-28
133.39999389648438,2023-05-01
131.39999389648438,2023-05-02
130.13999938964844,2023-05-03
134.3300018310547,2023-05-04
137.0399932861328,2023-05-05
131.75,2023-05-08
133.77000427246094,2023-05-09
130.8300018310547,2023-05-10
128.41000366210938,2023-05-11
129.3000030517578,2023-05-12
130.25999450683594,2023-05-15
125.11000061035156,2023-05-16
125.56999969482422,2023-05-17
125.33000183105469,2023-05-18
126.23999786376953,2023-05-19
126.73999786376953,2023-05-22
137.75,2023-05-23
131.58999633789062,2023-05-24
126.47000122070312,2023-05-25
126.23999786376953,2023-05-26
128.88999938964844,2023-05-30
127.70999908447266,2023-05-31
128.52000427246094,2023-06-01
130.50999450683594,2023-06-02
128.89999389648438,2023-06-05
126.9000015258789,2023-06-06
125.61000061035156,2023-06-07
124.94000244140625,2023-06-08
123.26000213623047,2023-06-09
123.5199966430664,2023-06-12
127.9800033569336,2023-06-13
126.05000305175781,2023-06-14
129.97999572753906,2023-06-15
128.72999572753906,2023-06-16
124.2300033569336,2023-06-20
121.06999969482422,2023-06-21
120.4800033569336,2023-06-22
118.5,2023-06-23
120.41000366210938,2023-06-26
120.66999816894531,2023-06-27
123.0,2023-06-28
122.11000061035156,2023-06-29
121.5,2023-06-30
121.7300033569336,2023-07-03
123.54000091552734,2023-07-05
118.29000091552734,2023-07-06
118.87000274658203,2023-07-07
123.08999633789062,2023-07-10
122.12999725341797,2023-07-11
125.91999816894531,2023-07-12
126.61000061035156,2023-07-13
121.3499984741211,2023-07-14
122.5999984741211,2023-07-17
122.61000061035156,2023-07-18
125.16999816894531,2023-07-19
124.7699966430664,2023-07-20
126.43000030517578,2023-07-21
123.01000213623047,2023-07-24
121.87000274658203,2023-07-25
120.6500015258789,2023-07-26
118.51000213623047,2023-07-27
118.66000366210938,2023-07-28
117.66000366210938,2023-07-31
113.94000244140625,2023-08-01
110.22000122070312,2023-08-02
109.94999694824219,2023-08-03
108.19000244140625,2023-08-04
101.19999694824219,2023-08-07
99.73999786376953,2023-08-08
101.81999969482422,2023-08-09
100.27999877929688,2023-08-10
101.48999786376953,2023-08-11
100.0,2023-08-14
96.41000366210938,2023-08-15
98.91999816894531,2023-08-16
106.23999786376953,2023-08-17
101.62000274658203,2023-08-18
111.08000183105469,2023-08-21
116.23999786376953,2023-08-22
115.45999908447266,2023-08-23
112.6500015258789,2023-08-24
111.93000030517578,2023-08-25
113.83000183105469,2023-08-28
115.98999786376953,2023-08-29
116.62000274658203,2023-08-30
113.06999969482422,2023-08-31
112.55999755859375,2023-09-01
109.36000061035156,2023-09-05
108.23999786376953,2023-09-06
108.3499984741211,2023-09-07
107.63999938964844,2023-09-08
105.80000305175781,2023-09-11
105.23999786376953,2023-09-12
108.58999633789062,2023-09-13
112.80999755859375,2023-09-14
114.58999633789062,2023-09-15
104.13999938964844,2023-09-18
106.73999786376953,2023-09-19
103.52999877929688,2023-09-20
100.2300033569336,2023-09-21
99.98999786376953,2023-09-22
98.16999816894531,2023-09-25
98.12000274658203,2023-09-26
99.44000244140625,2023-09-27
100.2699966430664,2023-09-28
103.29000091552734,2023-09-29
