TEAM,Date
21.0,2015-12-09
27.780000686645508,2015-12-10
27.5,2015-12-11
26.260000228881836,2015-12-14
26.5,2015-12-15
26.540000915527344,2015-12-16
28.010000228881836,2015-12-17
28.219999313354492,2015-12-18
29.350000381469727,2015-12-21
30.100000381469727,2015-12-22
28.489999771118164,2015-12-23
28.209999084472656,2015-12-24
28.899999618530273,2015-12-28
31.100000381469727,2015-12-29
30.209999084472656,2015-12-30
30.079999923706055,2015-12-31
27.40999984741211,2016-01-04
26.770000457763672,2016-01-05
27.049999237060547,2016-01-06
26.969999313354492,2016-01-07
27.170000076293945,2016-01-08
27.1200008392334,2016-01-11
26.81999969482422,2016-01-12
26.729999542236328,2016-01-13
26.84000015258789,2016-01-14
25.190000534057617,2016-01-15
24.020000457763672,2016-01-19
22.6299991607666,2016-01-20
24.239999771118164,2016-01-21
24.610000610351562,2016-01-22
23.670000076293945,2016-01-25
24.010000228881836,2016-01-26
22.280000686645508,2016-01-27
20.389999389648438,2016-01-28
20.770000457763672,2016-01-29
21.170000076293945,2016-02-01
21.34000015258789,2016-02-02
23.770000457763672,2016-02-03
24.0,2016-02-04
20.190000534057617,2016-02-05
17.920000076293945,2016-02-08
18.920000076293945,2016-02-09
20.059999465942383,2016-02-10
20.350000381469727,2016-02-11
20.100000381469727,2016-02-12
22.18000030517578,2016-02-16
23.350000381469727,2016-02-17
22.0,2016-02-18
22.1299991607666,2016-02-19
22.110000610351562,2016-02-22
22.510000228881836,2016-02-23
22.559999465942383,2016-02-24
23.53499984741211,2016-02-25
23.299999237060547,2016-02-26
23.770000457763672,2016-02-29
23.600000381469727,2016-03-01
24.15999984741211,2016-03-02
23.0,2016-03-03
23.020000457763672,2016-03-04
23.030000686645508,2016-03-07
22.360000610351562,2016-03-08
21.770000457763672,2016-03-09
22.219999313354492,2016-03-10
22.969999313354492,2016-03-11
22.729999542236328,2016-03-14
23.5,2016-03-15
24.190000534057617,2016-03-16
24.420000076293945,2016-03-17
23.239999771118164,2016-03-18
23.920000076293945,2016-03-21
24.690000534057617,2016-03-22
24.6299991607666,2016-03-23
23.81999969482422,2016-03-24
24.010000228881836,2016-03-28
24.110000610351562,2016-03-29
23.739999771118164,2016-03-30
25.149999618530273,2016-03-31
23.690000534057617,2016-04-01
24.100000381469727,2016-04-04
23.479999542236328,2016-04-05
23.549999237060547,2016-04-06
23.059999465942383,2016-04-07
23.239999771118164,2016-04-08
23.229999542236328,2016-04-11
23.110000610351562,2016-04-12
23.56999969482422,2016-04-13
22.940000534057617,2016-04-14
22.610000610351562,2016-04-15
23.299999237060547,2016-04-18
23.399999618530273,2016-04-19
23.610000610351562,2016-04-20
24.299999237060547,2016-04-21
23.81999969482422,2016-04-22
23.90999984741211,2016-04-25
24.100000381469727,2016-04-26
23.65999984741211,2016-04-27
23.190000534057617,2016-04-28
23.170000076293945,2016-04-29
24.170000076293945,2016-05-02
23.780000686645508,2016-05-03
23.280000686645508,2016-05-04
