POOL,Date
0.6910958290100098,1995-10-13
0.6993229985237122,1995-10-16
0.6910958290100098,1995-10-17
0.6581861972808838,1995-10-18
0.6664137244224548,1995-10-19
0.6910958290100098,1995-10-20
0.6828683614730835,1995-10-23
0.6746410131454468,1995-10-24
0.6746410131454468,1995-10-25
0.6664137244224548,1995-10-26
0.6664137244224548,1995-10-27
0.6664137244224548,1995-10-30
0.6664137244224548,1995-10-31
0.6664137244224548,1995-11-01
0.6581861972808838,1995-11-02
0.6581861972808838,1995-11-03
0.6581861972808838,1995-11-06
0.7240045070648193,1995-11-07
0.6910958290100098,1995-11-08
0.6746410131454468,1995-11-09
0.6746410131454468,1995-11-10
0.6993229985237122,1995-11-13
0.7075505256652832,1995-11-14
0.6746410131454468,1995-11-15
0.7075505256652832,1995-11-16
0.7075505256652832,1995-11-17
0.6581861972808838,1995-11-20
0.7075505256652832,1995-11-21
0.7075505256652832,1995-11-22
0.6581861972808838,1995-11-24
0.7075505256652832,1995-11-27
0.7075505256652832,1995-11-28
0.6910958290100098,1995-11-29
0.6664137244224548,1995-11-30
0.6581861972808838,1995-12-01
0.6581861972808838,1995-12-04
0.6581861972808838,1995-12-05
0.6910958290100098,1995-12-06
0.6910958290100098,1995-12-07
0.6581861972808838,1995-12-08
0.6664137244224548,1995-12-11
0.6910958290100098,1995-12-12
0.6910958290100098,1995-12-13
0.6746410131454468,1995-12-14
0.6910958290100098,1995-12-15
0.6910958290100098,1995-12-18
0.6581861972808838,1995-12-19
0.6581861972808838,1995-12-20
0.6910958290100098,1995-12-21
0.6746410131454468,1995-12-22
0.6581861972808838,1995-12-26
0.6910958290100098,1995-12-27
0.6746410131454468,1995-12-28
0.6880099177360535,1995-12-29
0.6787546873092651,1996-01-02
0.6828683614730835,1996-01-03
0.7075505256652832,1996-01-04
0.7240045070648193,1996-01-05
0.7157779932022095,1996-01-08
0.7157779932022095,1996-01-09
0.7240045070648193,1996-01-10
0.7240045070648193,1996-01-11
0.7240045070648193,1996-01-12
0.7404590249061584,1996-01-15
0.7240045070648193,1996-01-16
0.7404590249061584,1996-01-17
0.7774826288223267,1996-01-18
0.7404590249061584,1996-01-19
0.7404590249061584,1996-01-22
0.7404590249061584,1996-01-23
0.7404590249061584,1996-01-24
0.7898235321044922,1996-01-25
0.7733687162399292,1996-01-26
0.756913959980011,1996-01-29
0.8062782883644104,1996-01-30
0.8062782883644104,1996-01-31
0.7733687162399292,1996-02-01
0.7815964221954346,1996-02-02
0.7898235321044922,1996-02-05
0.8062782883644104,1996-02-06
0.7733687162399292,1996-02-07
0.8062782883644104,1996-02-08
0.7733687162399292,1996-02-09
0.7733687162399292,1996-02-12
0.8227328658103943,1996-02-13
0.8227328658103943,1996-02-14
0.7815964221954346,1996-02-15
0.8227328658103943,1996-02-16
0.7815964221954346,1996-02-20
0.7815964221954346,1996-02-21
0.7898235321044922,1996-02-22
0.7815964221954346,1996-02-23
0.7815964221954346,1996-02-26
0.7898235321044922,1996-02-27
0.7898235321044922,1996-02-28
0.8309602737426758,1996-02-29
0.8885514736175537,1996-03-01
0.9214612245559692,1996-03-04
0.8720967769622803,1996-03-05
0.8638691902160645,1996-03-06
0.8556414842605591,1996-03-07
0.8556414842605591,1996-03-08
0.8556414842605591,1996-03-11
0.8556414842605591,1996-03-12
0.8638691902160645,1996-03-13
0.8720967769622803,1996-03-14
0.8885514736175537,1996-03-15
0.8556414842605591,1996-03-18
0.9050062894821167,1996-03-19
0.8556414842605591,1996-03-20
0.8556414842605591,1996-03-21
0.8803242444992065,1996-03-22
0.8638691902160645,1996-03-25
0.8885514736175537,1996-03-26
0.9050062894821167,1996-03-27
0.9872792363166809,1996-03-28
0.9543701410293579,1996-03-29
1.00373375415802,1996-04-01
0.9872792363166809,1996-04-02
0.9708252549171448,1996-04-03
0.9543701410293579,1996-04-04
0.9214612245559692,1996-04-08
0.937915563583374,1996-04-09
0.937915563583374,1996-04-10
0.9872792363166809,1996-04-11
0.9543701410293579,1996-04-12
0.9872792363166809,1996-04-15
0.962597668170929,1996-04-16
0.9872792363166809,1996-04-17
0.9872792363166809,1996-04-18
0.9708252549171448,1996-04-19
0.9708252549171448,1996-04-22
0.9708252549171448,1996-04-23
0.9708252549171448,1996-04-24
0.9708252549171448,1996-04-25
1.0201879739761353,1996-04-26
1.0366429090499878,1996-04-29
1.1024624109268188,1996-04-30
1.0860072374343872,1996-05-01
1.0860072374343872,1996-05-02
1.0860072374343872,1996-05-03
1.0860072374343872,1996-05-06
1.0860072374343872,1996-05-07
1.1189162731170654,1996-05-08
1.0860072374343872,1996-05-09
1.0860072374343872,1996-05-10
1.1765081882476807,1996-05-13
1.1682806015014648,1996-05-14
1.184735655784607,1996-05-15
1.184735655784607,1996-05-16
1.135371446609497,1996-05-17
1.1600534915924072,1996-05-20
1.1682806015014648,1996-05-21
1.1518259048461914,1996-05-22
1.184735655784607,1996-05-23
1.184735655784607,1996-05-24
1.1929631233215332,1996-05-28
1.250554084777832,1996-05-29
1.2011897563934326,1996-05-30
1.250554084777832,1996-05-31
1.250554084777832,1996-06-03
1.250554084777832,1996-06-04
1.283463478088379,1996-06-05
1.2670081853866577,1996-06-06
1.283463478088379,1996-06-07
1.2670081853866577,1996-06-10
1.2670081853866577,1996-06-11
1.2670081853866577,1996-06-12
1.283463478088379,1996-06-13
1.250554084777832,1996-06-14
1.250554084777832,1996-06-17
1.135371446609497,1996-06-18
1.1518259048461914,1996-06-19
1.1682806015014648,1996-06-20
1.184735655784607,1996-06-21
1.225872278213501,1996-06-24
1.184735655784607,1996-06-25
1.184735655784607,1996-06-26
1.1518259048461914,1996-06-27
1.184735655784607,1996-06-28
1.2011897563934326,1996-07-01
1.184735655784607,1996-07-02
1.2011897563934326,1996-07-03
1.184735655784607,1996-07-05
1.1765081882476807,1996-07-08
1.184735655784607,1996-07-09
1.1765081882476807,1996-07-10
1.1765081882476807,1996-07-11
1.135371446609497,1996-07-12
1.2340996265411377,1996-07-15
1.135371446609497,1996-07-16
1.1518259048461914,1996-07-17
1.1929631233215332,1996-07-18
1.2340996265411377,1996-07-19
1.250554084777832,1996-07-22
1.2340996265411377,1996-07-23
1.2340996265411377,1996-07-24
1.184735655784607,1996-07-25
1.2340996265411377,1996-07-26
1.2340996265411377,1996-07-29
1.184735655784607,1996-07-30
1.2340996265411377,1996-07-31
1.184735655784607,1996-08-01
1.2011897563934326,1996-08-02
1.2011897563934326,1996-08-05
1.2176448106765747,1996-08-06
1.184735655784607,1996-08-07
1.184735655784607,1996-08-08
1.184735655784607,1996-08-09
1.2011897563934326,1996-08-12
1.2011897563934326,1996-08-13
1.184735655784607,1996-08-14
1.1929631233215332,1996-08-15
1.250554084777832,1996-08-16
1.184735655784607,1996-08-19
1.184735655784607,1996-08-20
1.2340996265411377,1996-08-21
1.2340996265411377,1996-08-22
1.2340996265411377,1996-08-23
1.2094175815582275,1996-08-26
1.2011897563934326,1996-08-27
1.2011897563934326,1996-08-28
1.250554084777832,1996-08-29
1.250554084777832,1996-08-30
1.184735655784607,1996-09-03
1.184735655784607,1996-09-04
1.184735655784607,1996-09-05
1.184735655784607,1996-09-06
1.250554084777832,1996-09-09
1.184735655784607,1996-09-10
1.250554084777832,1996-09-11
1.258780837059021,1996-09-12
1.365736722946167,1996-09-13
1.365736722946167,1996-09-16
1.365736722946167,1996-09-17
1.365736722946167,1996-09-18
1.3163723945617676,1996-09-19
1.3328274488449097,1996-09-20
1.3492820262908936,1996-09-23
1.3163723945617676,1996-09-24
1.3163723945617676,1996-09-25
1.365736722946167,1996-09-26
1.365736722946167,1996-09-27
1.3328274488449097,1996-09-30
1.3163723945617676,1996-10-01
1.365736722946167,1996-10-02
1.3163723945617676,1996-10-03
1.3163723945617676,1996-10-04
1.3328274488449097,1996-10-07
1.3492820262908936,1996-10-08
1.3163723945617676,1996-10-09
1.3245996236801147,1996-10-10
1.3163723945617676,1996-10-11
1.365736722946167,1996-10-14
1.3081454038619995,1996-10-15
1.3492820262908936,1996-10-16
1.3492820262908936,1996-10-17
1.2999181747436523,1996-10-18
1.250554084777832,1996-10-21
1.283463478088379,1996-10-22
1.250554084777832,1996-10-23
1.250554084777832,1996-10-24
1.250554084777832,1996-10-25
1.2176448106765747,1996-10-28
1.2670081853866577,1996-10-29
1.184735655784607,1996-10-30
1.184735655784607,1996-10-31
1.184735655784607,1996-11-01
1.184735655784607,1996-11-04
1.250554084777832,1996-11-05
1.2340996265411377,1996-11-06
1.2670081853866577,1996-11-07
1.2670081853866577,1996-11-08
1.2094175815582275,1996-11-11
1.2340996265411377,1996-11-12
1.250554084777832,1996-11-13
1.283463478088379,1996-11-14
1.2999181747436523,1996-11-15
1.2999181747436523,1996-11-18
1.2670081853866577,1996-11-19
1.2340996265411377,1996-11-20
1.250554084777832,1996-11-21
1.250554084777832,1996-11-22
1.2340996265411377,1996-11-25
1.250554084777832,1996-11-26
1.258780837059021,1996-11-27
1.250554084777832,1996-11-29
1.2670081853866577,1996-12-02
1.2670081853866577,1996-12-03
1.2670081853866577,1996-12-04
1.2340996265411377,1996-12-05
1.2176448106765747,1996-12-06
1.2340996265411377,1996-12-09
1.283463478088379,1996-12-10
1.2670081853866577,1996-12-11
1.2670081853866577,1996-12-12
1.2670081853866577,1996-12-13
1.2670081853866577,1996-12-16
1.2670081853866577,1996-12-17
1.3163723945617676,1996-12-18
1.365736722946167,1996-12-19
1.283463478088379,1996-12-20
1.283463478088379,1996-12-23
1.283463478088379,1996-12-24
1.283463478088379,1996-12-26
1.283463478088379,1996-12-27
1.283463478088379,1996-12-30
1.365736722946167,1996-12-31
1.3163723945617676,1997-01-02
1.365736722946167,1997-01-03
1.3163723945617676,1997-01-06
1.3163723945617676,1997-01-07
1.3163723945617676,1997-01-08
1.365736722946167,1997-01-09
1.2999181747436523,1997-01-10
1.3492820262908936,1997-01-13
1.2999181747436523,1997-01-14
1.3821908235549927,1997-01-15
1.3986451625823975,1997-01-16
1.3328274488449097,1997-01-17
1.3328274488449097,1997-01-20
1.365736722946167,1997-01-21
1.448009729385376,1997-01-22
1.448009729385376,1997-01-23
1.3821908235549927,1997-01-24
1.4644643068313599,1997-01-27
1.41510009765625,1997-01-28
1.448009729385376,1997-01-29
1.448009729385376,1997-01-30
1.41510009765625,1997-01-31
