NCLH,Date
24.790000915527344,2013-01-18
26.950000762939453,2013-01-22
27.489999771118164,2013-01-23
27.350000381469727,2013-01-24
27.350000381469727,2013-01-25
27.760000228881836,2013-01-28
27.110000610351562,2013-01-29
26.290000915527344,2013-01-30
26.3700008392334,2013-01-31
27.649999618530273,2013-02-01
28.40999984741211,2013-02-04
28.540000915527344,2013-02-05
27.979999542236328,2013-02-06
27.549999237060547,2013-02-07
27.90999984741211,2013-02-08
27.68000030517578,2013-02-11
28.31999969482422,2013-02-12
28.920000076293945,2013-02-13
29.25,2013-02-14
30.270000457763672,2013-02-15
31.190000534057617,2013-02-19
30.799999237060547,2013-02-20
30.469999313354492,2013-02-21
29.989999771118164,2013-02-22
30.780000686645508,2013-02-25
30.209999084472656,2013-02-26
30.260000228881836,2013-02-27
30.979999542236328,2013-02-28
30.989999771118164,2013-03-01
30.450000762939453,2013-03-04
30.030000686645508,2013-03-05
30.020000457763672,2013-03-06
30.290000915527344,2013-03-07
30.299999237060547,2013-03-08
30.65999984741211,2013-03-11
30.850000381469727,2013-03-12
30.780000686645508,2013-03-13
30.0,2013-03-14
29.81999969482422,2013-03-15
30.290000915527344,2013-03-18
30.260000228881836,2013-03-19
30.5,2013-03-20
30.030000686645508,2013-03-21
30.18000030517578,2013-03-22
29.479999542236328,2013-03-25
29.540000915527344,2013-03-26
30.149999618530273,2013-03-27
29.649999618530273,2013-03-28
29.93000030517578,2013-04-01
29.920000076293945,2013-04-02
29.190000534057617,2013-04-03
29.270000457763672,2013-04-04
29.299999237060547,2013-04-05
29.989999771118164,2013-04-08
30.34000015258789,2013-04-09
30.530000686645508,2013-04-10
30.639999389648438,2013-04-11
30.5,2013-04-12
30.06999969482422,2013-04-15
30.0,2013-04-16
29.549999237060547,2013-04-17
29.34000015258789,2013-04-18
29.43000030517578,2013-04-19
29.3799991607666,2013-04-22
29.34000015258789,2013-04-23
28.899999618530273,2013-04-24
30.059999465942383,2013-04-25
30.389999389648438,2013-04-26
30.360000610351562,2013-04-29
31.010000228881836,2013-04-30
31.09000015258789,2013-05-01
31.360000610351562,2013-05-02
31.530000686645508,2013-05-03
31.81999969482422,2013-05-06
31.65999984741211,2013-05-07
31.899999618530273,2013-05-08
31.709999084472656,2013-05-09
31.010000228881836,2013-05-10
30.459999084472656,2013-05-13
30.760000228881836,2013-05-14
31.360000610351562,2013-05-15
31.420000076293945,2013-05-16
31.559999465942383,2013-05-17
32.029998779296875,2013-05-20
32.0,2013-05-21
31.799999237060547,2013-05-22
31.959999084472656,2013-05-23
32.150001525878906,2013-05-24
31.75,2013-05-28
31.56999969482422,2013-05-29
30.81999969482422,2013-05-30
30.75,2013-05-31
31.350000381469727,2013-06-03
31.40999984741211,2013-06-04
30.850000381469727,2013-06-05
30.790000915527344,2013-06-06
31.239999771118164,2013-06-07
31.170000076293945,2013-06-10
31.649999618530273,2013-06-11
31.110000610351562,2013-06-12
31.079999923706055,2013-06-13
31.280000686645508,2013-06-14
31.190000534057617,2013-06-17
31.549999237060547,2013-06-18
31.299999237060547,2013-06-19
31.280000686645508,2013-06-20
29.719999313354492,2013-06-21
28.270000457763672,2013-06-24
28.760000228881836,2013-06-25
29.43000030517578,2013-06-26
30.030000686645508,2013-06-27
30.309999465942383,2013-06-28
30.950000762939453,2013-07-01
30.479999542236328,2013-07-02
30.59000015258789,2013-07-03
31.649999618530273,2013-07-05
31.790000915527344,2013-07-08
31.760000228881836,2013-07-09
31.5,2013-07-10
31.43000030517578,2013-07-11
31.530000686645508,2013-07-12
31.3799991607666,2013-07-15
31.399999618530273,2013-07-16
31.350000381469727,2013-07-17
31.3700008392334,2013-07-18
31.200000762939453,2013-07-19
31.299999237060547,2013-07-22
31.1299991607666,2013-07-23
30.719999313354492,2013-07-24
30.270000457763672,2013-07-25
30.969999313354492,2013-07-26
30.260000228881836,2013-07-29
29.760000228881836,2013-07-30
30.309999465942383,2013-07-31
30.25,2013-08-01
30.59000015258789,2013-08-02
30.739999771118164,2013-08-05
30.260000228881836,2013-08-06
30.18000030517578,2013-08-07
30.049999237060547,2013-08-08
31.020000457763672,2013-08-09
31.600000381469727,2013-08-12
32.220001220703125,2013-08-13
32.439998626708984,2013-08-14
32.790000915527344,2013-08-15
31.969999313354492,2013-08-16
31.459999084472656,2013-08-19
31.459999084472656,2013-08-20
31.799999237060547,2013-08-21
32.41999816894531,2013-08-22
31.780000686645508,2013-08-23
31.690000534057617,2013-08-26
31.209999084472656,2013-08-27
31.100000381469727,2013-08-28
31.209999084472656,2013-08-29
31.09000015258789,2013-08-30
31.459999084472656,2013-09-03
31.15999984741211,2013-09-04
31.149999618530273,2013-09-05
31.309999465942383,2013-09-06
31.190000534057617,2013-09-09
31.75,2013-09-10
31.799999237060547,2013-09-11
31.8799991607666,2013-09-12
32.56999969482422,2013-09-13
32.29999923706055,2013-09-16
33.18000030517578,2013-09-17
33.060001373291016,2013-09-18
33.189998626708984,2013-09-19
33.04999923706055,2013-09-20
32.84000015258789,2013-09-23
31.940000534057617,2013-09-24
31.649999618530273,2013-09-25
31.270000457763672,2013-09-26
31.020000457763672,2013-09-27
30.850000381469727,2013-09-30
30.829999923706055,2013-10-01
31.34000015258789,2013-10-02
30.540000915527344,2013-10-03
31.25,2013-10-04
30.850000381469727,2013-10-07
30.200000762939453,2013-10-08
30.31999969482422,2013-10-09
30.889999389648438,2013-10-10
30.739999771118164,2013-10-11
30.479999542236328,2013-10-14
30.15999984741211,2013-10-15
29.93000030517578,2013-10-16
29.809999465942383,2013-10-17
30.059999465942383,2013-10-18
31.219999313354492,2013-10-21
31.989999771118164,2013-10-22
32.349998474121094,2013-10-23
32.869998931884766,2013-10-24
32.439998626708984,2013-10-25
32.060001373291016,2013-10-28
32.22999954223633,2013-10-29
32.119998931884766,2013-10-30
32.02000045776367,2013-10-31
32.279998779296875,2013-11-01
32.720001220703125,2013-11-04
31.860000610351562,2013-11-05
32.2400016784668,2013-11-06
31.309999465942383,2013-11-07
31.420000076293945,2013-11-08
32.099998474121094,2013-11-11
31.969999313354492,2013-11-12
32.09000015258789,2013-11-13
31.90999984741211,2013-11-14
33.06999969482422,2013-11-15
33.130001068115234,2013-11-18
32.869998931884766,2013-11-19
32.75,2013-11-20
33.20000076293945,2013-11-21
33.56999969482422,2013-11-22
33.54999923706055,2013-11-25
33.9900016784668,2013-11-26
34.36000061035156,2013-11-27
34.099998474121094,2013-11-29
34.119998931884766,2013-12-02
33.54999923706055,2013-12-03
33.2400016784668,2013-12-04
33.0,2013-12-05
33.52000045776367,2013-12-06
33.560001373291016,2013-12-09
33.2400016784668,2013-12-10
33.0,2013-12-11
32.11000061035156,2013-12-12
31.649999618530273,2013-12-13
32.290000915527344,2013-12-16
32.13999938964844,2013-12-17
31.899999618530273,2013-12-18
33.15999984741211,2013-12-19
34.52000045776367,2013-12-20
34.75,2013-12-23
35.099998474121094,2013-12-24
35.060001373291016,2013-12-26
