ASX,Date
1.818730354309082,2000-10-02
1.9312292337417603,2000-10-03
1.7812309265136719,2000-10-04
1.7999805212020874,2000-10-05
1.9124796390533447,2000-10-06
1.9499790668487549,2000-10-09
1.9499790668487549,2000-10-10
1.9124796390533447,2000-10-11
1.762481451034546,2000-10-12
1.7999805212020874,2000-10-13
1.7812309265136719,2000-10-16
1.7062318325042725,2000-10-17
1.7437313795089722,2000-10-18
1.762481451034546,2000-10-19
1.762481451034546,2000-10-20
1.9124796390533447,2000-10-23
2.024977922439575,2000-10-24
1.9874790906906128,2000-10-25
1.9874790906906128,2000-10-26
2.006228446960449,2000-10-27
1.9124796390533447,2000-10-30
1.818730354309082,2000-10-31
1.8562302589416504,2000-11-01
1.762481451034546,2000-11-02
1.7999805212020874,2000-11-03
1.7812309265136719,2000-11-06
1.8374804258346558,2000-11-07
1.9499790668487549,2000-11-08
1.8937299251556396,2000-11-09
1.874979853630066,2000-11-10
1.7999805212020874,2000-11-13
1.7999805212020874,2000-11-14
1.7249815464019775,2000-11-15
1.7249815464019775,2000-11-16
1.6874819993972778,2000-11-17
1.4812343120574951,2000-11-20
1.4999841451644897,2000-11-21
1.4999841451644897,2000-11-22
1.4624838829040527,2000-11-24
1.4812343120574951,2000-11-27
1.4999841451644897,2000-11-28
1.4999841451644897,2000-11-29
1.4624838829040527,2000-11-30
1.4624838829040527,2000-12-01
1.4437341690063477,2000-12-04
1.5187336206436157,2000-12-05
1.4249845743179321,2000-12-06
1.4437341690063477,2000-12-07
1.4999841451644897,2000-12-08
1.4624838829040527,2000-12-11
1.3874852657318115,2000-12-12
1.4437341690063477,2000-12-13
1.3687349557876587,2000-12-14
1.4249845743179321,2000-12-15
1.3874852657318115,2000-12-18
1.2562366724014282,2000-12-19
1.218737244606018,2000-12-20
1.1624876260757446,2000-12-21
1.1437379121780396,2000-12-22
1.1249878406524658,2000-12-26
1.0687386989593506,2000-12-27
0.9562395811080933,2000-12-28
0.9187402129173279,2000-12-29
0.9937395453453064,2001-01-02
1.0312389135360718,2001-01-03
1.1249878406524658,2001-01-04
1.1999869346618652,2001-01-05
1.1249878406524658,2001-01-08
1.2562366724014282,2001-01-09
1.3499855995178223,2001-01-10
1.4812343120574951,2001-01-11
1.4062352180480957,2001-01-12
1.4062352180480957,2001-01-16
1.4249845743179321,2001-01-17
1.4249845743179321,2001-01-18
1.7249815464019775,2001-01-19
1.6874819993972778,2001-01-22
1.6874819993972778,2001-01-23
1.6687322854995728,2001-01-24
1.5937329530715942,2001-01-25
1.4812343120574951,2001-01-26
1.4099845886230469,2001-01-29
1.4369845390319824,2001-01-30
1.5989829301834106,2001-01-31
1.6439825296401978,2001-02-01
1.7309818267822266,2001-02-02
1.6499823331832886,2001-02-05
1.6199828386306763,2001-02-06
1.4849841594696045,2001-02-07
1.505983829498291,2001-02-08
1.4759842157363892,2001-02-09
1.559983253479004,2001-02-12
1.6109827756881714,2001-02-13
1.6079826354980469,2001-02-14
1.8149806261062622,2001-02-15
1.754981279373169,2001-02-16
1.553983211517334,2001-02-20
1.5749833583831787,2001-02-21
1.5149834156036377,2001-02-22
1.4999841451644897,2001-02-23
1.4699846506118774,2001-02-26
1.4849841594696045,2001-02-27
