Date,TFCF
2018-01-22,36.96
2018-01-19,36.26
2018-01-18,35.73
2018-01-17,36.49
2018-01-16,35.79
2018-01-12,36.37
2018-01-11,35.8
2018-01-10,35.32
2018-01-09,36.18
2018-01-08,35.85
2018-01-05,36.35
2018-01-04,36.17
2018-01-03,35.93
2018-01-02,35.36
2017-12-29,34.12
2017-12-28,34.08
2017-12-27,34.14
2017-12-26,34.17
2017-12-22,34.72
2017-12-21,34.53
2017-12-20,33.86
2017-12-19,34.37
2017-12-18,34.5
2017-12-15,34.22
2017-12-14,34.22
2017-12-13,32.34
2017-12-12,33.6
2017-12-11,33.27
2017-12-08,32.97
2017-12-07,33.77
2017-12-06,32.7
2017-12-05,32.48
2017-12-04,32.31
2017-12-01,31.47
2017-11-30,31.15
2017-11-29,31.3
2017-11-28,30.17
2017-11-27,29.7
2017-11-24,29.78
2017-11-22,29.94
2017-11-21,30.1
2017-11-20,29.9
2017-11-17,30.48
2017-11-16,28.6
2017-11-15,27.95
2017-11-14,27.31
2017-11-13,27.82
2017-11-10,28.07
2017-11-09,28.13
2017-11-08,27.35
2017-11-07,27.04
2017-11-06,26.62
2017-11-03,24.43
2017-11-02,25.15
2017-11-01,25.38
2017-10-31,25.45
2017-10-30,25.75
2017-10-27,25.75
2017-10-26,25.7
2017-10-25,25.43
2017-10-24,25.56
2017-10-23,26.01
2017-10-20,26.84
2017-10-19,26.7
2017-10-18,26.59
2017-10-17,26.22
2017-10-16,26.1
2017-10-13,25.83
2017-10-12,25.49
2017-10-11,25.48
2017-10-10,26.15
2017-10-09,25.97
2017-10-06,26.47
2017-10-05,26.32
2017-10-04,26.46
2017-10-03,26.02
2017-10-02,26.05
2017-09-29,25.79
2017-09-28,26.01
2017-09-27,26.77
2017-09-26,26.42
2017-09-25,26.61
2017-09-22,26.43
2017-09-21,26.33
2017-09-20,26.38
2017-09-19,26.27
2017-09-18,26.03
2017-09-15,26.65
2017-09-14,26.0
2017-09-13,26.15
2017-09-12,25.46
2017-09-11,25.67
2017-09-08,25.38
2017-09-07,25.38
2017-09-06,25.97
2017-09-05,26.09
2017-09-01,26.98
2017-08-31,27.1
2017-08-30,27.01
2017-08-29,26.91
2017-08-28,26.76
2017-08-25,26.72
2017-08-24,26.61
2017-08-23,26.66
2017-08-22,26.98
2017-08-21,26.89
2017-08-18,26.79
2017-08-17,26.89
2017-08-16,27.56
2017-08-15,27.44
2017-08-14,27.77
2017-08-11,27.84
2017-08-10,27.47
2017-08-09,27.51
2017-08-08,27.71
2017-08-07,27.84
2017-08-04,28.06
2017-08-03,28.52
2017-08-02,28.28
2017-08-01,28.92
2017-07-31,28.69
2017-07-28,28.91
2017-07-27,29.22
2017-07-26,27.92
2017-07-25,27.71
2017-07-24,27.5
2017-07-21,27.65
2017-07-20,27.61
2017-07-19,27.46
2017-07-18,27.2
2017-07-17,27.23
2017-07-14,27.54
2017-07-13,27.4
2017-07-12,28.31
2017-07-11,27.72
2017-07-10,27.84
2017-07-07,27.56
2017-07-06,27.52
2017-07-05,27.94
2017-07-03,28.13
2017-06-30,27.87
2017-06-29,27.74
2017-06-28,27.77
2017-06-27,27.22
2017-06-26,27.62
2017-06-23,26.93
2017-06-22,26.63
2017-06-21,26.86
2017-06-20,26.74
2017-06-19,27.43
2017-06-16,27.12
2017-06-15,27.41
2017-06-14,27.13
2017-06-13,27.66
2017-06-12,28.17
2017-06-09,27.7
2017-06-08,27.0
2017-06-07,27.19
2017-06-06,27.21
2017-06-05,27.36
2017-06-02,27.6
2017-06-01,27.53
2017-05-31,26.9
2017-05-30,26.96
2017-05-26,26.95
2017-05-25,27.23
2017-05-24,26.67
