HII,Date
31.31967544555664,2011-03-22
31.11919403076172,2011-03-23
31.11919403076172,2011-03-24
32.790016174316406,2011-03-25
31.536888122558594,2011-03-28
31.328035354614258,2011-03-29
31.912824630737305,2011-03-30
34.66969299316406,2011-03-31
33.44999694824219,2011-04-01
33.54187774658203,2011-04-04
33.62543487548828,2011-04-05
33.149234771728516,2011-04-06
32.41407775878906,2011-04-07
32.1634521484375,2011-04-08
32.013084411621094,2011-04-11
31.78751564025879,2011-04-12
31.74574089050293,2011-04-13
32.38901901245117,2011-04-14
33.53352355957031,2011-04-15
33.458351135253906,2011-04-18
33.2327766418457,2011-04-19
33.46669387817383,2011-04-20
32.84013366699219,2011-04-21
32.6396484375,2011-04-25
32.865196228027344,2011-04-26
33.424922943115234,2011-04-27
33.40821838378906,2011-04-28
33.416587829589844,2011-04-29
34.23527908325195,2011-05-02
33.83427047729492,2011-05-03
33.37480926513672,2011-05-04
33.282901763916016,2011-05-05
32.99886703491211,2011-05-06
33.082401275634766,2011-05-09
33.55859375,2011-05-10
32.397361755371094,2011-05-11
32.07156753540039,2011-05-12
32.13004684448242,2011-05-13
32.32218933105469,2011-05-16
32.397361755371094,2011-05-17
32.1634521484375,2011-05-18
32.06321334838867,2011-05-19
31.795875549316406,2011-05-20
31.57866096496582,2011-05-23
31.05236053466797,2011-05-24
30.6346435546875,2011-05-25
30.425785064697266,2011-05-26
30.55945587158203,2011-05-27
30.55109977722168,2011-05-31
30.158449172973633,2011-06-01
30.116687774658203,2011-06-02
29.9078369140625,2011-06-03
30.058210372924805,2011-06-06
30.44249725341797,2011-06-07
30.885276794433594,2011-06-08
30.901979446411133,2011-06-09
30.35059928894043,2011-06-10
30.500978469848633,2011-06-13
30.55945587158203,2011-06-14
30.208595275878906,2011-06-15
30.074922561645508,2011-06-16
30.03314781188965,2011-06-17
30.066566467285156,2011-06-20
30.367313385009766,2011-06-21
30.200239181518555,2011-06-22
29.991371154785156,2011-06-23
29.73239517211914,2011-06-24
29.40657615661621,2011-06-27
29.456708908081055,2011-06-28
29.089122772216797,2011-06-29
28.82179069519043,2011-06-30
28.913692474365234,2011-07-01
28.93874740600586,2011-07-05
29.448347091674805,2011-07-06
28.813438415527344,2011-07-07
29.239503860473633,2011-07-08
29.105833053588867,2011-07-11
28.738248825073242,2011-07-12
