PCAR,Date
0.23297087848186493,1980-03-17
0.22356848418712616,1980-03-18
0.22043415904045105,1980-03-19
0.20476357638835907,1980-03-20
0.2068530172109604,1980-03-21
0.20267409086227417,1980-03-24
0.20580840110778809,1980-03-25
0.20580840110778809,1980-03-26
0.20058467984199524,1980-03-27
0.2068530172109604,1980-03-28
0.2068530172109604,1980-03-31
0.2068530172109604,1980-04-01
0.2037186175584793,1980-04-02
0.2037186175584793,1980-04-03
0.2037186175584793,1980-04-07
0.20267409086227417,1980-04-08
0.20789755880832672,1980-04-09
0.2068530172109604,1980-04-10
0.2068530172109604,1980-04-11
0.20476357638835907,1980-04-14
0.20476357638835907,1980-04-15
0.2037186175584793,1980-04-16
0.19849534332752228,1980-04-17
0.19745057821273804,1980-04-18
0.19745057821273804,1980-04-21
0.19954006373882294,1980-04-22
0.1734221875667572,1980-04-23
0.18386918306350708,1980-04-24
0.18282458186149597,1980-04-25
0.18386918306350708,1980-04-28
0.18386918306350708,1980-04-29
0.18804830312728882,1980-04-30
0.18700344860553741,1980-05-01
0.18595848977565765,1980-05-02
0.18700344860553741,1980-05-05
0.190137580037117,1980-05-06
0.1964060366153717,1980-05-07
0.19954006373882294,1980-05-08
0.2016294151544571,1980-05-09
0.19849534332752228,1980-05-12
0.1932716816663742,1980-05-13
0.19954006373882294,1980-05-14
0.2016294151544571,1980-05-15
0.20476357638835907,1980-05-16
0.2037186175584793,1980-05-19
0.2037186175584793,1980-05-20
0.2037186175584793,1980-05-21
0.2193893939256668,1980-05-22
0.224613219499588,1980-05-23
0.22356848418712616,1980-05-27
0.22043415904045105,1980-05-28
0.21730004251003265,1980-05-29
0.21625550091266632,1980-05-30
0.21625550091266632,1980-06-02
0.21521081030368805,1980-06-03
0.21730004251003265,1980-06-04
0.21521081030368805,1980-06-05
0.21416597068309784,1980-06-06
0.21103167533874512,1980-06-09
0.21103167533874512,1980-06-10
0.2131209671497345,1980-06-11
0.20998699963092804,1980-06-12
0.21103167533874512,1980-06-13
0.21207639575004578,1980-06-16
0.21207639575004578,1980-06-17
0.20894241333007812,1980-06-18
0.20998699963092804,1980-06-19
0.20894241333007812,1980-06-20
0.20894241333007812,1980-06-23
0.21103167533874512,1980-06-24
0.2131209671497345,1980-06-25
0.21416597068309784,1980-06-26
0.21416597068309784,1980-06-27
0.21416597068309784,1980-06-30
0.21416597068309784,1980-07-01
0.21416597068309784,1980-07-02
0.2193893939256668,1980-07-03
0.22252348065376282,1980-07-07
0.22043415904045105,1980-07-08
0.22356848418712616,1980-07-09
0.224613219499588,1980-07-10
0.22670255601406097,1980-07-11
0.23819437623023987,1980-07-14
0.23714953660964966,1980-07-15
0.23610498011112213,1980-07-16
0.23714953660964966,1980-07-17
0.2350602000951767,1980-07-18
0.23610498011112213,1980-07-21
0.23297087848186493,1980-07-22
0.23297087848186493,1980-07-23
0.23297087848186493,1980-07-24
0.23297087848186493,1980-07-25
0.23610498011112213,1980-07-28
0.23610498011112213,1980-07-29
0.2444625198841095,1980-07-30
0.24132852256298065,1980-07-31
0.24028365314006805,1980-08-01
0.24237343668937683,1980-08-04
0.24341782927513123,1980-08-05
0.24341782927513123,1980-08-06
0.24968592822551727,1980-08-07
0.2538650333881378,1980-08-08
0.2549096345901489,1980-08-11
0.25699901580810547,1980-08-12
0.2622227668762207,1980-08-13
0.26326748728752136,1980-08-14
0.2695356607437134,1980-08-15
0.26326748728752136,1980-08-18
0.2622227668762207,1980-08-19
0.2622227668762207,1980-08-20
0.27580389380455017,1980-08-21
0.2841615676879883,1980-08-22
0.2799827456474304,1980-08-25
0.2831169664859772,1980-08-26
0.2778935134410858,1980-08-27
0.2778935134410858,1980-08-28
0.2789381444454193,1980-08-29
0.2789381444454193,1980-09-02
0.2925194799900055,1980-09-03
0.29356396198272705,1980-09-04
0.2987877428531647,1980-09-05
0.2977429926395416,1980-09-08
0.29356396198272705,1980-09-09
0.29356396198272705,1980-09-10
0.3050561249256134,1980-09-11
0.30610066652297974,1980-09-12
0.3050561249256134,1980-09-15
0.3050561249256134,1980-09-16
0.3050561249256134,1980-09-17
0.30296623706817627,1980-09-18
0.30296623706817627,1980-09-19
0.30610066652297974,1980-09-22
0.30610066652297974,1980-09-23
0.30296623706817627,1980-09-24
0.30296623706817627,1980-09-25
0.29669827222824097,1980-09-26
0.28938525915145874,1980-09-29
0.28938525915145874,1980-09-30
0.28938525915145874,1980-10-01
0.2977429926395416,1980-10-02
0.2987877428531647,1980-10-03
0.30610066652297974,1980-10-06
0.30819010734558105,1980-10-07
0.31027951836586,1980-10-08
0.3092348575592041,1980-10-09
0.31027951836586,1980-10-10
0.3092348575592041,1980-10-13
0.3092348575592041,1980-10-14
0.31027951836586,1980-10-15
0.31027951836586,1980-10-16
0.30819010734558105,1980-10-17
0.30819010734558105,1980-10-20
0.30819010734558105,1980-10-21
0.30819010734558105,1980-10-22
0.3071451485157013,1980-10-23
0.30819010734558105,1980-10-24
0.30819010734558105,1980-10-27
0.30819010734558105,1980-10-28
0.30819010734558105,1980-10-29
0.30819010734558105,1980-10-30
0.29460838437080383,1980-10-31
0.2883404791355133,1980-11-03
0.2925194799900055,1980-11-05
0.2883404791355133,1980-11-06
0.2925194799900055,1980-11-07
0.2914747893810272,1980-11-10
0.2914747893810272,1980-11-11
0.2925194799900055,1980-11-12
0.29356396198272705,1980-11-13
0.29460838437080383,1980-11-14
0.29460838437080383,1980-11-17
0.29460838437080383,1980-11-18
0.29460838437080383,1980-11-19
0.29669827222824097,1980-11-20
