MAS,Date
1.0058367252349854,1980-03-17
1.0345749855041504,1980-03-18
1.0288276672363281,1980-03-19
1.0288276672363281,1980-03-20
1.0058367252349854,1980-03-21
0.9656032919883728,1980-03-24
0.9943410754203796,1980-03-25
0.9656032919883728,1980-03-26
0.9081270098686218,1980-03-27
0.9311175346374512,1980-03-28
0.9368649125099182,1980-03-31
0.9541082382202148,1980-04-01
0.9656032919883728,1980-04-02
0.9656032919883728,1980-04-03
0.9656032919883728,1980-04-07
0.9828460216522217,1980-04-08
0.9828460216522217,1980-04-09
1.0058367252349854,1980-04-10
1.0345749855041504,1980-04-11
1.0288276672363281,1980-04-14
1.0230798721313477,1980-04-15
1.0230798721313477,1980-04-16
0.9943410754203796,1980-04-17
0.9943410754203796,1980-04-18
0.9943410754203796,1980-04-21
0.9828460216522217,1980-04-22
0.9828460216522217,1980-04-23
1.0058367252349854,1980-04-24
1.0000892877578735,1980-04-25
1.0058367252349854,1980-04-28
1.0230798721313477,1980-04-29
1.0000892877578735,1980-04-30
1.0058367252349854,1980-05-01
0.9943410754203796,1980-05-02
1.0230798721313477,1980-05-05
1.0748083591461182,1980-05-06
1.1035457849502563,1980-05-07
1.1207895278930664,1980-05-08
1.149527668952942,1980-05-09
1.1380319595336914,1980-05-12
1.1380319595336914,1980-05-13
1.080556035041809,1980-05-14
1.080556035041809,1980-05-15
1.0920515060424805,1980-05-16
1.1035457849502563,1980-05-19
1.1265376806259155,1980-05-20
1.1552753448486328,1980-05-21
1.1667704582214355,1980-05-22
1.1782656908035278,1980-05-23
1.1610225439071655,1980-05-27
1.1840136051177979,1980-05-28
1.1897612810134888,1980-05-29
1.2127522230148315,1980-05-30
1.2070047855377197,1980-06-02
1.2070047855377197,1980-06-03
1.2414900064468384,1980-06-04
1.3047144412994385,1980-06-05
1.2702291011810303,1980-06-06
1.2759760618209839,1980-06-09
1.2644805908203125,1980-06-10
1.2702291011810303,1980-06-11
1.2759760618209839,1980-06-12
1.2529857158660889,1980-06-13
1.2357420921325684,1980-06-16
1.2184995412826538,1980-06-17
1.2127522230148315,1980-06-18
1.2184995412826538,1980-06-19
1.195509433746338,1980-06-20
1.2070047855377197,1980-06-23
1.2299944162368774,1980-06-24
1.2299944162368774,1980-06-25
1.2472376823425293,1980-06-26
1.2472376823425293,1980-06-27
1.2414900064468384,1980-06-30
1.2817243337631226,1980-07-01
1.2817243337631226,1980-07-02
1.2759760618209839,1980-07-03
1.2817243337631226,1980-07-07
1.2817243337631226,1980-07-08
1.2874720096588135,1980-07-09
1.2874720096588135,1980-07-10
1.2817243337631226,1980-07-11
1.2989662885665894,1980-07-14
1.3104615211486816,1980-07-15
1.3219571113586426,1980-07-16
1.333452820777893,1980-07-17
1.3564424514770508,1980-07-18
1.3564424514770508,1980-07-21
1.4139193296432495,1980-07-22
1.4081714153289795,1980-07-23
1.3966758251190186,1980-07-24
1.3794327974319458,1980-07-25
1.3851814270019531,1980-07-28
1.3966758251190186,1980-07-29
1.4369094371795654,1980-07-30
1.4771438837051392,1980-07-31
1.4886382818222046,1980-08-01
1.4943857192993164,1980-08-04
1.4541524648666382,1980-08-05
1.442657232284546,1980-08-06
1.4139193296432495,1980-08-07
1.4254145622253418,1980-08-08
1.431161642074585,1980-08-11
1.4254145622253418,1980-08-12
1.3966758251190186,1980-08-13
1.3851814270019531,1980-08-14
1.3794327974319458,1980-08-15
1.3736861944198608,1980-08-18
1.333452820777893,1980-08-19
1.3277056217193604,1980-08-20
1.3392009735107422,1980-08-21
1.333452820777893,1980-08-22
1.316209316253662,1980-08-25
1.2702291011810303,1980-08-26
1.2874720096588135,1980-08-27
1.2817243337631226,1980-08-28
1.3047144412994385,1980-08-29
1.2989662885665894,1980-09-02
1.3104615211486816,1980-09-03
1.350695013999939,1980-09-04
1.3679381608963013,1980-09-05
1.3564424514770508,1980-09-08
1.3736861944198608,1980-09-09
1.3794327974319458,1980-09-10
1.4196670055389404,1980-09-11
1.4599003791809082,1980-09-12
1.4599003791809082,1980-09-15
1.4599003791809082,1980-09-16
1.5116291046142578,1980-09-17
1.5173763036727905,1980-09-18
1.5403670072555542,1980-09-19
1.4886382818222046,1980-09-22
1.4599003791809082,1980-09-23
1.4369094371795654,1980-09-24
1.431161642074585,1980-09-25
1.4196670055389404,1980-09-26
1.350695013999939,1980-09-29
1.3621902465820312,1980-09-30
1.3851814270019531,1980-10-01
1.4139193296432495,1980-10-02
1.4656476974487305,1980-10-03
1.4828910827636719,1980-10-06
1.4656476974487305,1980-10-07
1.4541524648666382,1980-10-08
1.4599003791809082,1980-10-09
1.4713956117630005,1980-10-10
1.4656476974487305,1980-10-13
1.4541524648666382,1980-10-14
1.4484044313430786,1980-10-15
