LOGI,Date
1.5259644985198975,1997-03-27
1.5318559408187866,1997-03-31
1.578989863395691,1997-04-01
1.5554229021072388,1997-04-02
1.578989863395691,1997-04-03
1.60844886302948,1997-04-04
1.6261239051818848,1997-04-07
1.6614744663238525,1997-04-08
1.6732580661773682,1997-04-09
1.6968249082565308,1997-04-10
1.6732580661773682,1997-04-11
1.6850415468215942,1997-04-14
1.7086085081100464,1997-04-15
1.7086085081100464,1997-04-16
1.7086085081100464,1997-04-17
1.7675259113311768,1997-04-18
1.7793097496032715,1997-04-21
1.791092872619629,1997-04-22
1.7616345882415771,1997-04-23
1.7793097496032715,1997-04-24
1.7439590692520142,1997-04-25
1.720392107963562,1997-04-28
1.7439590692520142,1997-04-29
1.732175588607788,1997-04-30
1.7557423114776611,1997-05-01
1.720392107963562,1997-05-02
1.7086085081100464,1997-05-05
1.720392107963562,1997-05-06
1.6143404245376587,1997-05-07
1.6614744663238525,1997-05-08
1.649690866470337,1997-05-09
1.5907734632492065,1997-05-12
1.6025569438934326,1997-05-13
1.649690866470337,1997-05-14
1.6732580661773682,1997-05-15
1.649690866470337,1997-05-16
1.6614744663238525,1997-05-19
1.6614744663238525,1997-05-20
1.6850415468215942,1997-05-21
1.6379075050354004,1997-05-22
1.6614744663238525,1997-05-23
1.6379075050354004,1997-05-27
1.6379075050354004,1997-05-28
1.6614744663238525,1997-05-29
1.6143404245376587,1997-05-30
1.6261239051818848,1997-06-02
1.6143404245376587,1997-06-03
1.6025569438934326,1997-06-04
1.5907734632492065,1997-06-05
1.6379075050354004,1997-06-06
1.6261239051818848,1997-06-09
1.649690866470337,1997-06-10
1.649690866470337,1997-06-11
1.6614744663238525,1997-06-12
1.6732580661773682,1997-06-13
1.6732580661773682,1997-06-16
1.649690866470337,1997-06-17
1.6614744663238525,1997-06-18
1.6261239051818848,1997-06-19
1.6261239051818848,1997-06-20
1.6143404245376587,1997-06-23
1.5554229021072388,1997-06-24
1.5436394214630127,1997-06-25
1.6025569438934326,1997-06-26
1.578989863395691,1997-06-27
1.5436394214630127,1997-06-30
1.5318559408187866,1997-07-01
1.5318559408187866,1997-07-02
1.520072340965271,1997-07-03
1.4611549377441406,1997-07-07
1.390453815460205,1997-07-08
1.3315362930297852,1997-07-09
1.3197529315948486,1997-07-10
1.3551032543182373,1997-07-11
1.3551032543182373,1997-07-14
1.3551032543182373,1997-07-15
1.3433197736740112,1997-07-16
1.4611549377441406,1997-07-17
1.520072340965271,1997-07-18
1.508288860321045,1997-07-21
1.6025569438934326,1997-07-22
1.5745714902877808,1997-07-23
1.5672063827514648,1997-07-24
1.5672063827514648,1997-07-25
1.5554229021072388,1997-07-28
1.5023974180221558,1997-07-29
1.4965053796768188,1997-07-30
1.520072340965271,1997-07-31
1.5318559408187866,1997-08-01
1.5318559408187866,1997-08-04
1.5554229021072388,1997-08-05
1.6320160627365112,1997-08-06
1.6437995433807373,1997-08-07
