NTAP,Date
0.9772801995277405,1995-11-21
1.191805362701416,1995-11-22
1.2871497869491577,1995-11-24
1.2037229537963867,1995-11-27
1.2156414985656738,1995-11-28
1.3705757856369019,1995-11-29
1.4420835971832275,1995-11-30
1.430166244506836,1995-12-01
1.7877074480056763,1995-12-04
1.6864053010940552,1995-12-05
1.5970184803009033,1995-12-06
1.5135924816131592,1995-12-07
1.6804457902908325,1995-12-08
1.7042814493179321,1995-12-11
1.7519536018371582,1995-12-12
1.7638710737228394,1995-12-13
1.7519536018371582,1995-12-14
1.7042814493179321,1995-12-15
1.537428855895996,1995-12-18
1.5493465662002563,1995-12-19
1.6208546161651611,1995-12-20
1.60893714427948,1995-12-21
1.6208546161651611,1995-12-22
1.7281166315078735,1995-12-26
1.7757898569107056,1995-12-27
1.8711340427398682,1995-12-28
1.9128470420837402,1995-12-29
1.8115434646606445,1996-01-02
1.6208546161651611,1996-01-03
1.430166244506836,1996-01-04
1.4778388738632202,1996-01-05
1.489756464958191,1996-01-08
1.2871497869491577,1996-01-09
1.2394770383834839,1996-01-10
1.3705757856369019,1996-01-11
1.3348215818405151,1996-01-12
1.2990676164627075,1996-01-15
1.2871497869491577,1996-01-16
1.2752313613891602,1996-01-17
1.2871497869491577,1996-01-18
1.3959016799926758,1996-01-19
1.430166244506836,1996-01-22
1.4480434656143188,1996-01-23
1.525510549545288,1996-01-24
1.60893714427948,1996-01-25
1.6387321949005127,1996-01-26
1.6208546161651611,1996-01-29
1.525510549545288,1996-01-30
1.4659202098846436,1996-01-31
1.5016741752624512,1996-02-01
1.4837979078292847,1996-02-02
1.537428855895996,1996-02-05
1.585100769996643,1996-02-06
1.6208546161651611,1996-02-07
1.7281166315078735,1996-02-08
1.7042814493179321,1996-02-09
1.6804457902908325,1996-02-12
1.7161991596221924,1996-02-13
1.8055853843688965,1996-02-14
1.8472980260849,1996-02-15
1.7042814493179321,1996-02-16
1.6566088199615479,1996-02-20
1.7161991596221924,1996-02-21
1.7877074480056763,1996-02-22
1.6923632621765137,1996-02-23
1.6208546161651611,1996-02-26
1.585100769996643,1996-02-27
1.585100769996643,1996-02-28
1.5135924816131592,1996-02-29
1.4778388738632202,1996-03-01
1.5135924816131592,1996-03-04
1.4778388738632202,1996-03-05
1.5016741752624512,1996-03-06
1.5135924816131592,1996-03-07
1.489756464958191,1996-03-08
1.537428855895996,1996-03-11
1.4778388738632202,1996-03-12
1.4778388738632202,1996-03-13
1.489756464958191,1996-03-14
1.537428855895996,1996-03-15
1.489756464958191,1996-03-18
1.5016741752624512,1996-03-19
1.4659202098846436,1996-03-20
1.4659202098846436,1996-03-21
1.4659202098846436,1996-03-22
1.537428855895996,1996-03-25
1.4659202098846436,1996-03-26
1.5135924816131592,1996-03-27
1.4659202098846436,1996-03-28
1.5135924816131592,1996-03-29
