SYY,Date
0.07538647949695587,1973-05-08
0.07538647949695587,1973-05-09
0.08481013774871826,1973-05-10
0.08481013774871826,1973-05-11
0.08481013774871826,1973-05-14
0.08481013774871826,1973-05-15
0.07989349216222763,1973-05-16
0.07989349216222763,1973-05-17
0.07538647949695587,1973-05-18
0.07047031819820404,1973-05-21
0.07047031819820404,1973-05-22
0.07047031819820404,1973-05-23
0.07047031819820404,1973-05-24
0.07047031819820404,1973-05-25
0.07538647949695587,1973-05-29
0.07047031819820404,1973-05-30
0.07047031819820404,1973-05-31
0.07047031819820404,1973-06-01
0.06596328318119049,1973-06-04
0.05654009431600571,1973-06-05
0.06104660406708717,1973-06-06
0.06104660406708717,1973-06-07
0.06104660406708717,1973-06-08
0.06104660406708717,1973-06-11
0.06596328318119049,1973-06-12
0.06596328318119049,1973-06-13
0.06104660406708717,1973-06-14
0.06104660406708717,1973-06-15
0.05654009431600571,1973-06-18
0.05654009431600571,1973-06-19
0.05654009431600571,1973-06-20
0.05654009431600571,1973-06-21
0.05654009431600571,1973-06-22
0.05654009431600571,1973-06-25
0.05654009431600571,1973-06-26
0.05654009431600571,1973-06-27
0.05654009431600571,1973-06-28
0.06104660406708717,1973-06-29
0.06104660406708717,1973-07-02
0.06104660406708717,1973-07-03
0.06104660406708717,1973-07-05
0.06104660406708717,1973-07-06
0.06104660406708717,1973-07-09
0.06104660406708717,1973-07-10
0.06104660406708717,1973-07-11
0.06104660406708717,1973-07-12
0.06104660406708717,1973-07-13
0.06104660406708717,1973-07-16
0.06596328318119049,1973-07-17
0.06596328318119049,1973-07-18
0.07047031819820404,1973-07-19
0.07047031819820404,1973-07-20
0.07047031819820404,1973-07-23
0.07047031819820404,1973-07-24
0.07047031819820404,1973-07-25
0.07538647949695587,1973-07-26
0.07538647949695587,1973-07-27
0.07538647949695587,1973-07-30
0.07538647949695587,1973-07-31
0.07538647949695587,1973-08-01
0.07538647949695587,1973-08-02
0.07538647949695587,1973-08-03
0.07538647949695587,1973-08-06
0.07538647949695587,1973-08-07
0.07538647949695587,1973-08-08
0.07538647949695587,1973-08-09
0.07538647949695587,1973-08-10
0.07538647949695587,1973-08-13
0.07538647949695587,1973-08-14
0.07538647949695587,1973-08-15
0.07538647949695587,1973-08-16
