DURA,Date
21.195466995239258,2018-10-31
21.278884887695312,2018-11-01
21.220491409301758,2018-11-02
21.5124454498291,2018-11-05
21.612539291381836,2018-11-06
21.921171188354492,2018-11-07
21.962881088256836,2018-11-08
21.921171188354492,2018-11-09
21.95453453063965,2018-11-12
21.737659454345703,2018-11-13
21.645910263061523,2018-11-14
21.69594955444336,2018-11-15
21.88780403137207,2018-11-16
21.83775520324707,2018-11-19
21.771024703979492,2018-11-20
21.771024703979492,2018-11-21
21.412343978881836,2018-11-23
21.412343978881836,2018-11-26
21.412343978881836,2018-11-27
21.862775802612305,2018-11-28
21.912830352783203,2018-11-29
22.087995529174805,2018-11-30
22.246484756469727,2018-12-03
21.83775520324707,2018-12-04
21.4373722076416,2018-12-06
21.495758056640625,2018-12-07
21.537466049194336,2018-12-10
21.55414581298828,2018-12-11
21.570831298828125,2018-12-12
21.67926597595215,2018-12-13
21.278884887695312,2018-12-14
20.811765670776367,2018-12-17
20.711671829223633,2018-12-18
20.461423873901367,2018-12-19
20.127769470214844,2018-12-20
20.044361114501953,2018-12-21
19.418752670288086,2018-12-24
20.069379806518555,2018-12-26
20.26251983642578,2018-12-27
20.27931022644043,2018-12-28
20.38847541809082,2018-12-31
20.413665771484375,2019-01-02
20.077777862548828,2019-01-03
20.58160972595215,2019-01-04
20.623600006103516,2019-01-07
20.79154396057129,2019-01-08
20.749555587768555,2019-01-09
20.825132369995117,2019-01-10
20.825132369995117,2019-01-11
20.690771102905273,2019-01-14
20.8419246673584,2019-01-15
20.79154396057129,2019-01-16
20.900705337524414,2019-01-17
21.119029998779297,2019-01-18
20.883913040161133,2019-01-22
21.110641479492188,2019-01-23
21.02666664123535,2019-01-24
21.060253143310547,2019-01-25
20.93429946899414,2019-01-28
21.009872436523438,2019-01-29
21.211406707763672,2019-01-30
21.5221004486084,2019-01-31
21.61446762084961,2019-02-01
21.639659881591797,2019-02-04
21.673250198364258,2019-02-05
21.70684242248535,2019-02-06
21.54728889465332,2019-02-07
21.59767723083496,2019-02-08
21.64806365966797,2019-02-11
21.85799217224121,2019-02-12
21.916770935058594,2019-02-13
21.807605743408203,2019-02-14
22.051128387451172,2019-02-15
22.09311294555664,2019-02-19
22.168685913085938,2019-02-20
22.15188980102539,2019-02-21
22.30304718017578,2019-02-22
