BDX,Date
1.1696715354919434,1973-02-21
1.1814863681793213,1973-02-22
1.1933016777038574,1973-02-23
1.2090545892715454,1973-02-26
1.1617950201034546,1973-02-27
1.196783185005188,1973-02-28
1.1808794736862183,1973-03-01
1.2126866579055786,1973-03-02
1.2126866579055786,1973-03-05
1.2246156930923462,1973-03-06
1.2325676679611206,1973-03-07
1.248471736907959,1973-03-08
1.240519642829895,1973-03-09
1.2365442514419556,1973-03-12
1.240519642829895,1973-03-13
1.2444959878921509,1973-03-14
1.248471736907959,1973-03-15
1.2087113857269287,1973-03-16
1.1888309717178345,1973-03-19
1.1888309717178345,1973-03-20
1.1769038438796997,1973-03-21
1.1490720510482788,1973-03-22
1.157023310661316,1973-03-23
1.1609991788864136,1973-03-26
1.1808794736862183,1973-03-27
1.1848556995391846,1973-03-28
1.1848556995391846,1973-03-29
1.1808794736862183,1973-03-30
1.164975643157959,1973-04-02
1.1609991788864136,1973-04-03
1.164975643157959,1973-04-04
1.1530476808547974,1973-04-05
1.1609991788864136,1973-04-06
1.1769038438796997,1973-04-09
1.196783185005188,1973-04-10
1.2007591724395752,1973-04-11
1.2206401824951172,1973-04-12
1.2246156930923462,1973-04-13
1.2126866579055786,1973-04-16
1.2246156930923462,1973-04-17
1.2206401824951172,1973-04-18
1.2365442514419556,1973-04-19
1.240519642829895,1973-04-23
1.1729282140731812,1973-04-24
1.1291911602020264,1973-04-25
1.1729282140731812,1973-04-26
1.1490720510482788,1973-04-27
1.1609991788864136,1973-04-30
1.1609991788864136,1973-05-01
1.1928080320358276,1973-05-02
1.1769038438796997,1973-05-03
1.2087113857269287,1973-05-04
1.2246156930923462,1973-05-07
1.240519642829895,1973-05-08
1.2444959878921509,1973-05-09
1.2325676679611206,1973-05-10
1.2007591724395752,1973-05-11
1.1450961828231812,1973-05-14
1.1609991788864136,1973-05-15
1.164975643157959,1973-05-16
1.1609991788864136,1973-05-17
1.1450961828231812,1973-05-18
1.1371430158615112,1973-05-21
1.1291911602020264,1973-05-22
1.1769038438796997,1973-05-23
1.240519642829895,1973-05-24
1.256423830986023,1973-05-25
1.2206401824951172,1973-05-29
1.1808794736862183,1973-05-30
1.164975643157959,1973-05-31
1.1450961828231812,1973-06-01
1.1172630786895752,1973-06-04
1.1132867336273193,1973-06-05
1.097383737564087,1973-06-06
1.0814794301986694,1973-06-07
1.1093109846115112,1973-06-08
1.1331666707992554,1973-06-11
1.157023310661316,1973-06-12
1.1729282140731812,1973-06-13
1.1609991788864136,1973-06-14
1.1450961828231812,1973-06-15
1.1411199569702148,1973-06-18
1.0814794301986694,1973-06-19
1.097383737564087,1973-06-20
1.0695509910583496,1973-06-21
1.065575122833252,1973-06-22
1.0536460876464844,1973-06-25
1.0695509910583496,1973-06-26
1.0695509910583496,1973-06-27
1.0814794301986694,1973-06-28
1.0854548215866089,1973-06-29
1.049670934677124,1973-07-02
1.049670934677124,1973-07-03
1.0576227903366089,1973-07-05
1.0417184829711914,1973-07-06
1.049670934677124,1973-07-09
1.0814794301986694,1973-07-10
1.1371430158615112,1973-07-11
1.1490720510482788,1973-07-12
1.1411199569702148,1973-07-13
1.1928080320358276,1973-07-16
1.2325676679611206,1973-07-17
1.2285919189453125,1973-07-18
1.2246156930923462,1973-07-19
1.2325676679611206,1973-07-20
1.2206401824951172,1973-07-23
1.2087113857269287,1973-07-24
1.2444959878921509,1973-07-25
1.2763047218322754,1973-07-26
1.2882323265075684,1973-07-27
1.2763047218322754,1973-07-30
1.2444959878921509,1973-07-31
1.2166637182235718,1973-08-01
1.2087113857269287,1973-08-02
1.1848556995391846,1973-08-03
1.2166637182235718,1973-08-06
1.248471736907959,1973-08-07
1.240519642829895,1973-08-08
1.2325676679611206,1973-08-09
1.2246156930923462,1973-08-10
1.2166637182235718,1973-08-13
1.2007591724395752,1973-08-14
1.1808794736862183,1973-08-15
1.157023310661316,1973-08-16
1.1490720510482788,1973-08-17
1.1450961828231812,1973-08-20
1.1291911602020264,1973-08-21
1.089430809020996,1973-08-22
1.1093109846115112,1973-08-23
1.101358413696289,1973-08-24
1.157023310661316,1973-08-27
1.1928080320358276,1973-08-28
1.1928080320358276,1973-08-29
1.1928080320358276,1973-08-30
1.2007591724395752,1973-08-31
1.2047362327575684,1973-09-04
1.196783185005188,1973-09-05
1.2126866579055786,1973-09-06
1.2643762826919556,1973-09-07
1.2524487972259521,1973-09-10
1.240519642829895,1973-09-11
1.240519642829895,1973-09-12
1.2246156930923462,1973-09-13
1.240519642829895,1973-09-14
1.248471736907959,1973-09-17
1.240519642829895,1973-09-18
1.248471736907959,1973-09-19
1.2325676679611206,1973-09-20
1.2206401824951172,1973-09-21
1.2285919189453125,1973-09-24
1.256423830986023,1973-09-25
1.3120887279510498,1973-09-26
1.2961841821670532,1973-09-27
1.3041367530822754,1973-09-28
1.3041367530822754,1973-10-01
1.3120887279510498,1973-10-02
1.3041367530822754,1973-10-03
1.3240165710449219,1973-10-04
1.3598010540008545,1973-10-05
1.3796805143356323,1973-10-08
1.375705599784851,1973-10-09
1.3598010540008545,1973-10-10
1.375705599784851,1973-10-11
1.3955845832824707,1973-10-12
1.3598010540008545,1973-10-15
1.3438977003097534,1973-10-16
1.3558248281478882,1973-10-17
1.3518478870391846,1973-10-18
1.3518478870391846,1973-10-19
1.3359453678131104,1973-10-22
1.3836561441421509,1973-10-23
1.3717291355133057,1973-10-24
1.3717291355133057,1973-10-25
1.375705599784851,1973-10-26
1.3916088342666626,1973-10-29
1.3796805143356323,1973-10-30
1.375705599784851,1973-10-31
1.3717291355133057,1973-11-01
1.3041367530822754,1973-11-02
1.2365442514419556,1973-11-05
1.2444959878921509,1973-11-06
1.256423830986023,1973-11-07
1.2922083139419556,1973-11-08
1.256423830986023,1973-11-09
1.2246156930923462,1973-11-12
1.256423830986023,1973-11-13
1.256423830986023,1973-11-14
1.2723283767700195,1973-11-15
1.2763047218322754,1973-11-16
1.2723283767700195,1973-11-19
1.2246156930923462,1973-11-20
1.2723283767700195,1973-11-21
1.2763047218322754,1973-11-23
1.2246156930923462,1973-11-26
1.2285919189453125,1973-11-27
1.2325676679611206,1973-11-28
1.2365442514419556,1973-11-29
1.2246156930923462,1973-11-30
1.2087113857269287,1973-12-03
1.2206401824951172,1973-12-04
1.1769038438796997,1973-12-05
1.1252155303955078,1973-12-06
1.1609991788864136,1973-12-07
1.2087113857269287,1973-12-10
1.1729282140731812,1973-12-11
1.1331666707992554,1973-12-12
1.0814794301986694,1973-12-13
1.089430809020996,1973-12-14
1.089430809020996,1973-12-17
1.1212388277053833,1973-12-18
1.089430809020996,1973-12-19
1.1172630786895752,1973-12-20
1.089430809020996,1973-12-21
1.0775032043457031,1973-12-24
1.1291911602020264,1973-12-26
1.196783185005188,1973-12-27
1.2285919189453125,1973-12-28
1.1928080320358276,1973-12-31
1.1928080320358276,1974-01-02
1.2166637182235718,1974-01-03
1.1769038438796997,1974-01-04
1.1291911602020264,1974-01-07
1.0854548215866089,1974-01-08
1.049670934677124,1974-01-09
1.049670934677124,1974-01-10
1.0695509910583496,1974-01-11
1.0695509910583496,1974-01-14
1.065575122833252,1974-01-15
1.0456948280334473,1974-01-16
1.073527455329895,1974-01-17
1.073527455329895,1974-01-18
1.0576227903366089,1974-01-21
