NOW,Date
24.600000381469727,2012-06-29
24.770000457763672,2012-07-02
25.309999465942383,2012-07-03
25.959999084472656,2012-07-05
25.84000015258789,2012-07-06
25.270000457763672,2012-07-09
25.049999237060547,2012-07-10
23.739999771118164,2012-07-11
24.079999923706055,2012-07-12
24.18000030517578,2012-07-13
24.3799991607666,2012-07-16
24.270000457763672,2012-07-17
24.229999542236328,2012-07-18
24.0,2012-07-19
25.229999542236328,2012-07-20
24.350000381469727,2012-07-23
24.84000015258789,2012-07-24
24.93000030517578,2012-07-25
24.420000076293945,2012-07-26
25.329999923706055,2012-07-27
25.389999389648438,2012-07-30
27.0,2012-07-31
27.709999084472656,2012-08-01
29.079999923706055,2012-08-02
28.670000076293945,2012-08-03
28.020000457763672,2012-08-06
28.0,2012-08-07
27.56999969482422,2012-08-08
29.510000228881836,2012-08-09
31.649999618530273,2012-08-10
32.43000030517578,2012-08-13
32.279998779296875,2012-08-14
29.68000030517578,2012-08-15
29.75,2012-08-16
29.600000381469727,2012-08-17
29.889999389648438,2012-08-20
30.260000228881836,2012-08-21
29.850000381469727,2012-08-22
29.030000686645508,2012-08-23
29.700000762939453,2012-08-24
29.270000457763672,2012-08-27
29.31999969482422,2012-08-28
29.489999771118164,2012-08-29
29.780000686645508,2012-08-30
31.100000381469727,2012-08-31
33.66999816894531,2012-09-04
34.189998626708984,2012-09-05
36.060001373291016,2012-09-06
36.54999923706055,2012-09-07
34.38999938964844,2012-09-10
33.0099983215332,2012-09-11
35.04999923706055,2012-09-12
37.5099983215332,2012-09-13
39.060001373291016,2012-09-14
38.189998626708984,2012-09-17
36.79999923706055,2012-09-18
38.650001525878906,2012-09-19
38.0,2012-09-20
39.630001068115234,2012-09-21
40.369998931884766,2012-09-24
39.9900016784668,2012-09-25
38.08000183105469,2012-09-26
40.040000915527344,2012-09-27
38.68000030517578,2012-09-28
36.47999954223633,2012-10-01
36.5,2012-10-02
37.029998779296875,2012-10-03
37.150001525878906,2012-10-04
37.0,2012-10-05
36.529998779296875,2012-10-08
36.0,2012-10-09
34.779998779296875,2012-10-10
34.5,2012-10-11
33.31999969482422,2012-10-12
34.5099983215332,2012-10-15
34.310001373291016,2012-10-16
34.77000045776367,2012-10-17
34.790000915527344,2012-10-18
34.349998474121094,2012-10-19
33.439998626708984,2012-10-22
34.560001373291016,2012-10-23
35.650001525878906,2012-10-24
31.389999389648438,2012-10-25
31.889999389648438,2012-10-26
30.649999618530273,2012-10-31
31.040000915527344,2012-11-01
32.13999938964844,2012-11-02
32.279998779296875,2012-11-05
32.95000076293945,2012-11-06
31.25,2012-11-07
30.899999618530273,2012-11-08
30.06999969482422,2012-11-09
29.65999984741211,2012-11-12
29.479999542236328,2012-11-13
28.709999084472656,2012-11-14
31.790000915527344,2012-11-15
30.350000381469727,2012-11-16
31.059999465942383,2012-11-19
31.670000076293945,2012-11-20
31.18000030517578,2012-11-21
30.770000457763672,2012-11-23
30.5,2012-11-26
30.299999237060547,2012-11-27
31.209999084472656,2012-11-28
32.29999923706055,2012-11-29
32.630001068115234,2012-11-30
32.040000915527344,2012-12-03
30.190000534057617,2012-12-04
29.40999984741211,2012-12-05
29.469999313354492,2012-12-06
29.299999237060547,2012-12-07
29.450000762939453,2012-12-10
29.829999923706055,2012-12-11
30.6299991607666,2012-12-12
30.329999923706055,2012-12-13
30.540000915527344,2012-12-14
31.100000381469727,2012-12-17
32.630001068115234,2012-12-18
32.43000030517578,2012-12-19
32.83000183105469,2012-12-20
32.4900016784668,2012-12-21
31.65999984741211,2012-12-24
29.950000762939453,2012-12-26
29.520000457763672,2012-12-27
29.049999237060547,2012-12-28
30.030000686645508,2012-12-31
30.200000762939453,2013-01-02
29.690000534057617,2013-01-03
29.020000457763672,2013-01-04
27.360000610351562,2013-01-07
26.200000762939453,2013-01-08
26.3700008392334,2013-01-09
26.459999084472656,2013-01-10
27.459999084472656,2013-01-11
26.06999969482422,2013-01-14
27.219999313354492,2013-01-15
27.34000015258789,2013-01-16
27.600000381469727,2013-01-17
27.399999618530273,2013-01-18
27.6200008392334,2013-01-22
27.93000030517578,2013-01-23
29.520000457763672,2013-01-24
31.100000381469727,2013-01-25
31.25,2013-01-28
30.200000762939453,2013-01-29
28.969999313354492,2013-01-30
27.719999313354492,2013-01-31
28.06999969482422,2013-02-01
28.959999084472656,2013-02-04
29.780000686645508,2013-02-05
29.719999313354492,2013-02-06
29.420000076293945,2013-02-07
29.829999923706055,2013-02-08
29.549999237060547,2013-02-11
29.25,2013-02-12
29.780000686645508,2013-02-13
32.880001068115234,2013-02-14
33.86000061035156,2013-02-15
33.459999084472656,2013-02-19
32.959999084472656,2013-02-20
31.540000915527344,2013-02-21
33.47999954223633,2013-02-22
32.16999816894531,2013-02-25
31.25,2013-02-26
32.20000076293945,2013-02-27
32.470001220703125,2013-02-28
32.790000915527344,2013-03-01
33.68000030517578,2013-03-04
