ETN,Date
0.35658472776412964,1972-06-01
0.35280120372772217,1972-06-02
0.3461800515651703,1972-06-05
0.3442884683609009,1972-06-06
0.3414510488510132,1972-06-07
0.3414510488510132,1972-06-08
0.3386134207248688,1972-06-09
0.3348301947116852,1972-06-12
0.3405052125453949,1972-06-13
0.34239691495895386,1972-06-14
0.3461800515651703,1972-06-15
0.35280120372772217,1972-06-16
0.349963903427124,1972-06-19
0.3537471890449524,1972-06-20
0.35847634077072144,1972-06-21
0.35847634077072144,1972-06-22
0.35847634077072144,1972-06-23
0.3490179479122162,1972-06-26
0.35090944170951843,1972-06-27
0.3452342450618744,1972-06-28
0.3405052125453949,1972-06-29
0.34334275126457214,1972-06-30
0.3442884683609009,1972-07-03
0.3452342450618744,1972-07-05
0.35280120372772217,1972-07-06
0.3471262454986572,1972-07-07
0.3471262454986572,1972-07-10
0.3414510488510132,1972-07-11
0.3461800515651703,1972-07-12
0.3405052125453949,1972-07-13
0.3442884683609009,1972-07-14
0.34334275126457214,1972-07-17
0.3405052125453949,1972-07-18
0.3461800515651703,1972-07-19
0.3414510488510132,1972-07-20
0.3405052125453949,1972-07-21
0.3442884683609009,1972-07-24
0.3405052125453949,1972-07-25
0.3414510488510132,1972-07-26
0.3376673758029938,1972-07-27
0.32915520668029785,1972-07-28
0.3225339353084564,1972-07-31
0.32138967514038086,1972-08-01
0.32901909947395325,1972-08-02
0.3318803608417511,1972-08-03
0.32806554436683655,1972-08-04
0.3309262990951538,1972-08-07
0.3337874412536621,1972-08-08
0.3299727439880371,1972-08-09
0.32138967514038086,1972-08-10
0.3242504596710205,1972-08-11
0.3271113932132721,1972-08-14
0.32520416378974915,1972-08-15
0.32520416378974915,1972-08-16
0.3204358220100403,1972-08-17
0.32615792751312256,1972-08-18
0.3299727439880371,1972-08-21
0.3337874412536621,1972-08-22
0.3376023471355438,1972-08-23
0.341417133808136,1972-08-24
0.34046313166618347,1972-08-25
0.34046313166618347,1972-08-28
0.3433241546154022,1972-08-29
0.3433241546154022,1972-08-30
0.3433241546154022,1972-08-31
0.3433241546154022,1972-09-01
0.3433241546154022,1972-09-05
0.3433241546154022,1972-09-06
0.34427791833877563,1972-09-07
0.34523165225982666,1972-09-08
0.34427791833877563,1972-09-11
0.3433241546154022,1972-09-12
0.3395095467567444,1972-09-13
0.3395095467567444,1972-09-14
0.34046313166618347,1972-09-15
0.3395095467567444,1972-09-18
0.3423705995082855,1972-09-19
0.34046313166618347,1972-09-20
0.34046313166618347,1972-09-21
0.3395095467567444,1972-09-22
0.33664846420288086,1972-09-25
0.32615792751312256,1972-09-26
0.3309262990951538,1972-09-27
0.3318803608417511,1972-09-28
0.3309262990951538,1972-09-29
0.32901909947395325,1972-10-02
0.32520416378974915,1972-10-03
0.32520416378974915,1972-10-04
0.3223434090614319,1972-10-05
0.3194825351238251,1972-10-06
0.317574679851532,1972-10-09
0.3166215121746063,1972-10-10
0.3204358220100403,1972-10-11
0.317574679851532,1972-10-12
0.3166215121746063,1972-10-13
0.3166215121746063,1972-10-16
0.31089937686920166,1972-10-17
0.3137601912021637,1972-10-18
0.31089937686920166,1972-10-19
0.3118526041507721,1972-10-20
0.3166215121746063,1972-10-23
0.3156673312187195,1972-10-24
0.3128064274787903,1972-10-25
0.3013622760772705,1972-10-26
0.30326980352401733,1972-10-27
0.30899184942245483,1972-10-30
0.3147139847278595,1972-10-31
0.3158693313598633,1972-11-01
0.3158693313598633,1972-11-02
0.3197217583656311,1972-11-03
0.32164767384529114,1972-11-06
0.32164767384529114,1972-11-08
0.31779560446739197,1972-11-09
0.3187582492828369,1972-11-10
0.31779560446739197,1972-11-13
0.3139435648918152,1972-11-14
0.3081652820110321,1972-11-15
0.30623939633369446,1972-11-16
0.31201741099357605,1972-11-17
0.3158693313598633,1972-11-20
0.3158693313598633,1972-11-21
0.3149062395095825,1972-11-22
0.3197217583656311,1972-11-24
0.32068437337875366,1972-11-27
0.31779560446739197,1972-11-28
0.3187582492828369,1972-11-29
0.3187582492828369,1972-11-30
0.3129805326461792,1972-12-01
0.3158693313598633,1972-12-04
0.31779560446739197,1972-12-05
0.3254997730255127,1972-12-06
0.3332037925720215,1972-12-07
0.3380186855792999,1972-12-08
0.34090813994407654,1972-12-11
0.33898165822029114,1972-12-12
0.3351300358772278,1972-12-13
0.33127790689468384,1972-12-14
0.32068437337875366,1972-12-15
0.3226108253002167,1972-12-18
0.32164767384529114,1972-12-19
0.3139435648918152,1972-12-20
0.31009137630462646,1972-12-21
0.31009137630462646,1972-12-22
0.31009137630462646,1972-12-26
0.30720216035842896,1972-12-27
0.31105417013168335,1972-12-29
0.31105417013168335,1973-01-02
0.3139435648918152,1973-01-03
0.31201741099357605,1973-01-04
0.3158693313598633,1973-01-05
0.3139435648918152,1973-01-08
0.3158693313598633,1973-01-09
0.3091284930706024,1973-01-10
0.3149062395095825,1973-01-11
0.31201741099357605,1973-01-12
0.31009137630462646,1973-01-15
0.3129805326461792,1973-01-16
0.3081652820110321,1973-01-17
0.3081652820110321,1973-01-18
0.30527621507644653,1973-01-19
0.3023872971534729,1973-01-22
0.3023872971534729,1973-01-23
0.2889048755168915,1973-01-24
0.2889048755168915,1973-01-26
0.29949817061424255,1973-01-29
0.30431321263313293,1973-01-30
0.30723002552986145,1973-01-31
0.30236873030662537,1973-02-01
0.3004242479801178,1973-02-02
0.3004242479801178,1973-02-05
0.29750776290893555,1973-02-06
0.2984797954559326,1973-02-07
0.2955629527568817,1973-02-08
0.2984797954559326,1973-02-09
