BAC,Date
1.5818127393722534,1973-02-21
1.587156057357788,1973-02-22
1.5818127393722534,1973-02-23
1.5818127393722534,1973-02-26
1.5818127393722534,1973-02-27
1.5818127393722534,1973-02-28
1.5925006866455078,1973-03-01
1.5978447198867798,1973-03-02
1.6192197799682617,1973-03-05
1.6673157215118408,1973-03-06
1.6673157215118408,1973-03-07
1.6780035495758057,1973-03-08
1.6780035495758057,1973-03-09
1.672658920288086,1973-03-12
1.6780035495758057,1973-03-13
1.6833475828170776,1973-03-14
1.6780035495758057,1973-03-15
1.672658920288086,1973-03-16
1.6566277742385864,1973-03-19
1.624564290046692,1973-03-20
1.6031886339187622,1973-03-21
1.57646906375885,1973-03-22
1.57646906375885,1973-03-23
1.5711251497268677,1973-03-26
1.5711251497268677,1973-03-27
1.5925006866455078,1973-03-28
1.6138767004013062,1973-03-29
1.6138767004013062,1973-03-30
1.6031886339187622,1973-04-02
1.5925006866455078,1973-04-03
1.5818127393722534,1973-04-04
1.57646906375885,1973-04-05
1.57646906375885,1973-04-06
1.57646906375885,1973-04-09
1.6138767004013062,1973-04-10
1.624564290046692,1973-04-11
1.645939826965332,1973-04-12
1.645939826965332,1973-04-13
1.645939826965332,1973-04-16
1.6031886339187622,1973-04-17
1.5978447198867798,1973-04-18
1.6031886339187622,1973-04-19
1.5818127393722534,1973-04-23
1.5711251497268677,1973-04-24
1.5604372024536133,1973-04-25
1.5604372024536133,1973-04-26
1.5497492551803589,1973-04-27
1.528372883796692,1973-04-30
1.5176854133605957,1973-05-01
1.5230298042297363,1973-05-02
1.5176854133605957,1973-05-03
1.5337176322937012,1973-05-04
1.5390610694885254,1973-05-07
1.5444045066833496,1973-05-08
1.587156057357788,1973-05-09
1.624564290046692,1973-05-10
1.6299076080322266,1973-05-11
1.5711251497268677,1973-05-14
1.5657808780670166,1973-05-15
1.5978447198867798,1973-05-16
1.5978447198867798,1973-05-17
1.5818127393722534,1973-05-18
1.57646906375885,1973-05-21
1.5925006866455078,1973-05-22
1.5978447198867798,1973-05-23
1.6352521181106567,1973-05-24
1.6566277742385864,1973-05-25
1.6673157215118408,1973-05-29
1.6405962705612183,1973-05-30
1.6405962705612183,1973-05-31
1.6405962705612183,1973-06-01
1.5657808780670166,1973-06-04
1.5390610694885254,1973-06-05
1.5176854133605957,1973-06-06
1.528372883796692,1973-06-07
1.5337176322937012,1973-06-08
1.5390610694885254,1973-06-11
1.5550930500030518,1973-06-12
1.5604372024536133,1973-06-13
1.5711251497268677,1973-06-14
1.5550930500030518,1973-06-15
1.528372883796692,1973-06-18
1.5123406648635864,1973-06-19
1.5016530752182007,1973-06-20
1.4963092803955078,1973-06-21
1.4963092803955078,1973-06-22
1.4695894718170166,1973-06-25
1.4802777767181396,1973-06-26
1.4749336242675781,1973-06-27
1.4589014053344727,1973-06-28
1.4642459154129028,1973-06-29
1.4749336242675781,1973-07-02
1.4695894718170166,1973-07-03
1.4642459154129028,1973-07-05
1.4642459154129028,1973-07-06
1.4749336242675781,1973-07-09
1.4856213331222534,1973-07-10
1.4909664392471313,1973-07-11
1.4856213331222534,1973-07-12
1.4963092803955078,1973-07-13
1.5069971084594727,1973-07-16
1.5176854133605957,1973-07-17
1.5604372024536133,1973-07-18
1.6619715690612793,1973-07-19
1.7047233581542969,1973-07-20
1.6886919736862183,1973-07-23
1.6780035495758057,1973-07-24
