ATO,Date
1.328076720237732,1983-12-28
1.3181661367416382,1983-12-29
1.3181661367416382,1983-12-30
1.3082549571990967,1984-01-03
1.2884334325790405,1984-01-04
1.2884334325790405,1984-01-05
1.3082549571990967,1984-01-06
1.3181661367416382,1984-01-09
1.3181661367416382,1984-01-10
1.3082549571990967,1984-01-11
1.3082549571990967,1984-01-12
1.3082549571990967,1984-01-13
1.3181661367416382,1984-01-16
1.3082549571990967,1984-01-17
1.3082549571990967,1984-01-18
1.3082549571990967,1984-01-19
1.3082549571990967,1984-01-20
1.3082549571990967,1984-01-23
1.3082549571990967,1984-01-24
1.3082549571990967,1984-01-25
1.3082549571990967,1984-01-26
1.3478989601135254,1984-01-27
1.3478989601135254,1984-01-30
1.3181661367416382,1984-01-31
1.3478989601135254,1984-02-01
1.367720603942871,1984-02-02
1.407365083694458,1984-02-03
1.3776317834854126,1984-02-06
1.3776317834854126,1984-02-07
1.4271864891052246,1984-02-08
1.4271864891052246,1984-02-09
1.4370975494384766,1984-02-10
1.3776317834854126,1984-02-13
1.3776317834854126,1984-02-14
1.3776317834854126,1984-02-15
1.3776317834854126,1984-02-16
1.407365083694458,1984-02-17
1.3776317834854126,1984-02-21
1.367720603942871,1984-02-22
1.367720603942871,1984-02-23
1.367720603942871,1984-02-24
1.3478989601135254,1984-02-27
1.3478989601135254,1984-02-28
1.3478989601135254,1984-02-29
1.3478989601135254,1984-03-01
1.3478989601135254,1984-03-02
1.3478989601135254,1984-03-05
1.367720603942871,1984-03-06
1.3478989601135254,1984-03-07
1.3478989601135254,1984-03-08
1.367720603942871,1984-03-09
1.3776317834854126,1984-03-12
1.3776317834854126,1984-03-13
1.3776317834854126,1984-03-14
1.3776317834854126,1984-03-15
1.3776317834854126,1984-03-16
1.3776317834854126,1984-03-19
1.3776317834854126,1984-03-20
1.3776317834854126,1984-03-21
1.3776317834854126,1984-03-22
1.3776317834854126,1984-03-23
1.3875433206558228,1984-03-26
1.3875433206558228,1984-03-27
1.3875433206558228,1984-03-28
1.3875433206558228,1984-03-29
1.3875433206558228,1984-03-30
1.3776317834854126,1984-04-02
1.3478989601135254,1984-04-03
1.3478989601135254,1984-04-04
1.3181661367416382,1984-04-05
1.3181661367416382,1984-04-06
1.3181661367416382,1984-04-09
1.3181661367416382,1984-04-10
1.3478989601135254,1984-04-11
1.3478989601135254,1984-04-12
1.3181661367416382,1984-04-13
1.3181661367416382,1984-04-16
1.3082549571990967,1984-04-17
1.3082549571990967,1984-04-18
1.3082549571990967,1984-04-19
1.2884334325790405,1984-04-23
1.2884334325790405,1984-04-24
1.2587001323699951,1984-04-25
1.2587001323699951,1984-04-26
1.2587001323699951,1984-04-27
1.3082549571990967,1984-04-30
1.3776317834854126,1984-05-01
1.3478989601135254,1984-05-02
1.367720603942871,1984-05-03
1.3776317834854126,1984-05-04
1.3776317834854126,1984-05-07
1.407365083694458,1984-05-08
1.4271864891052246,1984-05-09
1.4271864891052246,1984-05-10
1.4271864891052246,1984-05-11
1.407365083694458,1984-05-14
1.407365083694458,1984-05-15
1.407365083694458,1984-05-16
1.407365083694458,1984-05-17
1.407365083694458,1984-05-18
1.407365083694458,1984-05-21
1.367720603942871,1984-05-22
1.367720603942871,1984-05-23
1.3181661367416382,1984-05-24
1.3082549571990967,1984-05-25
1.3082549571990967,1984-05-29
1.3082549571990967,1984-05-30
1.3082549571990967,1984-05-31
1.3082549571990967,1984-06-01
1.3478989601135254,1984-06-04
1.3181661367416382,1984-06-05
1.3181661367416382,1984-06-06
1.3181661367416382,1984-06-07
1.3181661367416382,1984-06-08
1.3181661367416382,1984-06-11
1.3181661367416382,1984-06-12
1.3181661367416382,1984-06-13
1.3181661367416382,1984-06-14
1.3181661367416382,1984-06-15
1.3478989601135254,1984-06-18
1.3478989601135254,1984-06-19
1.3478989601135254,1984-06-20
1.3478989601135254,1984-06-21
1.3478989601135254,1984-06-22
1.3478989601135254,1984-06-25
1.367720603942871,1984-06-26
1.407365083694458,1984-06-27
1.3776317834854126,1984-06-28
1.3776317834854126,1984-06-29
1.367720603942871,1984-07-02
1.367720603942871,1984-07-03
1.367720603942871,1984-07-05
1.367720603942871,1984-07-06
1.367720603942871,1984-07-09
1.367720603942871,1984-07-10
1.3776317834854126,1984-07-11
1.3776317834854126,1984-07-12
1.367720603942871,1984-07-13
1.367720603942871,1984-07-16
1.367720603942871,1984-07-17
1.367720603942871,1984-07-18
1.367720603942871,1984-07-19
1.3478989601135254,1984-07-20
1.3181661367416382,1984-07-23
1.3082549571990967,1984-07-24
1.2884334325790405,1984-07-25
1.3082549571990967,1984-07-26
1.3082549571990967,1984-07-27
1.3082549571990967,1984-07-30
1.3082549571990967,1984-07-31
1.3082549571990967,1984-08-01
1.3082549571990967,1984-08-02
1.3082549571990967,1984-08-03
1.3082549571990967,1984-08-06
1.2884334325790405,1984-08-07
1.2884334325790405,1984-08-08
1.2884334325790405,1984-08-09
1.2884334325790405,1984-08-10
1.2587001323699951,1984-08-13
1.2884334325790405,1984-08-14
1.2587001323699951,1984-08-15
1.2587001323699951,1984-08-16
1.2587001323699951,1984-08-17
1.2884334325790405,1984-08-20
1.2587001323699951,1984-08-21
1.2587001323699951,1984-08-22
1.2587001323699951,1984-08-23
1.2587001323699951,1984-08-24
1.2289661169052124,1984-08-27
1.2289661169052124,1984-08-28
1.2289661169052124,1984-08-29
1.199233889579773,1984-08-30
1.2289661169052124,1984-08-31
1.2289661169052124,1984-09-04
1.2289661169052124,1984-09-05
1.2289661169052124,1984-09-06
1.2487887144088745,1984-09-07
1.2487887144088745,1984-09-10
1.2587001323699951,1984-09-11
1.2884334325790405,1984-09-12
1.2884334325790405,1984-09-13
1.2587001323699951,1984-09-14
1.2587001323699951,1984-09-17
1.2587001323699951,1984-09-18
1.2587001323699951,1984-09-19
1.2884334325790405,1984-09-20
1.3082549571990967,1984-09-21
1.3082549571990967,1984-09-24
1.3082549571990967,1984-09-25
1.2884334325790405,1984-09-26
1.3082549571990967,1984-09-27
1.3181661367416382,1984-09-28
1.3181661367416382,1984-10-01
1.3181661367416382,1984-10-02
1.3181661367416382,1984-10-03
1.3478989601135254,1984-10-04
1.3478989601135254,1984-10-05
1.3478989601135254,1984-10-08
1.3478989601135254,1984-10-09
1.3478989601135254,1984-10-10
1.3478989601135254,1984-10-11
1.3181661367416382,1984-10-12
1.3181661367416382,1984-10-15
1.3181661367416382,1984-10-16
1.3181661367416382,1984-10-17
1.3181661367416382,1984-10-18
1.3181661367416382,1984-10-19
1.3181661367416382,1984-10-22
1.3181661367416382,1984-10-23
1.3181661367416382,1984-10-24
1.3181661367416382,1984-10-25
1.3181661367416382,1984-10-26
1.3478989601135254,1984-10-29
1.367720603942871,1984-10-30
1.3776317834854126,1984-10-31
1.4668307304382324,1984-11-01
1.546118974685669,1984-11-02
1.556030035018921,1984-11-05
1.546118974685669,1984-11-06
1.4866527318954468,1984-11-07
1.496564507484436,1984-11-08
1.546118974685669,1984-11-09
1.546118974685669,1984-11-12
1.546118974685669,1984-11-13
1.546118974685669,1984-11-14
1.546118974685669,1984-11-15
1.546118974685669,1984-11-16
1.546118974685669,1984-11-19
1.546118974685669,1984-11-20
1.546118974685669,1984-11-21
1.546118974685669,1984-11-23
1.556030035018921,1984-11-26
1.5262974500656128,1984-11-27
1.496564507484436,1984-11-28
1.5262974500656128,1984-11-29
1.496564507484436,1984-11-30
1.546118974685669,1984-12-03
1.5262974500656128,1984-12-04
1.5262974500656128,1984-12-05
1.5262974500656128,1984-12-06
1.5262974500656128,1984-12-07
1.546118974685669,1984-12-10
1.546118974685669,1984-12-11
1.546118974685669,1984-12-12
1.556030035018921,1984-12-13
1.556030035018921,1984-12-14
1.556030035018921,1984-12-17
1.556030035018921,1984-12-18
1.556030035018921,1984-12-19
1.5262974500656128,1984-12-20
1.5262974500656128,1984-12-21
1.5262974500656128,1984-12-24
1.5262974500656128,1984-12-26
1.5262974500656128,1984-12-27
1.585763692855835,1984-12-28
1.556030035018921,1984-12-31
1.546118974685669,1985-01-02
1.556030035018921,1985-01-03
1.546118974685669,1985-01-04
1.546118974685669,1985-01-07
1.546118974685669,1985-01-08
1.556030035018921,1985-01-09
1.585763692855835,1985-01-10
1.556030035018921,1985-01-11
1.556030035018921,1985-01-14
1.546118974685669,1985-01-15
1.546118974685669,1985-01-16
1.5262974500656128,1985-01-17
1.5262974500656128,1985-01-18
1.5262974500656128,1985-01-21
1.546118974685669,1985-01-22
1.556030035018921,1985-01-23
1.556030035018921,1985-01-24
1.585763692855835,1985-01-25
1.6650506258010864,1985-01-28
1.6650506258010864,1985-01-29
1.6650506258010864,1985-01-30
1.6650506258010864,1985-01-31
1.6749627590179443,1985-02-01
1.6749627590179443,1985-02-04
1.6749627590179443,1985-02-05
1.6749627590179443,1985-02-06
1.6749627590179443,1985-02-07
1.6749627590179443,1985-02-08
1.6452305316925049,1985-02-11
1.6452305316925049,1985-02-12
1.585763692855835,1985-02-13
1.6055853366851807,1985-02-14
1.6650506258010864,1985-02-15
1.6650506258010864,1985-02-19
1.7046958208084106,1985-02-20
1.7245182991027832,1985-02-21
1.7344282865524292,1985-02-22
1.7046958208084106,1985-02-25
1.7046958208084106,1985-02-26
1.6749627590179443,1985-02-27
1.6650506258010864,1985-02-28
1.6650506258010864,1985-03-01
1.6650506258010864,1985-03-04
1.6452305316925049,1985-03-05
1.6452305316925049,1985-03-06
1.6452305316925049,1985-03-07
1.6452305316925049,1985-03-08
1.6452305316925049,1985-03-11
1.6452305316925049,1985-03-12
1.6452305316925049,1985-03-13
1.6452305316925049,1985-03-14
1.6452305316925049,1985-03-15
1.6452305316925049,1985-03-18
1.6452305316925049,1985-03-19
1.6154965162277222,1985-03-20
1.6452305316925049,1985-03-21
1.6055853366851807,1985-03-22
1.6154965162277222,1985-03-25
1.6452305316925049,1985-03-26
1.6452305316925049,1985-03-27
1.6154965162277222,1985-03-28
1.6452305316925049,1985-03-29
1.6452305316925049,1985-04-01
1.6650506258010864,1985-04-02
1.6749627590179443,1985-04-03
1.7046958208084106,1985-04-04
1.7046958208084106,1985-04-08
1.7046958208084106,1985-04-09
1.783983588218689,1985-04-10
1.8533610105514526,1985-04-11
1.8830937147140503,1985-04-12
1.8434499502182007,1985-04-15
1.8533610105514526,1985-04-16
1.863271951675415,1985-04-17
1.9623820781707764,1985-04-18
1.9029157161712646,1985-04-19
1.9029157161712646,1985-04-22
1.8830937147140503,1985-04-23
1.823628544807434,1985-04-24
1.8434499502182007,1985-04-25
1.8434499502182007,1985-04-26
1.8533610105514526,1985-04-29
1.823628544807434,1985-04-30
1.8434499502182007,1985-05-01
1.8434499502182007,1985-05-02
1.8830937147140503,1985-05-03
1.893004059791565,1985-05-06
1.9623820781707764,1985-05-07
2.03175950050354,1985-05-08
2.120958089828491,1985-05-09
2.1506919860839844,1985-05-10
2.2002475261688232,1985-05-13
2.1506919860839844,1985-05-14
2.2002475261688232,1985-05-15
2.210157871246338,1985-05-16
2.259711742401123,1985-05-17
2.180424451828003,1985-05-20
2.0912258625030518,1985-05-21
2.120958089828491,1985-05-22
2.081315040588379,1985-05-23
2.081315040588379,1985-05-24
2.081315040588379,1985-05-28
2.03175950050354,1985-05-29
2.02184796333313,1985-05-30
2.0614919662475586,1985-05-31
2.0614919662475586,1985-06-03
2.081315040588379,1985-06-04
2.1506919860839844,1985-06-05
2.170513391494751,1985-06-06
2.1506919860839844,1985-06-07
2.2002475261688232,1985-06-10
2.180424451828003,1985-06-11
2.2002475261688232,1985-06-12
2.2002475261688232,1985-06-13
2.180424451828003,1985-06-14
2.2200698852539062,1985-06-17
2.239891767501831,1985-06-18
2.2200698852539062,1985-06-19
2.299356698989868,1985-06-20
2.3389999866485596,1985-06-21
2.3786468505859375,1985-06-24
2.299356698989868,1985-06-25
2.299356698989868,1985-06-26
2.2200698852539062,1985-06-27
2.259711742401123,1985-06-28
2.259711742401123,1985-07-01
2.259711742401123,1985-07-02
2.259711742401123,1985-07-03
2.259711742401123,1985-07-05
2.299356698989868,1985-07-08
2.239891767501831,1985-07-09
2.259711742401123,1985-07-10
2.259711742401123,1985-07-11
2.2200698852539062,1985-07-12
2.2002475261688232,1985-07-15
2.239891767501831,1985-07-16
2.239891767501831,1985-07-17
2.2200698852539062,1985-07-18
2.2200698852539062,1985-07-19
2.180424451828003,1985-07-22
2.180424451828003,1985-07-23
2.2002475261688232,1985-07-24
2.1606030464172363,1985-07-25
2.140779495239258,1985-07-26
2.1011359691619873,1985-07-29
2.0614919662475586,1985-07-30
2.0614919662475586,1985-07-31
2.081315040588379,1985-08-01
2.081315040588379,1985-08-02
2.0614919662475586,1985-08-05
2.081315040588379,1985-08-06
2.0614919662475586,1985-08-07
2.0614919662475586,1985-08-08
2.0614919662475586,1985-08-09
2.1011359691619873,1985-08-12
2.1011359691619873,1985-08-13
2.1011359691619873,1985-08-14
2.1011359691619873,1985-08-15
2.0614919662475586,1985-08-16
2.081315040588379,1985-08-19
2.1011359691619873,1985-08-20
2.0614919662475586,1985-08-21
2.0614919662475586,1985-08-22
2.081315040588379,1985-08-23
2.081315040588379,1985-08-26
2.081315040588379,1985-08-27
2.081315040588379,1985-08-28
2.0614919662475586,1985-08-29
2.0614919662475586,1985-08-30
2.0614919662475586,1985-09-03
2.081315040588379,1985-09-04
2.081315040588379,1985-09-05
2.1011359691619873,1985-09-06
2.1606030464172363,1985-09-09
2.140779495239258,1985-09-10
2.140779495239258,1985-09-11
2.140779495239258,1985-09-12
2.120958089828491,1985-09-13
2.120958089828491,1985-09-16
2.0614919662475586,1985-09-17
2.0614919662475586,1985-09-18
2.02184796333313,1985-09-19
2.02184796333313,1985-09-20
2.02184796333313,1985-09-23
2.02184796333313,1985-09-24
2.02184796333313,1985-09-25
2.081315040588379,1985-09-26
2.081315040588379,1985-09-30
2.041670322418213,1985-10-01
2.041670322418213,1985-10-02
2.081315040588379,1985-10-03
2.041670322418213,1985-10-04
2.0614919662475586,1985-10-07
2.0614919662475586,1985-10-08
2.0614919662475586,1985-10-09
2.081315040588379,1985-10-10
2.0614919662475586,1985-10-11
2.081315040588379,1985-10-14
2.081315040588379,1985-10-15
2.081315040588379,1985-10-16
2.0614919662475586,1985-10-17
2.081315040588379,1985-10-18
2.2002475261688232,1985-10-21
2.3389999866485596,1985-10-22
2.3191792964935303,1985-10-23
2.3786468505859375,1985-10-24
2.3389999866485596,1985-10-25
2.3588240146636963,1985-10-28
2.3588240146636963,1985-10-29
2.3588240146636963,1985-10-30
2.3588240146636963,1985-10-31
2.4381115436553955,1985-11-01
2.4579317569732666,1985-11-04
2.4579317569732666,1985-11-05
2.4579317569732666,1985-11-06
2.4182889461517334,1985-11-07
2.4182889461517334,1985-11-08
2.4381115436553955,1985-11-11
2.4381115436553955,1985-11-12
2.477755308151245,1985-11-13
2.497577428817749,1985-11-14
2.497577428817749,1985-11-15
2.576866865158081,1985-11-18
2.576866865158081,1985-11-19
2.5570433139801025,1985-11-20
2.6165099143981934,1985-11-21
2.636331796646118,1985-11-22
2.636331796646118,1985-11-25
2.636331796646118,1985-11-26
2.6165099143981934,1985-11-27
2.596688985824585,1985-11-29
2.497577428817749,1985-12-02
2.517399549484253,1985-12-03
2.636331796646118,1985-12-04
2.656153440475464,1985-12-05
2.656153440475464,1985-12-06
2.675975799560547,1985-12-09
2.6165099143981934,1985-12-10
2.5570433139801025,1985-12-11
2.6165099143981934,1985-12-12
2.576866865158081,1985-12-13
2.497577428817749,1985-12-16
2.517399549484253,1985-12-17
2.517399549484253,1985-12-18
2.5570433139801025,1985-12-19
2.576866865158081,1985-12-20
2.5372207164764404,1985-12-23
2.5372207164764404,1985-12-24
2.497577428817749,1985-12-26
2.5372207164764404,1985-12-27
2.5372207164764404,1985-12-30
2.5372207164764404,1985-12-31
2.517399549484253,1986-01-02
2.5372207164764404,1986-01-03
