TMUS,Date
45.027652740478516,2007-04-19
46.917503356933594,2007-04-20
47.24617385864258,2007-04-23
47.98567581176758,2007-04-24
47.01610565185547,2007-04-25
46.34233093261719,2007-04-26
46.67100143432617,2007-04-27
46.095829010009766,2007-04-30
45.849327087402344,2007-05-01
46.27659606933594,2007-05-02
47.08183670043945,2007-05-03
47.328338623046875,2007-05-04
47.77204132080078,2007-05-07
48.15000915527344,2007-05-08
50.697200775146484,2007-05-09
49.974124908447266,2007-05-10
50.79579544067383,2007-05-11
52.45557403564453,2007-05-14
56.218833923339844,2007-05-15
56.465335845947266,2007-05-16
59.8177604675293,2007-05-17
60.11356735229492,2007-05-18
56.76114273071289,2007-05-21
55.39716720581055,2007-05-22
55.18353271484375,2007-05-23
55.75870132446289,2007-05-24
57.533504486083984,2007-05-25
55.70940017700195,2007-05-29
58.864620208740234,2007-05-30
58.601688385009766,2007-05-31
60.12999725341797,2007-06-01
60.277896881103516,2007-06-04
57.9443473815918,2007-06-05
55.69296646118164,2007-06-06
53.45801544189453,2007-06-07
53.49087905883789,2007-06-08
55.495758056640625,2007-06-11
54.427589416503906,2007-06-12
55.52863693237305,2007-06-13
54.11534881591797,2007-06-14
58.503082275390625,2007-06-15
58.535945892333984,2007-06-18
55.85730743408203,2007-06-19
53.63878631591797,2007-06-20
55.24925994873047,2007-06-21
55.594364166259766,2007-06-22
57.51707458496094,2007-06-25
57.1226692199707,2007-06-26
57.27057647705078,2007-06-27
55.29856491088867,2007-06-28
54.29612731933594,2007-06-29
54.27968215942383,2007-07-02
56.432472229003906,2007-07-03
56.18596649169922,2007-07-05
57.79644012451172,2007-07-06
57.81288146972656,2007-07-09
58.51952362060547,2007-07-10
59.43979263305664,2007-07-11
61.06670379638672,2007-07-12
61.14887237548828,2007-07-13
63.038719177246094,2007-07-16
66.27610778808594,2007-07-17
64.61632537841797,2007-07-18
64.99430084228516,2007-07-19
64.69849395751953,2007-07-20
64.10688781738281,2007-07-23
62.036277770996094,2007-07-24
58.56882095336914,2007-07-25
58.2565803527832,2007-07-26
57.84574508666992,2007-07-27
61.28034210205078,2007-07-30
60.179298400878906,2007-07-31
60.5572624206543,2007-08-01
64.12332916259766,2007-08-02
51.20663070678711,2007-08-03
50.26992416381836,2007-08-06
52.587039947509766,2007-08-07
52.19264221191406,2007-08-08
45.997230529785156,2007-08-09
45.19198989868164,2007-08-10
47.37763977050781,2007-08-13
45.58639144897461,2007-08-14
42.38187026977539,2007-08-15
39.68678283691406,2007-08-16
43.02277374267578,2007-08-17
42.233970642089844,2007-08-20
42.053199768066406,2007-08-21
41.97103500366211,2007-08-22
41.95460510253906,2007-08-23
46.58883285522461,2007-08-24
50.40139389038086,2007-08-27
49.18531799316406,2007-08-28
46.50666427612305,2007-08-29
44.25528335571289,2007-08-30
44.84688949584961,2007-08-31
47.08183670043945,2007-09-04
47.47623825073242,2007-09-05
46.161563873291016,2007-09-06
44.731849670410156,2007-09-07
43.95948028564453,2007-09-10
43.79514694213867,2007-09-11
42.75984191894531,2007-09-12
40.738529205322266,2007-09-13
41.24795913696289,2007-09-14
41.3958625793457,2007-09-17
41.83956527709961,2007-09-18
42.15180206298828,2007-09-19
43.45004653930664,2007-09-20
43.54864501953125,2007-09-21
43.89374542236328,2007-09-24
44.66612243652344,2007-09-25
44.3538818359375,2007-09-26
45.24129104614258,2007-09-27
44.8304557800293,2007-09-28
44.76472091674805,2007-10-01
45.76716232299805,2007-10-02
45.47135925292969,2007-10-03
45.3563232421875,2007-10-04
40.738529205322266,2007-10-05
39.768951416015625,2007-10-08
41.42873001098633,2007-10-09
40.77138900756836,2007-10-10
40.968597412109375,2007-10-11
40.83712387084961,2007-10-12
39.473148345947266,2007-10-15
37.46826934814453,2007-10-16
36.97526168823242,2007-10-17
36.317928314208984,2007-10-18
36.022125244140625,2007-10-19
33.852909088134766,2007-10-22
32.27529525756836,2007-10-23
32.25886154174805,2007-10-24
32.63683319091797,2007-10-25
35.16758728027344,2007-10-26
35.890655517578125,2007-10-29
35.49625778198242,2007-10-30
36.97526168823242,2007-10-31
33.09696960449219,2007-11-01
35.923526763916016,2007-11-02
35.561988830566406,2007-11-05
36.18646240234375,2007-11-06
35.299049377441406,2007-11-07
34.181575775146484,2007-11-08
26.457855224609375,2007-11-09
25.65261459350586,2007-11-12
27.033031463623047,2007-11-13
29.793842315673828,2007-11-14
30.171815872192383,2007-11-15
30.64838409423828,2007-11-16
28.92287254333496,2007-11-19
26.293519973754883,2007-11-20
25.044578552246094,2007-11-21
25.554018020629883,2007-11-23
25.373247146606445,2007-11-26
24.814512252807617,2007-11-27
26.671489715576172,2007-11-28
27.312395095825195,2007-11-29
28.101200103759766,2007-11-30
26.572893142700195,2007-12-03
27.95330047607422,2007-12-04
28.44630241394043,2007-12-05
27.608198165893555,2007-12-06
28.939308166503906,2007-12-07
29.005041122436523,2007-12-10
28.314834594726562,2007-12-11
28.019033432006836,2007-12-12
28.216236114501953,2007-12-13
29.613079071044922,2007-12-14
29.300844192504883,2007-12-17
28.643503189086914,2007-12-18
30.106081008911133,2007-12-19
33.09696960449219,2007-12-20
33.70500564575195,2007-12-21
32.93263626098633,2007-12-24
32.93263626098633,2007-12-26
32.39033126831055,2007-12-27
32.045230865478516,2007-12-28
31.963062286376953,2007-12-31
30.64838409423828,2008-01-02
30.401884078979492,2008-01-03
28.364137649536133,2008-01-04
27.06589126586914,2008-01-07
28.80784034729004,2008-01-08
28.479169845581055,2008-01-09
28.85713768005371,2008-01-10
28.298402786254883,2008-01-11
29.59664535522461,2008-01-14
29.90888023376465,2008-01-15
30.204683303833008,2008-01-16
29.94174575805664,2008-01-17
28.479169845581055,2008-01-18
27.230226516723633,2008-01-22
26.901559829711914,2008-01-23
27.11519432067871,2008-01-24
27.526029586791992,2008-01-25
27.180927276611328,2008-01-28
27.213794708251953,2008-01-29
28.084768295288086,2008-01-30
29.876012802124023,2008-01-31
30.418315887451172,2008-02-01
30.763418197631836,2008-02-04
28.85713768005371,2008-02-05
28.05190086364746,2008-02-06
28.068336486816406,2008-02-07
27.476726531982422,2008-02-08
26.819393157958984,2008-02-11
27.213794708251953,2008-02-12
27.246660232543945,2008-02-13
25.636184692382812,2008-02-14
26.474288940429688,2008-02-15
25.537582397460938,2008-02-19
25.208913803100586,2008-02-20
25.0117130279541,2008-02-21
24.370807647705078,2008-02-22
24.633743286132812,2008-02-25
24.978845596313477,2008-02-26
24.650177001953125,2008-02-27
26.129186630249023,2008-02-28
26.211355209350586,2008-02-29
25.373247146606445,2008-03-03
25.636184692382812,2008-03-04
27.3616943359375,2008-03-05
26.638622283935547,2008-03-06
26.622190475463867,2008-03-07
25.80051612854004,2008-03-10
26.86869239807129,2008-03-11
26.342823028564453,2008-03-12
25.915552139282227,2008-03-13
24.978845596313477,2008-03-14
23.82850456237793,2008-03-17
24.8802433013916,2008-03-18
24.650177001953125,2008-03-19
25.636184692382812,2008-03-20
26.556453704833984,2008-03-24
29.185808181762695,2008-03-25
28.51203727722168,2008-03-26
28.002599716186523,2008-03-27
27.3616943359375,2008-03-28
27.936864852905273,2008-03-31
28.495603561401367,2008-04-01
29.777414321899414,2008-04-02
31.47005844116211,2008-04-03
30.566219329833984,2008-04-04
31.04278564453125,2008-04-07
32.86690139770508,2008-04-08
31.88089370727539,2008-04-09
31.07565689086914,2008-04-10
30.171815872192383,2008-04-11
30.61551856994629,2008-04-14
31.14139175415039,2008-04-15
31.453624725341797,2008-04-16
31.223556518554688,2008-04-17
31.995929718017578,2008-04-18
32.01236343383789,2008-04-21
32.01236343383789,2008-04-22
32.29173278808594,2008-04-23
32.48893356323242,2008-04-24
32.83403396606445,2008-04-25
32.751869201660156,2008-04-28
32.86690139770508,2008-04-29
32.27529525756836,2008-04-30
32.70256805419922,2008-05-01
32.76830291748047,2008-05-02
32.89976501464844,2008-05-05
31.453624725341797,2008-05-06
30.993488311767578,2008-05-07
31.223556518554688,2008-05-08
32.242431640625,2008-05-09
32.3739013671875,2008-05-12
32.784732818603516,2008-05-13
32.86690139770508,2008-05-14
34.67457962036133,2008-05-15
35.70988845825195,2008-05-16
35.87422180175781,2008-05-19
35.44695281982422,2008-05-20
34.51024627685547,2008-05-21
34.41164779663086,2008-05-22
35.151153564453125,2008-05-23
34.75674819946289,2008-05-27
34.75674819946289,2008-05-28
34.559547424316406,2008-05-29
34.90464782714844,2008-05-30
33.688575744628906,2008-06-02
33.58997344970703,2008-06-03
34.148712158203125,2008-06-04
34.98681640625,2008-06-05
33.984375,2008-06-06
33.16270446777344,2008-06-09
32.86690139770508,2008-06-10
31.535795211791992,2008-06-11
32.538230895996094,2008-06-12
31.848026275634766,2008-06-13
33.014801025390625,2008-06-16
33.376338958740234,2008-06-17
33.918643951416016,2008-06-18
32.66969680786133,2008-06-19
31.02635383605957,2008-06-20
31.617958068847656,2008-06-23
30.5004825592041,2008-06-24
29.383007049560547,2008-06-25
28.068336486816406,2008-06-26
28.364137649536133,2008-06-27
29.1036376953125,2008-06-30
28.824275970458984,2008-07-01
28.232667922973633,2008-07-02
24.830944061279297,2008-07-03
24.962411880493164,2008-07-07
26.17848777770996,2008-07-08
25.6197509765625,2008-07-09
25.866252899169922,2008-07-10
25.38968276977539,2008-07-11
25.899120330810547,2008-07-14
25.669050216674805,2008-07-15
25.455413818359375,2008-07-16
26.079885482788086,2008-07-17
24.978845596313477,2008-07-18
25.833383560180664,2008-07-21
25.685483932495117,2008-07-22
26.079885482788086,2008-07-23
25.751218795776367,2008-07-24
26.260652542114258,2008-07-25
25.48828125,2008-07-28
26.687925338745117,2008-07-29
27.706796646118164,2008-07-30
27.328826904296875,2008-07-31
27.328826904296875,2008-08-01
27.624629974365234,2008-08-04
28.676372528076172,2008-08-05
29.087207794189453,2008-08-06
28.594205856323242,2008-08-07
28.347702026367188,2008-08-08
29.44874382019043,2008-08-11
28.75853729248047,2008-08-12
28.380571365356445,2008-08-13
28.331268310546875,2008-08-14
28.74210548400879,2008-08-15
28.84070587158203,2008-08-18
26.95085906982422,2008-08-19
27.460294723510742,2008-08-20
28.594205856323242,2008-08-21
28.51203727722168,2008-08-22
27.312395095825195,2008-08-25
27.460294723510742,2008-08-26
27.871129989624023,2008-08-27
28.544906616210938,2008-08-28
27.72323226928711,2008-08-29
29.120075225830078,2008-09-02
28.85713768005371,2008-09-03
28.41343879699707,2008-09-04
27.526029586791992,2008-09-05
28.216236114501953,2008-09-08
28.42987060546875,2008-09-09
28.643503189086914,2008-09-10
28.479169845581055,2008-09-11
29.399442672729492,2008-09-12
27.131628036499023,2008-09-15
27.246660232543945,2008-09-16
25.25821304321289,2008-09-17
26.605756759643555,2008-09-18
27.82183265686035,2008-09-19
25.6197509765625,2008-09-22
24.748777389526367,2008-09-23
24.502275466918945,2008-09-24
24.15717315673828,2008-09-25
22.84249496459961,2008-09-26
21.33061981201172,2008-09-29
22.990398406982422,2008-09-30
25.061012268066406,2008-10-01
23.46696662902832,2008-10-02
24.025705337524414,2008-10-03
25.24178123474121,2008-10-06
26.260652542114258,2008-10-07
24.962411880493164,2008-10-08
22.168724060058594,2008-10-09
21.41278648376465,2008-10-10
23.13829803466797,2008-10-13
23.417667388916016,2008-10-14
21.429218292236328,2008-10-15
21.8729248046875,2008-10-16
22.316625595092773,2008-10-17
24.584442138671875,2008-10-20
23.434101104736328,2008-10-21
22.941097259521484,2008-10-22
21.922224044799805,2008-10-23
20.919782638549805,2008-10-24
21.149850845336914,2008-10-27
22.645296096801758,2008-10-28
22.793195724487305,2008-10-29
23.483400344848633,2008-10-30
22.579561233520508,2008-10-31
23.07256507873535,2008-11-03
24.05857276916504,2008-11-04
23.039697647094727,2008-11-05
22.28376007080078,2008-11-06
22.18515968322754,2008-11-07
21.379920959472656,2008-11-10
20.985517501831055,2008-11-11
18.109663009643555,2008-11-12
19.046371459960938,2008-11-13
19.342172622680664,2008-11-14
19.029935836791992,2008-11-17
19.72014045715332,2008-11-18
18.8656005859375,2008-11-19
17.6002254486084,2008-11-20
18.241132736206055,2008-11-21
19.818742752075195,2008-11-24
19.917343139648438,2008-11-25
22.957530975341797,2008-11-26
24.05857276916504,2008-11-28
22.382360458374023,2008-12-01
22.727462768554688,2008-12-02
24.354373931884766,2008-12-03
23.927104949951172,2008-12-04
25.29108238220215,2008-12-05
25.8826847076416,2008-12-08
24.863811492919922,2008-12-09
25.126747131347656,2008-12-10
24.69947624206543,2008-12-11
24.370807647705078,2008-12-12
23.976404190063477,2008-12-15
25.734785079956055,2008-12-16
25.899120330810547,2008-12-17
25.833383560180664,2008-12-18
25.767650604248047,2008-12-19
24.337940216064453,2008-12-22
24.042139053344727,2008-12-23
23.401233673095703,2008-12-24
23.549135208129883,2008-12-26
23.51626968383789,2008-12-29
23.401233673095703,2008-12-30
24.403675079345703,2008-12-31
24.420106887817383,2009-01-02
25.537582397460938,2009-01-05
27.871129989624023,2009-01-06
28.85713768005371,2009-01-07
29.169376373291016,2009-01-08
28.347702026367188,2009-01-09
26.309953689575195,2009-01-12
26.605756759643555,2009-01-13
26.24422264099121,2009-01-14
22.793195724487305,2009-01-15
22.250892639160156,2009-01-16
20.739013671875,2009-01-20
22.05368995666504,2009-01-21
22.05368995666504,2009-01-22
21.001949310302734,2009-01-23
21.840057373046875,2009-01-26
22.1358585357666,2009-01-27
23.13829803466797,2009-01-28
22.645296096801758,2009-01-29
22.33306121826172,2009-01-30
22.858928680419922,2009-02-02
23.417667388916016,2009-02-03
23.91067123413086,2009-02-04
24.6173095703125,2009-02-05
24.53514289855957,2009-02-06
25.307514190673828,2009-02-09
23.68060302734375,2009-02-10
23.401233673095703,2009-02-11
23.51626968383789,2009-02-12
24.07500457763672,2009-02-13
22.727462768554688,2009-02-17
21.82362174987793,2009-02-18
20.623979568481445,2009-02-19
20.541812896728516,2009-02-20
19.835174560546875,2009-02-23
20.65684700012207,2009-02-24
20.80474853515625,2009-02-25
21.95509147644043,2009-02-26
23.82850456237793,2009-02-27
22.152292251586914,2009-03-02
21.889354705810547,2009-03-03
23.713470458984375,2009-03-04
23.269765853881836,2009-03-05
23.598434448242188,2009-03-06
23.927104949951172,2009-03-09
25.0117130279541,2009-03-10
25.71834945678711,2009-03-11
26.16205406188965,2009-03-12
27.690364837646484,2009-03-13
26.556453704833984,2009-03-16
27.739665985107422,2009-03-17
28.298402786254883,2009-03-18
28.397003173828125,2009-03-19
27.328826904296875,2009-03-20
28.939308166503906,2009-03-23
28.42987060546875,2009-03-24
28.74210548400879,2009-03-25
29.56377601623535,2009-03-26
28.791404724121094,2009-03-27
27.969736099243164,2009-03-30
28.068336486816406,2009-03-31
29.120075225830078,2009-04-01
30.81271743774414,2009-04-02
30.122516632080078,2009-04-03
29.498043060302734,2009-04-06
27.788965225219727,2009-04-07
27.673933029174805,2009-04-08
28.298402786254883,2009-04-09
28.068336486816406,2009-04-13
27.608198165893555,2009-04-14
27.476726531982422,2009-04-15
28.19980239868164,2009-04-16
27.246660232543945,2009-04-17
26.17848777770996,2009-04-20
26.671489715576172,2009-04-21
26.638622283935547,2009-04-22
26.441423416137695,2009-04-23
26.457855224609375,2009-04-24
27.000160217285156,2009-04-27
26.32638931274414,2009-04-28
27.180927276611328,2009-04-29
28.084768295288086,2009-04-30
28.019033432006836,2009-05-01
29.580209732055664,2009-05-04
29.120075225830078,2009-05-05
30.30328369140625,2009-05-06
27.854700088500977,2009-05-07
