SHW,Date
0.1497202068567276,1980-03-17
0.14422622323036194,1980-03-18
0.14834672212600708,1980-03-19
0.1455998420715332,1980-03-20
0.1455998420715332,1980-03-21
0.14216546714305878,1980-03-24
0.14010529220104218,1980-03-25
0.13735835254192352,1980-03-26
0.12911681830883026,1980-03-27
0.1346108466386795,1980-03-28
0.14834672212600708,1980-03-31
0.1497202068567276,1980-04-01
0.14903348684310913,1980-04-02
0.15315461158752441,1980-04-03
0.15040700137615204,1980-04-07
0.15040700137615204,1980-04-08
0.15040700137615204,1980-04-09
0.15178048610687256,1980-04-10
0.1510937213897705,1980-04-11
0.14903348684310913,1980-04-14
0.14834672212600708,1980-04-15
0.14285221695899963,1980-04-16
0.13873173296451569,1980-04-17
0.14216546714305878,1980-04-18
0.144912987947464,1980-04-21
0.1497202068567276,1980-04-22
0.1552148163318634,1980-04-23
0.15933531522750854,1980-04-24
0.1552148163318634,1980-04-25
0.15658827126026154,1980-04-28
0.15658827126026154,1980-04-29
0.1613960713148117,1980-04-30
0.1613960713148117,1980-05-01
0.15933531522750854,1980-05-02
0.15933531522750854,1980-05-05
0.15727493166923523,1980-05-06
0.15452800691127777,1980-05-07
0.1538413017988205,1980-05-08
0.1497202068567276,1980-05-09
0.15040700137615204,1980-05-12
0.15040700137615204,1980-05-13
0.1497202068567276,1980-05-14
0.1510937213897705,1980-05-15
0.15315461158752441,1980-05-16
0.1510937213897705,1980-05-19
0.1510937213897705,1980-05-20
0.15178048610687256,1980-05-21
0.1524677723646164,1980-05-22
0.15315461158752441,1980-05-23
0.15315461158752441,1980-05-27
0.1538413017988205,1980-05-28
0.15178048610687256,1980-05-29
0.15040700137615204,1980-05-30
0.1538413017988205,1980-06-02
0.15040700137615204,1980-06-03
0.1497202068567276,1980-06-04
0.15727493166923523,1980-06-05
0.15658827126026154,1980-06-06
0.1586485505104065,1980-06-09
0.16070927679538727,1980-06-10
0.1613960713148117,1980-06-11
0.16002197563648224,1980-06-12
0.16070927679538727,1980-06-13
0.15933531522750854,1980-06-16
0.15796171128749847,1980-06-17
0.15727493166923523,1980-06-18
0.1586485505104065,1980-06-19
0.1586485505104065,1980-06-20
0.1586485505104065,1980-06-23
0.15796171128749847,1980-06-24
0.15658827126026154,1980-06-25
0.15796171128749847,1980-06-26
0.15727493166923523,1980-06-27
0.15727493166923523,1980-06-30
0.15727493166923523,1980-07-01
0.1586485505104065,1980-07-02
0.15933531522750854,1980-07-03
0.15933531522750854,1980-07-07
0.16070927679538727,1980-07-08
0.16276954114437103,1980-07-09
0.16757681965827942,1980-07-10
0.16895070672035217,1980-07-11
0.17513151466846466,1980-07-14
0.17581821978092194,1980-07-15
0.18131276965141296,1980-07-16
0.18131276965141296,1980-07-17
0.18199947476387024,1980-07-18
0.1909276843070984,1980-07-21
0.1923011690378189,1980-07-22
0.19024096429347992,1980-07-23
0.1895541250705719,1980-07-24
0.18337289988994598,1980-07-25
0.17856574058532715,1980-07-28
0.17581821978092194,1980-07-29
0.17856574058532715,1980-07-30
0.17787891626358032,1980-07-31
0.18405981361865997,1980-08-01
0.18680720031261444,1980-08-04
0.1895541250705719,1980-08-05
0.1895541250705719,1980-08-06
0.1923011690378189,1980-08-07
0.19024096429347992,1980-08-08
0.19298794865608215,1980-08-11
0.19161443412303925,1980-08-12
0.19024096429347992,1980-08-13
0.1923011690378189,1980-08-14
0.19710898399353027,1980-08-15
0.1977957934141159,1980-08-18
0.19710898399353027,1980-08-19
0.20122940838336945,1980-08-20
0.21221840381622314,1980-08-21
0.21359193325042725,1980-08-22
0.21084487438201904,1980-08-25
0.20603697001934052,1980-08-26
0.20122940838336945,1980-08-27
0.20054268836975098,1980-08-28
0.19367535412311554,1980-08-29
0.19916927814483643,1980-09-02
0.20603697001934052,1980-09-03
0.21908646821975708,1980-09-04
0.21977324783802032,1980-09-05
0.21839968860149384,1980-09-08
0.21702563762664795,1980-09-09
0.21977324783802032,1980-09-10
0.21977324783802032,1980-09-11
0.2177123725414276,1980-09-12
0.21633894741535187,1980-09-15
0.21633894741535187,1980-09-16
0.21221840381622314,1980-09-17
0.21153171360492706,1980-09-18
0.21221840381622314,1980-09-19
0.21153171360492706,1980-09-22
0.21153171360492706,1980-09-23
0.21221840381622314,1980-09-24
0.21359193325042725,1980-09-25
0.20878411829471588,1980-09-26
0.20535042881965637,1980-09-29
0.2032901644706726,1980-09-30
0.20260341465473175,1980-10-01
0.19985584914684296,1980-10-02
0.19985584914684296,1980-10-03
0.2046637386083603,1980-10-06
0.2032901644706726,1980-10-07
0.2032901644706726,1980-10-08
0.2046637386083603,1980-10-09
0.20535042881965637,1980-10-10
0.2046637386083603,1980-10-13
0.20603697001934052,1980-10-14
0.208097442984581,1980-10-15
0.20535042881965637,1980-10-16
0.2039768546819687,1980-10-17
0.2149653136730194,1980-10-20
0.2177123725414276,1980-10-21
0.21702563762664795,1980-10-22
0.2129051238298416,1980-10-23
0.20878411829471588,1980-10-24
0.2046637386083603,1980-10-27
0.2032901644706726,1980-10-28
0.2032901644706726,1980-10-29
0.2032901644706726,1980-10-30
0.20741063356399536,1980-10-31
0.20878411829471588,1980-11-03
0.21221840381622314,1980-11-05
0.2129051238298416,1980-11-06
0.21221840381622314,1980-11-07
0.21153171360492706,1980-11-10
0.21359193325042725,1980-11-11
0.21084487438201904,1980-11-12
0.21084487438201904,1980-11-13
0.21084487438201904,1980-11-14
0.21084487438201904,1980-11-17
0.21084487438201904,1980-11-18
0.2129051238298416,1980-11-19
0.2129051238298416,1980-11-20
