ZS,Date
33.0,2018-03-16
27.899999618530273,2018-03-19
30.3799991607666,2018-03-20
31.079999923706055,2018-03-21
29.829999923706055,2018-03-22
29.43000030517578,2018-03-23
27.829999923706055,2018-03-26
27.75,2018-03-27
27.530000686645508,2018-03-28
28.06999969482422,2018-03-29
27.059999465942383,2018-04-02
26.799999237060547,2018-04-03
27.969999313354492,2018-04-04
28.530000686645508,2018-04-05
28.219999313354492,2018-04-06
26.540000915527344,2018-04-09
28.06999969482422,2018-04-10
27.709999084472656,2018-04-11
27.959999084472656,2018-04-12
27.479999542236328,2018-04-13
28.989999771118164,2018-04-16
28.75,2018-04-17
28.649999618530273,2018-04-18
28.030000686645508,2018-04-19
27.219999313354492,2018-04-20
26.860000610351562,2018-04-23
27.139999389648438,2018-04-24
28.110000610351562,2018-04-25
28.649999618530273,2018-04-26
28.709999084472656,2018-04-27
29.889999389648438,2018-04-30
29.1299991607666,2018-05-01
29.950000762939453,2018-05-02
27.56999969482422,2018-05-03
27.860000610351562,2018-05-04
27.649999618530273,2018-05-07
27.530000686645508,2018-05-08
27.850000381469727,2018-05-09
28.18000030517578,2018-05-10
29.31999969482422,2018-05-11
28.469999313354492,2018-05-14
27.40999984741211,2018-05-15
27.09000015258789,2018-05-16
27.389999389648438,2018-05-17
27.280000686645508,2018-05-18
27.420000076293945,2018-05-21
27.09000015258789,2018-05-22
26.559999465942383,2018-05-23
26.549999237060547,2018-05-24
24.950000762939453,2018-05-25
25.6299991607666,2018-05-29
25.5,2018-05-30
26.260000228881836,2018-05-31
28.18000030517578,2018-06-01
29.209999084472656,2018-06-04
30.1299991607666,2018-06-05
30.649999618530273,2018-06-06
37.790000915527344,2018-06-07
40.529998779296875,2018-06-08
41.25,2018-06-11
38.93000030517578,2018-06-12
38.83000183105469,2018-06-13
39.38999938964844,2018-06-14
41.0,2018-06-15
40.400001525878906,2018-06-18
39.15999984741211,2018-06-19
37.8849983215332,2018-06-20
35.209999084472656,2018-06-21
36.630001068115234,2018-06-22
36.36000061035156,2018-06-25
35.869998931884766,2018-06-26
34.61000061035156,2018-06-27
35.310001373291016,2018-06-28
35.75,2018-06-29
37.08000183105469,2018-07-02
36.43000030517578,2018-07-03
36.66999816894531,2018-07-05
38.0099983215332,2018-07-06
39.869998931884766,2018-07-09
38.540000915527344,2018-07-10
39.119998931884766,2018-07-11
40.540000915527344,2018-07-12
39.7400016784668,2018-07-13
41.119998931884766,2018-07-16
41.880001068115234,2018-07-17
41.68000030517578,2018-07-18
40.380001068115234,2018-07-19
39.790000915527344,2018-07-20
41.380001068115234,2018-07-23
39.810001373291016,2018-07-24
41.220001220703125,2018-07-25
39.66999816894531,2018-07-26
37.380001068115234,2018-07-27
36.220001220703125,2018-07-30
35.310001373291016,2018-07-31
36.060001373291016,2018-08-01
37.029998779296875,2018-08-02
37.33000183105469,2018-08-03
36.59000015258789,2018-08-06
37.25,2018-08-07
37.040000915527344,2018-08-08
38.290000915527344,2018-08-09
38.189998626708984,2018-08-10
38.060001373291016,2018-08-13
37.52000045776367,2018-08-14
36.349998474121094,2018-08-15
39.099998474121094,2018-08-16
40.290000915527344,2018-08-17
39.81999969482422,2018-08-20
39.43000030517578,2018-08-21
41.720001220703125,2018-08-22
42.54999923706055,2018-08-23
44.43000030517578,2018-08-24
47.2599983215332,2018-08-27
47.0,2018-08-28
47.15999984741211,2018-08-29
43.900001525878906,2018-08-30
42.790000915527344,2018-08-31
44.2599983215332,2018-09-04
44.06999969482422,2018-09-05
41.869998931884766,2018-09-06
46.04999923706055,2018-09-07
45.7599983215332,2018-09-10
42.95000076293945,2018-09-11
42.68000030517578,2018-09-12
42.439998626708984,2018-09-13
42.63999938964844,2018-09-14
40.2599983215332,2018-09-17
39.75,2018-09-18
37.83000183105469,2018-09-19
38.81999969482422,2018-09-20
40.130001068115234,2018-09-21
41.43000030517578,2018-09-24
42.63999938964844,2018-09-25
41.970001220703125,2018-09-26
41.61000061035156,2018-09-27
40.779998779296875,2018-09-28
39.93000030517578,2018-10-01
37.029998779296875,2018-10-02
38.209999084472656,2018-10-03
37.810001373291016,2018-10-04
37.040000915527344,2018-10-05
36.349998474121094,2018-10-08
35.72999954223633,2018-10-09
33.540000915527344,2018-10-10
34.54999923706055,2018-10-11
36.29999923706055,2018-10-12
36.86000061035156,2018-10-15
38.959999084472656,2018-10-16
37.90999984741211,2018-10-17
36.779998779296875,2018-10-18
35.68000030517578,2018-10-19
36.29999923706055,2018-10-22
35.529998779296875,2018-10-23
34.02000045776367,2018-10-24
35.75,2018-10-25
33.75,2018-10-26
34.16999816894531,2018-10-29
35.4900016784668,2018-10-30
36.290000915527344,2018-10-31
38.959999084472656,2018-11-01
39.41999816894531,2018-11-02
39.77000045776367,2018-11-05
40.970001220703125,2018-11-06
41.0,2018-11-07
41.7400016784668,2018-11-08
40.709999084472656,2018-11-09
39.34000015258789,2018-11-12
40.31999969482422,2018-11-13
40.09000015258789,2018-11-14
40.9900016784668,2018-11-15
37.650001525878906,2018-11-16
33.099998474121094,2018-11-19
32.25,2018-11-20
33.47999954223633,2018-11-21
33.849998474121094,2018-11-23
34.68000030517578,2018-11-26
34.61000061035156,2018-11-27
36.900001525878906,2018-11-28
37.560001373291016,2018-11-29
39.2599983215332,2018-11-30
39.119998931884766,2018-12-03
37.209999084472656,2018-12-04
42.97999954223633,2018-12-06
40.38999938964844,2018-12-07
40.599998474121094,2018-12-10
39.7599983215332,2018-12-11
41.220001220703125,2018-12-12
41.86000061035156,2018-12-13
42.470001220703125,2018-12-14
38.27000045776367,2018-12-17
39.599998474121094,2018-12-18
39.33000183105469,2018-12-19
37.22999954223633,2018-12-20
34.959999084472656,2018-12-21
35.54999923706055,2018-12-24
39.130001068115234,2018-12-26
40.16999816894531,2018-12-27
39.79999923706055,2018-12-28
39.209999084472656,2018-12-31
39.810001373291016,2019-01-02
39.31999969482422,2019-01-03
41.77000045776367,2019-01-04
43.560001373291016,2019-01-07
43.97999954223633,2019-01-08
44.880001068115234,2019-01-09
45.40999984741211,2019-01-10
45.20000076293945,2019-01-11
45.0099983215332,2019-01-14
45.31999969482422,2019-01-15
44.150001525878906,2019-01-16
44.84000015258789,2019-01-17
45.349998474121094,2019-01-18
44.59000015258789,2019-01-22
45.04999923706055,2019-01-23
45.060001373291016,2019-01-24
45.88999938964844,2019-01-25
45.59000015258789,2019-01-28
45.16999816894531,2019-01-29
45.52000045776367,2019-01-30
48.369998931884766,2019-01-31
48.31999969482422,2019-02-01
49.06999969482422,2019-02-04
48.31999969482422,2019-02-05
47.75,2019-02-06
48.029998779296875,2019-02-07
48.459999084472656,2019-02-08
48.59000015258789,2019-02-11
50.099998474121094,2019-02-12
49.0,2019-02-13
50.08000183105469,2019-02-14
50.11000061035156,2019-02-15
49.9900016784668,2019-02-19
49.83000183105469,2019-02-20
49.66999816894531,2019-02-21
49.779998779296875,2019-02-22
49.93000030517578,2019-02-25
50.0,2019-02-26
50.720001220703125,2019-02-27
49.68000030517578,2019-02-28
60.56999969482422,2019-03-01
58.029998779296875,2019-03-04
