WDC,Date
0.9031475186347961,1978-10-31
0.9533224105834961,1978-11-01
1.0536723136901855,1978-11-02
1.0536723136901855,1978-11-03
1.254372000694275,1978-11-06
1.204196810722351,1978-11-07
1.254372000694275,1978-11-08
1.254372000694275,1978-11-09
1.254372000694275,1978-11-10
1.204196810722351,1978-11-13
1.1038471460342407,1978-11-14
0.9533224105834961,1978-11-15
0.9533224105834961,1978-11-16
0.9031475186347961,1978-11-17
1.0536723136901855,1978-11-20
0.9533224105834961,1978-11-21
0.9533224105834961,1978-11-22
0.9031475186347961,1978-11-24
0.9031475186347961,1978-11-27
0.9031475186347961,1978-11-28
0.8529728055000305,1978-11-29
0.8529728055000305,1978-11-30
0.8529728055000305,1978-12-01
0.8529728055000305,1978-12-04
0.8529728055000305,1978-12-05
0.8027978539466858,1978-12-06
0.8027978539466858,1978-12-07
0.8027978539466858,1978-12-08
0.8027978539466858,1978-12-11
0.8027978539466858,1978-12-12
0.7526230216026306,1978-12-13
0.7024480700492859,1978-12-14
0.6020984053611755,1978-12-15
0.5519235730171204,1978-12-18
0.6020984053611755,1978-12-19
0.6020984053611755,1978-12-20
0.6522733569145203,1978-12-21
0.8027978539466858,1978-12-22
0.8027978539466858,1978-12-26
0.7526230216026306,1978-12-27
0.7526230216026306,1978-12-28
0.7526230216026306,1978-12-29
0.7526230216026306,1979-01-02
0.7526230216026306,1979-01-03
0.8027978539466858,1979-01-04
0.7526230216026306,1979-01-05
0.7526230216026306,1979-01-08
0.7526230216026306,1979-01-09
0.7526230216026306,1979-01-10
0.7526230216026306,1979-01-11
0.9031475186347961,1979-01-12
0.9031475186347961,1979-01-15
0.8529728055000305,1979-01-16
0.8027978539466858,1979-01-17
0.8027978539466858,1979-01-18
0.8529728055000305,1979-01-19
0.9031475186347961,1979-01-22
1.0034973621368408,1979-01-23
1.1038471460342407,1979-01-24
1.254372000694275,1979-01-25
1.1540217399597168,1979-01-26
1.204196810722351,1979-01-29
1.1540217399597168,1979-01-30
1.1540217399597168,1979-01-31
1.1540217399597168,1979-02-01
1.1540217399597168,1979-02-02
1.0536723136901855,1979-02-05
1.1038471460342407,1979-02-06
1.1038471460342407,1979-02-07
