AMAT,Date
0.07028747349977493,1980-03-17
0.06900963932275772,1980-03-18
0.07028747349977493,1980-03-19
0.07156535238027573,1980-03-20
0.07412111759185791,1980-03-21
0.07028747349977493,1980-03-24
0.06837067008018494,1980-03-25
0.061341654509305954,1980-03-26
0.05623013153672218,1980-03-27
0.06261950731277466,1980-03-28
0.06964854896068573,1980-03-31
0.06900963932275772,1980-04-01
0.06517602503299713,1980-04-02
0.06709281355142593,1980-04-03
0.062300026416778564,1980-04-07
0.06517602503299713,1980-04-08
0.06421761214733124,1980-04-09
0.06421761214733124,1980-04-10
0.06421761214733124,1980-04-11
0.06421761214733124,1980-04-14
0.06325913220643997,1980-04-15
0.06325913220643997,1980-04-16
0.06325913220643997,1980-04-17
0.06421761214733124,1980-04-18
0.062300026416778564,1980-04-21
0.06900963932275772,1980-04-22
0.06996800005435944,1980-04-23
0.07188481092453003,1980-04-24
0.07092643529176712,1980-04-25
0.07092643529176712,1980-04-28
0.07188481092453003,1980-04-29
0.07188481092453003,1980-04-30
0.07092643529176712,1980-05-01
0.07092643529176712,1980-05-02
0.07092643529176712,1980-05-05
0.07092643529176712,1980-05-06
0.07092643529176712,1980-05-07
0.06900963932275772,1980-05-08
0.06900963932275772,1980-05-09
0.06996800005435944,1980-05-12
0.07092643529176712,1980-05-13
0.07188481092453003,1980-05-14
0.07284323126077652,1980-05-15
0.07284323126077652,1980-05-16
0.07092643529176712,1980-05-19
0.06996800005435944,1980-05-20
0.06900963932275772,1980-05-21
0.07284323126077652,1980-05-22
0.07571917027235031,1980-05-23
0.07763601839542389,1980-05-27
0.0785943940281868,1980-05-28
0.0805111899971962,1980-05-29
0.0805111899971962,1980-05-30
0.0785943940281868,1980-06-02
0.07571917027235031,1980-06-03
0.0785943940281868,1980-06-04
0.0805111899971962,1980-06-05
0.0785943940281868,1980-06-06
0.0795527994632721,1980-06-09
0.0785943940281868,1980-06-10
0.0795527994632721,1980-06-11
0.0805111899971962,1980-06-12
0.0814695879817009,1980-06-13
0.0805111899971962,1980-06-16
0.0805111899971962,1980-06-17
0.0785943940281868,1980-06-18
0.0766775906085968,1980-06-19
0.07571917027235031,1980-06-20
0.07380164414644241,1980-06-23
0.07476074993610382,1980-06-24
0.07571917027235031,1980-06-25
0.0785943940281868,1980-06-26
0.07763601839542389,1980-06-27
0.07571917027235031,1980-06-30
0.07476074993610382,1980-07-01
0.07476074993610382,1980-07-02
0.07476074993610382,1980-07-03
0.07763601839542389,1980-07-07
0.0795527994632721,1980-07-08
0.08242803066968918,1980-07-09
0.08530327677726746,1980-07-10
0.08722079545259476,1980-07-11
0.09392964094877243,1980-07-14
0.09488801658153534,1980-07-15
0.09392964094877243,1980-07-16
0.09776396304368973,1980-07-17
0.09872236102819443,1980-07-18
0.09968080371618271,1980-07-21
0.09968080371618271,1980-07-22
0.09872236102819443,1980-07-23
0.09968080371618271,1980-07-24
0.09968080371618271,1980-07-25
0.10063919425010681,1980-07-28
0.10063919425010681,1980-07-29
0.10830646008253098,1980-07-30
0.10830646008253098,1980-07-31
0.11405761539936066,1980-08-01
0.11309920996427536,1980-08-04
0.12172559648752213,1980-08-05
0.1284344494342804,1980-08-06
0.12364237755537033,1980-08-07
0.12076721340417862,1980-08-08
0.12172559648752213,1980-08-11
0.11789124459028244,1980-08-12
0.11789124459028244,1980-08-13
0.11884965002536774,1980-08-14
0.11693282425403595,1980-08-15
0.11501602828502655,1980-08-18
0.11597446352243423,1980-08-19
0.11980807781219482,1980-08-20
0.11980807781219482,1980-08-21
0.12364237755537033,1980-08-22
0.12076721340417862,1980-08-25
0.12172559648752213,1980-08-26
0.11980807781219482,1980-08-27
0.11884965002536774,1980-08-28
0.11789124459028244,1980-08-29
0.11884965002536774,1980-09-02
0.12460076808929443,1980-09-03
0.1284344494342804,1980-09-04
0.1293928176164627,1980-09-05
0.1293928176164627,1980-09-08
0.1293928176164627,1980-09-09
0.130351260304451,1980-09-10
0.13610239326953888,1980-09-11
0.13706085085868835,1980-09-12
0.13130955398082733,1980-09-15
0.1322687417268753,1980-09-16
0.13514401018619537,1980-09-17
0.13514401018619537,1980-09-18
0.13993600010871887,1980-09-19
0.13801927864551544,1980-09-22
0.13514401018619537,1980-09-23
0.1332271546125412,1980-09-24
0.13130955398082733,1980-09-25
0.12268397957086563,1980-09-26
0.11501602828502655,1980-09-29
0.12076721340417862,1980-09-30
0.1293928176164627,1980-10-01
0.1284344494342804,1980-10-02
0.1322687417268753,1980-10-03
0.13993600010871887,1980-10-06
0.13897767663002014,1980-10-07
0.14664559066295624,1980-10-08
0.1476040780544281,1980-10-09
0.14856243133544922,1980-10-10
0.1591055989265442,1980-10-13
0.1562304049730301,1980-10-14
0.1581471711397171,1980-10-15
0.1523960679769516,1980-10-16
0.15143762528896332,1980-10-17
0.1495208591222763,1980-10-20
0.1495208591222763,1980-10-21
0.1495208591222763,1980-10-22
0.1476040780544281,1980-10-23
0.14377044141292572,1980-10-24
0.13610239326953888,1980-10-27
0.13610239326953888,1980-10-28
0.13706085085868835,1980-10-29
0.1322687417268753,1980-10-30
0.1332271546125412,1980-10-31
0.13610239326953888,1980-11-03
0.14377044141292572,1980-11-05
0.14185287058353424,1980-11-06
0.14185287058353424,1980-11-07
0.13993600010871887,1980-11-10
0.13993600010871887,1980-11-11
0.15143762528896332,1980-11-12
0.15335440635681152,1980-11-13
0.154312863945961,1980-11-14
0.154312863945961,1980-11-17
0.1591055989265442,1980-11-18
0.1581471711397171,1980-11-19
0.1591055989265442,1980-11-20
