VOD,Date
0.6215956807136536,1988-11-02
0.6241539120674133,1988-11-03
0.6190378069877625,1988-11-04
0.6215956807136536,1988-11-07
0.6292700171470642,1988-11-08
0.6267116069793701,1988-11-09
0.6395019888877869,1988-11-10
0.6318278312683105,1988-11-11
0.6343857645988464,1988-11-14
0.6318278312683105,1988-11-15
0.6395019888877869,1988-11-16
0.6471759676933289,1988-11-17
0.6446179151535034,1988-11-18
0.6420597434043884,1988-11-21
0.6446179151535034,1988-11-22
0.6471759676933289,1988-11-23
0.6139218211174011,1988-11-25
0.6088057160377502,1988-11-28
0.6088057160377502,1988-11-29
0.6113637089729309,1988-11-30
0.6113637089729309,1988-12-01
0.6113637089729309,1988-12-02
0.6164796948432922,1988-12-05
0.6164796948432922,1988-12-06
0.6088057160377502,1988-12-07
0.6088057160377502,1988-12-08
0.6088057160377502,1988-12-09
0.6088057160377502,1988-12-12
0.6113637089729309,1988-12-13
0.6215956807136536,1988-12-14
0.6318278312683105,1988-12-15
0.6522918939590454,1988-12-16
0.6548501253128052,1988-12-19
0.6548501253128052,1988-12-20
0.6599659323692322,1988-12-21
0.6625238656997681,1988-12-22
0.6625238656997681,1988-12-23
0.6625238656997681,1988-12-27
0.6727559566497803,1988-12-28
0.6881040334701538,1988-12-29
0.6906620860099792,1988-12-30
0.693219780921936,1989-01-03
0.7162419557571411,1989-01-04
0.7111263871192932,1989-01-05
0.7162419557571411,1989-01-06
0.721358060836792,1989-01-09
0.7162419557571411,1989-01-10
0.7264743447303772,1989-01-11
0.7494961023330688,1989-01-12
0.7546122670173645,1989-01-13
0.7546122670173645,1989-01-16
0.7520541548728943,1989-01-17
0.7827503681182861,1989-01-18
0.849258542060852,1989-01-19
0.849258542060852,1989-01-20
0.849258542060852,1989-01-23
0.87995445728302,1989-01-24
0.9132089614868164,1989-01-25
0.8901863694190979,1989-01-26
0.9055346846580505,1989-01-27
0.9208827614784241,1989-01-30
0.9490208029747009,1989-01-31
0.9541365504264832,1989-02-01
0.9541365504264832,1989-02-02
0.9618106484413147,1989-02-03
0.9592531323432922,1989-02-06
1.0078550577163696,1989-02-07
0.9899489283561707,1989-02-08
0.9669273495674133,1989-02-09
0.9259987473487854,1989-02-10
0.897860586643219,1989-02-13
0.9157664775848389,1989-02-14
0.9234403967857361,1989-02-15
0.9106509685516357,1989-02-16
1.0155287981033325,1989-02-17
1.0283185243606567,1989-02-21
0.9873905777931213,1989-02-22
1.0513408184051514,1989-02-23
1.0283185243606567,1989-02-24
0.9976229071617126,1989-02-27
1.0206446647644043,1989-02-28
1.0334348678588867,1989-03-01
1.0820369720458984,1989-03-02
1.1025017499923706,1989-03-03
1.1255232095718384,1989-03-06
1.1255232095718384,1989-03-07
1.0973849296569824,1989-03-08
1.0999435186386108,1989-03-09
1.1025017499923706,1989-03-10
1.1178492307662964,1989-03-13
1.1434292793273926,1989-03-14
1.1664515733718872,1989-03-15
1.1664515733718872,1989-03-16
1.12808096408844,1989-03-17
1.1306389570236206,1989-03-20
1.1664515733718872,1989-03-21
1.1587777137756348,1989-03-22
1.1971477270126343,1989-03-23
1.1945894956588745,1989-03-27
1.202263355255127,1989-03-28
1.1971477270126343,1989-03-29
1.181799054145813,1989-03-30
1.1971477270126343,1989-03-31
1.189473271369934,1989-04-03
1.1869157552719116,1989-04-04
1.17924165725708,1989-04-05
1.1229653358459473,1989-04-06
1.1511036157608032,1989-04-07
1.1434292793273926,1989-04-10
1.1562191247940063,1989-04-11
1.1741255521774292,1989-04-12
1.1562191247940063,1989-04-13
1.1945894956588745,1989-04-14
1.2201695442199707,1989-04-17
1.2431913614273071,1989-04-18
1.2227271795272827,1989-04-19
1.204822063446045,1989-04-20
1.2457494735717773,1989-04-21
1.2585399150848389,1989-04-24
1.263655662536621,1989-04-25
1.2534235715866089,1989-04-26
1.2559814453125,1989-04-27
1.273888111114502,1989-04-28
1.2866783142089844,1989-05-01
1.3097002506256104,1989-05-02
1.3531862497329712,1989-05-03
1.3710919618606567,1989-05-04
1.4069043397903442,1989-05-05
1.386439561843872,1989-05-08
1.3762073516845703,1989-05-09
1.3659759759902954,1989-05-10
1.3634182214736938,1989-05-11
1.442716121673584,1989-05-12
1.4759702682495117,1989-05-15
1.4785287380218506,1989-05-16
1.4734126329421997,1989-05-17
1.524572730064392,1989-05-18
1.5348044633865356,1989-05-19
1.4836443662643433,1989-05-22
1.4017879962921143,1989-05-23
1.4503902196884155,1989-05-24
1.4734126329421997,1989-05-25
1.509224534034729,1989-05-26
1.4785287380218506,1989-05-30
1.5066667795181274,1989-05-31
1.5731741189956665,1989-06-01
1.6166605949401855,1989-06-02
1.5527098178863525,1989-06-05
1.5552678108215332,1989-06-06
1.6575889587402344,1989-06-07
1.6857270002365112,1989-06-08
1.621776819229126,1989-06-09
1.6371243000030518,1989-06-12
1.6115448474884033,1989-06-13
1.58340585231781,1989-06-14
1.5296885967254639,1989-06-15
1.488759994506836,1989-06-16
1.509224534034729,1989-06-19
1.5348044633865356,1989-06-20
1.5194554328918457,1989-06-21
1.4938762187957764,1989-06-22
1.4606220722198486,1989-06-23
1.4069043397903442,1989-06-26
1.4350420236587524,1989-06-27
1.4324836730957031,1989-06-28
1.3506277799606323,1989-06-29
1.2762277126312256,1989-06-30
1.2711018323898315,1989-07-03
1.28135347366333,1989-07-05
1.332607388496399,1989-07-06
1.3889862298965454,1989-07-07
1.3659225702285767,1989-07-10
1.3582342863082886,1989-07-11
1.4069256782531738,1989-07-12
1.4197392463684082,1989-07-13
1.3787353038787842,1989-07-14
1.3146679401397705,1989-07-17
1.2608516216278076,1989-07-18
1.199346899986267,1989-07-19
1.199346899986267,1989-07-20
1.2300989627838135,1989-07-21
1.2249729633331299,1989-07-24
1.2275363206863403,1989-07-25
1.2711018323898315,1989-07-26
1.3223565816879272,1989-07-27
1.3377327919006348,1989-07-28
1.2659767866134644,1989-07-31
1.2249729633331299,1989-08-01
1.194221019744873,1989-08-02
1.150654911994934,1989-08-03
1.1890958547592163,1989-08-04
1.2352241277694702,1989-08-07
1.2019094228744507,1989-08-08
1.2249729633331299,1989-08-09
1.2403496503829956,1989-08-10
1.2095967531204224,1989-08-11
1.173718810081482,1989-08-14
1.1711570024490356,1989-08-15
