GPN,Date
3.5163755416870117,2001-01-16
3.5163755416870117,2001-01-17
3.868011713027954,2001-01-18
4.014527320861816,2001-01-19
4.278255462646484,2001-01-22
4.395466327667236,2001-01-23
4.278255462646484,2001-01-24
4.395466327667236,2001-01-25
4.336861610412598,2001-01-26
4.3837456703186035,2001-01-29
4.360304832458496,2001-01-30
4.395466327667236,2001-01-31
4.899481296539307,2001-02-01
4.883073806762695,2001-02-02
4.6814656257629395,2001-02-05
4.6298956871032715,2001-02-06
4.688499927520752,2001-02-07
4.571288108825684,2001-02-08
4.6298956871032715,2001-02-09
4.524402141571045,2001-02-12
4.5126824378967285,2001-02-13
4.472827911376953,2001-02-14
4.289976596832275,2001-02-15
4.236058712005615,2001-02-16
4.24074649810791,2001-02-20
4.238404750823975,2001-02-21
4.226683616638184,2001-02-22
4.325143337249756,2001-02-23
4.454074382781982,2001-02-26
4.430631637573242,2001-02-27
4.454074382781982,2001-02-28
4.3837456703186035,2001-03-01
4.397812366485596,2001-03-02
4.456420421600342,2001-03-05
4.407190322875977,2001-03-06
4.451730728149414,2001-03-07
4.407190322875977,2001-03-08
4.402502536773682,2001-03-09
4.3837456703186035,2001-03-12
4.325143337249756,2001-03-13
4.196207046508789,2001-03-14
4.086025238037109,2001-03-15
4.067272663116455,2001-03-16
4.032108306884766,2001-03-19
4.008667469024658,2001-03-20
3.9031758308410645,2001-03-21
4.18448543548584,2001-03-22
4.289976596832275,2001-03-23
4.336861610412598,2001-03-26
4.301698207855225,2001-03-27
4.18448543548584,2001-03-28
4.055550575256348,2001-03-29
4.336861610412598,2001-03-30
4.172765731811523,2001-04-02
4.219649791717529,2001-04-03
4.217303276062012,2001-04-04
4.247780799865723,2001-04-05
4.418910980224609,2001-04-06
4.362648963928223,2001-04-09
4.46579647064209,2001-04-10
4.899481296539307,2001-04-11
5.239396095275879,2001-04-12
5.040135383605957,2001-04-16
5.040135383605957,2001-04-17
4.988562107086182,2001-04-18
4.979186534881592,2001-04-19
4.922923564910889,2001-04-20
4.899481296539307,2001-04-23
4.899481296539307,2001-04-24
4.93464469909668,2001-04-25
4.918236255645752,2001-04-26
4.922923564910889,2001-04-27
4.958090782165527,2001-04-30
5.593378067016602,2001-05-01
5.734034538269043,2001-05-02
5.6262006759643555,2001-05-03
5.621512413024902,2001-05-04
5.717625141143799,2001-05-07
5.900477886199951,2001-05-08
5.684805393218994,2001-05-09
5.553529262542725,2001-05-10
5.394119739532471,2001-05-11
5.642608165740967,2001-05-14
5.799933910369873,2001-05-15
5.882120609283447,2001-05-16
6.1286773681640625,2001-05-17
6.10519552230835,2001-05-18
6.175638675689697,2001-05-21
6.2226033210754395,2001-05-22
6.081716060638428,2001-05-23
5.89386510848999,2001-05-24
5.964306354522705,2001-05-25
5.976047039031982,2001-05-29
6.095802307128906,2001-05-30
6.175638675689697,2001-05-31
6.116934776306152,2001-06-01
6.293046951293945,2001-06-04
6.363490581512451,2001-06-05
6.365837097167969,2001-06-06
6.462116718292236,2001-06-07
6.422194957733154,2001-06-08
6.328269958496094,2001-06-11
6.43393611907959,2001-06-12
6.516120910644531,2001-06-13
6.445677280426025,2001-06-14
6.363490581512451,2001-06-15
6.43393611907959,2001-06-18
6.363490581512451,2001-06-19
6.480903148651123,2001-06-20
6.520815372467041,2001-06-21
6.56308650970459,2001-06-22
6.715713977813721,2001-06-25
6.7978997230529785,2001-06-26
6.821380138397217,2001-06-27
7.009234428405762,2001-06-28
7.067937850952148,2001-06-29
7.19708776473999,2001-07-02
7.3144941329956055,2001-07-03
7.4788641929626465,2001-07-05
7.234655857086182,2001-07-06
7.0444560050964355,2001-07-09
6.668752670288086,2001-07-10
6.668752670288086,2001-07-11
6.8025994300842285,2001-07-12
6.868343830108643,2001-07-13
6.727456569671631,2001-07-16
6.786158084869385,2001-07-17
6.480903148651123,2001-07-18
7.326234340667725,2001-07-19
8.24201488494873,2001-07-20
8.007198333740234,2001-07-23
7.981368541717529,2001-07-24
7.913271903991699,2001-07-25
7.9790167808532715,2001-07-26
7.953189373016357,2001-07-27
7.737161159515381,2001-07-30
7.584532737731934,2001-07-31
7.713680267333984,2001-08-01
7.678455352783203,2001-08-02
7.502344608306885,2001-08-03
7.455383777618408,2001-08-06
7.502344608306885,2001-08-07
7.420158863067627,2001-08-08
7.51408576965332,2001-08-09
7.7348151206970215,2001-08-10
8.054162979125977,2001-08-13
8.347676277160645,2001-08-14
8.251297950744629,2001-08-15
8.227787017822266,2001-08-16
8.2042818069458,2001-08-17
8.274807929992676,2001-08-20
8.039728164672852,2001-08-21
8.274807929992676,2001-08-22
8.063238143920898,2001-08-23
8.145514488220215,2001-08-24
8.13375186920166,2001-08-27
7.816402435302734,2001-08-28
7.922186374664307,2001-08-29
8.05147933959961,2001-08-30
8.35707950592041,2001-08-31
8.380589485168457,2001-09-04
7.969202518463135,2001-09-05
7.28747034072876,2001-09-06
7.0523905754089355,2001-09-07
6.805558204650879,2001-09-10
5.841729164123535,2001-09-17
