MOLX,Date
0.48267999291419983,1973-01-02
0.4989500045776367,1973-01-03
0.5071399807929993,1973-01-04
0.5235099792480469,1973-01-05
0.5480800271034241,1973-01-08
0.5153300166130066,1973-01-09
0.4907599985599518,1973-01-11
0.4989500045776367,1973-01-12
0.4743900001049042,1973-01-15
0.48267999291419983,1973-01-16
0.5071399807929993,1973-01-18
0.4743900001049042,1973-01-24
0.48267999291419983,1973-01-26
0.4989500045776367,1973-01-29
0.5071399807929993,1973-01-30
0.5153300166130066,1973-01-31
0.4989500045776367,1973-02-05
0.5071399807929993,1973-02-08
0.5235099792480469,1973-02-09
0.5317000150680542,1973-02-12
0.5153300166130066,1973-02-13
0.4907599985599518,1973-02-14
0.5071399807929993,1973-02-15
0.4989500045776367,1973-02-16
0.4743900001049042,1973-02-21
0.4743900001049042,1973-02-22
0.4417400062084198,1973-02-23
0.4417400062084198,1973-02-26
0.4253599941730499,1973-02-27
0.44993001222610474,1973-02-28
0.44993001222610474,1973-03-01
0.44993001222610474,1973-03-02
0.44993001222610474,1973-03-05
0.4417400062084198,1973-03-06
0.44993001222610474,1973-03-07
0.46630001068115234,1973-03-08
0.4580099880695343,1973-03-09
0.46630001068115234,1973-03-12
0.4580099880695343,1973-03-13
0.44993001222610474,1973-03-14
0.44993001222610474,1973-03-15
0.4417400062084198,1973-03-16
0.4417400062084198,1973-03-19
0.43355000019073486,1973-03-20
0.417169988155365,1973-03-21
0.417169988155365,1973-03-22
0.4253599941730499,1973-03-23
0.43355000019073486,1973-03-26
0.43355000019073486,1973-03-27
0.43355000019073486,1973-03-28
0.44993001222610474,1973-03-29
0.4417400062084198,1973-03-30
0.4089899957180023,1973-04-02
0.3680500090122223,1973-04-03
0.3435800075531006,1973-04-04
0.35995998978614807,1973-04-05
0.3680500090122223,1973-04-06
0.35995998978614807,1973-04-09
0.35995998978614807,1973-04-10
0.3680500090122223,1973-04-11
0.3844200074672699,1973-04-12
0.3844200074672699,1973-04-13
0.3844200074672699,1973-04-16
0.3844200074672699,1973-04-17
0.417169988155365,1973-04-18
0.417169988155365,1973-04-19
0.4007999897003174,1973-04-23
0.4007999897003174,1973-04-24
0.4007999897003174,1973-04-25
0.4007999897003174,1973-04-26
0.39261001348495483,1973-04-27
0.39261001348495483,1973-04-30
0.3844200074672699,1973-05-01
0.39261001348495483,1973-05-02
0.4007999897003174,1973-05-03
0.417169988155365,1973-05-04
0.417169988155365,1973-05-07
0.43355000019073486,1973-05-08
0.43355000019073486,1973-05-09
0.4253599941730499,1973-05-10
0.4253599941730499,1973-05-11
0.4007999897003174,1973-05-14
0.4089899957180023,1973-05-15
0.4089899957180023,1973-05-16
0.4007999897003174,1973-05-17
0.37623998522758484,1973-05-18
0.3680500090122223,1973-05-21
0.3844200074672699,1973-05-22
0.3844200074672699,1973-05-23
0.4007999897003174,1973-05-24
0.417169988155365,1973-05-25
0.417169988155365,1973-05-29
0.417169988155365,1973-05-30
0.417169988155365,1973-05-31
0.417169988155365,1973-06-01
0.417169988155365,1973-06-04
0.43355000019073486,1973-06-05
0.4253599941730499,1973-06-06
0.43355000019073486,1973-06-07
0.43355000019073486,1973-06-08
0.43355000019073486,1973-06-11
0.43355000019073486,1973-06-12
0.43355000019073486,1973-06-13
0.4253599941730499,1973-06-14
0.417169988155365,1973-06-15
0.417169988155365,1973-06-18
0.417169988155365,1973-06-19
0.417169988155365,1973-06-20
0.417169988155365,1973-06-21
0.4007999897003174,1973-06-22
0.3680500090122223,1973-06-25
0.37623998522758484,1973-06-26
0.3680500090122223,1973-06-27
0.37623998522758484,1973-06-28
0.3680500090122223,1973-06-29
0.3680500090122223,1973-07-02
0.3680500090122223,1973-07-03
0.3680500090122223,1973-07-05
0.3680500090122223,1973-07-06
0.3680500090122223,1973-07-09
0.3680500090122223,1973-07-10
0.39261001348495483,1973-07-11
0.4089899957180023,1973-07-12
0.4007999897003174,1973-07-13
0.4089899957180023,1973-07-16
0.4089899957180023,1973-07-17
0.4089899957180023,1973-07-18
0.417169988155365,1973-07-19
0.44993001222610474,1973-07-20
0.44993001222610474,1973-07-23
0.46630001068115234,1973-07-24
0.4989500045776367,1973-07-25
0.5071399807929993,1973-07-26
0.4989500045776367,1973-07-27
0.4907599985599518,1973-07-30
0.48267999291419983,1973-07-31
0.4743900001049042,1973-08-01
0.48267999291419983,1973-08-02
0.48267999291419983,1973-08-03
0.4907599985599518,1973-08-06
0.4907599985599518,1973-08-07
0.4907599985599518,1973-08-08
0.4743900001049042,1973-08-09
0.46630001068115234,1973-08-10
0.46630001068115234,1973-08-13
0.4580099880695343,1973-08-14
0.4417400062084198,1973-08-15
0.4417400062084198,1973-08-16
0.4417400062084198,1973-08-17
0.4417400062084198,1973-08-20
0.43355000019073486,1973-08-21
0.43355000019073486,1973-08-22
0.4417400062084198,1973-08-23
0.4417400062084198,1973-08-24
0.44993001222610474,1973-08-27
0.4253599941730499,1973-08-28
0.4253599941730499,1973-08-29
0.417169988155365,1973-08-30
0.46630001068115234,1973-08-31
0.4743900001049042,1973-09-04
0.48267999291419983,1973-09-05
0.4743900001049042,1973-09-06
0.5071399807929993,1973-09-07
0.4907599985599518,1973-09-10
0.4989500045776367,1973-09-11
0.4989500045776367,1973-09-12
0.5071399807929993,1973-09-13
0.5153300166130066,1973-09-14
0.5071399807929993,1973-09-17
0.5235099792480469,1973-09-18
0.5480800271034241,1973-09-19
0.5480800271034241,1973-09-20
0.5725399851799011,1973-09-21
0.588919997215271,1973-09-24
0.5807300209999084,1973-09-25
