SPLK,Date
35.47999954223633,2012-04-19
36.20000076293945,2012-04-20
35.93000030517578,2012-04-23
35.79999923706055,2012-04-24
34.720001220703125,2012-04-25
35.11000061035156,2012-04-26
35.060001373291016,2012-04-27
33.95000076293945,2012-04-30
35.90999984741211,2012-05-01
35.275001525878906,2012-05-02
32.68000030517578,2012-05-03
32.06999969482422,2012-05-04
32.93000030517578,2012-05-07
32.75,2012-05-08
32.86000061035156,2012-05-09
31.790000915527344,2012-05-10
31.354999542236328,2012-05-11
31.020000457763672,2012-05-14
31.6200008392334,2012-05-15
30.969999313354492,2012-05-16
30.6200008392334,2012-05-17
29.059999465942383,2012-05-18
30.020000457763672,2012-05-21
31.6299991607666,2012-05-22
34.88999938964844,2012-05-23
34.59000015258789,2012-05-24
35.93000030517578,2012-05-25
36.375,2012-05-29
34.29999923706055,2012-05-30
32.560001373291016,2012-05-31
27.239999771118164,2012-06-01
27.0,2012-06-04
28.59000015258789,2012-06-05
30.149999618530273,2012-06-06
29.770000457763672,2012-06-07
32.0099983215332,2012-06-08
30.010000228881836,2012-06-11
30.43000030517578,2012-06-12
30.75,2012-06-13
31.65999984741211,2012-06-14
32.72999954223633,2012-06-15
32.130001068115234,2012-06-18
31.959999084472656,2012-06-19
31.68000030517578,2012-06-20
29.540000915527344,2012-06-21
29.270000457763672,2012-06-22
28.260000228881836,2012-06-25
27.780000686645508,2012-06-26
28.0,2012-06-27
26.489999771118164,2012-06-28
28.100000381469727,2012-06-29
29.1299991607666,2012-07-02
29.040000915527344,2012-07-03
29.860000610351562,2012-07-05
29.6299991607666,2012-07-06
28.06999969482422,2012-07-09
26.829999923706055,2012-07-10
26.59000015258789,2012-07-11
27.100000381469727,2012-07-12
28.190000534057617,2012-07-13
28.43000030517578,2012-07-16
27.969999313354492,2012-07-17
28.920000076293945,2012-07-18
29.190000534057617,2012-07-19
28.549999237060547,2012-07-20
28.059999465942383,2012-07-23
27.959999084472656,2012-07-24
28.25,2012-07-25
28.3700008392334,2012-07-26
29.270000457763672,2012-07-27
28.75,2012-07-30
29.399999618530273,2012-07-31
28.950000762939453,2012-08-01
28.280000686645508,2012-08-02
27.940000534057617,2012-08-03
29.15999984741211,2012-08-06
30.510000228881836,2012-08-07
30.15999984741211,2012-08-08
30.520000457763672,2012-08-09
30.18000030517578,2012-08-10
29.850000381469727,2012-08-13
29.68000030517578,2012-08-14
29.290000915527344,2012-08-15
30.65999984741211,2012-08-16
30.899999618530273,2012-08-17
31.440000534057617,2012-08-20
30.75,2012-08-21
30.600000381469727,2012-08-22
30.93000030517578,2012-08-23
30.860000610351562,2012-08-24
31.030000686645508,2012-08-27
31.0,2012-08-28
30.84000015258789,2012-08-29
30.5,2012-08-30
34.400001525878906,2012-08-31
35.380001068115234,2012-09-04
37.02000045776367,2012-09-05
37.22999954223633,2012-09-06
38.290000915527344,2012-09-07
36.97999954223633,2012-09-10
36.4900016784668,2012-09-11
36.880001068115234,2012-09-12
37.810001373291016,2012-09-13
39.08000183105469,2012-09-14
38.349998474121094,2012-09-17
37.65999984741211,2012-09-18
37.86000061035156,2012-09-19
36.75,2012-09-20
37.13999938964844,2012-09-21
36.2599983215332,2012-09-24
36.790000915527344,2012-09-25
35.93000030517578,2012-09-26
37.72999954223633,2012-09-27
36.720001220703125,2012-09-28
35.93000030517578,2012-10-01
35.369998931884766,2012-10-02
36.04999923706055,2012-10-03
34.939998626708984,2012-10-04
33.029998779296875,2012-10-05
32.70000076293945,2012-10-08
32.36399841308594,2012-10-09
31.06999969482422,2012-10-10
31.520000457763672,2012-10-11
31.309999465942383,2012-10-12
32.22999954223633,2012-10-15
32.0,2012-10-16
31.219999313354492,2012-10-17
