MCD,Date
0.11809173226356506,1966-07-05
0.1244022473692894,1966-07-06
0.11989501863718033,1966-07-07
0.12124694138765335,1966-07-08
0.12079615145921707,1966-07-11
0.11899341642856598,1966-07-12
0.11854255944490433,1966-07-13
0.11719050258398056,1966-07-14
0.11538726836442947,1966-07-15
0.11538726836442947,1966-07-18
0.11358438432216644,1966-07-19
0.1126832365989685,1966-07-20
0.10952795296907425,1966-07-21
0.10952795296907425,1966-07-22
0.10411901772022247,1966-07-25
0.1027669906616211,1966-07-26
0.10411901772022247,1966-07-27
0.1054714173078537,1966-07-28
0.10637263208627701,1966-07-29
0.10321778804063797,1966-08-01
0.10366856306791306,1966-08-02
0.10186535865068436,1966-08-03
0.10321778804063797,1966-08-04
0.10727427154779434,1966-08-05
0.10592229664325714,1966-08-08
0.10637263208627701,1966-08-09
0.10637263208627701,1966-08-10
0.1054714173078537,1966-08-11
0.10411901772022247,1966-08-12
0.1054714173078537,1966-08-15
0.1027669906616211,1966-08-16
0.09825969487428665,1966-08-17
0.09600605070590973,1966-08-18
0.09104792028665543,1966-08-19
0.08789268136024475,1966-08-22
0.08924508839845657,1966-08-23
0.08879430592060089,1966-08-24
0.08924508839845657,1966-08-25
0.08699148148298264,1966-08-26
0.07752606272697449,1966-08-29
0.0806809589266777,1966-08-30
0.08473780751228333,1966-08-31
0.08563893288373947,1966-09-01
0.08473780751228333,1966-09-02
0.08383617550134659,1966-09-06
0.0811317190527916,1966-09-07
0.07662442326545715,1966-09-08
0.08023048937320709,1966-09-09
0.08383617550134659,1966-09-12
0.08563893288373947,1966-09-13
0.08654070645570755,1966-09-14
0.08338537067174911,1966-09-15
0.08293458074331284,1966-09-16
0.08293458074331284,1966-09-19
0.08293458074331284,1966-09-20
0.07752606272697449,1966-09-21
0.07842722535133362,1966-09-22
0.08023048937320709,1966-09-23
0.08158249408006668,1966-09-26
0.07617365568876266,1966-09-27
0.07797688245773315,1966-09-28
0.07617365568876266,1966-09-29
0.07572321593761444,1966-09-30
0.07256794720888138,1966-10-03
0.06941269338130951,1966-10-04
0.06941269338130951,1966-10-05
0.06760983914136887,1966-10-06
0.06941269338130951,1966-10-07
0.07031430304050446,1966-10-10
0.0748215988278389,1966-10-11
0.07932890206575394,1966-10-12
0.07662442326545715,1966-10-13
0.07662442326545715,1966-10-14
0.07752606272697449,1966-10-17
0.07932890206575394,1966-10-18
0.07932890206575394,1966-10-19
0.07932890206575394,1966-10-20
0.07842722535133362,1966-10-21
0.07842722535133362,1966-10-24
0.07662442326545715,1966-10-25
0.07572321593761444,1966-10-26
0.0734691470861435,1966-10-27
0.07166630774736404,1966-10-28
0.07211707532405853,1966-10-31
0.07211707532405853,1966-11-01
0.07121548056602478,1966-11-02
0.06896177679300308,1966-11-03
0.07121548056602478,1966-11-04
0.07166630774736404,1966-11-07
0.07121548056602478,1966-11-09
0.07211707532405853,1966-11-10
0.07256794720888138,1966-11-11
0.07301877439022064,1966-11-14
0.07752606272697449,1966-11-15
0.08383617550134659,1966-11-16
0.08383617550134659,1966-11-17
0.08158249408006668,1966-11-18
0.08158249408006668,1966-11-21
0.07887803018093109,1966-11-22
0.07617365568876266,1966-11-23
0.07527237385511398,1966-11-25
0.07392001152038574,1966-11-28
0.07256794720888138,1966-11-29
0.0734691470861435,1966-11-30
0.07977967709302902,1966-12-01
0.07932890206575394,1966-12-02
0.07932890206575394,1966-12-05
0.08023048937320709,1966-12-06
0.08338537067174911,1966-12-07
0.08654070645570755,1966-12-08
0.08563893288373947,1966-12-09
0.09555523842573166,1966-12-12
0.09690728038549423,1966-12-13
0.09961177408695221,1966-12-14
0.10141456127166748,1966-12-15
0.10456978529691696,1966-12-16
0.10817593336105347,1966-12-19
0.10862630605697632,1966-12-20
0.10186535865068436,1966-12-21
0.1054714173078537,1966-12-22
0.10321778804063797,1966-12-23
0.0973580926656723,1966-12-27
0.09690728038549423,1966-12-28
0.10051330924034119,1966-12-29
0.10186535865068436,1966-12-30
0.10637263208627701,1967-01-03
0.10637263208627701,1967-01-04
0.10456978529691696,1967-01-05
0.10637263208627701,1967-01-06
0.10637263208627701,1967-01-09
0.10817593336105347,1967-01-10
0.10952795296907425,1967-01-11
0.11719050258398056,1967-01-12
0.11944417655467987,1967-01-13
0.11989501863718033,1967-01-16
0.1244022473692894,1967-01-17
0.11989501863718033,1967-01-18
0.12079615145921707,1967-01-19
0.12124694138765335,1967-01-20
0.12169776111841202,1967-01-23
0.12214860320091248,1967-01-24
0.11944417655467987,1967-01-25
0.11944417655467987,1967-01-26
0.12350058555603027,1967-01-27
0.12620510160923004,1967-01-30
0.12350058555603027,1967-01-31
0.12214860320091248,1967-02-01
0.12169776111841202,1967-02-02
0.13251514732837677,1967-02-03
0.132966086268425,1967-02-06
0.13476894795894623,1967-02-07
0.13657177984714508,1967-02-08
0.13251514732837677,1967-02-09
0.1356704831123352,1967-02-10
0.13657177984714508,1967-02-13
0.13702251017093658,1967-02-14
0.132966086268425,1967-02-15
0.13431806862354279,1967-02-16
0.13476894795894623,1967-02-17
0.13341686129570007,1967-02-20
0.13431806862354279,1967-02-21
0.13431806862354279,1967-02-23
0.14017777144908905,1967-02-24
0.1383749544620514,1967-02-27
0.13702251017093658,1967-02-28
0.13972701132297516,1967-03-01
0.14152975380420685,1967-03-02
0.14784039556980133,1967-03-03
0.14603713154792786,1967-03-06
0.14919233322143555,1967-03-07
0.16046060621738434,1967-03-08
0.15865780413150787,1967-03-09
0.15775606036186218,1967-03-10
0.1496431976556778,1967-03-13
