CE,Date
12.228144645690918,2005-01-21
12.228144645690918,2005-01-24
11.96065902709961,2005-01-25
11.91479778289795,2005-01-26
12.060011863708496,2005-01-27
12.228144645690918,2005-01-28
12.32750415802002,2005-01-31
12.380997657775879,2005-02-01
12.380997657775879,2005-02-02
12.235787391662598,2005-02-03
12.25871467590332,2005-02-04
12.037080764770508,2005-02-07
12.075294494628906,2005-02-08
12.067654609680176,2005-02-09
11.907159805297852,2005-02-10
11.89951229095459,2005-02-11
11.922445297241211,2005-02-14
12.182297706604004,2005-02-15
12.304573059082031,2005-02-16
12.610274314880371,2005-02-17
12.793704986572266,2005-02-18
12.572067260742188,2005-02-22
12.686704635620117,2005-02-23
12.801346778869629,2005-02-24
13.198755264282227,2005-02-25
12.763129234313965,2005-02-28
12.350428581237793,2005-03-01
12.503279685974121,2005-03-02
12.419209480285645,2005-03-03
12.617918014526367,2005-03-04
13.061186790466309,2005-03-07
13.1834716796875,2005-03-08
13.71845531463623,2005-03-09
13.680238723754883,2005-03-10
13.756664276123047,2005-03-11
13.642024040222168,2005-03-14
13.489181518554688,2005-03-15
13.236971855163574,2005-03-16
13.290467262268066,2005-03-17
13.191116333007812,2005-03-18
12.954195976257324,2005-03-21
12.984766006469727,2005-03-22
12.91598129272461,2005-03-23
13.825448036193848,2005-03-24
13.626742362976074,2005-03-28
13.305755615234375,2005-03-29
13.527386665344238,2005-03-30
13.749022483825684,2005-03-31
13.833090782165527,2005-04-01
13.290467262268066,2005-04-04
13.244613647460938,2005-04-05
13.1834716796875,2005-04-06
13.206398963928223,2005-04-07
13.007691383361816,2005-04-08
13.053547859191895,2005-04-11
13.229321479797363,2005-04-12
12.847192764282227,2005-04-13
12.36571216583252,2005-04-14
11.96065902709961,2005-04-15
11.69316577911377,2005-04-18
11.922445297241211,2005-04-19
11.540312767028809,2005-04-20
11.64731216430664,2005-04-21
11.463887214660645,2005-04-22
11.670238494873047,2005-04-25
11.29575252532959,2005-04-26
10.928906440734863,2005-04-27
10.776055335998535,2005-04-28
11.119976043701172,2005-04-29
11.555599212646484,2005-05-02
11.555599212646484,2005-05-03
11.62437915802002,2005-05-04
11.846016883850098,2005-05-05
11.823091506958008,2005-05-06
12.1593656539917,2005-05-09
11.578526496887207,2005-05-10
11.532671928405762,2005-05-11
11.349246978759766,2005-05-12
10.898336410522461,2005-05-13
10.745481491088867,2005-05-16
10.82190990447998,2005-05-17
11.188752174377441,2005-05-18
11.677879333496094,2005-05-19
11.884230613708496,2005-05-20
12.419209480285645,2005-05-23
12.304573059082031,2005-05-24
12.182297706604004,2005-05-25
11.937727928161621,2005-05-26
11.868945121765137,2005-05-27
11.830730438232422,2005-05-31
12.04472541809082,2005-06-01
12.189936637878418,2005-06-02
12.136435508728027,2005-06-03
12.113508224487305,2005-06-06
12.09057903289795,2005-06-07
12.067654609680176,2005-06-08
12.075294494628906,2005-06-09
12.075294494628906,2005-06-10
11.953009605407715,2005-06-13
11.998869895935059,2005-06-14
12.12879467010498,2005-06-15
12.457427024841309,2005-06-16
11.96065902709961,2005-06-17
11.754303932189941,2005-06-20
11.823091506958008,2005-06-21
12.1211519241333,2005-06-22
12.060011863708496,2005-06-23
12.105864524841309,2005-06-24
11.975945472717285,2005-06-27
12.014154434204102,2005-06-28
12.075294494628906,2005-06-29
12.144079208374023,2005-06-30
12.205221176147461,2005-07-01
12.25871467590332,2005-07-05
12.396286964416504,2005-07-06
12.304573059082031,2005-07-07
12.403926849365234,2005-07-08
12.946550369262695,2005-07-11
13.313396453857422,2005-07-12
13.588525772094727,2005-07-13
13.580883979797363,2005-07-14
13.649666786193848,2005-07-15
13.51974105834961,2005-07-18
