Date,EDCI
2007-05-11,21.6
2007-05-14,22.2
2007-05-15,20.6
2007-05-16,20.8
2007-05-17,20.0
2007-05-18,20.3
2007-05-21,20.3
2007-05-22,20.3
2007-05-23,20.8
2007-05-24,21.3
2007-05-25,20.6
2007-05-29,20.6
2007-05-30,21.2
2007-05-31,21.2
2007-06-01,20.7
2007-06-04,20.6
2007-06-05,20.4
2007-06-06,20.3
2007-06-07,20.5
2007-06-08,20.7
2007-06-11,20.9
2007-06-12,20.2
2007-06-13,19.6
2007-06-14,19.9
2007-06-15,19.7
2007-06-18,20.0
2007-06-19,20.5
2007-06-20,19.9
2007-06-21,20.1
2007-06-22,20.2
2007-06-25,19.8
2007-06-26,19.8
2007-06-27,19.8
2007-06-28,19.9
2007-06-29,19.9
2007-07-02,19.8
2007-07-03,19.4
2007-07-05,18.4
2007-07-06,19.4
2007-07-09,19.5
2007-07-10,19.5
2007-07-11,19.2
2007-07-12,19.5
2007-07-13,19.6
2007-07-16,18.7
2007-07-17,18.5
2007-07-18,18.3
2007-07-19,19.3
2007-07-20,19.0
2007-07-23,19.2
2007-07-24,19.1
2007-07-25,19.2
2007-07-26,17.9
2007-07-27,18.2
2007-07-30,18.0
2007-07-31,17.6
2007-08-01,17.6
2007-08-02,18.1
2007-08-03,17.4
2007-08-06,14.7
2007-08-07,15.8
2007-08-08,14.2
2007-08-09,13.9
2007-08-10,13.7
2007-08-13,13.7
2007-08-14,14.5
2007-08-15,14.0
2007-08-16,14.2
2007-08-17,13.8
2007-08-20,13.3
2007-08-21,13.7
2007-08-22,14.1
2007-08-23,14.3
2007-08-24,14.4
2007-08-27,14.2
2007-08-28,14.4
2007-08-29,13.7
2007-08-30,13.5
2007-08-31,13.1
2007-09-04,13.2
2007-09-05,13.4
2007-09-06,13.2
2007-09-07,13.8
2007-09-10,13.3
2007-09-11,13.1
2007-09-12,13.8
2007-09-13,13.8
2007-09-14,13.8
2007-09-17,13.1
2007-09-18,12.9
2007-09-19,13.0
2007-09-20,14.9
2007-09-21,14.4
2007-09-24,14.5
2007-09-25,13.1
2007-09-26,12.8
2007-09-27,12.6
2007-09-28,12.8
2007-10-01,11.6
2007-10-02,12.3
2007-10-03,12.0
2007-10-04,12.0
2007-10-05,11.5
2007-10-08,11.5
2007-10-09,11.6
2007-10-10,11.4
2007-10-11,11.2
2007-10-12,11.5
2007-10-15,11.9
2007-10-16,11.3
2007-10-17,11.1
2007-10-18,10.8
2007-10-19,10.9
2007-10-22,10.5
2007-10-23,10.3
2007-10-24,10.4
2007-10-25,10.2
2007-10-26,9.9
2007-10-29,10.2
2007-10-30,11.4
2007-10-31,10.7
2007-11-01,10.5
2007-11-02,10.7
2007-11-05,10.9
2007-11-06,10.5
2007-11-07,10.7
2007-11-08,10.8
2007-11-09,10.1
2007-11-12,9.9
2007-11-13,9.6
2007-11-14,9.6
2007-11-15,10.4
2007-11-16,10.6
2007-11-19,10.6
2007-11-20,9.1
2007-11-21,9.4
2007-11-23,9.3
2007-11-26,9.0
2007-11-27,8.5
2007-11-28,8.3
2007-11-29,7.9
2007-11-30,7.0
2007-12-03,7.7
2007-12-04,7.9
2007-12-05,7.7
2007-12-06,7.4
2007-12-07,7.2
2007-12-10,7.2
2007-12-11,7.0
2007-12-12,7.0
2007-12-13,6.9
2007-12-14,7.1
2007-12-17,6.8
2007-12-18,6.7
2007-12-19,6.5
2007-12-20,6.7
2007-12-21,6.5
2007-12-24,6.5
2007-12-26,6.2
2007-12-27,6.0
2007-12-28,6.6
2007-12-31,6.7
2008-01-02,7.2
2008-01-03,6.8
2008-01-04,6.2
2008-01-07,6.0
2008-01-08,6.1
2008-01-09,6.2
2008-01-10,6.2
2008-01-11,6.1
2008-01-14,6.2
2008-01-15,6.3
2008-01-16,5.8
2008-01-17,5.4
2008-01-18,5.2
2008-01-22,5.3
2008-01-23,5.4
2008-01-24,5.6
2008-01-25,5.0
2008-01-28,5.5
2008-01-29,5.6
2008-01-30,5.3
2008-01-31,5.6
2008-02-01,5.8
2008-02-04,5.7
2008-02-05,6.0
2008-02-06,6.2
2008-02-07,6.2
