EXPE,Date
31.640823364257812,2005-07-21
32.74734115600586,2005-07-22
31.930627822875977,2005-07-25
31.61448097229004,2005-07-26
31.706697463989258,2005-07-27
31.68034553527832,2005-07-28
32.062355041503906,2005-07-29
32.075538635253906,2005-08-01
31.68034553527832,2005-08-02
31.416900634765625,2005-08-03
31.087570190429688,2005-08-04
30.78460121154785,2005-08-05
29.638572692871094,2005-08-08
31.416900634765625,2005-08-09
31.21929931640625,2005-08-10
30.125967025756836,2005-08-11
29.3751220703125,2005-08-12
28.242267608642578,2005-08-15
28.255447387695312,2005-08-16
28.571590423583984,2005-08-17
28.65062141418457,2005-08-18
28.518898010253906,2005-08-19
28.453031539916992,2005-08-22
28.255447387695312,2005-08-23
28.453031539916992,2005-08-24
29.190710067749023,2005-08-25
29.124845504760742,2005-08-26
29.42782211303711,2005-08-29
29.506853103637695,2005-08-30
29.322437286376953,2005-08-31
29.26974105834961,2005-09-01
29.467327117919922,2005-09-02
29.098506927490234,2005-09-06
29.348779678344727,2005-09-07
29.572721481323242,2005-09-08
29.058977127075195,2005-09-09
29.111671447753906,2005-09-12
29.072153091430664,2005-09-13
28.742835998535156,2005-09-14
28.202760696411133,2005-09-15
27.662675857543945,2005-09-16
27.728534698486328,2005-09-19
27.583641052246094,2005-09-20
27.201629638671875,2005-09-21
26.67471694946289,2005-09-22
26.450788497924805,2005-09-23
26.398096084594727,2005-09-26
26.240020751953125,2005-09-27
25.98973846435547,2005-09-28
26.371763229370117,2005-09-29
26.09511375427246,2005-09-30
26.885482788085938,2005-10-03
27.12259864807129,2005-10-04
26.46395492553711,2005-10-05
26.398096084594727,2005-10-06
26.477136611938477,2005-10-07
26.74057960510254,2005-10-10
26.41126823425293,2005-10-11
25.88435935974121,2005-10-12
26.029260635375977,2005-10-13
26.52981948852539,2005-10-14
26.898658752441406,2005-10-17
26.174171447753906,2005-10-18
25.80531883239746,2005-10-19
25.6867733001709,2005-10-20
25.792146682739258,2005-10-21
25.383792877197266,2005-10-24
24.80420684814453,2005-10-25
24.685638427734375,2005-10-26
24.80420684814453,2005-10-27
24.73833656311035,2005-10-28
24.830547332763672,2005-10-31
25.080825805664062,2005-11-01
25.55503273010254,2005-11-02
27.280658721923828,2005-11-03
29.941553115844727,2005-11-04
29.80982780456543,2005-11-07
29.75714111328125,2005-11-08
29.3751220703125,2005-11-09
28.979936599731445,2005-11-10
28.321304321289062,2005-11-11
28.41351890563965,2005-11-14
28.33448028564453,2005-11-15
28.202760696411133,2005-11-16
28.518898010253906,2005-11-17
28.584768295288086,2005-11-18
29.770301818847656,2005-11-21
30.824125289916992,2005-11-22
30.033767700195312,2005-11-23
30.48162841796875,2005-11-25
30.54749870300293,2005-11-28
31.166616439819336,2005-11-29
32.7868537902832,2005-11-30
32.72099685668945,2005-12-01
32.80002975463867,2005-12-02
32.11505126953125,2005-12-05
32.0228385925293,2005-12-06
32.378509521484375,2005-12-07
32.431182861328125,2005-12-08
32.80002975463867,2005-12-09
33.195213317871094,2005-12-12
33.08982467651367,2005-12-13
33.405975341796875,2005-12-14
33.49818801879883,2005-12-15
34.38075637817383,2005-12-16
33.48501205444336,2005-12-19
32.61561584472656,2005-12-20
32.0360107421875,2005-12-21
31.851585388183594,2005-12-22
31.561800003051758,2005-12-23
31.24565315246582,2005-12-27
31.548616409301758,2005-12-28
31.390546798706055,2005-12-29
31.561800003051758,2005-12-30
31.61448097229004,2006-01-03
31.94379425048828,2006-01-04
31.61448097229004,2006-01-05
31.62766456604004,2006-01-06
32.167747497558594,2006-01-09
33.34010314941406,2006-01-10
33.51136016845703,2006-01-11
33.76163864135742,2006-01-12
33.88018798828125,2006-01-13
34.07777786254883,2006-01-17
34.19633102416992,2006-01-18
34.222679138183594,2006-01-19
33.392799377441406,2006-01-20
33.80115509033203,2006-01-23
33.57721710205078,2006-01-24
33.32694625854492,2006-01-25
33.8143196105957,2006-01-26
34.472957611083984,2006-01-27
34.65737533569336,2006-01-30
34.275367736816406,2006-01-31
34.48612594604492,2006-02-01
34.104122161865234,2006-02-02
33.550865173339844,2006-02-03
33.616737365722656,2006-02-06
33.64308166503906,2006-02-07
33.85384750366211,2006-02-08
33.24789047241211,2006-02-09
31.930627822875977,2006-02-10
31.877941131591797,2006-02-13
31.390546798706055,2006-02-14
31.94379425048828,2006-02-15
26.1082820892334,2006-02-16
26.503469467163086,2006-02-17
26.319053649902344,2006-02-21
26.74057960510254,2006-02-22
26.371763229370117,2006-02-23
25.713117599487305,2006-02-24
25.6999454498291,2006-02-27
24.988618850708008,2006-02-28
25.55503273010254,2006-03-01
25.23889923095703,2006-03-02
25.55503273010254,2006-03-03
25.502349853515625,2006-03-06
25.199384689331055,2006-03-07
24.72516441345215,2006-03-08
24.461711883544922,2006-03-09
24.329971313476562,2006-03-10
24.567087173461914,2006-03-13
24.50122833251953,2006-03-14
24.632951736450195,2006-03-15
23.895282745361328,2006-03-16
23.947967529296875,2006-03-17
23.868938446044922,2006-03-20
23.21030616760254,2006-03-21
24.369504928588867,2006-03-22
24.356321334838867,2006-03-23
24.356321334838867,2006-03-24
24.079708099365234,2006-03-27
24.0665283203125,2006-03-28
24.65928840637207,2006-03-29
26.09511375427246,2006-03-30
26.701066970825195,2006-03-31
25.752628326416016,2006-04-03
26.911823272705078,2006-04-04
26.477136611938477,2006-04-05
26.503469467163086,2006-04-06
26.029260635375977,2006-04-07
25.370616912841797,2006-04-10
26.002920150756836,2006-04-11
26.1082820892334,2006-04-12
25.5286922454834,2006-04-13
25.041303634643555,2006-04-17
24.58026695251465,2006-04-18
24.290464401245117,2006-04-19
24.14557647705078,2006-04-20
24.237773895263672,2006-04-21
24.461711883544922,2006-04-24
24.198253631591797,2006-04-25
