CS,Date
11.3605375289917,1995-05-16
11.3605375289917,1995-05-17
11.3605375289917,1995-05-18
11.3605375289917,1995-05-19
11.3605375289917,1995-05-22
11.3605375289917,1995-05-23
11.3605375289917,1995-05-24
11.3605375289917,1995-05-25
11.3605375289917,1995-05-26
11.3605375289917,1995-05-30
11.3605375289917,1995-05-31
11.3605375289917,1995-06-01
11.3605375289917,1995-06-02
11.3605375289917,1995-06-05
11.3605375289917,1995-06-06
11.3605375289917,1995-06-07
11.3605375289917,1995-06-08
11.3605375289917,1995-06-09
11.3605375289917,1995-06-12
11.3605375289917,1995-06-13
11.3605375289917,1995-06-14
11.3605375289917,1995-06-15
11.3605375289917,1995-06-16
11.3605375289917,1995-06-19
11.3605375289917,1995-06-20
11.3605375289917,1995-06-21
11.3605375289917,1995-06-22
11.3605375289917,1995-06-23
11.3605375289917,1995-06-26
11.3605375289917,1995-06-27
11.3605375289917,1995-06-28
12.08288288116455,1995-06-29
12.08288288116455,1995-06-30
12.08288288116455,1995-07-03
12.08288288116455,1995-07-05
12.08288288116455,1995-07-06
11.754547119140625,1995-07-07
11.623211860656738,1995-07-10
11.426207542419434,1995-07-11
11.426207542419434,1995-07-12
11.426207542419434,1995-07-13
11.426207542419434,1995-07-14
11.426207542419434,1995-07-17
11.623211860656738,1995-07-18
11.557544708251953,1995-07-19
11.557544708251953,1995-07-20
11.557544708251953,1995-07-21
11.557544708251953,1995-07-24
11.426207542419434,1995-07-25
11.426207542419434,1995-07-26
11.229203224182129,1995-07-27
11.229203224182129,1995-07-28
11.294869422912598,1995-07-31
11.294869422912598,1995-08-01
11.294869422912598,1995-08-02
11.03219985961914,1995-08-03
11.03219985961914,1995-08-04
10.769530296325684,1995-08-07
10.769530296325684,1995-08-08
10.769530296325684,1995-08-09
10.703862190246582,1995-08-10
10.638195037841797,1995-08-11
10.375518798828125,1995-08-14
10.375518798828125,1995-08-15
10.375518798828125,1995-08-16
10.375518798828125,1995-08-17
10.375518798828125,1995-08-18
10.703862190246582,1995-08-21
10.703862190246582,1995-08-22
10.703862190246582,1995-08-23
10.703862190246582,1995-08-24
10.769530296325684,1995-08-25
10.769530296325684,1995-08-28
10.769530296325684,1995-08-29
10.769530296325684,1995-08-30
10.769530296325684,1995-08-31
10.769530296325684,1995-09-01
10.769530296325684,1995-09-05
10.769530296325684,1995-09-06
10.769530296325684,1995-09-07
11.097867965698242,1995-09-08
11.097867965698242,1995-09-11
11.294869422912598,1995-09-12
11.294869422912598,1995-09-13
11.294869422912598,1995-09-14
11.097867965698242,1995-09-15
11.294869422912598,1995-09-18
11.294869422912598,1995-09-19
11.294869422912598,1995-09-20
12.936570167541504,1995-09-21
12.542559623718262,1995-09-22
12.542559623718262,1995-09-25
12.542559623718262,1995-09-26
12.542559623718262,1995-09-27
12.279891014099121,1995-09-28
12.214221000671387,1995-09-29
12.214221000671387,1995-10-02
12.34555435180664,1995-10-03
12.34555435180664,1995-10-04
12.411223411560059,1995-10-05
12.279891014099121,1995-10-06
12.608229637145996,1995-10-09
12.608229637145996,1995-10-10
12.739564895629883,1995-10-11
12.739564895629883,1995-10-12
12.739564895629883,1995-10-13
12.739564895629883,1995-10-16
12.739564895629883,1995-10-17
12.739564895629883,1995-10-18
13.396242141723633,1995-10-19
13.396242141723633,1995-10-20
13.396242141723633,1995-10-23
13.264904975891113,1995-10-24
13.264904975891113,1995-10-25
13.264904975891113,1995-10-26
13.199236869812012,1995-10-27
13.199236869812012,1995-10-30
13.199236869812012,1995-10-31
13.199236869812012,1995-11-01
13.199236869812012,1995-11-02
13.199236869812012,1995-11-03
13.199236869812012,1995-11-06
13.527576446533203,1995-11-07
13.330575942993164,1995-11-08
13.527576446533203,1995-11-09
13.527576446533203,1995-11-10
13.527576446533203,1995-11-13
13.199236869812012,1995-11-14
13.199236869812012,1995-11-15
13.199236869812012,1995-11-16
13.199236869812012,1995-11-17
13.199236869812012,1995-11-20
12.870902061462402,1995-11-21
12.870902061462402,1995-11-22
12.870902061462402,1995-11-24
13.00223445892334,1995-11-27
13.00223445892334,1995-11-28
13.00223445892334,1995-11-29
13.00223445892334,1995-11-30
12.34555435180664,1995-12-01
12.34555435180664,1995-12-04
12.673898696899414,1995-12-05
13.00223445892334,1995-12-06
12.608229637145996,1995-12-07
12.870902061462402,1995-12-08
13.067906379699707,1995-12-11
12.870902061462402,1995-12-12
12.936570167541504,1995-12-13
12.936570167541504,1995-12-14
12.936570167541504,1995-12-15
13.330575942993164,1995-12-18
13.199236869812012,1995-12-19
13.396242141723633,1995-12-20
13.264904975891113,1995-12-21
13.067906379699707,1995-12-22
13.067906379699707,1995-12-26
13.199236869812012,1995-12-27
13.199236869812012,1995-12-28
13.527576446533203,1995-12-29
13.527576446533203,1996-01-02
13.527576446533203,1996-01-03
13.593247413635254,1996-01-04
13.593247413635254,1996-01-05
13.593247413635254,1996-01-08
13.199236869812012,1996-01-09
13.199236869812012,1996-01-10
13.264904975891113,1996-01-11
13.330575942993164,1996-01-12
12.739564895629883,1996-01-15
13.00223445892334,1996-01-16
13.00223445892334,1996-01-17
12.411223411560059,1996-01-18
12.411223411560059,1996-01-19
12.411223411560059,1996-01-22
12.411223411560059,1996-01-23
12.279891014099121,1996-01-24
12.279891014099121,1996-01-25
11.951550483703613,1996-01-26
12.08288288116455,1996-01-29
12.017218589782715,1996-01-30
12.214221000671387,1996-01-31
12.542559623718262,1996-02-01
12.34555435180664,1996-02-02
12.34555435180664,1996-02-05
12.608229637145996,1996-02-06
12.608229637145996,1996-02-07
12.608229637145996,1996-02-08
12.279891014099121,1996-02-09
12.08288288116455,1996-02-12
12.411223411560059,1996-02-13
12.411223411560059,1996-02-14
12.411223411560059,1996-02-15
12.542559623718262,1996-02-16
12.279891014099121,1996-02-20
12.279891014099121,1996-02-21
12.673898696899414,1996-02-22
12.870902061462402,1996-02-23
12.870902061462402,1996-02-26
12.542559623718262,1996-02-27
12.411223411560059,1996-02-28
12.739564895629883,1996-02-29
12.34555435180664,1996-03-01
12.608229637145996,1996-03-04
12.608229637145996,1996-03-05
12.608229637145996,1996-03-06
12.608229637145996,1996-03-07
11.951550483703613,1996-03-08
11.885880470275879,1996-03-11
11.754547119140625,1996-03-12
12.279891014099121,1996-03-13
12.279891014099121,1996-03-14
12.214221000671387,1996-03-15
12.279891014099121,1996-03-18
12.279891014099121,1996-03-19
12.017218589782715,1996-03-20
12.214221000671387,1996-03-21
12.08288288116455,1996-03-22
11.951550483703613,1996-03-25
11.951550483703613,1996-03-26
12.214221000671387,1996-03-27
11.951550483703613,1996-03-28
11.951550483703613,1996-03-29
12.08288288116455,1996-04-01
12.08288288116455,1996-04-02
12.08288288116455,1996-04-03
12.08288288116455,1996-04-04
12.08288288116455,1996-04-08
12.08288288116455,1996-04-09
12.34555435180664,1996-04-10
12.279891014099121,1996-04-11
11.754547119140625,1996-04-12
11.754547119140625,1996-04-15
12.279891014099121,1996-04-16
12.279891014099121,1996-04-17
12.279891014099121,1996-04-18
12.279891014099121,1996-04-19
12.279891014099121,1996-04-22
12.279891014099121,1996-04-23
12.279891014099121,1996-04-24
12.279891014099121,1996-04-25
12.279891014099121,1996-04-26
11.951550483703613,1996-04-29
12.08288288116455,1996-04-30
12.08288288116455,1996-05-01
12.08288288116455,1996-05-02
11.623211860656738,1996-05-03
11.623211860656738,1996-05-06
11.557544708251953,1996-05-07
11.754547119140625,1996-05-08
11.754547119140625,1996-05-09
11.754547119140625,1996-05-10
11.754547119140625,1996-05-13
11.754547119140625,1996-05-14
11.294869422912598,1996-05-15
11.294869422912598,1996-05-16
11.294869422912598,1996-05-17
11.3605375289917,1996-05-20
11.3605375289917,1996-05-21
11.03219985961914,1996-05-22
11.03219985961914,1996-05-23
11.03219985961914,1996-05-24
11.294869422912598,1996-05-28
10.900863647460938,1996-05-29
11.03219985961914,1996-05-30
11.03219985961914,1996-05-31
11.426207542419434,1996-06-03
11.229203224182129,1996-06-04
11.294869422912598,1996-06-05
11.229203224182129,1996-06-06
10.769530296325684,1996-06-07
11.03219985961914,1996-06-10
11.097867965698242,1996-06-11
11.557544708251953,1996-06-12
11.688876152038574,1996-06-13
11.885880470275879,1996-06-14
11.885880470275879,1996-06-17
11.623211860656738,1996-06-18
11.623211860656738,1996-06-19
11.557544708251953,1996-06-20
11.951550483703613,1996-06-21
11.951550483703613,1996-06-24
12.214221000671387,1996-06-25
12.279891014099121,1996-06-26
12.411223411560059,1996-06-27
12.608229637145996,1996-06-28
13.593247413635254,1996-07-01
14.184253692626953,1996-07-02
13.987255096435547,1996-07-03
13.987255096435547,1996-07-05
13.396242141723633,1996-07-08
13.790251731872559,1996-07-09
13.593247413635254,1996-07-10
13.527576446533203,1996-07-11
13.527576446533203,1996-07-12
13.527576446533203,1996-07-15
13.593247413635254,1996-07-16
13.593247413635254,1996-07-17
13.593247413635254,1996-07-18
13.790251731872559,1996-07-19
13.855916023254395,1996-07-22
13.790251731872559,1996-07-23
13.790251731872559,1996-07-24
13.527576446533203,1996-07-25
13.527576446533203,1996-07-26
13.527576446533203,1996-07-29
13.527576446533203,1996-07-30
13.658914566040039,1996-07-31
13.921586036682129,1996-08-01
13.921586036682129,1996-08-02
14.184253692626953,1996-08-05
13.987255096435547,1996-08-06
14.11859130859375,1996-08-07
14.11859130859375,1996-08-08
13.987255096435547,1996-08-09
14.249927520751953,1996-08-12
14.249927520751953,1996-08-13
14.184253692626953,1996-08-14
13.855916023254395,1996-08-15
13.855916023254395,1996-08-16
13.855916023254395,1996-08-19
13.855916023254395,1996-08-20
13.855916023254395,1996-08-21
14.11859130859375,1996-08-22
14.11859130859375,1996-08-23
14.11859130859375,1996-08-26
14.11859130859375,1996-08-27
14.11859130859375,1996-08-28
14.11859130859375,1996-08-29
14.11859130859375,1996-08-30
14.11859130859375,1996-09-03
14.11859130859375,1996-09-04
14.11859130859375,1996-09-05
14.11859130859375,1996-09-06
13.199236869812012,1996-09-09
13.199236869812012,1996-09-10
12.936570167541504,1996-09-11
12.739564895629883,1996-09-12
12.936570167541504,1996-09-13
12.936570167541504,1996-09-16
13.067906379699707,1996-09-17
13.067906379699707,1996-09-18
13.00223445892334,1996-09-19
13.00223445892334,1996-09-20
12.936570167541504,1996-09-23
12.936570167541504,1996-09-24
13.067906379699707,1996-09-25
13.067906379699707,1996-09-26
12.673898696899414,1996-09-27
12.673898696899414,1996-09-30
12.673898696899414,1996-10-01
13.199236869812012,1996-10-02
13.199236869812012,1996-10-03
13.527576446533203,1996-10-04
13.527576446533203,1996-10-07
13.199236869812012,1996-10-08
13.330575942993164,1996-10-09
13.330575942993164,1996-10-10
13.330575942993164,1996-10-11
13.330575942993164,1996-10-14
13.330575942993164,1996-10-15
13.330575942993164,1996-10-16
13.067906379699707,1996-10-17
12.936570167541504,1996-10-18
13.199236869812012,1996-10-21
13.199236869812012,1996-10-22
13.264904975891113,1996-10-23
13.264904975891113,1996-10-24
13.264904975891113,1996-10-25
13.199236869812012,1996-10-28
13.330575942993164,1996-10-29
13.330575942993164,1996-10-30
13.330575942993164,1996-10-31
13.330575942993164,1996-11-01
13.330575942993164,1996-11-04
12.936570167541504,1996-11-05
13.264904975891113,1996-11-06
13.199236869812012,1996-11-07
13.199236869812012,1996-11-08
13.527576446533203,1996-11-11
13.330575942993164,1996-11-12
13.330575942993164,1996-11-13
13.658914566040039,1996-11-14
14.11859130859375,1996-11-15
13.987255096435547,1996-11-18
14.184253692626953,1996-11-19
14.249927520751953,1996-11-20
14.249927520751953,1996-11-21
13.921586036682129,1996-11-22
13.855916023254395,1996-11-25
13.527576446533203,1996-11-26
13.46191120147705,1996-11-27
13.855916023254395,1996-11-29
13.396242141723633,1996-12-02
13.527576446533203,1996-12-03
