CRWD,Date
58.0,2019-06-12
67.55999755859375,2019-06-13
64.16000366210938,2019-06-14
70.01000213623047,2019-06-17
76.5,2019-06-18
77.22000122070312,2019-06-19
74.8499984741211,2019-06-20
72.2300033569336,2019-06-21
67.97000122070312,2019-06-24
61.52000045776367,2019-06-25
62.650001525878906,2019-06-26
63.279998779296875,2019-06-27
68.29000091552734,2019-06-28
63.20000076293945,2019-07-01
64.5199966430664,2019-07-02
67.23999786376953,2019-07-03
67.20999908447266,2019-07-05
66.91000366210938,2019-07-08
68.44999694824219,2019-07-09
74.33999633789062,2019-07-10
70.87999725341797,2019-07-11
73.5,2019-07-12
71.5999984741211,2019-07-15
69.54000091552734,2019-07-16
71.0,2019-07-17
72.75,2019-07-18
83.5199966430664,2019-07-19
87.68000030517578,2019-07-22
86.73999786376953,2019-07-23
87.45999908447266,2019-07-24
92.27999877929688,2019-07-25
92.87999725341797,2019-07-26
87.2300033569336,2019-07-29
94.0,2019-07-30
89.06999969482422,2019-07-31
91.52999877929688,2019-08-01
88.01000213623047,2019-08-02
85.4800033569336,2019-08-05
85.23999786376953,2019-08-06
84.22000122070312,2019-08-07
91.6500015258789,2019-08-08
94.9000015258789,2019-08-09
93.01000213623047,2019-08-12
99.6500015258789,2019-08-13
94.0199966430664,2019-08-14
93.66000366210938,2019-08-15
96.05000305175781,2019-08-16
99.38999938964844,2019-08-19
99.16000366210938,2019-08-20
96.58000183105469,2019-08-21
92.97000122070312,2019-08-22
88.43000030517578,2019-08-23
88.87999725341797,2019-08-26
84.08000183105469,2019-08-27
86.98999786376953,2019-08-28
83.81999969482422,2019-08-29
81.27999877929688,2019-08-30
83.76000213623047,2019-09-03
85.30999755859375,2019-09-04
86.8499984741211,2019-09-05
75.9800033569336,2019-09-06
67.0999984741211,2019-09-09
71.6500015258789,2019-09-10
69.11000061035156,2019-09-11
69.66000366210938,2019-09-12
64.86000061035156,2019-09-13
67.86000061035156,2019-09-16
71.04000091552734,2019-09-17
70.8499984741211,2019-09-18
68.93000030517578,2019-09-19
