GPC,Date
1.1411869525909424,1980-03-17
1.1814639568328857,1980-03-18
1.201602578163147,1980-03-19
1.2083147764205933,1980-03-20
1.1814639568328857,1980-03-21
1.1546127796173096,1980-03-24
1.1478993892669678,1980-03-25
1.2083147764205933,1980-03-26
1.1814639568328857,1980-03-27
1.2217419147491455,1980-03-28
1.2284541130065918,1980-03-31
1.235167145729065,1980-04-01
1.2150273323059082,1980-04-02
1.235167145729065,1980-04-03
1.2083147764205933,1980-04-07
1.2284541130065918,1980-04-08
1.235167145729065,1980-04-09
1.235167145729065,1980-04-10
1.194889783859253,1980-04-11
1.1076221466064453,1980-04-14
1.1143356561660767,1980-04-15
1.1009093523025513,1980-04-16
1.0941963195800781,1980-04-17
1.1009093523025513,1980-04-18
1.1009093523025513,1980-04-21
1.1009093523025513,1980-04-22
1.0740578174591064,1980-04-23
1.0807713270187378,1980-04-24
1.0807713270187378,1980-04-25
1.0941963195800781,1980-04-28
1.121048092842102,1980-04-29
1.1076221466064453,1980-04-30
1.0874837636947632,1980-05-01
1.0740578174591064,1980-05-02
1.0874837636947632,1980-05-05
1.0941963195800781,1980-05-06
1.0807713270187378,1980-05-07
1.0874837636947632,1980-05-08
1.0740578174591064,1980-05-09
1.0740578174591064,1980-05-12
1.1277613639831543,1980-05-13
1.1680383682250977,1980-05-14
1.235167145729065,1980-05-15
1.2284541130065918,1980-05-16
1.235167145729065,1980-05-19
1.2418798208236694,1980-05-20
1.2418798208236694,1980-05-21
1.235167145729065,1980-05-22
1.2150273323059082,1980-05-23
1.235167145729065,1980-05-27
1.2485921382904053,1980-05-28
1.235167145729065,1980-05-29
1.2284541130065918,1980-05-30
1.2150273323059082,1980-06-02
1.2418798208236694,1980-06-03
1.2284541130065918,1980-06-04
1.2418798208236694,1980-06-05
1.2284541130065918,1980-06-06
1.2821564674377441,1980-06-09
1.2888695001602173,1980-06-10
1.315721035003662,1980-06-11
1.262018084526062,1980-06-12
1.2553056478500366,1980-06-13
1.2553056478500366,1980-06-16
1.1814639568328857,1980-06-17
1.2418798208236694,1980-06-18
1.262018084526062,1980-06-19
1.262018084526062,1980-06-20
1.2888695001602173,1980-06-23
1.2821564674377441,1980-06-24
1.2888695001602173,1980-06-25
1.2888695001602173,1980-06-26
1.2888695001602173,1980-06-27
1.2687311172485352,1980-06-30
1.2754441499710083,1980-07-01
1.2955822944641113,1980-07-02
1.2821564674377441,1980-07-03
1.3425724506378174,1980-07-07
1.3559974431991577,1980-07-08
1.389562964439392,1980-07-09
1.389562964439392,1980-07-10
1.4097018241882324,1980-07-11
1.5573843717575073,1980-07-14
1.4768298864364624,1980-07-15
1.4164135456085205,1980-07-16
1.4029881954193115,1980-07-17
1.3962754011154175,1980-07-18
1.362710952758789,1980-07-21
1.3425724506378174,1980-07-22
1.3492848873138428,1980-07-23
1.3559974431991577,1980-07-24
1.362710952758789,1980-07-25
1.362710952758789,1980-07-28
1.3559974431991577,1980-07-29
1.4029881954193115,1980-07-30
1.429840326309204,1980-07-31
1.4231274127960205,1980-08-01
1.4566913843154907,1980-08-04
1.4499787092208862,1980-08-05
1.4499787092208862,1980-08-06
1.4768298864364624,1980-08-07
1.463403582572937,1980-08-08
1.4231274127960205,1980-08-11
1.4097018241882324,1980-08-12
1.335860252380371,1980-08-13
1.389562964439392,1980-08-14
1.4029881954193115,1980-08-15
1.3828504085540771,1980-08-18
1.3962754011154175,1980-08-19
1.3962754011154175,1980-08-20
1.3962754011154175,1980-08-21
1.362710952758789,1980-08-22
1.4164135456085205,1980-08-25
1.4432657957077026,1980-08-26
1.4164135456085205,1980-08-27
1.3962754011154175,1980-08-28
1.36942458152771,1980-08-29
1.389562964439392,1980-09-02
1.3962754011154175,1980-09-03
1.4164135456085205,1980-09-04
1.4231274127960205,1980-09-05
1.3962754011154175,1980-09-08
1.436552882194519,1980-09-09
1.4499787092208862,1980-09-10
1.463403582572937,1980-09-11
1.463403582572937,1980-09-12
1.4969688653945923,1980-09-15
