TTWO,Date
3.9164252281188965,1997-04-15
3.708104133605957,1997-04-16
3.8330962657928467,1997-04-17
3.999752998352051,1997-04-18
3.999752998352051,1997-04-21
3.9164252281188965,1997-04-22
4.499722003936768,1997-04-23
4.833034515380859,1997-04-24
4.499722003936768,1997-04-25
4.333065509796143,1997-04-28
4.91636323928833,1997-04-29
5.041355609893799,1997-04-30
5.124683380126953,1997-05-01
4.999691009521484,1997-05-02
4.833034515380859,1997-05-05
4.833034515380859,1997-05-06
4.91636323928833,1997-05-07
4.749706745147705,1997-05-08
4.833034515380859,1997-05-09
5.416332721710205,1997-05-12
5.666316986083984,1997-05-13
5.499660491943359,1997-05-14
5.333003520965576,1997-05-15
5.499660491943359,1997-05-16
5.416332721710205,1997-05-19
5.249675750732422,1997-05-20
5.166347980499268,1997-05-21
5.166347980499268,1997-05-22
5.124683380126953,1997-05-23
5.333003520965576,1997-05-27
5.333003520965576,1997-05-28
5.333003520965576,1997-05-29
5.249675750732422,1997-05-30
5.249675750732422,1997-06-02
5.499660491943359,1997-06-03
5.333003520965576,1997-06-04
5.457995891571045,1997-06-05
5.333003520965576,1997-06-06
5.333003520965576,1997-06-09
5.333003520965576,1997-06-10
5.416332721710205,1997-06-11
5.749644756317139,1997-06-12
5.749644756317139,1997-06-13
5.749644756317139,1997-06-16
5.666316986083984,1997-06-17
5.582988262176514,1997-06-18
5.499660491943359,1997-06-19
5.499660491943359,1997-06-20
5.416332721710205,1997-06-23
5.582988262176514,1997-06-24
5.333003520965576,1997-06-25
5.791309356689453,1997-06-26
5.707980632781982,1997-06-27
5.582988262176514,1997-06-30
5.582988262176514,1997-07-01
5.499660491943359,1997-07-02
5.333003520965576,1997-07-03
5.333003520965576,1997-07-07
5.624652862548828,1997-07-08
5.499660491943359,1997-07-09
5.499660491943359,1997-07-10
5.333003520965576,1997-07-11
5.499660491943359,1997-07-14
5.333003520965576,1997-07-15
5.083019256591797,1997-07-16
5.083019256591797,1997-07-17
5.166347980499268,1997-07-18
5.083019256591797,1997-07-21
5.374668121337891,1997-07-22
5.249675750732422,1997-07-23
5.249675750732422,1997-07-24
5.249675750732422,1997-07-25
5.333003520965576,1997-07-28
5.249675750732422,1997-07-29
5.291340351104736,1997-07-30
5.457995891571045,1997-07-31
5.3954997062683105,1997-08-01
5.166347980499268,1997-08-04
5.249675750732422,1997-08-05
5.249675750732422,1997-08-06
5.166347980499268,1997-08-07
5.291340351104736,1997-08-08
5.083019256591797,1997-08-11
4.999691009521484,1997-08-12
4.999691009521484,1997-08-13
4.458057880401611,1997-08-14
4.833034515380859,1997-08-15
4.833034515380859,1997-08-18
4.91636323928833,1997-08-19
4.999691009521484,1997-08-20
4.874699115753174,1997-08-21
