SPG,Date
4.416369915008545,1993-12-14
4.416369915008545,1993-12-15
4.416369915008545,1993-12-16
4.391836643218994,1993-12-17
4.416369915008545,1993-12-20
4.391836643218994,1993-12-21
4.416369915008545,1993-12-22
4.416369915008545,1993-12-23
4.391836643218994,1993-12-27
4.416369915008545,1993-12-28
4.416369915008545,1993-12-29
4.416369915008545,1993-12-30
4.440904140472412,1993-12-31
4.416369915008545,1994-01-03
4.440904140472412,1994-01-04
4.416369915008545,1994-01-05
4.416369915008545,1994-01-06
4.4654436111450195,1994-01-07
4.514512538909912,1994-01-10
4.563582420349121,1994-01-11
4.563582420349121,1994-01-12
4.63718843460083,1994-01-13
4.6126532554626465,1994-01-14
4.6126532554626465,1994-01-17
4.63718843460083,1994-01-18
4.6126532554626465,1994-01-19
4.63718843460083,1994-01-20
4.63718843460083,1994-01-21
4.588118553161621,1994-01-24
4.63718843460083,1994-01-25
4.710795879364014,1994-01-26
4.8089375495910645,1994-01-27
4.833471775054932,1994-01-28
4.8089375495910645,1994-01-31
4.907077789306641,1994-02-01
4.882543563842773,1994-02-02
4.882543563842773,1994-02-03
4.784402847290039,1994-02-04
4.8089375495910645,1994-02-07
4.907077789306641,1994-02-08
4.858007907867432,1994-02-09
4.833471775054932,1994-02-10
4.956148624420166,1994-02-11
5.029753684997559,1994-02-14
4.980685234069824,1994-02-15
5.029753684997559,1994-02-16
5.078825950622559,1994-02-17
5.078825950622559,1994-02-18
5.103360652923584,1994-02-22
5.176969051361084,1994-02-23
5.226040840148926,1994-02-24
5.201502799987793,1994-02-25
5.054292678833008,1994-02-28
5.127898216247559,1994-03-01
5.152430534362793,1994-03-02
5.103360652923584,1994-03-03
5.103360652923584,1994-03-04
5.201502799987793,1994-03-07
5.176969051361084,1994-03-08
5.201502799987793,1994-03-09
5.201502799987793,1994-03-10
5.299642086029053,1994-03-11
5.324179172515869,1994-03-14
5.3487162590026855,1994-03-15
5.397785186767578,1994-03-16
5.250575065612793,1994-03-17
5.422321319580078,1994-03-18
5.397785186767578,1994-03-21
5.492661476135254,1994-03-22
5.592525482177734,1994-03-23
5.542593479156494,1994-03-24
5.542593479156494,1994-03-25
5.31789493560791,1994-03-28
5.168093204498291,1994-03-29
5.168093204498291,1994-03-30
5.118159770965576,1994-03-31
4.993323802947998,1994-04-04
5.118159770965576,1994-04-05
5.19305944442749,1994-04-06
5.168093204498291,1994-04-07
5.168093204498291,1994-04-08
5.168093204498291,1994-04-11
5.168093204498291,1994-04-12
5.143127918243408,1994-04-13
5.242990493774414,1994-04-14
5.143127918243408,1994-04-15
5.19305944442749,1994-04-18
5.168093204498291,1994-04-19
5.143127918243408,1994-04-20
5.143127918243408,1994-04-21
5.093193054199219,1994-04-22
5.118159770965576,1994-04-25
5.118159770965576,1994-04-26
5.168093204498291,1994-04-28
5.342860698699951,1994-04-29
5.442724227905273,1994-05-02
5.342860698699951,1994-05-03
5.29292631149292,1994-05-04
5.442724227905273,1994-05-05
5.492661476135254,1994-05-06
5.492661476135254,1994-05-09
5.542593479156494,1994-05-10
5.392790794372559,1994-05-11
5.492661476135254,1994-05-12
5.442724227905273,1994-05-13
5.46769380569458,1994-05-16
5.492661476135254,1994-05-17
5.492661476135254,1994-05-18
5.517627239227295,1994-05-19
5.492661476135254,1994-05-20
5.542593479156494,1994-05-23
5.542593479156494,1994-05-24
5.56756067276001,1994-05-25
5.517627239227295,1994-05-26
5.542593479156494,1994-05-27
5.46769380569458,1994-05-31
5.442724227905273,1994-06-01
5.442724227905273,1994-06-02
5.492661476135254,1994-06-03
5.56756067276001,1994-06-06
5.592525482177734,1994-06-07
5.56756067276001,1994-06-08
5.492661476135254,1994-06-09
5.517627239227295,1994-06-10
5.592525482177734,1994-06-13
5.56756067276001,1994-06-14
5.517627239227295,1994-06-15
5.56756067276001,1994-06-16
5.592525482177734,1994-06-17
5.56756067276001,1994-06-20
5.592525482177734,1994-06-21
5.56756067276001,1994-06-22
5.492661476135254,1994-06-23
5.417758464813232,1994-06-24
5.417758464813232,1994-06-27
5.3678297996521,1994-06-28
5.362744331359863,1994-06-29
5.413577079772949,1994-06-30
5.337324619293213,1994-07-01
