JWN,Date
0.9045851230621338,1980-03-17
0.9352490305900574,1980-03-18
0.9659132361412048,1980-03-19
0.9659132361412048,1980-03-20
0.9659132361412048,1980-03-21
0.9505811929702759,1980-03-24
0.9505811929702759,1980-03-25
0.9505811929702759,1980-03-26
0.9352490305900574,1980-03-27
0.9659132361412048,1980-03-28
0.9659132361412048,1980-03-31
0.9965772032737732,1980-04-01
1.0425734519958496,1980-04-02
1.0425734519958496,1980-04-03
1.0425734519958496,1980-04-07
1.0425734519958496,1980-04-08
1.1192326545715332,1980-04-09
1.1192326545715332,1980-04-10
1.1345646381378174,1980-04-11
1.1345646381378174,1980-04-14
1.1498969793319702,1980-04-15
1.1345646381378174,1980-04-16
1.073236346244812,1980-04-17
1.073236346244812,1980-04-18
1.088568925857544,1980-04-21
1.1039010286331177,1980-04-22
1.088568925857544,1980-04-23
1.088568925857544,1980-04-24
1.088568925857544,1980-04-25
1.088568925857544,1980-04-28
1.088568925857544,1980-04-29
1.088568925857544,1980-04-30
1.1039010286331177,1980-05-01
1.088568925857544,1980-05-02
1.088568925857544,1980-05-05
1.088568925857544,1980-05-06
1.088568925857544,1980-05-07
1.073236346244812,1980-05-08
1.073236346244812,1980-05-09
1.073236346244812,1980-05-12
1.1039010286331177,1980-05-13
1.1039010286331177,1980-05-14
1.1192326545715332,1980-05-15
1.1345646381378174,1980-05-16
1.1498969793319702,1980-05-19
1.1192326545715332,1980-05-20
1.1039010286331177,1980-05-21
1.1039010286331177,1980-05-22
1.1039010286331177,1980-05-23
1.1192326545715332,1980-05-27
1.1039010286331177,1980-05-28
1.1039010286331177,1980-05-29
1.088568925857544,1980-05-30
1.088568925857544,1980-06-02
1.073236346244812,1980-06-03
1.073236346244812,1980-06-04
1.088568925857544,1980-06-05
1.057904839515686,1980-06-06
1.0425734519958496,1980-06-09
1.0272414684295654,1980-06-10
1.0425734519958496,1980-06-11
1.0272414684295654,1980-06-12
1.0272414684295654,1980-06-13
1.0272414684295654,1980-06-16
1.0425734519958496,1980-06-17
1.0272414684295654,1980-06-18
1.0272414684295654,1980-06-19
1.0272414684295654,1980-06-20
1.0272414684295654,1980-06-23
1.0425734519958496,1980-06-24
1.0425734519958496,1980-06-25
1.0425734519958496,1980-06-26
1.0425734519958496,1980-06-27
1.0425734519958496,1980-06-30
1.0425734519958496,1980-07-01
1.0425734519958496,1980-07-02
1.073236346244812,1980-07-03
1.088568925857544,1980-07-07
1.088568925857544,1980-07-08
1.088568925857544,1980-07-09
1.073236346244812,1980-07-10
1.088568925857544,1980-07-11
1.088568925857544,1980-07-14
1.088568925857544,1980-07-15
1.1192326545715332,1980-07-16
1.1345646381378174,1980-07-17
1.2112243175506592,1980-07-18
1.3338799476623535,1980-07-21
1.287885069847107,1980-07-22
1.3185473680496216,1980-07-23
1.3338799476623535,1980-07-24
1.3338799476623535,1980-07-25
1.3338799476623535,1980-07-28
1.3338799476623535,1980-07-29
1.4565366506576538,1980-07-30
1.441204309463501,1980-07-31
1.4718670845031738,1980-08-01
1.4565366506576538,1980-08-04
1.4565366506576538,1980-08-05
1.4565366506576538,1980-08-06
1.4565366506576538,1980-08-07
1.441204309463501,1980-08-08
1.4565366506576538,1980-08-11
1.441204309463501,1980-08-12
1.441204309463501,1980-08-13
1.441204309463501,1980-08-14
1.5025321245193481,1980-08-15
1.5025321245193481,1980-08-18
1.487200140953064,1980-08-19
1.5025321245193481,1980-08-20
1.5025321245193481,1980-08-21
1.487200140953064,1980-08-22
1.4565366506576538,1980-08-25
1.441204309463501,1980-08-26
1.441204309463501,1980-08-27
1.4105387926101685,1980-08-28
1.3492121696472168,1980-08-29
1.3798762559890747,1980-09-02
1.4105387926101685,1980-09-03
1.4258716106414795,1980-09-04
1.441204309463501,1980-09-05
1.4565366506576538,1980-09-08
1.4565366506576538,1980-09-09
1.4565366506576538,1980-09-10
1.4565366506576538,1980-09-11
1.4565366506576538,1980-09-12
1.4565366506576538,1980-09-15
1.4565366506576538,1980-09-16
1.4718670845031738,1980-09-17
1.487200140953064,1980-09-18
1.487200140953064,1980-09-19
1.5025321245193481,1980-09-22
1.5025321245193481,1980-09-23
1.5025321245193481,1980-09-24
1.5025321245193481,1980-09-25
1.5025321245193481,1980-09-26
1.4105387926101685,1980-09-29
1.4258716106414795,1980-09-30
1.4258716106414795,1980-10-01
1.4258716106414795,1980-10-02
1.4258716106414795,1980-10-03
1.441204309463501,1980-10-06
1.441204309463501,1980-10-07
1.441204309463501,1980-10-08
1.4718670845031738,1980-10-09
1.4718670845031738,1980-10-10
1.4718670845031738,1980-10-13
1.487200140953064,1980-10-14
1.487200140953064,1980-10-15
1.487200140953064,1980-10-16
1.4565366506576538,1980-10-17
1.4565366506576538,1980-10-20
1.441204309463501,1980-10-21
1.4258716106414795,1980-10-22
1.3952088356018066,1980-10-23
1.3798762559890747,1980-10-24
1.3032166957855225,1980-10-27
1.287885069847107,1980-10-28
1.287885069847107,1980-10-29
1.287885069847107,1980-10-30
1.287885069847107,1980-10-31
1.287885069847107,1980-11-03
1.3032166957855225,1980-11-05
1.287885069847107,1980-11-06
1.287885069847107,1980-11-07
1.287885069847107,1980-11-10
1.3032166957855225,1980-11-11
1.3338799476623535,1980-11-12
1.3338799476623535,1980-11-13
1.3492121696472168,1980-11-14
1.3492121696472168,1980-11-17
1.3492121696472168,1980-11-18
1.3492121696472168,1980-11-19
1.3492121696472168,1980-11-20
1.3492121696472168,1980-11-21
1.3492121696472168,1980-11-24
1.3492121696472168,1980-11-25
1.3492121696472168,1980-11-26
1.3492121696472168,1980-11-28
1.3492121696472168,1980-12-01
1.3492121696472168,1980-12-02
1.3492121696472168,1980-12-03
1.3492121696472168,1980-12-04
1.3492121696472168,1980-12-05
1.3032166957855225,1980-12-08
1.3032166957855225,1980-12-09
1.287885069847107,1980-12-10
1.1805604696273804,1980-12-11
1.1652281284332275,1980-12-12
1.1652281284332275,1980-12-15
1.1345646381378174,1980-12-16
1.1652281284332275,1980-12-17
1.1652281284332275,1980-12-18
1.1958929300308228,1980-12-19
1.1958929300308228,1980-12-22
1.2572200298309326,1980-12-23
1.2572200298309326,1980-12-24
1.2572200298309326,1980-12-26
1.2572200298309326,1980-12-29
1.2572200298309326,1980-12-30
1.3798762559890747,1980-12-31
1.3645436763763428,1981-01-02
1.3645436763763428,1981-01-05
1.3645436763763428,1981-01-06
1.2725521326065063,1981-01-07
1.2725521326065063,1981-01-08
1.287885069847107,1981-01-09
1.287885069847107,1981-01-12
1.2725521326065063,1981-01-13
1.2572200298309326,1981-01-14
1.2572200298309326,1981-01-15
1.2572200298309326,1981-01-16
1.2418886423110962,1981-01-19
1.226556658744812,1981-01-20
1.2112243175506592,1981-01-21
1.226556658744812,1981-01-22
1.2112243175506592,1981-01-23
1.2112243175506592,1981-01-26
1.2112243175506592,1981-01-27
1.2112243175506592,1981-01-28
1.2725521326065063,1981-01-29
1.2572200298309326,1981-01-30
1.2572200298309326,1981-02-02
1.2572200298309326,1981-02-03
1.2725521326065063,1981-02-04
1.3032166957855225,1981-02-05
1.3185473680496216,1981-02-06
1.3185473680496216,1981-02-09
1.3338799476623535,1981-02-10
1.3338799476623535,1981-02-11
1.3338799476623535,1981-02-12
1.3338799476623535,1981-02-13
1.3492121696472168,1981-02-17
1.3492121696472168,1981-02-18
1.3492121696472168,1981-02-19
1.3645436763763428,1981-02-20
1.4105387926101685,1981-02-23
1.4258716106414795,1981-02-24
1.4105387926101685,1981-02-25
1.4258716106414795,1981-02-26
1.4258716106414795,1981-02-27
1.4258716106414795,1981-03-02
1.4718670845031738,1981-03-03
1.4718670845031738,1981-03-04
1.4718670845031738,1981-03-05
1.5178639888763428,1981-03-06
1.5331953763961792,1981-03-09
1.5791912078857422,1981-03-10
1.5331953763961792,1981-03-11
1.5331953763961792,1981-03-12
1.5331953763961792,1981-03-13
1.5331953763961792,1981-03-16
1.5331953763961792,1981-03-17
1.5331953763961792,1981-03-18
1.6098549365997314,1981-03-19
1.6251873970031738,1981-03-20
1.6711838245391846,1981-03-23
1.6558516025543213,1981-03-24
1.6558516025543213,1981-03-25
1.6558516025543213,1981-03-26
1.6711838245391846,1981-03-27
1.6711838245391846,1981-03-30
1.6711838245391846,1981-03-31
1.6865154504776,1981-04-01
1.7018465995788574,1981-04-02
1.7018465995788574,1981-04-03
1.7018465995788574,1981-04-06
1.7018465995788574,1981-04-07
1.7018465995788574,1981-04-08
1.7018465995788574,1981-04-09
1.594523310661316,1981-04-10
1.594523310661316,1981-04-13
1.594523310661316,1981-04-14
1.6098549365997314,1981-04-15
1.6098549365997314,1981-04-16
1.6405194997787476,1981-04-20
1.6405194997787476,1981-04-21
1.7018465995788574,1981-04-22
