Date,LLTC
2017-03-10,65.0
2017-03-09,65.27
2017-03-08,65.35
2017-03-07,65.33
2017-03-06,65.45
2017-03-03,64.86
2017-03-02,64.95
2017-03-01,65.07
2017-02-28,64.58
2017-02-27,64.6
2017-02-24,64.54
2017-02-23,64.53
2017-02-22,64.68
2017-02-21,64.98
2017-02-17,64.92
2017-02-16,64.8
2017-02-15,64.65
2017-02-14,63.85
2017-02-13,63.87
2017-02-10,63.49
2017-02-09,63.53
2017-02-08,63.83
2017-02-07,63.55
2017-02-06,63.28
2017-02-03,63.3
2017-02-02,63.23
2017-02-01,63.41
2017-01-31,63.13
2017-01-30,63.43
2017-01-27,63.52
2017-01-26,62.84
2017-01-25,62.93
2017-01-24,62.66
2017-01-23,62.37
2017-01-20,62.43
2017-01-19,62.37
2017-01-18,62.45
2017-01-17,62.34
2017-01-13,62.37
2017-01-12,62.27
2017-01-11,62.39
2017-01-10,62.33
2017-01-09,62.24
2017-01-06,62.1
2017-01-05,61.98
2017-01-04,62.23
2017-01-03,62.32
2016-12-30,62.35
2016-12-29,62.57
2016-12-28,62.51
2016-12-27,62.66
2016-12-23,62.55
2016-12-22,62.44
2016-12-21,62.52
2016-12-20,62.51
2016-12-19,62.28
2016-12-16,62.12
2016-12-15,62.51
2016-12-14,62.29
2016-12-13,62.46
2016-12-12,62.39
2016-12-09,62.45
2016-12-08,62.65
2016-12-07,62.39
2016-12-06,61.79
2016-12-05,61.61
2016-12-02,61.67
2016-12-01,61.43
2016-11-30,62.53
2016-11-29,62.57
2016-11-28,62.44
2016-11-25,62.46
2016-11-23,62.2
2016-11-22,62.06
2016-11-21,61.25
2016-11-18,61.0
2016-11-17,60.81
2016-11-16,60.58
2016-11-15,61.02
2016-11-14,60.59
2016-11-11,60.21
2016-11-10,59.8
2016-11-09,59.9
2016-11-08,59.85
2016-11-07,59.96
2016-11-04,59.72
2016-11-03,59.86
2016-11-02,59.76
2016-11-01,59.89
2016-10-31,60.06
2016-10-28,60.22
2016-10-27,60.14
2016-10-26,60.1
2016-10-25,60.32
2016-10-24,60.25
2016-10-21,60.01
2016-10-20,60.15
2016-10-19,59.31
2016-10-18,58.94
2016-10-17,58.98
2016-10-14,59.09
2016-10-13,58.75
2016-10-12,58.8
2016-10-11,59.11
2016-10-10,59.5
2016-10-07,59.53
2016-10-06,59.62
2016-10-05,59.57
2016-10-04,59.42
2016-10-03,59.32
2016-09-30,59.29
2016-09-29,59.11
2016-09-28,59.22
2016-09-27,59.08
2016-09-26,58.72
2016-09-23,58.87
2016-09-22,59.03
2016-09-21,58.93
2016-09-20,58.48
2016-09-19,58.66
2016-09-16,58.39
2016-09-15,58.55
2016-09-14,58.14
2016-09-13,57.95
2016-09-12,58.37
2016-09-09,57.7
2016-09-08,58.51
2016-09-07,58.47
2016-09-06,58.91
2016-09-02,58.76
2016-09-01,58.66
2016-08-31,58.24
2016-08-30,58.42
2016-08-29,58.44
2016-08-26,58.54
2016-08-25,58.47
2016-08-24,58.67
2016-08-23,58.76
2016-08-22,58.86
2016-08-19,58.91
2016-08-18,58.93
2016-08-17,58.61
2016-08-16,58.73
2016-08-15,58.97
2016-08-12,58.78
2016-08-11,58.87
2016-08-10,58.7
2016-08-09,59.16
2016-08-08,58.99
2016-08-05,58.93
2016-08-04,59.12
2016-08-03,59.22
2016-08-02,59.17
2016-08-01,59.66
2016-07-29,59.99
2016-07-28,60.5
2016-07-27,59.23
