LH,Date
22.483118057250977,1990-03-29
24.92693519592285,1990-03-30
21.994352340698242,1990-04-02
21.994352340698242,1990-04-03
24.92693519592285,1990-04-04
24.193788528442383,1990-04-05
24.193788528442383,1990-04-06
24.438167572021484,1990-04-09
22.72750473022461,1990-04-10
21.50558853149414,1990-04-11
21.50558853149414,1990-04-12
23.94940757751465,1990-04-16
21.50558853149414,1990-04-17
21.50558853149414,1990-04-18
21.50558853149414,1990-04-19
21.016822814941406,1990-04-20
21.016822814941406,1990-04-23
21.016822814941406,1990-04-24
21.016822814941406,1990-04-25
21.50558853149414,1990-04-26
21.016822814941406,1990-04-27
21.749967575073242,1990-04-30
21.749967575073242,1990-05-01
21.50558853149414,1990-05-02
21.50558853149414,1990-05-03
21.749967575073242,1990-05-04
21.994352340698242,1990-05-07
21.994352340698242,1990-05-08
21.994352340698242,1990-05-09
21.994352340698242,1990-05-10
21.50558853149414,1990-05-11
22.483118057250977,1990-05-14
23.460643768310547,1990-05-15
22.483118057250977,1990-05-16
21.50558853149414,1990-05-17
24.438167572021484,1990-05-18
24.438167572021484,1990-05-21
23.460643768310547,1990-05-22
23.460643768310547,1990-05-23
22.483118057250977,1990-05-24
22.971878051757812,1990-05-25
24.438167572021484,1990-05-29
24.438167572021484,1990-05-30
25.415699005126953,1990-05-31
25.415699005126953,1990-06-01
26.881988525390625,1990-06-04
26.881988525390625,1990-06-05
27.37075424194336,1990-06-06
28.348281860351562,1990-06-07
26.881988525390625,1990-06-08
27.126367568969727,1990-06-11
26.881988525390625,1990-06-12
29.325801849365234,1990-06-13
27.859514236450195,1990-06-14
27.859514236450195,1990-06-15
27.859514236450195,1990-06-18
28.837039947509766,1990-06-19
27.859514236450195,1990-06-20
27.859514236450195,1990-06-21
28.837039947509766,1990-06-22
29.325801849365234,1990-06-25
29.325801849365234,1990-06-26
28.837039947509766,1990-06-27
28.837039947509766,1990-06-28
26.881988525390625,1990-06-29
27.37075424194336,1990-07-02
27.859514236450195,1990-07-03
28.348281860351562,1990-07-05
28.348281860351562,1990-07-06
25.90445899963379,1990-07-09
27.859514236450195,1990-07-10
28.592655181884766,1990-07-11
30.303325653076172,1990-07-12
28.348281860351562,1990-07-13
27.859514236450195,1990-07-16
29.325801849365234,1990-07-17
31.28086280822754,1990-07-18
31.769624710083008,1990-07-19
32.258384704589844,1990-07-20
31.28086280822754,1990-07-23
30.54771614074707,1990-07-24
28.348281860351562,1990-07-25
30.303325653076172,1990-07-26
28.348281860351562,1990-07-27
27.859514236450195,1990-07-30
25.90445899963379,1990-07-31
25.660079956054688,1990-08-01
25.415699005126953,1990-08-02
24.92693519592285,1990-08-03
24.438167572021484,1990-08-06
24.438167572021484,1990-08-07
24.438167572021484,1990-08-08
25.17131233215332,1990-08-09
25.90445899963379,1990-08-10
26.393224716186523,1990-08-13
28.348281860351562,1990-08-14
28.348281860351562,1990-08-15
28.10389518737793,1990-08-16
26.393224716186523,1990-08-17
26.148839950561523,1990-08-20
25.90445899963379,1990-08-21
26.148839950561523,1990-08-22
23.94940757751465,1990-08-23
24.193788528442383,1990-08-24
25.415699005126953,1990-08-27
25.90445899963379,1990-08-28
26.148839950561523,1990-08-29
26.393224716186523,1990-08-30
26.393224716186523,1990-08-31
26.393224716186523,1990-09-04
26.393224716186523,1990-09-05
26.393224716186523,1990-09-06
26.881988525390625,1990-09-07
27.859514236450195,1990-09-10
27.859514236450195,1990-09-11
28.10389518737793,1990-09-12
27.615129470825195,1990-09-13
27.859514236450195,1990-09-14
28.10389518737793,1990-09-17
28.348281860351562,1990-09-18
29.0814208984375,1990-09-19
28.592655181884766,1990-09-20
28.348281860351562,1990-09-21
28.10389518737793,1990-09-24
